source_qid,target_qid,property_type,identifier
Q125105,Q113444,P61,Q452984
Q131333,Q119670,P61,Q453109
Q125067,Q113406,P61,Q4532540
Q122884,Q111231,P61,Q4532954
Q143312,Q122705,P61,Q453327
Q125215,Q113554,P61,Q4534213
Q126060,Q114397,P61,Q4534893
Q126220,Q114558,P61,Q453613
Q123679,Q112022,P61,Q453676
Q126058,Q114395,P61,Q4538779
Q129148,Q117488,P61,Q4538782
Q125565,Q113904,P61,Q454000
Q121369,Q109716,P61,Q454016
Q141047,Q121871,P61,Q454258
Q121540,Q109888,P61,Q454358
Q121104,Q109451,P61,Q454405
Q127621,Q115960,P61,Q45465
Q128023,Q116363,P61,Q455559
Q128296,Q116635,P61,Q456955
Q122712,Q111059,P61,Q457299
Q125623,Q113962,P61,Q458385
Q121862,Q110210,P61,Q458590
Q127447,Q54712,P61,Q458701
Q123629,Q111972,P61,Q458847
Q121504,Q109852,P61,Q459434
Q131736,Q120073,P61,Q459519
Q136651,Q121147,P61,Q459894
Q123514,Q111853,P61,Q46014942
Q128007,Q116347,P61,Q460802
Q128492,Q116831,P61,Q461480
Q122819,Q111165,P61,Q462395
Q129488,Q117828,P61,Q462631
Q139310,Q126879,P61,Q462856
Q122648,Q110996,P61,Q462896
Q129014,Q117353,P61,Q462947
Q68454,Q52525,P61,Q462953
Q123547,Q111893,P61,Q46329169
Q124174,Q112516,P61,Q463626
Q39681,Q22911,P61,Q463940
Q123720,Q112064,P61,Q463984
Q129236,Q117576,P61,Q464064
Q128034,Q116373,P61,Q464081
Q141226,Q120406,P61,Q464162
Q136515,Q123560,P61,Q46418
Q136514,Q123556,P61,Q464452
Q63746,Q34938,P61,Q464503
Q119431,Q107778,P61,Q4646815
Q143298,Q123275,P61,Q464908
Q128100,Q116439,P61,Q465203
Q131119,Q119457,P61,Q465451
Q125702,Q114037,P61,Q465555
Q124931,Q113271,P61,Q465882
Q139255,Q120416,P61,Q466247
Q125656,Q113990,P61,Q466257
Q147335,Q122867,P61,Q466283
Q36791,Q20892,P61,Q466326
Q120553,Q108900,P61,Q4663558
Q119935,Q108281,P61,Q4664522
Q120226,Q108574,P61,Q4664571
Q120725,Q109073,P61,Q4664589
Q120260,Q108608,P61,Q4664689
Q120343,Q108690,P61,Q4666063
Q119995,Q108341,P61,Q4666107
Q119627,Q107972,P61,Q4666108
Q119118,Q107465,P61,Q4666109
Q120072,Q108420,P61,Q4666114
Q119625,Q107970,P61,Q4667509
Q129438,Q117778,P61,Q46700274
Q141093,Q122301,P61,Q467022
Q119496,Q107842,P61,Q4670430
Q120917,Q109265,P61,Q467123
Q141158,Q124956,P61,Q467503
Q42076,Q22138,P61,Q467655
Q62865,Q44811,P61,Q467661
Q123478,Q111819,P61,Q46780
Q126913,Q115251,P61,Q467844
Q51226,Q38183,P61,Q467874
Q146693,Q120390,P61,Q468031
Q129192,Q117532,P61,Q4681823
Q141085,Q126047,P61,Q4681825
Q143652,Q121464,P61,Q4681926
Q127773,Q116112,P61,Q468653
Q130273,Q118612,P61,Q468836
Q122368,Q110716,P61,Q468842
Q123671,Q112014,P61,Q468847
Q119502,Q107848,P61,Q4688860
Q129902,Q118242,P61,Q4691133
Q128952,Q117291,P61,Q4693058
Q73906,Q37245,P61,Q469387
Q63734,Q34514,P61,Q469432
Q128040,Q116379,P61,Q469587
Q131393,Q119730,P61,Q469588
Q131103,Q119441,P61,Q469622
Q124738,Q113079,P61,Q469702
Q127470,Q115810,P61,Q4697156
Q128797,Q117137,P61,Q469731
Q128815,Q117155,P61,Q469742
Q128036,Q116375,P61,Q469760
Q128869,Q117209,P61,Q469830
Q128031,Q116371,P61,Q469926
Q120427,Q108774,P61,Q4702144
Q120222,Q108570,P61,Q4702357
Q125916,Q114253,P61,Q470283
Q120867,Q109215,P61,Q4702919
Q120681,Q109029,P61,Q4703080
Q119466,Q107812,P61,Q4703116
Q123220,Q111565,P61,Q4704980
Q143459,Q118262,P61,Q4705507
Q125453,Q113792,P61,Q4705710
Q147200,Q128049,P61,Q470602
Q131291,Q119628,P61,Q470636
Q126486,Q114824,P61,Q4722075
Q126512,Q114850,P61,Q4722089
Q120280,Q108628,P61,Q4725296
Q119209,Q107556,P61,Q4725324
Q125235,Q113574,P61,Q472561
Q128980,Q117319,P61,Q4725860
Q129462,Q117802,P61,Q473498
Q126326,Q114664,P61,Q4738327
Q128208,Q116547,P61,Q474332
Q126563,Q114903,P61,Q47463743
Q130056,Q118396,P61,Q47463748
Q125459,Q113798,P61,Q47464142
Q68942,Q44883,P61,Q47470190
Q62934,Q42040,P61,Q47470221
Q47016,Q22949,P61,Q47470299
Q125450,Q113788,P61,Q4747288
Q122132,Q110480,P61,Q4748390
Q122716,Q111063,P61,Q4751219
Q123573,Q111919,P61,Q4751845
Q124712,Q113053,P61,Q47520069
Q131105,Q119443,P61,Q4754729
Q124848,Q113189,P61,Q475760
Q127999,Q116339,P61,Q476315
Q129262,Q117602,P61,Q476318
Q125830,Q114167,P61,Q4766125
Q125154,Q54725,P61,Q4768921
Q126559,Q114899,P61,Q4769828
Q126749,Q115089,P61,Q477650
Q123987,Q112328,P61,Q478012
Q126939,Q115277,P61,Q4780242
Q120841,Q109189,P61,Q4783358
Q123418,Q111763,P61,Q4794469
Q124512,Q112853,P61,Q4794470
Q122516,Q110864,P61,Q4795097
Q124496,Q112837,P61,Q4797357
Q123414,Q111759,P61,Q4797361
Q126597,Q114937,P61,Q4797367
Q119349,Q107696,P61,Q4803228
Q123541,Q111887,P61,Q4805199
Q136104,Q123855,P61,Q4806359
Q136106,Q123858,P61,Q4806421
Q136642,Q126125,P61,Q4806856
Q119098,Q107445,P61,Q4806987
Q124678,Q113019,P61,Q4809144
Q119655,Q108000,P61,Q4815780
Q128194,Q116533,P61,Q482176
Q122522,Q110870,P61,Q4827396
Q68972,Q35742,P61,Q482860
Q63785,Q35315,P61,Q482917
Q63743,Q34718,P61,Q483010
Q119446,Q107792,P61,Q4830103
Q119070,Q107417,P61,Q4830159
Q119042,Q107389,P61,Q4831972
Q51916,Q45572,P61,Q484705
Q138233,Q122363,P61,Q4847195
Q51272,Q34990,P61,Q484866
Q51908,Q42863,P61,Q484891
Q122878,Q111225,P61,Q4850395
Q126250,Q114588,P61,Q4850617
Q131027,Q119366,P61,Q4850619
Q130837,Q119175,P61,Q48530789
Q130835,Q119173,P61,Q48530927
Q129677,Q118016,P61,Q48533375
Q145483,Q129081,P61,Q48546127
Q64096,Q38781,P61,Q485578
Q73918,Q37237,P61,Q485587
Q58653,Q42871,P61,Q485601
Q58280,Q34994,P61,Q485604
Q64085,Q45580,P61,Q485609
Q51912,Q45568,P61,Q485645
Q68960,Q35726,P61,Q4857706
Q64088,Q45528,P61,Q485798
Q64091,Q45584,P61,Q485832
Q141066,Q127950,P61,Q48615968
Q48787,Q25189,P61,Q486308
Q57218,Q42088,P61,Q486381
Q128164,Q116503,P61,Q48735
Q68978,Q35750,P61,Q487528
Q39915,Q36860,P61,Q48755672
Q63926,Q44911,P61,Q48759255
Q57104,Q42481,P61,Q48762584
Q63824,Q47644,P61,Q48763280
Q63872,Q52947,P61,Q48763627
Q63274,Q35774,P61,Q48764672
Q68509,Q44746,P61,Q48765544
Q63836,Q45200,P61,Q48765665
Q120174,Q108522,P61,Q48772415
Q58278,Q34986,P61,Q487728
Q128875,Q117215,P61,Q48791541
Q53371,Q23075,P61,Q488155
Q51900,Q45560,P61,Q488179
Q48767,Q25187,P61,Q488185
Q53363,Q23072,P61,Q488209
Q48791,Q23073,P61,Q488241
Q122765,Q111111,P61,Q48828
Q130072,Q118412,P61,Q48862554
Q124692,Q113033,P61,Q48865318
Q124690,Q113031,P61,Q48865324
Q130118,Q118458,P61,Q48865369
Q127681,Q116020,P61,Q48866771
Q130845,Q119183,P61,Q48879740
Q122568,Q110916,P61,Q48889998
Q123519,Q111861,P61,Q48893290
Q124604,Q112945,P61,Q48893293
Q125199,Q113538,P61,Q4891257
Q125742,Q114076,P61,Q48925112
Q124250,Q112592,P61,Q48925645
Q124484,Q112825,P61,Q4892864
Q127273,Q115612,P61,Q4893244
Q125197,Q113536,P61,Q4893254
Q124498,Q112839,P61,Q4894767
Q122696,Q111043,P61,Q4894932
Q125409,Q113748,P61,Q4894977
Q126532,Q114871,P61,Q4895915
Q129711,Q118050,P61,Q48961807
Q120985,Q109333,P61,Q4896345
Q120043,Q108389,P61,Q4897304
Q63809,Q35347,P61,Q489737
Q122745,Q111091,P61,Q48996486
Q63797,Q35331,P61,Q491750
Q119239,Q107586,P61,Q492106
Q42348,Q41512,P61,Q4921309
Q44028,Q38425,P61,Q4921989
Q73375,Q47924,P61,Q4923018
Q78637,Q38685,P61,Q4923774
Q63773,Q35299,P61,Q49253313
Q50833,Q18646,P61,Q4925461
Q78430,Q33949,P61,Q492998
Q73903,Q37241,P61,Q493659
Q73990,Q37373,P61,Q493692
Q78699,Q37361,P61,Q493702
Q78741,Q38813,P61,Q493723
Q78708,Q35962,P61,Q493736
Q130819,Q119157,P61,Q4938130
Q120965,Q109313,P61,Q4944281
Q124949,Q113289,P61,Q4945056
Q126848,Q115187,P61,Q494741
Q128984,Q117323,P61,Q4948190
Q50739,Q17504,P61,Q4949213
Q127193,Q115531,P61,Q4953965
Q124778,Q113119,P61,Q495530
Q123655,Q111998,P61,Q495540
Q51282,Q35359,P61,Q496421
Q141105,Q121292,P61,Q496569
Q68975,Q35746,P61,Q496846
Q128068,Q116407,P61,Q4971843
Q141107,Q121480,P61,Q497246
Q141154,Q127132,P61,Q497915
Q128101,Q53696,P61,Q497962
Q51277,Q35355,P61,Q498210
Q124696,Q113037,P61,Q4988446
Q136112,Q125434,P61,Q4994644
Q127225,Q115564,P61,Q4995102
Q130263,Q118602,P61,Q499807
Q123007,Q111352,P61,Q5003623
Q125551,Q113890,P61,Q50245499
Q125553,Q113892,P61,Q50245666
Q130305,Q118644,P61,Q503057
Q126274,Q114612,P61,Q50328853
Q68900,Q52509,P61,Q50345107
Q119873,Q108219,P61,Q50424355
Q121520,Q109868,P61,Q504276
Q128664,Q117003,P61,Q504543
Q128516,Q116855,P61,Q504624
Q131521,Q119858,P61,Q504632
Q125794,Q114131,P61,Q504792
Q125858,Q114195,P61,Q504905
Q135569,Q123847,P61,Q504932
Q125549,Q113888,P61,Q505005
Q125842,Q114179,P61,Q505011
Q124256,Q112598,P61,Q505020
Q125854,Q114191,P61,Q505249
Q121512,Q109860,P61,Q505630
Q123871,Q112212,P61,Q5056642
Q129080,Q117419,P61,Q506071
Q123822,Q112162,P61,Q506077
Q127090,Q115428,P61,Q506243
Q141083,Q121873,P61,Q506317
Q39842,Q24996,P61,Q50640691
Q128662,Q117001,P61,Q5066980
Q124198,Q112540,P61,Q506720
Q127438,Q115778,P61,Q507098
Q124218,Q112560,P61,Q507315
Q121116,Q109463,P61,Q508645
Q122844,Q111191,P61,Q508772
Q123895,Q112236,P61,Q509228
Q63701,Q42140,P61,Q509565
Q63788,Q35319,P61,Q51024
Q35351,Q24968,P61,Q51029
Q119221,Q107568,P61,Q510433
Q131766,Q120103,P61,Q510535
Q131479,Q119816,P61,Q51070711
Q123989,Q112330,P61,Q51077328
Q122194,Q110542,P61,Q510793
Q131641,Q119978,P61,Q510877
Q122556,Q110904,P61,Q51089044
Q128512,Q116851,P61,Q510937
Q123142,Q111487,P61,Q51094197
Q44575,Q22143,P61,Q51166560
Q62949,Q42056,P61,Q51166910
Q63989,Q45096,P61,Q51166964
Q124983,Q113322,P61,Q512593
Q147283,Q129213,P61,Q513118
Q124951,Q113291,P61,Q513564
Q126601,Q114941,P61,Q514671
Q139309,Q121273,P61,Q515160
Q120963,Q109311,P61,Q5152025
Q125201,Q113540,P61,Q51545726
Q131637,Q119974,P61,Q5155220
Q51808,Q42285,P61,Q51574508
Q143303,Q123239,P61,Q516503
Q131059,Q119398,P61,Q516524
Q43961,Q39725,P61,Q516646
Q122413,Q110762,P61,Q517158
Q143447,Q120926,P61,Q51719
Q128594,Q116933,P61,Q51720
Q127303,Q115641,P61,Q517489
Q122208,Q110556,P61,Q5186332
Q129607,Q117946,P61,Q51885879
Q122474,Q110822,P61,Q51886281
Q68233,Q52621,P61,Q51914910
Q63959,Q52249,P61,Q51914951
Q64022,Q52672,P61,Q51915087
Q126252,Q114590,P61,Q51919517
Q125355,Q113694,P61,Q5195139
Q126846,Q115185,P61,Q5196821
Q129669,Q118008,P61,Q5201
Q141046,Q125634,P61,Q520301
Q44591,Q22127,P61,Q52083748
Q130152,Q118492,P61,Q5213726
Q129760,Q118100,P61,Q52153839
Q129756,Q118096,P61,Q52153913
Q129567,Q117906,P61,Q5216054
Q123356,Q111701,P61,Q521669
Q129667,Q118006,P61,Q5220
Q52894,Q49637,P61,Q5227519
Q48169,Q20354,P61,Q5227536
Q48265,Q24502,P61,Q5227543
Q123288,Q111633,P61,Q523480
Q144457,Q121829,P61,Q524181
Q140918,Q122484,P61,Q52504190
Q121186,Q109533,P61,Q52555672
Q121188,Q109535,P61,Q52556307
Q130725,Q119063,P61,Q525747
Q125133,Q113472,P61,Q526095
Q127337,Q115676,P61,Q526100
Q130525,Q118864,P61,Q5261519
Q123298,Q111643,P61,Q526815
Q125413,Q113752,P61,Q526939
Q143789,Q124978,P61,Q527404
Q140953,Q125356,P61,Q527438
Q128478,Q116817,P61,Q527950
Q130649,Q118987,P61,Q528025
Q130505,Q118844,P61,Q5285007
Q121220,Q109567,P61,Q528627
Q129100,Q117439,P61,Q5286811
Q121900,Q110248,P61,Q529116
Q123645,Q111988,P61,Q5291302
Q143841,Q121043,P61,Q529141
Q124166,Q112508,P61,Q529220
Q122238,Q110586,P61,Q529685
Q122902,Q111249,P61,Q530398
Q128468,Q116807,P61,Q530631
Q129601,Q117940,P61,Q53117
Q128936,Q117275,P61,Q531805
Q128392,Q116731,P61,Q532159
Q51615,Q16137,P61,Q5325011
Q122890,Q111237,P61,Q5325617
Q123608,Q111955,P61,Q532703
Q121286,Q109632,P61,Q532749
Q130885,Q119224,P61,Q533305
Q128562,Q116901,P61,Q5342632
Q137514,Q121159,P61,Q53435
Q137039,Q121077,P61,Q53436
Q126040,Q114377,P61,Q53440
Q143684,Q122047,P61,Q53460
Q131688,Q120024,P61,Q5348035
Q136095,Q126113,P61,Q5349865
Q125583,Q113922,P61,Q535186
Q51640,Q16798,P61,Q5354510
Q51257,Q36202,P61,Q5357768
Q58415,Q47434,P61,Q5358097
Q129326,Q117666,P61,Q5358431
Q46688,Q15695,P61,Q5360455
Q46811,Q17563,P61,Q5361863
Q125491,Q113830,P61,Q53637650
Q143838,Q121997,P61,Q5363813
Q125571,Q113910,P61,Q536808
Q127921,Q116261,P61,Q536873
Q124732,Q113073,P61,Q536950
Q36178,Q20883,P61,Q5370435
Q124897,Q113237,P61,Q537046
Q78673,Q38777,P61,Q5371053
Q123621,Q111964,P61,Q537139
Q140923,Q122321,P61,Q537154
Q122403,Q110752,P61,Q5373015
Q126096,Q114433,P61,Q537501
Q122999,Q111344,P61,Q537554
Q47020,Q40132,P61,Q53764874
Q124077,Q112418,P61,Q538100
Q126266,Q114604,P61,Q5385899
Q147360,Q123093,P61,Q5389893
Q124009,Q112350,P61,Q539178
Q129368,Q117708,P61,Q5399506
Q128898,Q117237,P61,Q54010
Q125049,Q113388,P61,Q5402868
Q124314,Q112656,P61,Q54046
Q123272,Q111617,P61,Q540472
Q123977,Q112318,P61,Q54087509
Q122588,Q110936,P61,Q5408878
Q123516,Q111855,P61,Q54101575
Q122176,Q110524,P61,Q541420
Q125820,Q114157,P61,Q5415023
Q129623,Q117962,P61,Q54152086
Q129625,Q117964,P61,Q54152163
Q129627,Q117966,P61,Q54152207
Q129617,Q117956,P61,Q54152346
Q129629,Q117968,P61,Q54152355
Q129631,Q117970,P61,Q54152394
Q129635,Q117974,P61,Q54152403
Q123886,Q55931,P61,Q542017
Q128204,Q116543,P61,Q542064
Q124290,Q112632,P61,Q542672
Q127665,Q116004,P61,Q5429645
Q129272,Q117612,P61,Q543351
Q119803,Q108148,P61,Q5436533
Q128616,Q116955,P61,Q54367235
Q125810,Q114147,P61,Q54367626
Q119645,Q107990,P61,Q5437870
Q120019,Q108365,P61,Q5437875
Q119367,Q107714,P61,Q5437877
Q119038,Q107385,P61,Q5437878
Q119621,Q107966,P61,Q5437879
Q124462,Q112803,P61,Q544125
Q125439,Q113778,P61,Q5444703
Q131403,Q119740,P61,Q5444743
Q127711,Q116050,P61,Q5444850
Q130927,Q119266,P61,Q5444878
Q130689,Q119027,P61,Q54490499
Q126903,Q115241,P61,Q544924
Q127001,Q115340,P61,Q54495425
Q126999,Q115338,P61,Q54495435
Q123188,Q111533,P61,Q545470
Q130440,Q118780,P61,Q54553200
Q129042,Q117381,P61,Q546165
Q121317,Q109664,P61,Q546422
Q127897,Q116237,P61,Q546611
Q126717,Q115057,P61,Q547045
Q121455,Q109802,P61,Q5473026
Q121779,Q110126,P61,Q5473030
Q63683,Q42116,P61,Q54779334
Q143820,Q127104,P61,Q547869
Q125497,Q113836,P61,Q547970
Q128900,Q117239,P61,Q547974
Q122574,Q110922,P61,Q5483414
Q119869,Q108215,P61,Q54861377
Q119785,Q108130,P61,Q54861810
Q123848,Q112192,P61,Q54862125
Q119857,Q108203,P61,Q54862152
Q119915,Q108261,P61,Q54862156
Q119913,Q108259,P61,Q54862187
Q127107,Q115446,P61,Q54862188
Q123046,Q111392,P61,Q54862311
Q126991,Q115329,P61,Q54875078
Q120393,Q108740,P61,Q54875079
Q119651,Q107996,P61,Q54875138
Q121345,Q109692,P61,Q54875272
Q126536,Q114875,P61,Q5489781
Q131844,Q120181,P61,Q549489
Q36815,Q20882,P61,Q5499202
Q126663,Q115003,P61,Q5503576
Q126665,Q115005,P61,Q5503581
Q128482,Q116821,P61,Q550517
Q126514,Q114852,P61,Q5505326
Q124532,Q112873,P61,Q5506348
Q140902,Q120322,P61,Q550803
Q41888,Q24343,P61,Q5510023
Q131417,Q119754,P61,Q55100844
Q126844,Q115183,P61,Q5511691
Q128692,Q117031,P61,Q55132878
Q146516,Q126576,P61,Q551419
Q127833,Q116172,P61,Q551518
Q121500,Q109848,P61,Q55194431
Q68502,Q48016,P61,Q55217306
Q124045,Q112386,P61,Q5522117
Q143364,Q120404,P61,Q552234
Q153602,Q127511,P61,Q552286
Q143579,Q121501,P61,Q552686
Q130671,Q119009,P61,Q5527814
Q128638,Q116977,P61,Q553082
Q119227,Q107574,P61,Q553241
Q127645,Q115984,P61,Q553289
Q128612,Q116951,P61,Q55390938
Q125980,Q114317,P61,Q553919
Q128618,Q116957,P61,Q55399053
Q128620,Q116959,P61,Q55399331
Q128622,Q116961,P61,Q55399397
Q125896,Q114233,P61,Q55399574
Q124258,Q112600,P61,Q55399777
Q128602,Q116941,P61,Q55399949
Q44379,Q24907,P61,Q55407059
Q129394,Q117734,P61,Q55443033
Q57248,Q39954,P61,Q55522037
Q58529,Q38368,P61,Q55523198
Q68933,Q44871,P61,Q55528547
Q129000,Q117339,P61,Q5560905
Q123577,Q111923,P61,Q55613651
Q141132,Q126769,P61,Q5561994
Q68918,Q44851,P61,Q556250
Q121988,Q110336,P61,Q556405
Q124003,Q112344,P61,Q55656456
Q128458,Q116797,P61,Q55704469
Q129866,Q118206,P61,Q557101
Q128452,Q116791,P61,Q55713010
Q125423,Q113762,P61,Q55727680
Q125345,Q113684,P61,Q5574102
Q124590,Q112931,P61,Q5574208
Q122960,Q111306,P61,Q5576659
Q124842,Q113183,P61,Q558197
Q126450,Q114788,P61,Q5582251
Q122692,Q111039,P61,Q5582261
Q127454,Q115794,P61,Q5582327
Q128568,Q116907,P61,Q558299
Q122970,Q111316,P61,Q558303
Q121262,Q109609,P61,Q558533
Q124780,Q113121,P61,Q558536
Q124796,Q113137,P61,Q559247
Q140129,Q127800,P61,Q55973888
Q129934,Q118275,P61,Q55984259
Q127526,Q115866,P61,Q56006624
Q119751,Q108096,P61,Q560136
Q122956,Q111302,P61,Q560467
Q119600,Q107946,P61,Q56063287
Q130353,Q118692,P61,Q560751
Q124734,Q113075,P61,Q560809
Q127817,Q116156,P61,Q560939
Q143299,Q118679,P61,Q561182
Q127102,Q53680,P61,Q561490
Q129675,Q118014,P61,Q5615332
Q128192,Q116531,P61,Q56185505
Q125369,Q113708,P61,Q5621804
Q125283,Q113622,P61,Q56233044
Q123202,Q111547,P61,Q56235827
Q120337,Q108684,P61,Q56256343
Q130595,Q118934,P61,Q56258080
Q124760,Q113101,P61,Q56259225
Q130325,Q118664,P61,Q56259323
Q127474,Q115814,P61,Q5626087
Q131401,Q119738,P61,Q5626089
Q126484,Q114822,P61,Q5626091
Q123408,Q111753,P61,Q5626092
Q131670,Q120006,P61,Q56273555
Q131672,Q120008,P61,Q56273556
Q127957,Q116297,P61,Q56273569
Q127959,Q116299,P61,Q56273571
Q128060,Q116399,P61,Q56313106
Q148401,Q127858,P61,Q56314169
Q128642,Q116981,P61,Q563247
Q123462,Q111803,P61,Q56348593
Q123482,Q111823,P61,Q56348594
Q121791,Q110138,P61,Q56348903
Q122735,Q111081,P61,Q56348921
Q123476,Q111817,P61,Q56348923
Q123490,Q111831,P61,Q56348945
Q124596,Q112937,P61,Q56350738
Q126573,Q114913,P61,Q56350740
Q130058,Q118398,P61,Q56350798
Q124582,Q112923,P61,Q56350839
Q123510,Q111849,P61,Q56350896
Q126575,Q114915,P61,Q56350985
Q126577,Q114917,P61,Q56350992
Q121807,Q110154,P61,Q56351045
Q131351,Q119688,P61,Q56351204
Q127679,Q116018,P61,Q56351221
Q131365,Q119702,P61,Q56351770
Q131353,Q119690,P61,Q56351875
Q131355,Q119692,P61,Q56351884
Q120192,Q108540,P61,Q56356542
Q121018,Q109365,P61,Q56360676
Q127161,Q115500,P61,Q56367588
Q120605,Q108952,P61,Q5636805
Q120817,Q109165,P61,Q5636808
Q127867,Q116206,P61,Q56368082
Q124985,Q113324,P61,Q56370372
Q127029,Q115368,P61,Q5638717
Q131874,Q120211,P61,Q5639335
Q130521,Q118860,P61,Q56394485
Q127249,Q115588,P61,Q56400892
Q130383,Q118722,P61,Q5640455
Q120717,Q109065,P61,Q5640514
Q127251,Q115590,P61,Q56408713
Q125161,Q113500,P61,Q56408760
Q119072,Q107419,P61,Q5641027
Q119233,Q107580,P61,Q5641037
Q123214,Q111559,P61,Q56510596
Q128470,Q116809,P61,Q56527727
Q135864,Q125410,P61,Q5653357
Q121974,Q110322,P61,Q565438
Q120154,Q108502,P61,Q565522
Q141100,Q127608,P61,Q565737
Q128544,Q116883,P61,Q56598569
Q130623,Q118961,P61,Q566092
Q126522,Q114861,P61,Q5664519
Q130028,Q118368,P61,Q5664522
Q127731,Q116070,P61,Q5667335
Q141332,Q124088,P61,Q56682571
Q119052,Q107399,P61,Q5669725
Q119580,Q107926,P61,Q5670300
Q131369,Q119706,P61,Q56703593
Q130861,Q119199,P61,Q56703696
Q123013,Q111358,P61,Q5670642
Q130857,Q119195,P61,Q56721178
Q124346,Q112687,P61,Q56760455
Q123614,Q111960,P61,Q567641
Q119953,Q108299,P61,Q5678323
Q119937,Q108283,P61,Q5678326
Q119480,Q107826,P61,Q56808198
Q124588,Q112929,P61,Q568082
Q120847,Q109195,P61,Q5680831
Q119578,Q107924,P61,Q5686263
Q49013,Q38412,P61,Q569441
Q146653,Q126205,P61,Q569459
Q122989,Q111334,P61,Q570149
Q127703,Q116042,P61,Q57040059
Q120274,Q108622,P61,Q5709703
Q124005,Q112346,P61,Q571396
Q131714,Q120050,P61,Q571506
Q131389,Q119726,P61,Q57165039
Q131391,Q119728,P61,Q57165435
Q123623,Q111966,P61,Q571796
Q123616,Q111962,P61,Q571806
Q131860,Q120197,P61,Q5718788
Q147199,Q128045,P61,Q572023
Q127685,Q116024,P61,Q57203936
Q123464,Q111805,P61,Q5722303
Q127687,Q116026,P61,Q57241370
Q130843,Q119181,P61,Q57245026
Q129695,Q118034,P61,Q57262087
Q120709,Q109057,P61,Q5734733
