source_qid,target_qid,property_type,identifier
Q140411,Q121804,P61,Q4284808
Q127255,Q115594,P61,Q429927
Q128803,Q117143,P61,Q4301841
Q138607,Q121784,P61,Q4302750
Q143677,Q53612,P61,Q4305591
Q141108,Q127028,P61,Q4305604
Q129036,Q117375,P61,Q431133
Q124526,Q112867,P61,Q431172
Q129310,Q117650,P61,Q431642
Q128698,Q117037,P61,Q4331319
Q123094,Q111440,P61,Q4333747
Q130967,Q119306,P61,Q433390
Q123152,Q111497,P61,Q433440
Q128819,Q117159,P61,Q433941
Q128210,Q116549,P61,Q4340176
Q50731,Q17502,P61,Q434130
Q130042,Q118382,P61,Q434246
Q126218,Q114556,P61,Q4345753
Q131461,Q119798,P61,Q434632
Q139170,Q127004,P61,Q434760
Q125998,Q114335,P61,Q435942
Q128756,Q117095,P61,Q4364607
Q131623,Q119960,P61,Q4368350
Q125521,Q113860,P61,Q4368928
Q124374,Q112715,P61,Q437271
Q147183,Q121527,P61,Q437303
Q136836,Q123632,P61,Q437472
Q43807,Q17576,P61,Q437518
Q121607,Q109954,P61,Q437712
Q126915,Q115253,P61,Q437737
Q130295,Q118634,P61,Q437743
Q142397,Q124553,P61,Q437952
Q124324,Q112666,P61,Q438435
Q120166,Q108514,P61,Q438601
Q130124,Q118464,P61,Q438637
Q123931,Q112272,P61,Q4387970
Q125159,Q113498,P61,Q4387976
Q122204,Q110552,P61,Q4389775
Q122572,Q110920,P61,Q4389778
Q122074,Q110422,P61,Q4389784
Q130174,Q118514,P61,Q439060
Q123056,Q111402,P61,Q4393155
Q130188,Q118528,P61,Q4394904
Q126840,Q115179,P61,Q4396744
Q41472,Q20854,P61,Q439675
Q128832,Q117171,P61,Q4397022
Q40156,Q20962,P61,Q439717
Q125240,Q55747,P61,Q439897
Q121272,Q109619,P61,Q440385
Q123266,Q111611,P61,Q440574
Q127701,Q116040,P61,Q44059726
Q129146,Q117486,P61,Q4411619
Q121278,Q109624,P61,Q441547
Q127021,Q115360,P61,Q4416778
Q122292,Q110640,P61,Q441812
Q127843,Q116182,P61,Q4418392
Q129448,Q117788,P61,Q44191817
Q123675,Q112018,P61,Q442515
Q121956,Q110304,P61,Q442563
Q121437,Q109784,P61,Q443034
Q126092,Q114429,P61,Q44374810
Q129068,Q117407,P61,Q4439380
Q128722,Q117061,P61,Q4444807
Q129519,Q117858,P61,Q4446110
Q123088,Q111434,P61,Q4448472
Q129930,Q118271,P61,Q445094
Q124895,Q113235,P61,Q445107
Q124899,Q113239,P61,Q445183
Q120471,Q108818,P61,Q445398
Q120361,Q108708,P61,Q445432
Q122198,Q110546,P61,Q4457128
Q122184,Q110532,P61,Q4459324
Q123811,Q112150,P61,Q4459448
Q121339,Q109686,P61,Q4465188
Q130146,Q118486,P61,Q446730
Q126462,Q114800,P61,Q44682167
Q124562,Q112903,P61,Q4474948
Q122186,Q110534,P61,Q4475939
Q62856,Q47984,P61,Q4479380
Q63920,Q51937,P61,Q448018
Q58223,Q40047,P61,Q448078
Q62910,Q44831,P61,Q448104
Q143349,Q125582,P61,Q4490316
Q124710,Q113051,P61,Q4492860
Q123218,Q111563,P61,Q449527
Q122825,Q111171,P61,Q4497617
Q122032,Q110380,P61,Q4497668
Q122090,Q110438,P61,Q449846
Q122316,Q110664,P61,Q450377
Q141467,Q72236,P61,Q450708
Q120389,Q108736,P61,Q45108841
Q120783,Q109131,P61,Q45109056
Q124334,Q112676,P61,Q451195
Q129964,Q118305,P61,Q45123410
Q125836,Q114173,P61,Q451730
Q128780,Q117119,P61,Q451893
Q121463,Q109810,P61,Q452053
Q123883,Q112224,P61,Q452111
Q130601,Q118940,P61,Q452407
Q121315,Q109662,P61,Q452665
Q121150,Q109497,P61,Q452673
Q123124,Q111469,P61,Q452753
