property,qid,value,occurrences
P60,Q127083,67067864F10D41EFBBFB9822EF79916C4CDE,3
P60,Q130449,670534EEF1F081EFBBFA9822EF79916CB353,3
P60,Q33013,67051ADAA6BEC1EFBBFA9822EF79916C48B9,3
P60,Q33017,67051ADAD17C01EFBBFA9822EF79916C7167,2
P60,Q33021,67051ADAB735F1EFBBFA9822EF79916C0082,2
P60,Q33025,67051ADAE7F861EFBBFA9822EF79916C6383,2
P60,Q33033,67051ADA753121EFBBFA9822EF79916CEA1E,2
P60,Q33037,67051ADAA368C1EFBBFA9822EF79916CEFE3,2
P60,Q33041,67051ADAD4AA01EFBBFA9822EF79916CA285,2
P60,Q33045,67051ADA79BF21EFBBFA9822EF79916C7C68,2
P60,Q33049,67051ADA2972B1EFBBFA9822EF79916C6FF9,2
P60,Q33053,67051ADA181AF1EFBBFA9822EF79916C46E5,2
P60,Q33057,67051ADAD34621EFBBFA9822EF79916C5D6D,2
P60,Q33061,67051ADA72DD01EFBBFA9822EF79916C731E,2
P60,Q33065,67051ADA8F05B1EFBBFA9822EF79916C6812,2
P60,Q33069,67051ADA34F7D1EFBBFA9822EF79916C1F74,2
P60,Q33077,67051ADA793F71EFBBFA9822EF79916C4C08,2
P60,Q33081,67051ADAF32501EFBBFA9822EF79916C3C42,2
P60,Q33085,67051ADA8F85E1EFBBFA9822EF79916C1872,2
P60,Q33089,67051ADA59DC01EFBBFA9822EF79916C59E7,2
P60,Q33093,67051ADA1414A1EFBBFA9822EF79916CEC53,2
P60,Q33097,67051ADA2E1EC1EFBBFA9822EF79916C3039,2
P60,Q33101,67051ADBFE9681EFBBFA9822EF79916C39AE,2
P60,Q33105,67051ADBD999D1EFBBFA9822EF79916C6733,2
P60,Q33109,67051ADBF21881EFBBFA9822EF79916CAFB4,2
P60,Q33113,67051ADB82C1F1EFBBFA9822EF79916C5817,2
P60,Q33117,67166FCC748341EFBC0B9822EF79916CC546,2
P60,Q33121,67051ADB45E4B1EFBBFA9822EF79916CFE3C,2
P60,Q33125,67051ADBB4B201EFBBFA9822EF79916C8B6A,2
P60,Q33129,67051ADB19A721EFBBFA9822EF79916C05ED,2
P60,Q33133,67051ADB4A2171EFBBFA9822EF79916C0097,2
P60,Q33137,67051ADB496AB1EFBBFA9822EF79916C882E,2
P60,Q33141,67051ADB690991EFBBFA9822EF79916C2743,2
P60,Q33145,67051ADB39C401EFBBFA9822EF79916C226C,2
P60,Q33149,67051ADBBF5071EFBBFA9822EF79916CA418,2
P60,Q33153,67051ADB658791EFBBFA9822EF79916CA17D,2
P60,Q33157,67051ADB284F31EFBBFA9822EF79916CCC79,2
P60,Q33165,67051ADBFE16D1EFBBFA9822EF79916C094E,2
P60,Q33169,67051ADB54EFD1EFBBFA9822EF79916C38A9,2
P60,Q33177,67051ADB4564E1EFBBFA9822EF79916CAE9C,2
P60,Q33181,67051ADBDEF5A1EFBBFA9822EF79916C9883,2
P60,Q33185,67051ADB8C4DD1EFBBFA9822EF79916CCE53,2
P60,Q57199,67051ADB8E6D01EFBBFA9822EF79916C20AB,3
P60,Q65236,67060BBED2CCB1EFBBFA9822EF79916C4894,4
P60,Q65237,671E3140A71901EFBC189822EF79916C99EF,2
P60,Q65239,67060BBE9F0411EFBBFA9822EF79916CAD58,4
P60,Q65240,671E31407140E1EFBC189822EF79916C6AD4,2
P60,Q67668,6718AF9FF60001EFBC119822EF79916C9FBC,4
P60,Q67669,66F29409FFE901EFBBE49822EF79916C8B86,2
P60,Q67671,670678644187F1EFBBFB9822EF79916CC6BC,4
P60,Q67672,671E3143BD3F81EFBC189822EF79916C58C0,2
P61,Q10002,Q24901021,4
P61,Q10003,Q22131457,4
P61,Q10004,Q22126741,4
P61,Q10005,Q11623139,4
P61,Q10007,Q11623183,4
P61,Q10008,Q11623178,4
P61,Q10009,Q106434980,4
P61,Q10012,Q109328760,4
P61,Q10018,Q106357941,4
P61,Q10019,Q106359563,4
P61,Q10020,Q106458930,4
P61,Q10022,Q106493761,4
P61,Q10023,Q11564331,4
P61,Q10024,Q17214096,4
P61,Q10025,Q106358188,4
P61,Q10026,Q18235612,4
P61,Q10027,Q22130893,4
P61,Q10028,Q11563989,4
P61,Q10031,Q106374634,4
P61,Q10032,Q106374672,4
P61,Q10033,Q106448627,4
P61,Q10034,Q110206272,4
P61,Q10035,Q108894027,4
P61,Q10038,Q106374186,4
P61,Q10039,Q24898903,4
P61,Q10041,Q17218735,4
P61,Q10045,Q11623292,4
P61,Q10046,Q11512257,4
P61,Q10052,Q11483479,4
P61,Q10053,Q89521260,4
P61,Q10054,Q11482761,4
P61,Q10057,Q11388730,4
P61,Q10058,Q11388749,4
P61,Q10059,Q106418907,4
P61,Q10060,Q81968233,4
P61,Q10063,Q11483420,4
P61,Q10067,Q11483419,4
P61,Q10069,Q11483148,4
P61,Q10072,Q11482081,4
P61,Q10074,Q5098972,4
P61,Q10086,Q11356539,4
P61,Q10087,Q11356483,4
P61,Q10089,Q11472979,4
P61,Q10091,Q11356542,4
P61,Q10093,Q11434159,4
P61,Q10094,Q90866712,4
P61,Q10101,Q11564221,4
P61,Q10104,Q11386297,4
P61,Q10107,Q11564122,4
P61,Q10110,Q11596156,4
P61,Q10111,Q11596154,4
P61,Q10112,Q11551124,4
P61,Q10114,Q11561779,4
P61,Q10122,Q110220105,4
P61,Q10125,Q106359554,4
P61,Q10126,Q106359576,4
P61,Q10127,Q108692554,4
P61,Q10128,Q11564106,4
P61,Q10137,Q11623538,4
P61,Q10139,Q106358982,4
P61,Q10141,Q11630345,4
P61,Q10143,Q11564066,4
P61,Q10144,Q110564950,4
P61,Q10146,Q109333509,4
P61,Q10147,Q109333533,4
P61,Q10156,Q11382379,4
P61,Q10161,Q11623647,4
P61,Q10162,Q15838912,4
P61,Q10165,Q11623338,4
P61,Q10169,Q382633,4
P61,Q10170,Q11564042,4
P61,Q10171,Q17214009,4
P61,Q10174,Q106449081,4
P61,Q10178,Q109288088,4
P61,Q10179,Q109928750,4
P61,Q10180,Q109928762,4
P61,Q10182,Q22125080,4
P61,Q10184,Q106443985,4
P61,Q10190,Q11544214,4
P61,Q10191,Q108671861,4
P61,Q10192,Q5507545,4
P61,Q10196,Q175936,4
P61,Q10198,Q11560521,4
P61,Q10199,Q106407998,4
P61,Q10201,Q110571243,4
P61,Q10203,Q11623224,4
P61,Q10204,Q11623449,4
P61,Q10205,Q11623180,4
P61,Q10206,Q108656462,4
P61,Q10209,Q105711278,4
P61,Q10213,Q3090620,4
P61,Q10214,Q29410913,4
P61,Q10216,Q11623175,4
P61,Q10218,Q108657235,4
P61,Q10219,Q109918765,4
P61,Q10220,Q109918773,4
P61,Q10222,Q17212841,4
P61,Q10223,Q18123753,4
P61,Q10224,Q106399370,4
P61,Q10226,Q11623569,4
P61,Q10232,Q106443585,4
P61,Q10235,Q11623225,4
P61,Q10236,Q22125014,4
P61,Q10237,Q100454117,4
P61,Q10238,Q11623221,4
P61,Q10242,Q11630320,4
P61,Q10245,Q109333488,4
P61,Q10254,Q106374986,4
P61,Q10256,Q106451988,4
P61,Q10259,Q106449107,4
P61,Q10261,Q106463464,4
P61,Q10263,Q110210732,4
P61,Q10266,Q11623189,4
