property,qid,value,occurrences
P61,Q10267,Q923640,4
P61,Q10269,Q11623460,4
P61,Q10271,Q11623257,4
P61,Q10275,Q110211000,4
P61,Q10278,Q11121964,4
P61,Q10282,Q11623155,4
P61,Q10283,Q11623223,4
P61,Q10284,Q535609,4
P61,Q10285,Q11623128,4
P61,Q10286,Q11623164,4
P61,Q10287,Q11623073,4
P61,Q10289,Q106459405,4
P61,Q10291,Q109774756,4
P61,Q10292,Q24862202,4
P61,Q10295,Q106446795,4
P61,Q10296,Q106446926,4
P61,Q10297,Q106450108,4
P61,Q10298,Q106450160,4
P61,Q10299,Q109748818,4
P61,Q10300,Q109774634,4
P61,Q10301,Q110582515,4
P61,Q10302,Q109774735,4
P61,Q10303,Q11564041,4
P61,Q10306,Q110749090,4
P61,Q10310,Q106363395,4
P61,Q10311,Q4868,4
P61,Q10312,Q464267,4
P61,Q10317,Q11564372,4
P61,Q10318,Q106445733,4
P61,Q10319,Q106445748,4
P61,Q10324,Q106450780,4
P61,Q10327,Q11564336,4
P61,Q10328,Q11564371,4
P61,Q10335,Q3513977,4
P61,Q10336,Q11360113,4
P61,Q10351,Q11564053,4
P61,Q10360,Q106373918,4
P61,Q10363,Q11564072,4
P61,Q10364,Q11564068,4
P61,Q10365,Q11564065,4
P61,Q10366,Q9385137,4
P61,Q10367,Q11564108,4
P61,Q10370,Q10395954,4
P61,Q10371,Q95162020,4
P61,Q10379,Q934255,4
P61,Q10385,Q106470819,4
P61,Q10386,Q106462751,4
P61,Q10390,Q11564317,4
P61,Q10393,Q11623568,4
P61,Q10394,Q108656014,4
P61,Q10398,Q106306957,4
P61,Q10401,Q109333399,4
P61,Q10402,Q109333470,4
P61,Q10403,Q109333693,4
P61,Q10407,Q106458921,4
P61,Q10410,Q124483480,4
P61,Q10411,Q11564244,4
P61,Q10412,Q17216077,4
P61,Q10413,Q11623462,4
P61,Q10416,Q15839249,4
P61,Q10434,Q106472401,4
P61,Q10437,Q497878,4
P61,Q10438,Q497911,4
P61,Q10439,Q16163275,4
P61,Q10443,Q55177795,4
P61,Q10444,Q66828383,4
P61,Q10445,Q11623020,4
P61,Q10446,Q106435810,4
P61,Q10450,Q109713611,4
P61,Q10454,Q11623030,4
P61,Q10455,Q106542273,4
P61,Q10458,Q11605021,4
P61,Q10460,Q108930642,4
P61,Q10461,Q110206488,4
P61,Q10464,Q109855918,4
P61,Q10465,Q32613,4
P61,Q10466,Q11564276,4
P61,Q10467,Q3083118,4
P61,Q10468,Q11554262,4
P61,Q10469,Q11491411,4
P61,Q10470,Q24876040,4
P61,Q10476,Q11563983,4
P61,Q10477,Q11564113,4
P61,Q10478,Q11564036,4
P61,Q10479,Q11564347,4
P61,Q10481,Q106451252,4
P61,Q10484,Q110382414,4
P61,Q10489,Q11564311,4
P61,Q10491,Q11623393,4
P61,Q10492,Q11623397,4
P61,Q10493,Q11623648,4
P61,Q10494,Q11623613,4
P61,Q10496,Q108656556,4
P61,Q10498,Q11623412,4
P61,Q10500,Q11457465,4
P61,Q10501,Q106399433,4
P61,Q10504,Q106460553,4
P61,Q10509,Q106470842,4
P61,Q10516,Q11623329,4
P61,Q10517,Q11623335,4
P61,Q10519,Q106472287,4
P61,Q10523,Q11623359,4
P61,Q10524,Q79734299,4
P61,Q10525,Q11564323,4
P61,Q10527,Q108657010,4
P61,Q10528,Q18235605,4
P61,Q10530,Q106448661,4
P61,Q10531,Q95162404,4
P61,Q10534,Q110205155,4
P61,Q10537,Q106485280,4
P61,Q10538,Q110904637,4
P61,Q10548,Q62085543,4
P61,Q10554,Q106386781,4
P61,Q10557,Q7676359,4
P61,Q10558,Q11613228,4
P61,Q10563,Q81968136,4
P61,Q10567,Q11483415,4
P61,Q10568,Q62601460,4
P61,Q10570,Q11482780,4
P61,Q10571,Q3083805,4
P61,Q10572,Q106419163,4
P61,Q10573,Q106419341,4
P61,Q10576,Q11468747,4
P61,Q10578,Q5360232,4
P61,Q10581,Q3090625,4
P61,Q10586,Q11482915,4
P61,Q10591,Q11553998,4
P61,Q10593,Q106583062,4
P61,Q10595,Q11391784,4
P61,Q10601,Q532301,4
P61,Q10602,Q11577620,4
P61,Q10604,Q11564062,4
P61,Q10606,Q310445,4
P61,Q10607,Q3142238,4
P61,Q10608,Q6863150,4
P61,Q10609,Q988170,4
P61,Q10610,Q11564280,4
P61,Q10611,Q11609929,4
P61,Q10613,Q11370700,4
P61,Q10614,Q11439346,4
P61,Q10615,Q106595994,4
P61,Q10617,Q174249,4
P61,Q10619,Q11355364,4
P61,Q10623,Q11356551,4
P61,Q10625,Q11356353,4
P61,Q10626,Q11356550,4
P61,Q10627,Q11584304,4
P61,Q10632,Q115112061,4
P61,Q10635,Q11383112,4
P61,Q10636,Q110832137,4
P61,Q10642,Q76970419,4
P61,Q10644,Q3564968,4
P61,Q10645,Q55541014,4
P61,Q10646,Q60989847,4
P61,Q10648,Q118748423,4
P61,Q10650,Q3128268,4
P61,Q10656,Q11555480,4
P61,Q10657,Q11585689,4
P61,Q10670,Q3048187,4
P61,Q10673,Q11561787,4
P61,Q10687,Q106409523,4
P61,Q10698,Q11457508,4
P61,Q10699,Q106460566,4
P61,Q10703,Q106410472,4
P61,Q10704,Q11623630,4
P61,Q10705,Q109955193,4
P61,Q10706,Q109955279,4
P61,Q10710,Q11457481,4
P61,Q10712,Q11382364,4
P61,Q10716,Q11623617,4
P61,Q10719,Q15839290,4
P61,Q10724,Q3482650,4
P61,Q10727,Q106444024,4
P61,Q10728,Q106444043,4
P61,Q10729,Q106445716,4
P61,Q10732,Q106449260,4
P61,Q10734,Q110904856,4
P61,Q10739,Q11623146,4
P61,Q10740,Q47470126,4
P61,Q10743,Q3090656,4
P61,Q10751,Q11482284,4
P61,Q10752,Q22126722,4
P61,Q10757,Q11623076,4
P61,Q10762,Q109928539,4
P61,Q10763,Q106520337,4
P61,Q10764,Q109928552,4
P61,Q10765,Q109928833,4
P61,Q10768,Q106368136,4
P61,Q10769,Q11623619,4
P61,Q10770,Q11623187,4
P61,Q10771,Q723243,4
P61,Q10772,Q106444584,4
P61,Q10773,Q106460272,4
P61,Q10777,Q29410915,4
P61,Q10779,Q106364810,4
P61,Q10780,Q10514091,4
P61,Q10781,Q10514083,4
P61,Q10782,Q11623039,4
P61,Q10783,Q11623013,4
P61,Q10790,Q66364961,4
P61,Q10796,Q11564045,4
P61,Q10797,Q24860973,4
P61,Q10799,Q11564040,4
P61,Q10800,Q106458821,4
P61,Q10801,Q11623195,4
P61,Q10802,Q11564034,4
P61,Q10804,Q11623464,4
P61,Q10810,Q28689997,4
P61,Q10811,Q11391648,4
P61,Q10814,Q11637632,4
P61,Q10816,Q349284,4
P61,Q10818,Q11623253,4
P61,Q10821,Q718939,4
P61,Q10823,Q11623200,4
P61,Q10824,Q106459857,4
P61,Q10825,Q106458498,4
P61,Q10830,Q22123836,4
P61,Q10831,Q11623461,4
P61,Q10837,Q106449436,4
P61,Q10840,Q11623289,4
P61,Q10841,Q11659573,4
P61,Q10843,Q106459722,4
P61,Q10846,Q24862166,4
P61,Q10849,Q11623163,4
P61,Q10850,Q106399074,4
P61,Q10854,Q17215874,4
P61,Q10855,Q11623024,4
P61,Q10859,Q106448370,4
P61,Q10871,Q11623459,4
P61,Q10874,Q900258,4
P61,Q10882,Q281833,4
P61,Q10883,Q349287,4
P61,Q10890,Q110753017,4
P61,Q10892,Q11659572,4
P61,Q10893,Q535920,4
P61,Q10895,Q11061237,4
P61,Q10896,Q106472140,4
P61,Q10897,Q11088241,4
P61,Q10898,Q106495426,4
P61,Q10903,Q108124363,4
P61,Q10905,Q1354407,4
P61,Q10906,Q197659,4
P61,Q10907,Q1083379,4
P61,Q10908,Q17217053,4
P61,Q10910,Q11564089,4
P61,Q10924,Q11623145,4
P61,Q10942,Q5507535,4
P61,Q10946,Q11564370,4
P61,Q10947,Q110746128,4
P61,Q10948,Q110746135,4
P61,Q10949,Q110750124,4
P61,Q10950,Q110751174,4
P61,Q10951,Q11387958,4
P61,Q10952,Q110751222,4
P61,Q10956,Q11623067,4
P61,Q10960,Q11372485,4
P61,Q10962,Q378425,4
P61,Q10963,Q11623278,4
P61,Q10970,Q1679717,4
P61,Q10971,Q11489577,4
P61,Q10972,Q5507524,4
P61,Q10974,Q3530487,4
P61,Q10975,Q5368838,4
P61,Q10978,Q11623620,4
P61,Q10979,Q18234930,4
P61,Q10980,Q11414052,4
P61,Q10982,Q11623649,4
P61,Q10983,Q11623070,4
P61,Q10985,Q11623283,4
P61,Q10994,Q11367816,4
P61,Q10995,Q11564316,4
P61,Q10996,Q1936219,4
P61,Q10997,Q3198274,4
P61,Q10998,Q11423476,4
P61,Q11000,Q22129789,4
P61,Q11008,Q108179573,4
P61,Q11014,Q109333444,4
P61,Q11019,Q29972024,4
P61,Q11020,Q15839250,4
P61,Q11021,Q110752935,4
P61,Q11025,Q22126650,4
P61,Q11026,Q83626132,4
P61,Q11036,Q16441958,4
P61,Q11037,Q110750959,4
P61,Q11038,Q497846,4
P61,Q11039,Q28523311,4
P61,Q11040,Q497959,4
P61,Q11041,Q498134,4
P61,Q11042,Q716548,4
P61,Q11045,Q92924443,4
P61,Q11046,Q109287837,4
P61,Q11047,Q109287839,4
P61,Q11048,Q110393889,4
P61,Q11055,Q109860221,4
P61,Q11056,Q316658,4
P61,Q11058,Q111283053,4
P61,Q11062,Q102247003,4
P61,Q11063,Q106418971,4
P61,Q11064,Q11564254,4
P61,Q11065,Q11564282,4
P61,Q11066,Q11564260,4
P61,Q11067,Q11564275,4
P61,Q11068,Q11564263,4
P61,Q11069,Q3314719,4
P61,Q11072,Q1381638,4
P61,Q11073,Q110393820,4
P61,Q11082,Q11564265,4
P61,Q11083,Q6863154,4
P61,Q11084,Q11564234,4
P61,Q11087,Q11554276,4
P61,Q11088,Q24876047,4
P61,Q11098,Q106408983,4
P61,Q11099,Q164948,4
P61,Q11100,Q11564361,4
P61,Q11102,Q110051590,4
P61,Q11103,Q11564300,4
P61,Q11105,Q11564035,4
P61,Q11107,Q95162433,4
P61,Q11111,Q110382724,4
P61,Q11112,Q11564126,4
P61,Q11116,Q11564001,4
P61,Q11119,Q11623344,4
P61,Q11121,Q106476812,4
P61,Q11122,Q106472907,4
P61,Q11123,Q106481403,4
P61,Q11124,Q106481405,4
P61,Q11125,Q106481347,4
P61,Q11126,Q106541781,4
P61,Q11127,Q109917905,4
P61,Q11128,Q109919045,4
P61,Q11131,Q106458132,4
P61,Q11137,Q17220079,4
P61,Q11138,Q109123329,4
P61,Q11139,Q11623602,4
P61,Q11140,Q11406804,4
P61,Q11144,Q11611909,4
P61,Q11145,Q11623413,4
P61,Q11146,Q11623466,4
P61,Q11155,Q11623623,4
P61,Q11160,Q106485335,4
P61,Q11163,Q109834641,4
P61,Q11171,Q11564326,4
P61,Q11172,Q11564324,4
P61,Q11173,Q106615911,4
P61,Q11174,Q106458988,4
P61,Q11178,Q11564233,4
P61,Q11181,Q110904715,4
P61,Q11182,Q106485308,4
P61,Q11189,Q732097,4
P61,Q11197,Q11406057,4
P61,Q11198,Q24864441,4
P61,Q11199,Q11380521,4
P61,Q11201,Q11360038,4
P61,Q11208,Q81968095,4
P61,Q11210,Q11482426,4
P61,Q11211,Q11483416,4
P61,Q11212,Q11483428,4
P61,Q11215,Q11552221,4
P61,Q11216,Q106490376,4
P61,Q11219,Q11060997,4
P61,Q11220,Q11061301,4
P61,Q11221,Q713107,4
P61,Q11224,Q106543422,4
P61,Q11225,Q110934656,4
P61,Q11228,Q11673215,4
P61,Q11229,Q11560511,4
P61,Q11230,Q6418987,4
P61,Q11231,Q106589750,4
P61,Q11232,Q106589778,4
P61,Q11233,Q22126841,4
P61,Q11234,Q22131466,4
P61,Q11236,Q106772266,4
P61,Q11242,Q3090682,4
P61,Q11244,Q11623654,4
P61,Q11250,Q3473845,4
P61,Q11252,Q11466765,4
P61,Q11253,Q11515406,4
P61,Q11254,Q11515401,4
P61,Q11258,Q11657522,4
P61,Q11261,Q110407439,4
P61,Q11262,Q867354,4
P61,Q11264,Q11391665,4
P61,Q11265,Q11623142,4
P61,Q11271,Q11564061,4
P61,Q11273,Q11657997,5
P61,Q11275,Q119926797,4
P61,Q11276,Q11643412,4
P61,Q11277,Q3088217,4
P61,Q11279,Q109336291,4
P61,Q11280,Q11365705,4
P61,Q11282,Q113567865,4
P61,Q11288,Q11380780,4
P61,Q11290,Q498616,4
P61,Q11293,Q6863145,4
P61,Q11294,Q497557,4
P61,Q11296,Q11535661,4
P61,Q11303,Q109288436,4
P61,Q11305,Q110156658,4
P61,Q11311,Q11356511,4
P61,Q11312,Q11423359,4
P61,Q11314,Q11406703,4
P61,Q11317,Q7427024,4
P61,Q11327,Q11417996,4
P61,Q11328,Q3609194,4
P61,Q11329,Q60989920,4
P61,Q11330,Q113567882,4
P61,Q11336,Q7079829,4
P61,Q11337,Q11408506,4
P61,Q113389,Q334861,2
P61,Q11343,Q11578700,4
P61,Q11344,Q3128270,4
P61,Q11350,Q11569544,4
P61,Q11352,Q11555497,4
P61,Q11357,Q11554112,4
P61,Q11360,Q11564279,4
P61,Q113612,Q145718,2
P61,Q11362,Q11541903,4
P61,Q11364,Q11406730,4
P61,Q11366,Q11621006,4
P61,Q113661,Q6,2
P61,Q11368,Q11551081,4
P61,Q11372,Q7424985,4
P61,Q11373,Q4806168,4
P61,Q11377,Q11544273,4
P61,Q11379,Q6863147,4
P61,Q11386,Q17214160,4
P61,Q11389,Q11564123,4
P61,Q11392,Q110940297,4
P61,Q11394,Q11382323,4
P61,Q11396,Q11623147,4
P61,Q11401,Q20040841,4
P61,Q11402,Q11674954,4
P61,Q11405,Q11623167,4
P61,Q11406,Q17214218,4
P61,Q11412,Q106408814,4
P61,Q11415,Q119929031,4
P61,Q11418,Q106465785,4
P61,Q11426,Q479780,4
P61,Q11428,Q27920474,4
P61,Q114318,Q62394052,2
P61,Q11432,Q1379947,4
P61,Q11435,Q11080166,4
P61,Q11436,Q106472920,4
P61,Q11438,Q11623191,4
P61,Q11439,Q11623201,4
P61,Q11440,Q11623042,4
P61,Q11442,Q835807,4
P61,Q11444,Q11623144,4
P61,Q11448,Q11355819,4
P61,Q11449,Q29410916,4
P61,Q11450,Q11623587,4
P61,Q11452,Q11489586,4
P61,Q11454,Q106460744,4
P61,Q11456,Q106447908,4
P61,Q11457,Q106473017,4
P61,Q11461,Q106466064,4
P61,Q11474,Q11449773,4
P61,Q11480,Q317984,4
P61,Q11483,Q373997,4
P61,Q11491,Q1215301,4
P61,Q11496,Q718947,4
P61,Q11499,Q11623281,4
P61,Q11501,Q106559912,4
P61,Q11504,Q11623644,4
P61,Q11515,Q7223080,4
P61,Q11516,Q106559882,4
P61,Q11519,Q11623264,4
P61,Q11521,Q106463391,4
P61,Q11522,Q106509288,4
P61,Q11523,Q106509182,4
P61,Q11524,Q110751082,4
P61,Q11526,Q11623589,4
P61,Q11532,Q5507541,4
P61,Q11534,Q11410733,4
P61,Q11537,Q5507528,4
P61,Q11543,Q22130669,4
P61,Q11544,Q106485436,4
P61,Q11545,Q3379244,4
P61,Q11548,Q3315855,4
P61,Q11550,Q2420085,4
P61,Q11551,Q736706,4
P61,Q11552,Q710537,4
P61,Q11565,Q11630328,4
P61,Q11568,Q11665943,4
P61,Q11573,Q2284163,4
P61,Q11574,Q6863161,4
P61,Q11575,Q711600,4
P61,Q11576,Q5507533,4
P61,Q11581,Q5507513,4
P61,Q11584,Q715993,4
P61,Q11587,Q7137236,4
P61,Q11588,Q367538,4
P61,Q11589,Q106538851,4
P61,Q11598,Q3299366,4
P61,Q11600,Q11531533,4
P61,Q11610,Q15838937,4
P61,Q11617,Q22131409,4
P61,Q11618,Q3464635,4
P61,Q11625,Q11564987,4
P61,Q11631,Q11564014,4
P61,Q11633,Q11623068,4
P61,Q11640,Q73539,4
P61,Q11647,Q11363191,4
P61,Q11649,Q1941666,4
P61,Q11654,Q2245281,4
P61,Q11655,Q22126915,4
P61,Q11657,Q535938,4
P61,Q11658,Q11623065,4
P61,Q11662,Q106461003,4
P61,Q11663,Q3090680,4
P61,Q11665,Q11623160,4
P61,Q11673,Q11489574,4
P61,Q11682,Q22127063,4
P61,Q11683,Q106491220,4
P61,Q11691,Q11371660,4
P61,Q11693,Q105711180,4
P61,Q11705,Q106477674,4
P61,Q11706,Q106504323,4
P61,Q11707,Q11623069,4
P61,Q11708,Q11623165,4
P61,Q11709,Q106518267,4
P61,Q11715,Q11483021,4
P61,Q11716,Q11061157,4
P61,Q11717,Q11483220,4
P61,Q11718,Q11623229,4
P61,Q11722,Q11623444,4
P61,Q11723,Q11564038,4
P61,Q11724,Q1139202,4
P61,Q11727,Q20041470,4
P61,Q11729,Q18234191,4
P61,Q11737,Q18235282,4
P61,Q11741,Q65281338,4
P61,Q11744,Q11564337,4
P61,Q11745,Q629811,4
P61,Q11746,Q11369386,4
P61,Q11747,Q11369385,4
P61,Q11753,Q11599269,4
P61,Q11755,Q17215867,4
P61,Q11756,Q28689375,4
P61,Q11764,Q11452827,4
P61,Q11765,Q17211062,4
P61,Q11772,Q106471963,4
P61,Q11775,Q11636783,4
P61,Q11776,Q81000525,4
P61,Q11781,Q357261,4
P61,Q11785,Q6790050,4
P61,Q11786,Q16261481,4
P61,Q11787,Q12589821,4
P61,Q11788,Q497983,4
P61,Q11789,Q498007,4
P61,Q11790,Q8016915,4
P61,Q11793,Q97613638,4
P61,Q11795,Q109918801,4
P61,Q11796,Q109929248,4
P61,Q11797,Q18459624,4
P61,Q11798,Q109928091,4
P61,Q11802,Q316651,4
P61,Q11807,Q106559044,4
P61,Q11808,Q11371023,4
P61,Q11810,Q357269,4
P61,Q11811,Q357249,4
P61,Q11819,Q311478,4
P61,Q11820,Q3192646,4
P61,Q11821,Q109856039,4
P61,Q11822,Q11564367,4
P61,Q11823,Q11564257,4
P61,Q118255,Q2745448,3
P61,Q118257,Q128701,3
P61,Q11826,Q11564284,4
P61,Q118262,Q4705507,2
P61,Q11828,Q11564250,4
P61,Q11830,Q1306541,4
P61,Q11832,Q11564049,4
P61,Q11839,Q2376525,4
P61,Q118403,Q234234,2
P61,Q118429,Q2351549,3
P61,Q11845,Q1339356,4
P61,Q11847,Q11564248,4
P61,Q11849,Q106608631,4
P61,Q11850,Q109323922,4
P61,Q11851,Q11564205,4
P61,Q11853,Q11451109,4
P61,Q11857,Q11554270,4
P61,Q118603,Q6751540,2
P61,Q11861,Q11564343,4
P61,Q11862,Q11564082,4
P61,Q118679,Q561182,2
P61,Q11868,Q11564105,4
P61,Q11869,Q6863140,4
P61,Q11871,Q11430987,4
P61,Q11872,Q11430986,4
P61,Q118743,Q382339,3
P61,Q11877,Q11564118,4
P61,Q11878,Q11427836,4
P61,Q11879,Q11564003,4
P61,Q11880,Q11564012,4
P61,Q11882,Q11623343,4
P61,Q11885,Q11390334,4
P61,Q11896,Q17220074,4
P61,Q11897,Q11623532,4
P61,Q11899,Q11623641,4
P61,Q11901,Q109124539,4
P61,Q11907,Q11623576,4
P61,Q11911,Q11623382,4
P61,Q11915,Q11623170,4
P61,Q11917,Q119927352,4
P61,Q11920,Q512934,4
P61,Q11922,Q109855377,4
P61,Q11927,Q11564325,4
P61,Q11928,Q11564327,4
P61,Q11929,Q11621129,4
P61,Q11930,Q11623544,4
P61,Q11932,Q11563984,4
P61,Q11939,Q11644663,4
P61,Q11940,Q11467619,4
P61,Q11941,Q11503761,4
P61,Q11947,Q11482083,4
P61,Q11952,Q11420568,4
P61,Q11957,Q119381106,4
P61,Q11958,Q11483140,4
P61,Q11959,Q105711187,4
P61,Q11963,Q11482412,4
P61,Q11965,Q7676363,4
P61,Q11966,Q111804168,4
P61,Q11967,Q11449776,4
P61,Q11968,Q1284479,4
P61,Q11971,Q1189315,4
P61,Q11978,Q106493716,4
P61,Q11979,Q11482080,4
P61,Q11980,Q11483260,4
P61,Q11983,Q105711183,4
P61,Q11985,Q106616165,4
P61,Q11992,Q11383483,4
P61,Q11997,Q22125626,4
P61,Q12003,Q119929681,4
P61,Q12006,Q11378131,4
P61,Q12009,Q11368515,4
P61,Q12013,Q11570336,4
P61,Q12020,Q114236918,4
P61,Q12022,Q11447372,4
P61,Q12023,Q11380627,4
P61,Q12039,Q119381201,4
P61,Q12042,Q11588495,4
P61,Q12063,Q5507534,4
P61,Q12064,Q47470135,4
P61,Q12065,Q3464638,4
P61,Q12066,Q11615298,4
P61,Q12069,Q11615288,4
P61,Q12072,Q11588023,4
P61,Q12074,Q11564124,4
P61,Q12076,Q2087778,4
