# Redirect table refreshed on 2025-08-25T00:22:23.362085
"# Total redirects: 41,822"
""
source_qid,target_qid,claim_id,claim_type
Q16251,Q30971,Q16251_redirect_Q30971,redirect
Q16402,Q46636,Q16402_redirect_Q46636,redirect
Q16405,Q46652,Q16405_redirect_Q46652,redirect
Q16408,Q46664,Q16408_redirect_Q46664,redirect
Q16411,Q46672,Q16411_redirect_Q46672,redirect
Q16527,Q28520,Q16527_redirect_Q28520,redirect
Q16545,Q26419,Q16545_redirect_Q26419,redirect
Q16546,Q26421,Q16546_redirect_Q26421,redirect
Q16548,Q26424,Q16548_redirect_Q26424,redirect
Q16549,Q26427,Q16549_redirect_Q26427,redirect
Q16550,Q26430,Q16550_redirect_Q26430,redirect
Q16552,Q26433,Q16552_redirect_Q26433,redirect
Q16554,Q26436,Q16554_redirect_Q26436,redirect
Q16555,Q26439,Q16555_redirect_Q26439,redirect
Q16560,Q26442,Q16560_redirect_Q26442,redirect
Q16561,Q26445,Q16561_redirect_Q26445,redirect
Q16564,Q26448,Q16564_redirect_Q26448,redirect
Q16565,Q26451,Q16565_redirect_Q26451,redirect
Q16566,Q26454,Q16566_redirect_Q26454,redirect
Q16570,Q26457,Q16570_redirect_Q26457,redirect
Q16572,Q26460,Q16572_redirect_Q26460,redirect
Q16575,Q26466,Q16575_redirect_Q26466,redirect
Q16576,Q26469,Q16576_redirect_Q26469,redirect
Q16578,Q26475,Q16578_redirect_Q26475,redirect
Q16582,Q26478,Q16582_redirect_Q26478,redirect
Q16583,Q26481,Q16583_redirect_Q26481,redirect
Q16589,Q26487,Q16589_redirect_Q26487,redirect
Q16590,Q26490,Q16590_redirect_Q26490,redirect
Q16591,Q26494,Q16591_redirect_Q26494,redirect
Q16595,Q26497,Q16595_redirect_Q26497,redirect
Q16596,Q26500,Q16596_redirect_Q26500,redirect
Q16599,Q26503,Q16599_redirect_Q26503,redirect
Q16600,Q26506,Q16600_redirect_Q26506,redirect
