QID,Wikidata_QID,Geni_IDs,Label,Description,Properties
Q16242,,,Cen Shan Chi Chun,,1
Q16243,,,Cen Shan Yi Zhong,,1
Q16244,Q11578637,,Hatakeyama Mochikuni,,8
Q16245,Q11578638,,Hatakeyama Mochinaga,,6
Q16246,Q11578639,,Hatakeyama Mochitomi,,7
Q16247,Q11246696,,Shimazu Mochihisa,,9
Q16248,Q11162745,,Shimazu Tadakuni,,9
Q16249,,,Lin Tong Cun,,1
Q1625,,,"Ephippiformes (spadefishes, batfishes)",,8
Q16250,,,Dao Xie Tong You,,1
Q16251,,,Kōno Michinobu,,1
Q16252,,,Dao Xie Tong Zhen,,1
Q16253,,,He Ye Tong Cun,,1
Q16254,,,Gao Sip Chang Jun,,1
Q16255,,,Daughter of Kazanin Mochitada (wife of Hikosan Yoriari),,1
Q16256,,,Yao You,,1
Q16257,,,Bu Bu Jian Zhong,,1
Q16258,,,Bu Bu Jian Zheng,,1
Q16259,Q108716782,,Ozuki no Muneyoshi,,7
Q1626,,,11 Eupercaria,,5
Q16260,Q108781710,,Maeno Tsunamune,Japanese military commander,7
Q16261,,,Pu Sheng Gao Xiu,,1
Q16262,,,Teng Yuan Zhao Yin,,1
Q16263,,,Nikaido Yukichika (Nanboku-cho period),,1
Q16264,,,Er Jie Tang Xing Tong,,1
Q16265,,,Daughter of Nikaido Yukitomo (wife of Nikaido Akiyuki),,1
Q16266,Q11383381,,Satake Tomoyoshi,,8
Q16267,Q11383430,,Satake Yoshinobu,,9
Q16268,,,Er Jie Tang Xing Zhi,,1
Q16269,,,Er Jie Tang Xing Yuan,,1
Q1627,,,12 Eupercaria,,5
Q16270,Q3198709,,Konoe Fusatsugu,Japanese noble,9
Q16271,,,Bai Chuan Ya Jian Wang,,1
Q16272,Q110010033,,Mitsuchika,,9
Q16273,,,Yūki Motomitsu,,1
Q16274,Q11486211,,Niwata Yukiko,mother of Japanese emperor Go-Hanazono,9
Q16275,Q451926,6000000011626994461;6000000011626994461,Go-Hanazono,emperor of Japan,12
Q16276,,,Fushimi-no-miya Sadatsune-shinnō,,1
Q16277,,,Yuan Ji You,,1
Q16278,,,Yuan Zong Chun,,1
Q16279,Q29410697,,Ii Yukinao,,7
Q1628,,,13 Eupercaria,,5
Q16280,,,Jing Yi Zhong Zhi,,1
Q16281,Q60989727,,Serada Mitsuyoshi,,8
Q16282,Q7223130,,Saionji Kinna,,7
Q16283,,,Nan Bo Zong Fu,,1
Q16284,,,Ren Mu Yi Zhong,,1
Q16285,,,Ren Mu Lai Zhang,,1
Q16286,,,Ren Mu Yi Chang,,1
Q16287,,,Xi Chuan Fan Shi,,1
Q16288,Q11605934,,Hoshikawa Kiyouji,,10
Q16289,,,Xi Chuan Ye Shi,,1
Q1629,,,Chaetodontiformes (butterflyfishes),,8
Q16290,Q1139739,,Hosokawa Yoriyuki,Samurai of the Hosokawa clan,10
Q16291,Q11606003,,Hosokawa Akiharu,,9
Q16292,Q11606025,,Hosokawa Yoriari,,9
Q16293,,,Xi Chuan Man Zhi,,1
Q16294,,,Xi Chuan Lai Yi,,1
Q16295,,,Daughter of Hosokawa Yorimoto (mother of Hosokawa Nariyuki),,1
Q16296,,,Saionji Sanetō,,1
Q16297,,,Zhu Wu Zhi Guang,,1
Q16298,,,Jie Qiao Yi Jia,,1
Q16299,,,Daughter of Kushihashi Michinori (wife of Kodera Norimoto),,1
Q1630,,,"Sciaenidae (drums, croakers)",,8
Q16300,,,Dong Yuan Gong Shu,,1
Q16301,,,Zheng Qin Ting Gong Jian,,1
Q16302,,,Fang Cheng Jun Ji,,1
Q16303,,,daughter of Ichijo Fusaka (mother of Machi Akiko),,1
Q16304,,,Ting Xian Gu,,1
Q16305,,,Qing Shui Gu Gong Zhi,,1
Q16306,,,Ōgimachisanjō Kinmasa,,1
Q16307,,,San Tiao Xi Shi Lian,,1
Q16308,,,Sanjōnishi Sanetaka,,1
Q16309,,,Fuyufusa Madenokōji,,1
Q1631,,,14 Eupercaria,,5
Q16310,,,Kidera-no-miya Kuniyasu-shinnō,,1
