Primary_QID,Secondary_QID,Primary_Name,Secondary_Name,Similarity,Reason,Primary_Properties,Secondary_Properties,Action,Status
Q153194,Q1645,19 Eupercaria,19 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q16467,Q64863,Princess Pingyang,Princess Pingyang,1.000,name_similarity,13,8,MERGE,PENDING
Q153195,Q1648,22 Eupercaria,22 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q16480,Q69504,Li Yuanheng,Li Yuanheng,1.000,name_similarity,9,8,MERGE,PENDING
Q16483,Q69501,Li Yuanming,Li Yuanming,1.000,name_similarity,10,9,MERGE,PENDING
Q16483,Q64141,Li Yuanming,Li Yuanming,1.000,name_similarity,10,8,MERGE,PENDING
Q69501,Q64141,Li Yuanming,Li Yuanming,1.000,name_similarity,9,8,MERGE,PENDING
Q16486,Q72650,Li Yuanqing,Li Yuanqing,1.000,name_similarity,10,8,MERGE,PENDING
Q16487,Q40500,Li Yuanyi,Li Yuanyi,1.000,name_similarity,9,8,MERGE,PENDING
Q61767,Q16488,Li Yuanfang,Li Yuanfang,1.000,name_similarity,9,8,MERGE,PENDING
Q16492,Q72749,Li Yuanxiang,Li Yuanxiang,1.000,name_similarity,11,9,MERGE,PENDING
Q16493,Q45753,Li Yuanli,Li Yuanli,1.000,name_similarity,10,8,MERGE,PENDING
Q16493,Q61842,Li Yuanli,Li Yuanli,1.000,name_similarity,10,8,MERGE,PENDING
Q16493,Q79003,Li Yuanli,Li Yuanli,1.000,name_similarity,10,8,MERGE,PENDING
Q45753,Q61842,Li Yuanli,Li Yuanli,1.000,name_similarity,8,8,MERGE,PENDING
Q45753,Q79003,Li Yuanli,Li Yuanli,1.000,name_similarity,8,8,MERGE,PENDING
Q61842,Q79003,Li Yuanli,Li Yuanli,1.000,name_similarity,8,8,MERGE,PENDING
Q16494,Q46918,Li Yuanyu,Li Yuanyu,1.000,name_similarity,11,9,MERGE,PENDING
Q16494,Q77880,Li Yuanyu,Li Yuanyu,1.000,name_similarity,11,8,MERGE,PENDING
Q46918,Q77880,Li Yuanyu,Li Yuanyu,1.000,name_similarity,9,8,MERGE,PENDING
Q16495,Q69489,Li Yuangui,Li Yuangui,1.000,name_similarity,10,8,MERGE,PENDING
Q16495,Q79027,Li Yuangui,Li Yuangui,1.000,name_similarity,10,8,MERGE,PENDING
Q69489,Q79027,Li Yuangui,Li Yuangui,1.000,name_similarity,8,8,MERGE,PENDING
Q16496,Q52040,Li Jiancheng,Li Jiancheng,1.000,name_similarity,10,9,MERGE,PENDING
Q16499,Q58719,Li Lingkui,Li Lingkui,1.000,name_similarity,11,9,MERGE,PENDING
Q153196,Q1650,20 Eupercaria,20 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q16500,Q28975,Liu Shi,Liu Shi,1.000,name_similarity,11,8,MERGE,PENDING
Q16500,Q41164,Liu Shi,Liu Shi,1.000,name_similarity,11,10,MERGE,PENDING
Q16500,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,11,7,MERGE,PENDING
Q16500,Q55247,Liu Shi,Liu Shi,1.000,name_similarity,11,10,MERGE,PENDING
Q16500,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,11,7,MERGE,PENDING
Q16500,Q71058,Liu Shi,Liu Shi,1.000,name_similarity,11,10,MERGE,PENDING
Q16500,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,11,7,MERGE,PENDING
Q16500,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,11,7,MERGE,PENDING
Q16500,Q67212,Liu Shi,Liu Shi,1.000,name_similarity,11,11,MERGE,PENDING
Q16500,Q74426,Liu Shi,Liu Shi,1.000,name_similarity,11,9,MERGE,PENDING
Q16500,Q75792,Liu Shi,Liu Shi,1.000,name_similarity,11,8,MERGE,PENDING
Q16500,Q79193,Liu Shi,Liu Shi,1.000,name_similarity,11,9,MERGE,PENDING
Q16500,Q80622,Liu Shi,Liu Shi,1.000,name_similarity,11,9,MERGE,PENDING
Q41164,Q28975,Liu Shi,Liu Shi,1.000,name_similarity,10,8,MERGE,PENDING
Q28975,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,8,7,MERGE,PENDING
Q55247,Q28975,Liu Shi,Liu Shi,1.000,name_similarity,10,8,MERGE,PENDING
Q28975,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,8,7,MERGE,PENDING
Q71058,Q28975,Liu Shi,Liu Shi,1.000,name_similarity,10,8,MERGE,PENDING
Q28975,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,8,7,MERGE,PENDING
Q28975,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,8,7,MERGE,PENDING
Q67212,Q28975,Liu Shi,Liu Shi,1.000,name_similarity,11,8,MERGE,PENDING
Q74426,Q28975,Liu Shi,Liu Shi,1.000,name_similarity,9,8,MERGE,PENDING
Q28975,Q75792,Liu Shi,Liu Shi,1.000,name_similarity,8,8,MERGE,PENDING
Q79193,Q28975,Liu Shi,Liu Shi,1.000,name_similarity,9,8,MERGE,PENDING
Q80622,Q28975,Liu Shi,Liu Shi,1.000,name_similarity,9,8,MERGE,PENDING
Q41164,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q41164,Q55247,Liu Shi,Liu Shi,1.000,name_similarity,10,10,MERGE,PENDING
Q41164,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q41164,Q71058,Liu Shi,Liu Shi,1.000,name_similarity,10,10,MERGE,PENDING
Q41164,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q41164,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q67212,Q41164,Liu Shi,Liu Shi,1.000,name_similarity,11,10,MERGE,PENDING
Q41164,Q74426,Liu Shi,Liu Shi,1.000,name_similarity,10,9,MERGE,PENDING
Q41164,Q75792,Liu Shi,Liu Shi,1.000,name_similarity,10,8,MERGE,PENDING
Q41164,Q79193,Liu Shi,Liu Shi,1.000,name_similarity,10,9,MERGE,PENDING
Q41164,Q80622,Liu Shi,Liu Shi,1.000,name_similarity,10,9,MERGE,PENDING
Q55247,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q45441,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,7,7,MERGE,PENDING
Q71058,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q45441,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,7,7,MERGE,PENDING
Q45441,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,7,7,MERGE,PENDING
Q67212,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,11,7,MERGE,PENDING
Q74426,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q75792,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,8,7,MERGE,PENDING
Q79193,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q80622,Q45441,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q55247,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q55247,Q71058,Liu Shi,Liu Shi,1.000,name_similarity,10,10,MERGE,PENDING
Q55247,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q55247,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q67212,Q55247,Liu Shi,Liu Shi,1.000,name_similarity,11,10,MERGE,PENDING
Q55247,Q74426,Liu Shi,Liu Shi,1.000,name_similarity,10,9,MERGE,PENDING
Q55247,Q75792,Liu Shi,Liu Shi,1.000,name_similarity,10,8,MERGE,PENDING
Q55247,Q79193,Liu Shi,Liu Shi,1.000,name_similarity,10,9,MERGE,PENDING
Q55247,Q80622,Liu Shi,Liu Shi,1.000,name_similarity,10,9,MERGE,PENDING
Q71058,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q70986,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,7,7,MERGE,PENDING
Q70986,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,7,7,MERGE,PENDING
Q67212,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,11,7,MERGE,PENDING
Q74426,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q75792,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,8,7,MERGE,PENDING
Q79193,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q80622,Q70986,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q71058,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q71058,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,10,7,MERGE,PENDING
Q67212,Q71058,Liu Shi,Liu Shi,1.000,name_similarity,11,10,MERGE,PENDING
Q71058,Q74426,Liu Shi,Liu Shi,1.000,name_similarity,10,9,MERGE,PENDING
Q71058,Q75792,Liu Shi,Liu Shi,1.000,name_similarity,10,8,MERGE,PENDING
Q71058,Q79193,Liu Shi,Liu Shi,1.000,name_similarity,10,9,MERGE,PENDING
Q71058,Q80622,Liu Shi,Liu Shi,1.000,name_similarity,10,9,MERGE,PENDING
Q66057,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,7,7,MERGE,PENDING
Q67212,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,11,7,MERGE,PENDING
Q74426,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q75792,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,8,7,MERGE,PENDING
Q79193,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q80622,Q66057,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q67212,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,11,7,MERGE,PENDING
Q74426,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q75792,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,8,7,MERGE,PENDING
Q79193,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q80622,Q66120,Liu Shi,Liu Shi,1.000,name_similarity,9,7,MERGE,PENDING
Q67212,Q74426,Liu Shi,Liu Shi,1.000,name_similarity,11,9,MERGE,PENDING
Q67212,Q75792,Liu Shi,Liu Shi,1.000,name_similarity,11,8,MERGE,PENDING
Q67212,Q79193,Liu Shi,Liu Shi,1.000,name_similarity,11,9,MERGE,PENDING
Q67212,Q80622,Liu Shi,Liu Shi,1.000,name_similarity,11,9,MERGE,PENDING
Q74426,Q75792,Liu Shi,Liu Shi,1.000,name_similarity,9,8,MERGE,PENDING
Q74426,Q79193,Liu Shi,Liu Shi,1.000,name_similarity,9,9,MERGE,PENDING
Q74426,Q80622,Liu Shi,Liu Shi,1.000,name_similarity,9,9,MERGE,PENDING
Q79193,Q75792,Liu Shi,Liu Shi,1.000,name_similarity,9,8,MERGE,PENDING
Q80622,Q75792,Liu Shi,Liu Shi,1.000,name_similarity,9,8,MERGE,PENDING
Q79193,Q80622,Liu Shi,Liu Shi,1.000,name_similarity,9,9,MERGE,PENDING
Q32019,Q16501,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q40849,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q16501,Q40981,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q44500,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q45669,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q45770,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q45907,Q16501,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q52427,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q16501,Q54218,Li Yu,Li Yu,1.000,name_similarity,8,7,MERGE,PENDING
Q36461,Q16501,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q54907,Q16501,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q54911,Q16501,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q54931,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q16501,Q54967,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q55310,Li Yu,Li Yu,1.000,name_similarity,8,7,MERGE,PENDING
Q16501,Q56117,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q58698,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q16501,Q58854,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q59266,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q61914,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q62060,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q62215,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q69477,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q16501,Q69585,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q64159,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q64315,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q67994,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q72994,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q73006,Q16501,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q16501,Q74131,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q77841,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q77925,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q77938,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q16501,Q79012,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q32019,Q40849,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q40981,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q44500,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q45669,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q45770,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q45907,Li Yu,Li Yu,1.000,name_similarity,10,10,MERGE,PENDING
Q32019,Q52427,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q54218,Li Yu,Li Yu,1.000,name_similarity,10,7,MERGE,PENDING
Q32019,Q36461,Li Yu,Li Yu,1.000,name_similarity,10,10,MERGE,PENDING
Q32019,Q54907,Li Yu,Li Yu,1.000,name_similarity,10,10,MERGE,PENDING
Q32019,Q54911,Li Yu,Li Yu,1.000,name_similarity,10,10,MERGE,PENDING
Q32019,Q54931,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q54967,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q55310,Li Yu,Li Yu,1.000,name_similarity,10,7,MERGE,PENDING
Q32019,Q56117,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q58698,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q58854,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q59266,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q61914,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q62060,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q62215,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q69477,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q69585,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q64159,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q64315,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q67994,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q72994,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q73006,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q32019,Q74131,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q77841,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q77925,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q77938,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q32019,Q79012,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q40849,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q44500,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q45669,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q45770,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q45907,Q40849,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q40849,Q52427,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q54218,Li Yu,Li Yu,1.000,name_similarity,9,7,MERGE,PENDING
Q36461,Q40849,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q54907,Q40849,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q54911,Q40849,Li Yu,Li Yu,1.000,name_similarity,10,9,MERGE,PENDING
Q40849,Q54931,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q54967,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q55310,Li Yu,Li Yu,1.000,name_similarity,9,7,MERGE,PENDING
Q40849,Q56117,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q58698,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q58854,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q59266,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q61914,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q62060,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q62215,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q69477,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q69585,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q64159,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q64315,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q67994,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q72994,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q73006,Li Yu,Li Yu,1.000,name_similarity,9,9,MERGE,PENDING
Q40849,Q74131,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q77841,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q77925,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q77938,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40849,Q79012,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40981,Q44500,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q40981,Q45669,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q45770,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q45907,Q40981,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q52427,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40981,Q54218,Li Yu,Li Yu,1.000,name_similarity,8,7,MERGE,PENDING
Q36461,Q40981,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q54907,Q40981,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q54911,Q40981,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q54931,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40981,Q54967,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q40981,Q55310,Li Yu,Li Yu,1.000,name_similarity,8,7,MERGE,PENDING
Q40981,Q56117,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q58698,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40981,Q58854,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q40981,Q59266,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q61914,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q62060,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q62215,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q69477,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40981,Q69585,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q40981,Q64159,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q40981,Q64315,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q67994,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q72994,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q73006,Q40981,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q40981,Q74131,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q40981,Q77841,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q40981,Q77925,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q40981,Q77938,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q40981,Q79012,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q44500,Q45669,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q45770,Q44500,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q45907,Q44500,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q52427,Q44500,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q44500,Q54218,Li Yu,Li Yu,1.000,name_similarity,8,7,MERGE,PENDING
Q36461,Q44500,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q54907,Q44500,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q54911,Q44500,Li Yu,Li Yu,1.000,name_similarity,10,8,MERGE,PENDING
Q54931,Q44500,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q44500,Q54967,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q44500,Q55310,Li Yu,Li Yu,1.000,name_similarity,8,7,MERGE,PENDING
Q44500,Q56117,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q58698,Q44500,Li Yu,Li Yu,1.000,name_similarity,9,8,MERGE,PENDING
Q44500,Q58854,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
Q44500,Q59266,Li Yu,Li Yu,1.000,name_similarity,8,8,MERGE,PENDING
