Primary_QID,Secondary_QID,Primary_Name,Secondary_Name,Similarity,Reason,Primary_Properties,Secondary_Properties,Action,Status
Q16247,Q43475,Shimazu Mochihisa,Shimazu Mochihisa,1.000,name_similarity,9,9,MERGE,PENDING
Q30971,Q16251,Kōno Michinobu,Kōno Michinobu,1.000,name_similarity,9,1,MERGE,PENDING
Q153184,Q1626,11 Eupercaria,11 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q32184,Q16267,Satake Yoshinobu,Satake Yoshinobu,1.000,name_similarity,10,9,MERGE,PENDING
Q32288,Q16267,Satake Yoshinobu,Satake Yoshinobu,1.000,name_similarity,11,9,MERGE,PENDING
Q32288,Q32184,Satake Yoshinobu,Satake Yoshinobu,1.000,name_similarity,11,10,MERGE,PENDING
Q16269,Q14527,Er Jie Tang Xing Yuan,Er Jie Tang Xing Yuan,1.000,name_similarity,1,1,MERGE,PENDING
Q153185,Q1627,12 Eupercaria,12 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153186,Q1628,13 Eupercaria,13 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153187,Q1631,14 Eupercaria,14 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153188,Q1632,15 Eupercaria,15 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153189,Q1635,16 Eupercaria,16 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q39839,Q22811,Sanjō Kinatsu,Sanjō Kinatsu,1.000,name_similarity,10,1,MERGE,PENDING
Q153190,Q1637,18 Eupercaria,18 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q16389,Q26472,Ashikaga Yoshihisa,Ashikaga Yoshihisa,1.000,name_similarity,11,9,MERGE,PENDING
Q153191,Q1639,17 Eupercaria,17 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q16401,Q46632,Emperor Reigen,Emperor Reigen,1.000,name_similarity,12,12,MERGE,PENDING
Q46636,Q16402,Empress Dowager Keihō,Empress Dowager Keihō,1.000,name_similarity,12,1,MERGE,PENDING
Q46652,Q16405,Kyōgoku-no-miya Ayahito-shinnō,Kyōgoku-no-miya Ayahito-shinnō,1.000,name_similarity,12,1,MERGE,PENDING
Q46656,Q16406,Saku-no-miya,Saku-no-miya,1.000,name_similarity,10,9,MERGE,PENDING
Q46664,Q16408,Arisugawa-no-miya Yorihito-shinnō,Arisugawa-no-miya Yorihito-shinnō,1.000,name_similarity,12,1,MERGE,PENDING
Q153192,Q1641,26 Eupercaria,26 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q46672,Q16411,Kōkan-hosshinnō,Kōkan-hosshinnō,1.000,name_similarity,10,1,MERGE,PENDING
Q16426,Q46815,Konoe Iehiro,Konoe Iehiro,1.000,name_similarity,13,13,MERGE,PENDING
Q153193,Q1644,21 Eupercaria,21 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q16440,Q47298,Momozono,Momozono,1.000,name_similarity,13,13,MERGE,PENDING
Q16441,Q58638,Biryu,Biryu,1.000,name_similarity,10,9,MERGE,PENDING
