GaianYear,GaianMonth,GaianDay,MonthName,GregorianDate,ISOYear,Weekday
9991,4,5,Pisces,0010-03-29 BC,-9,Friday
9991,4,6,Pisces,0010-03-30 BC,-9,Saturday
9991,4,7,Pisces,0010-03-31 BC,-9,Sunday
9991,4,8,Pisces,0010-04-01 BC,-9,Monday
9991,4,9,Pisces,0010-04-02 BC,-9,Tuesday
9991,4,10,Pisces,0010-04-03 BC,-9,Wednesday
9991,4,11,Pisces,0010-04-04 BC,-9,Thursday
9991,4,12,Pisces,0010-04-05 BC,-9,Friday
9991,4,13,Pisces,0010-04-06 BC,-9,Saturday
9991,4,14,Pisces,0010-04-07 BC,-9,Sunday
9991,4,15,Pisces,0010-04-08 BC,-9,Monday
9991,4,16,Pisces,0010-04-09 BC,-9,Tuesday
9991,4,17,Pisces,0010-04-10 BC,-9,Wednesday
9991,4,18,Pisces,0010-04-11 BC,-9,Thursday
9991,4,19,Pisces,0010-04-12 BC,-9,Friday
9991,4,20,Pisces,0010-04-13 BC,-9,Saturday
9991,4,21,Pisces,0010-04-14 BC,-9,Sunday
9991,4,22,Pisces,0010-04-15 BC,-9,Monday
9991,4,23,Pisces,0010-04-16 BC,-9,Tuesday
9991,4,24,Pisces,0010-04-17 BC,-9,Wednesday
9991,4,25,Pisces,0010-04-18 BC,-9,Thursday
9991,4,26,Pisces,0010-04-19 BC,-9,Friday
9991,4,27,Pisces,0010-04-20 BC,-9,Saturday
9991,4,28,Pisces,0010-04-21 BC,-9,Sunday
9991,5,1,Aries,0010-04-22 BC,-9,Monday
9991,5,2,Aries,0010-04-23 BC,-9,Tuesday
9991,5,3,Aries,0010-04-24 BC,-9,Wednesday
9991,5,4,Aries,0010-04-25 BC,-9,Thursday
9991,5,5,Aries,0010-04-26 BC,-9,Friday
9991,5,6,Aries,0010-04-27 BC,-9,Saturday
9991,5,7,Aries,0010-04-28 BC,-9,Sunday
9991,5,8,Aries,0010-04-29 BC,-9,Monday
9991,5,9,Aries,0010-04-30 BC,-9,Tuesday
9991,5,10,Aries,0010-05-01 BC,-9,Wednesday
9991,5,11,Aries,0010-05-02 BC,-9,Thursday
9991,5,12,Aries,0010-05-03 BC,-9,Friday
9991,5,13,Aries,0010-05-04 BC,-9,Saturday
9991,5,14,Aries,0010-05-05 BC,-9,Sunday
9991,5,15,Aries,0010-05-06 BC,-9,Monday
9991,5,16,Aries,0010-05-07 BC,-9,Tuesday
9991,5,17,Aries,0010-05-08 BC,-9,Wednesday
9991,5,18,Aries,0010-05-09 BC,-9,Thursday
9991,5,19,Aries,0010-05-10 BC,-9,Friday
9991,5,20,Aries,0010-05-11 BC,-9,Saturday
9991,5,21,Aries,0010-05-12 BC,-9,Sunday
9991,5,22,Aries,0010-05-13 BC,-9,Monday
9991,5,23,Aries,0010-05-14 BC,-9,Tuesday
9991,5,24,Aries,0010-05-15 BC,-9,Wednesday
9991,5,25,Aries,0010-05-16 BC,-9,Thursday
9991,5,26,Aries,0010-05-17 BC,-9,Friday
9991,5,27,Aries,0010-05-18 BC,-9,Saturday
9991,5,28,Aries,0010-05-19 BC,-9,Sunday
9991,6,1,Taurus,0010-05-20 BC,-9,Monday
9991,6,2,Taurus,0010-05-21 BC,-9,Tuesday
9991,6,3,Taurus,0010-05-22 BC,-9,Wednesday
9991,6,4,Taurus,0010-05-23 BC,-9,Thursday
