GaianYear,StartDate,GregorianLeapYear,GaianLeapYear,DaysInYear
6,"January 3, 9996 BC",False,False,364
7,"January 2, 9995 BC",False,False,364
8,"January 1, 9994 BC",False,False,364
9,"December 31, 9994 BC",True,False,364
10,"December 29, 9993 BC",False,True,371
11,"January 4, 9991 BC",False,False,364
12,"January 3, 9990 BC",False,False,364
13,"January 2, 9989 BC",True,False,364
14,"December 31, 9989 BC",False,False,364
15,"December 30, 9988 BC",False,False,364
16,"December 29, 9987 BC",False,True,371
17,"January 4, 9985 BC",True,False,364
18,"January 2, 9984 BC",False,False,364
19,"January 1, 9983 BC",False,False,364
20,"December 31, 9983 BC",False,False,364
21,"December 30, 9982 BC",True,True,371
22,"January 4, 9980 BC",False,False,364
23,"January 3, 9979 BC",False,False,364
24,"January 2, 9978 BC",False,False,364
25,"January 1, 9977 BC",True,False,364
26,"December 30, 9977 BC",False,False,364
27,"December 29, 9976 BC",False,True,371
28,"January 4, 9974 BC",False,False,364
29,"January 3, 9973 BC",True,False,364
30,"January 1, 9972 BC",False,False,364
31,"December 31, 9972 BC",False,False,364
32,"December 30, 9971 BC",False,False,364
33,"December 29, 9970 BC",True,True,371
34,"January 3, 9968 BC",False,False,364
35,"January 2, 9967 BC",False,False,364
36,"January 1, 9966 BC",False,False,364
37,"December 31, 9966 BC",True,False,364
38,"December 29, 9965 BC",False,True,371
39,"January 4, 9963 BC",False,False,364
40,"January 3, 9962 BC",False,False,364
41,"January 2, 9961 BC",True,False,364
42,"December 31, 9961 BC",False,False,364
43,"December 30, 9960 BC",False,False,364
44,"December 29, 9959 BC",False,True,371
45,"January 4, 9957 BC",True,False,364
46,"January 2, 9956 BC",False,False,364
47,"January 1, 9955 BC",False,False,364
48,"December 31, 9955 BC",False,False,364
49,"December 30, 9954 BC",True,True,371
50,"January 4, 9952 BC",False,False,364
51,"January 3, 9951 BC",False,False,364
52,"January 2, 9950 BC",False,False,364
53,"January 1, 9949 BC",True,False,364
54,"December 30, 9949 BC",False,False,364
55,"December 29, 9948 BC",False,True,371
56,"January 4, 9946 BC",False,False,364
57,"January 3, 9945 BC",True,False,364
58,"January 1, 9944 BC",False,False,364
59,"December 31, 9944 BC",False,False,364
60,"December 30, 9943 BC",False,False,364
61,"December 29, 9942 BC",True,True,371
62,"January 3, 9940 BC",False,False,364
63,"January 2, 9939 BC",False,False,364
64,"January 1, 9938 BC",False,False,364
65,"December 31, 9938 BC",True,False,364
66,"December 29, 9937 BC",False,True,371
67,"January 4, 9935 BC",False,False,364
68,"January 3, 9934 BC",False,False,364
69,"January 2, 9933 BC",True,False,364
70,"December 31, 9933 BC",False,False,364
71,"December 30, 9932 BC",False,False,364
72,"December 29, 9931 BC",False,True,371
73,"January 4, 9929 BC",True,False,364
74,"January 2, 9928 BC",False,False,364
75,"January 1, 9927 BC",False,False,364
76,"December 31, 9927 BC",False,False,364
77,"December 30, 9926 BC",True,True,371
78,"January 4, 9924 BC",False,False,364
79,"January 3, 9923 BC",False,False,364
80,"January 2, 9922 BC",False,False,364
81,"January 1, 9921 BC",True,False,364
82,"December 30, 9921 BC",False,False,364
83,"December 29, 9920 BC",False,True,371
84,"January 4, 9918 BC",False,False,364
85,"January 3, 9917 BC",True,False,364
86,"January 1, 9916 BC",False,False,364
87,"December 31, 9916 BC",False,False,364
88,"December 30, 9915 BC",False,False,364
89,"December 29, 9914 BC",True,True,371
90,"January 3, 9912 BC",False,False,364
91,"January 2, 9911 BC",False,False,364
92,"January 1, 9910 BC",False,False,364
93,"December 31, 9910 BC",True,False,364
94,"December 29, 9909 BC",False,True,371
95,"January 4, 9907 BC",False,False,364
