tangle_size	tangle_head	parent	parent_label	child	child_label	wd_verdict	flag	action	detail
71	Q61565	Q70970	Pompeia Magna	Q70337	Cornelia Pompeia Magna	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q70970	Pompeia Magna	Q71083	Faustus Cornelius Sulla	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q70970	Pompeia Magna	Q139746	Cornelia Magna	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q71026	Marcus Pupius Piso Frugi	Q70343	Marcus Licinius Crassus Dives	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q71083	Faustus Cornelius Sulla	Q70346	Fausta  Cornelia	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q71628	Lucius Rubellius Blandus	Q70718	Gaius Rubellius Blandus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72239	Vipsania Agrippina	Q77611	Drusus Julius Caesar	confirmed		GENERATION-COLLAPSE	Wikidata agrees Vipsania Agrippina is a parent of Drusus Julius Caesar
71	Q61565	Q72266	Mucia Tertia	Q70970	Pompeia Magna	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72278	Marcus Pupius Piso Frugi Calpurnianus	Q71026	Marcus Pupius Piso Frugi	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72338	Rubellius Blandus	Q71628	Lucius Rubellius Blandus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72425	Attica	Q72239	Vipsania Agrippina	confirmed		GENERATION-COLLAPSE	Wikidata agrees Attica is a parent of Vipsania Agrippina
71	Q61565	Q72451	Quintus Mucius Scaevola Pontifex	Q72266	Mucia Tertia	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72466	Marcus Licinius Crassus	Q72278	Marcus Pupius Piso Frugi Calpurnianus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72603	Pilia	Q72425	Attica	confirmed		GENERATION-COLLAPSE	Wikidata agrees Pilia is a parent of Attica
71	Q61565	Q72633	Publius Mucius Scaevola	Q72451	Quintus Mucius Scaevola Pontifex	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72657	Publius Licinius Crassus Dives	Q72466	Marcus Licinius Crassus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72657	Publius Licinius Crassus Dives	Q72933	Marcus Licinius Crassus	unknown		GENERATION-COLLAPSE	no Wikidata ID for Marcus Licinius Crassus
71	Q61565	Q72774	Licinia Crassa  Pilius	Q72603	Pilia	unknown		GENERATION-COLLAPSE	no Wikidata ID for Licinia Crassa Pilius
71	Q61565	Q72807	Publius Mucius Scaevola	Q72633	Publius Mucius Scaevola	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72810	Licinia	Q72633	Publius Mucius Scaevola	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72831	Marcus Licinius Crassus	Q72657	Publius Licinius Crassus Dives	confirmed		GENERATION-COLLAPSE	Wikidata agrees Marcus Licinius Crassus is a parent of Publius Licinius Crassus Dives
71	Q61565	Q72933	Marcus Licinius Crassus	Q72774	Licinia Crassa  Pilius	unknown		GENERATION-COLLAPSE	no Wikidata ID for Marcus Licinius Crassus and Licinia Crassa Pilius
71	Q61565	Q72966	Lincinia  Varus	Q72807	Publius Mucius Scaevola	unknown		GENERATION-COLLAPSE	no Wikidata ID for Lincinia Varus
71	Q61565	Q72972	Publius Licinius Crassus Dives	Q72810	Licinia	contradicted		GENERATION-COLLAPSE	Wikidata records no link between them
71	Q61565	Q72972	Publius Licinius Crassus Dives	Q72981	Publius Licinius Crassus	confirmed		GENERATION-COLLAPSE	Wikidata agrees Publius Licinius Crassus Dives is a parent of Publius Licinius Crassus
71	Q61565	Q72972	Publius Licinius Crassus Dives	Q73260	Marcus Licinius Crassus Agelastus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q72981	Publius Licinius Crassus	Q72831	Marcus Licinius Crassus	contradicted		GENERATION-COLLAPSE	Wikidata records no link between them
71	Q61565	Q72981	Publius Licinius Crassus	Q73260	Marcus Licinius Crassus Agelastus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q73083	Publius Licinius Crassus Dives (consul 97 BC)	Q72933	Marcus Licinius Crassus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q73140	Gaius Lincinius  Varus	Q72966	Lincinia  Varus	unknown		GENERATION-COLLAPSE	no Wikidata ID for Gaius Lincinius Varus and Lincinia Varus
71	Q61565	Q73140	Gaius Lincinius  Varus	Q73770	Publius Licinius  Crassus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q73260	Marcus Licinius Crassus Agelastus	Q73083	Publius Licinius Crassus Dives (consul 97 BC)	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q73308	Licinius  Varus	Q73140	Gaius Lincinius  Varus	unknown		GENERATION-COLLAPSE	no Wikidata ID for Licinius Varus and Gaius Lincinius Varus
71	Q61565	Q73665	Publius Licinius  Crassus	Q72972	Publius Licinius Crassus Dives	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q73665	Publius Licinius  Crassus	Q99408	Publius Licinius Varus Licinius Crassus  Crassus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q73770	Publius Licinius  Crassus	Q73665	Publius Licinius  Crassus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q77386	Julia Livia	Q70152	Rubellia Bassa	unknown		GENERATION-COLLAPSE	no Wikidata ID for Julia Livia and Rubellia Bassa
71	Q61565	Q77611	Drusus Julius Caesar	Q77386	Julia Livia	unknown		GENERATION-COLLAPSE	no Wikidata ID for Julia Livia
71	Q61565	Q77611	Drusus Julius Caesar	Q138467	Julia Livia	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q99408	Publius Licinius Varus Licinius Crassus  Crassus	Q72972	Publius Licinius Crassus Dives	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q136506	Flavia Julia Constantia	Q73308	Licinius  Varus	unknown		GENERATION-COLLAPSE	no Wikidata ID for Licinius Varus
71	Q61565	Q138467	Julia Livia	Q72338	Rubellius Blandus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q139746	Cornelia Magna	Q70340	Lucius Scribonius Libo	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q141756	Annia Rupilia Faustina	Q65192	Gaius Annianus Verus	not-checked		GENERATION-COLLAPSE	
18	Q62515	Q62515	Petronia	Q75817	Publilia	unknown		REVIEW	no Wikidata ID for Petronia and Publilia
18	Q62515	Q62926	Gnaeus Petronius Probatus Junior  Justus	Q62515	Petronia	unknown		REVIEW	no Wikidata ID for Gnaeus Petronius Probatus Junior Justus and Petronia
18	Q62515	Q63517	Petronius  Junior	Q62926	Gnaeus Petronius Probatus Junior  Justus	unknown		REVIEW	no Wikidata ID for Petronius Junior and Gnaeus Petronius Probatus Junior Justus
18	Q62515	Q64169	Petronius	Q63517	Petronius  Junior	unknown		REVIEW	no Wikidata ID for Petronius Junior
18	Q62515	Q65002	Sextus Claudius Petronius Probus	Q64169	Petronius	confirmed		REVIEW	Wikidata agrees Sextus Claudius Petronius Probus is a parent of Petronius
18	Q62515	Q65002	Sextus Claudius Petronius Probus	Q75516	Anicius Hermogenianus Olybrius	confirmed		REVIEW	Wikidata agrees Sextus Claudius Petronius Probus is a parent of Anicius Hermogenianus Olybrius
18	Q62515	Q75516	Anicius Hermogenianus Olybrius	Q75603	Demetrias	confirmed		REVIEW	Wikidata agrees Anicius Hermogenianus Olybrius is a parent of Demetrias
18	Q62515	Q75522	Anicia Faltonia Proba	Q75516	Anicius Hermogenianus Olybrius	confirmed		REVIEW	Wikidata agrees Anicia Faltonia Proba is a parent of Anicius Hermogenianus Olybrius
18	Q62515	Q75540	Quintus Clodius Hermogenianus Olybrius	Q75522	Anicia Faltonia Proba	confirmed		REVIEW	Wikidata agrees Quintus Clodius Hermogenianus Olybrius is a parent of Anicia Faltonia Proba
18	Q62515	Q75543	Tyrrania Anicia Juliana	Q75522	Anicia Faltonia Proba	confirmed		REVIEW	Wikidata agrees Tyrrania Anicia Juliana is a parent of Anicia Faltonia Proba
18	Q62515	Q75558	Clodia Celsina	Q65002	Sextus Claudius Petronius Probus	unknown		REVIEW	no Wikidata ID for Clodia Celsina
18	Q62515	Q75573	Anicius Auchenius Bassus	Q75543	Tyrrania Anicia Juliana	confirmed		REVIEW	Wikidata agrees Anicius Auchenius Bassus is a parent of Tyrrania Anicia Juliana
18	Q62515	Q75576	Clodius Celsinus Adelphius	Q75540	Quintus Clodius Hermogenianus Olybrius	confirmed		REVIEW	Wikidata agrees Clodius Celsinus Adelphius is a parent of Quintus Clodius Hermogenianus Olybrius
18	Q62515	Q75603	Demetrias	Q75558	Clodia Celsina	unknown		REVIEW	no Wikidata ID for Clodia Celsina
18	Q62515	Q75603	Demetrias	Q75576	Clodius Celsinus Adelphius	contradicted		REVIEW	Wikidata records no link between them
18	Q62515	Q75634	Caeionia Auchenia Bassa	Q75573	Anicius Auchenius Bassus	unknown		REVIEW	no Wikidata ID for Caeionia Auchenia Bassa
18	Q62515	Q75694	Caeionius Julianus Camerius	Q75634	Caeionia Auchenia Bassa	unknown		REVIEW	no Wikidata ID for Caeionius Julianus Camerius and Caeionia Auchenia Bassa
18	Q62515	Q75721	Rufia Procula	Q75781	Caeionius  Proculus	unknown		REVIEW	no Wikidata ID for Rufia Procula and Caeionius Proculus
18	Q62515	Q75781	Caeionius  Proculus	Q75694	Caeionius Julianus Camerius	unknown		REVIEW	no Wikidata ID for Caeionius Proculus and Caeionius Julianus Camerius
18	Q62515	Q75817	Publilia	Q75721	Rufia Procula	unknown		REVIEW	no Wikidata ID for Publilia and Rufia Procula
15	Q72434	Q72434	Marcus Aemilius Lepidus	Q73893	Lucius Cornelius Scipio Asiaticus Aemilianus	not-checked		REVIEW	
15	Q72434	Q72615	Quintus Aemilius Lepidus	Q72434	Marcus Aemilius Lepidus	not-checked		REVIEW	
15	Q72434	Q72786	Marcus Aemilius Lepidus	Q72615	Quintus Aemilius Lepidus	not-checked		REVIEW	
15	Q72434	Q72801	Cornelia	Q72786	Marcus Aemilius Lepidus	unknown		REVIEW	no Wikidata ID for Marcus Aemilius Lepidus
15	Q72434	Q72957	Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio	Q72801	Cornelia	unknown		REVIEW	no Wikidata ID for Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio
15	Q72434	Q73128	Publius Cornelius Scipio Nasica Corculum	Q72957	Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio	not-checked		REVIEW	
15	Q72434	Q73131	Cornelia Africana Major	Q72957	Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio	unknown		REVIEW	no Wikidata ID for Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio
15	Q72434	Q73293	Publius Cornelius Scipio Nasica	Q73128	Publius Cornelius Scipio Nasica Corculum	not-checked		REVIEW	
15	Q72434	Q73299	Scipio Africanus	Q73131	Cornelia Africana Major	confirmed		REVIEW	Wikidata agrees Scipio Africanus is a parent of Cornelia Africana Major
15	Q72434	Q73443	Gnaeus Cornelius Scipio Calvus	Q73293	Publius Cornelius Scipio Nasica	not-checked		REVIEW	
15	Q72434	Q73446	Publius Cornelius Scipio	Q73299	Scipio Africanus	confirmed		REVIEW	Wikidata agrees Publius Cornelius Scipio is a parent of Scipio Africanus
15	Q72434	Q73569	Lucius Cornelius Scipio	Q73443	Gnaeus Cornelius Scipio Calvus	not-checked		REVIEW	
15	Q72434	Q73569	Lucius Cornelius Scipio	Q73446	Publius Cornelius Scipio	confirmed		REVIEW	Wikidata agrees Lucius Cornelius Scipio is a parent of Publius Cornelius Scipio
15	Q72434	Q73692	Lucius Cornelius Scipio Barbatus	Q73569	Lucius Cornelius Scipio	confirmed		REVIEW	Wikidata agrees Lucius Cornelius Scipio Barbatus is a parent of Lucius Cornelius Scipio
15	Q72434	Q73794	Gnaeus Cornelius Scipio	Q73692	Lucius Cornelius Scipio Barbatus	confirmed		REVIEW	Wikidata agrees Gnaeus Cornelius Scipio is a parent of Lucius Cornelius Scipio Barbatus
15	Q72434	Q73893	Lucius Cornelius Scipio Asiaticus Aemilianus	Q73794	Gnaeus Cornelius Scipio	contradicted		REVIEW	Wikidata records no link between them
14	Q1955	Q1955	Prachetas (10 sons)	Q153390	DAKSHA (reborn as DAKSHA) Prachetas	not-checked		REVIEW	
14	Q1955	Q1968	Prachinbarhi	Q1955	Prachetas (10 sons)	not-checked		REVIEW	
14	Q1955	Q1978	Havirdhana	Q1968	Prachinbarhi	not-checked		REVIEW	
14	Q1955	Q1989	Vijitashva	Q1978	Havirdhana	unknown		REVIEW	no Wikidata ID for Vijitashva and Havirdhana
14	Q1955	Q1991	Surya Sun God	Q2035	Yama Dharma King of Death	unknown		REVIEW	no Wikidata ID for Surya Sun God and Yama Dharma King of Death
14	Q1955	Q2001	Archis(Lakshmi's amsam)	Q1989	Vijitashva	not-checked		REVIEW	
14	Q1955	Q2035	Yama Dharma King of Death	Q153444	SUNITA Anga	unknown		REVIEW	no Wikidata ID for Yama Dharma King of Death and SUNITA Anga
14	Q1955	Q153381	Aditi Kashyapa	Q1991	Surya Sun God	unknown		REVIEW	no Wikidata ID for Aditi Kashyapa and Surya Sun God
14	Q1955	Q153381	Aditi Kashyapa	Q153465	TVASTAR Kashyapa	unknown		REVIEW	no Wikidata ID for Aditi Kashyapa and TVASTAR Kashyapa
14	Q1955	Q153390	DAKSHA (reborn as DAKSHA) Prachetas	Q153381	Aditi Kashyapa	unknown		REVIEW	no Wikidata ID for DAKSHA (reborn as DAKSHA) Prachetas and Aditi Kashyapa
14	Q1955	Q153429	PRITHU (Vishnu's amsam) Vena	Q1989	Vijitashva	unknown		REVIEW	no Wikidata ID for PRITHU (Vishnu's amsam) Vena and Vijitashva
14	Q1955	Q153438	VENA Anga	Q2001	Archis(Lakshmi's amsam)	not-checked		REVIEW	
14	Q1955	Q153438	VENA Anga	Q153429	PRITHU (Vishnu's amsam) Vena	unknown		REVIEW	no Wikidata ID for VENA Anga and PRITHU (Vishnu's amsam) Vena
14	Q1955	Q153444	SUNITA Anga	Q153438	VENA Anga	unknown		REVIEW	no Wikidata ID for SUNITA Anga and VENA Anga
14	Q1955	Q153460	SANJNA \ Saranyu Saranyu Saranyu/	Q2035	Yama Dharma King of Death	unknown		REVIEW	no Wikidata ID for SANJNA \ Saranyu Saranyu Saranyu/ and Yama Dharma King of Death
14	Q1955	Q153465	TVASTAR Kashyapa	Q153460	SANJNA \ Saranyu Saranyu Saranyu/	unknown		REVIEW	no Wikidata ID for TVASTAR Kashyapa and SANJNA \ Saranyu Saranyu Saranyu/
14	Q79388	Q79388	D. Ausindo Ximeno	Q79415	D.Soeiro Ausendes	unknown		REVIEW	no Wikidata ID for D. Ausindo Ximeno and D.Soeiro Ausendes
14	Q79388	Q79415	D.Soeiro Ausendes	Q79435	D.Arnaldo  Ximenes	unknown		REVIEW	no Wikidata ID for D.Soeiro Ausendes and D.Arnaldo Ximenes
14	Q79388	Q79424	Gil  Guille em Narbonne	Q79450	Soeiro  Afonso Tangil	unknown		REVIEW	no Wikidata ID for Gil Guille em Narbonne and Soeiro Afonso Tangil
14	Q79388	Q79435	D.Arnaldo  Ximenes	Q79438	Sancho  ou Sancho Arnolfo Ximenes	unknown		REVIEW	no Wikidata ID for D.Arnaldo Ximenes and Sancho ou Sancho Arnolfo Ximenes
14	Q79388	Q79438	Sancho  ou Sancho Arnolfo Ximenes	Q79424	Gil  Guille em Narbonne	unknown		REVIEW	no Wikidata ID for Sancho ou Sancho Arnolfo Ximenes and Gil Guille em Narbonne
14	Q79388	Q79450	Soeiro  Afonso Tangil	Q79480	Fernao  dos de Tangil	unknown		REVIEW	no Wikidata ID for Soeiro Afonso Tangil and Fernao dos de Tangil
14	Q79388	Q79480	Fernao  dos de Tangil	Q79537	Estevao  Soares (D.)	unknown		REVIEW	no Wikidata ID for Fernao dos de Tangil and Estevao Soares (D.)
14	Q79388	Q79537	Estevao  Soares (D.)	Q79618	Tereza  Eriz de Lugo	unknown		REVIEW	no Wikidata ID for Estevao Soares (D.) and Tereza Eriz de Lugo
14	Q79388	Q79618	Tereza  Eriz de Lugo	Q99939	Ufa  Ufes	unknown		REVIEW	no Wikidata ID for Tereza Eriz de Lugo and Ufa Ufes
14	Q79388	Q99939	Ufa  Ufes	Q100154	Godo  Arnaldes de Baiao	unknown		REVIEW	no Wikidata ID for Ufa Ufes and Godo Arnaldes de Baiao
14	Q79388	Q100154	Godo  Arnaldes de Baiao	Q100519	Soeiro  Guedes	unknown		REVIEW	no Wikidata ID for Godo Arnaldes de Baiao and Soeiro Guedes
14	Q79388	Q100519	Soeiro  Guedes	Q101113	D. Ausindo Soares	unknown		REVIEW	no Wikidata ID for Soeiro Guedes and D. Ausindo Soares
14	Q79388	Q101113	D. Ausindo Soares	Q113625	D.Teodoredo Ausendes Soares	unknown		REVIEW	no Wikidata ID for D. Ausindo Soares and D.Teodoredo Ausendes Soares
14	Q79388	Q113625	D.Teodoredo Ausendes Soares	Q79388	D. Ausindo Ximeno	not-checked		REVIEW	
14	Q160460	Q160460	Aditi Kashyapa	Q160580	SURYA Dev aka SUN GOD Kashyap	unknown		REVIEW	no Wikidata ID for Aditi Kashyapa and SURYA Dev aka SUN GOD Kashyap
14	Q160460	Q160460	Aditi Kashyapa	Q160730	TVASTAR Kashyapa	unknown		REVIEW	no Wikidata ID for Aditi Kashyapa and TVASTAR Kashyapa
14	Q160460	Q160489	DAKSHA Prachetas	Q160460	Aditi Kashyapa	unknown		REVIEW	no Wikidata ID for DAKSHA Prachetas and Aditi Kashyapa
14	Q160460	Q160512	PRACHETAS (10 sons)	Q160489	DAKSHA Prachetas	unknown		REVIEW	no Wikidata ID for PRACHETAS (10 sons) and DAKSHA Prachetas
14	Q160460	Q160539	PRACHINBARHI	Q160512	PRACHETAS (10 sons)	unknown		REVIEW	no Wikidata ID for PRACHINBARHI and PRACHETAS (10 sons)
14	Q160460	Q160560	HAVIRDHANA	Q160539	PRACHINBARHI	unknown		REVIEW	no Wikidata ID for HAVIRDHANA and PRACHINBARHI
14	Q160460	Q160576	Vijitashva	Q160560	HAVIRDHANA	unknown		REVIEW	no Wikidata ID for Vijitashva and HAVIRDHANA
14	Q160460	Q160580	SURYA Dev aka SUN GOD Kashyap	Q160673	YAMA Dharma	unknown		REVIEW	no Wikidata ID for SURYA Dev aka SUN GOD Kashyap and YAMA Dharma
14	Q160460	Q160596	PRITHU Vena	Q160576	Vijitashva	unknown		REVIEW	no Wikidata ID for PRITHU Vena and Vijitashva
14	Q160460	Q160597	ARCHIS	Q160576	Vijitashva	not-checked		REVIEW	
14	Q160460	Q160615	VENA Anga	Q160596	PRITHU Vena	unknown		REVIEW	no Wikidata ID for VENA Anga and PRITHU Vena
14	Q160460	Q160615	VENA Anga	Q160597	ARCHIS	not-checked		REVIEW	
14	Q160460	Q160640	SUNITA Anga	Q160615	VENA Anga	unknown		REVIEW	no Wikidata ID for SUNITA Anga and VENA Anga
14	Q160460	Q160673	YAMA Dharma	Q160640	SUNITA Anga	unknown		REVIEW	no Wikidata ID for YAMA Dharma and SUNITA Anga
14	Q160460	Q160707	SANJNA \ Saranyu Saranyu	Q160673	YAMA Dharma	unknown		REVIEW	no Wikidata ID for SANJNA \ Saranyu Saranyu and YAMA Dharma
14	Q160460	Q160730	TVASTAR Kashyapa	Q160707	SANJNA \ Saranyu Saranyu	unknown		REVIEW	no Wikidata ID for TVASTAR Kashyapa and SANJNA \ Saranyu Saranyu
