tangle_size	tangle_head	parent	parent_label	child	child_label	wd_verdict	flag	action	detail
13	Q72834	Q72834	Lucius Caecilius Metellus Calvus	Q141414	Caecilia Metella	confirmed		WRONG-PARENT-EDGE	Wikidata agrees Lucius Caecilius Metellus Calvus is a parent of Caecilia Metella
13	Q72834	Q72858	Quintus Caecilius Metellus Macedonicus	Q139550	Quintus Caecilius Metellus Balearicus	confirmed		WRONG-PARENT-EDGE	Wikidata agrees Quintus Caecilius Metellus Macedonicus is a parent of Quintus Caecilius Metellus Balearicus
13	Q72834	Q72984	Quintus Caecilius Metellus	Q72834	Lucius Caecilius Metellus Calvus	unknown		WRONG-PARENT-EDGE	no Wikidata ID for Quintus Caecilius Metellus
13	Q72834	Q72984	Quintus Caecilius Metellus	Q72858	Quintus Caecilius Metellus Macedonicus	not-checked		WRONG-PARENT-EDGE	
13	Q72834	Q73146	Lucius Caecilius Metellus	Q72984	Quintus Caecilius Metellus	unknown		WRONG-PARENT-EDGE	no Wikidata ID for Quintus Caecilius Metellus
13	Q72834	Q73146	Lucius Caecilius Metellus	Q148066	Marcus Caecilius Metellus	not-checked		WRONG-PARENT-EDGE	
13	Q72834	Q73311	Lucius Caecilius Metellus Denter	Q73146	Lucius Caecilius Metellus	confirmed		WRONG-PARENT-EDGE	Wikidata agrees Lucius Caecilius Metellus Denter is a parent of Lucius Caecilius Metellus
13	Q72834	Q73458	Gaius Caecilius	Q73311	Lucius Caecilius Metellus Denter	confirmed		WRONG-PARENT-EDGE	Wikidata agrees Gaius Caecilius is a parent of Lucius Caecilius Metellus Denter
13	Q72834	Q138399	Caecilia Metella	Q138403	Clodia	confirmed		WRONG-PARENT-EDGE	Wikidata agrees Caecilia Metella is a parent of Clodia
13	Q72834	Q138403	Clodia	Q139560	Licinia	confirmed		WRONG-PARENT-EDGE	Wikidata agrees Clodia is a parent of Licinia
13	Q72834	Q139550	Quintus Caecilius Metellus Balearicus	Q138399	Caecilia Metella	confirmed		WRONG-PARENT-EDGE	Wikidata agrees Quintus Caecilius Metellus Balearicus is a parent of Caecilia Metella
13	Q72834	Q139559	Lucullus	Q139560	Licinia	confirmed		WRONG-PARENT-EDGE	Wikidata agrees Lucullus is a parent of Licinia
13	Q72834	Q139560	Licinia	Q73458	Gaius Caecilius	contradicted		WRONG-PARENT-EDGE	Wikidata records no link between them
13	Q72834	Q141414	Caecilia Metella	Q139559	Lucullus	confirmed		WRONG-PARENT-EDGE	Wikidata agrees Caecilia Metella is a parent of Lucullus
13	Q72834	Q148066	Marcus Caecilius Metellus	Q72834	Lucius Caecilius Metellus Calvus	not-checked		WRONG-PARENT-EDGE	
71	Q61565	Q61565	Constantius Chlorus	Q136506	Flavia Julia Constantia	confirmed		GENERATION-COLLAPSE	Wikidata agrees Constantius Chlorus is a parent of Flavia Julia Constantia
71	Q61565	Q61957	Claudia Crispina	Q61565	Constantius Chlorus	confirmed		GENERATION-COLLAPSE	Wikidata agrees Claudia Crispina is a parent of Constantius Chlorus
71	Q61565	Q62255	Aurelia Pompeiana	Q61957	Claudia Crispina	confirmed		GENERATION-COLLAPSE	Wikidata agrees Aurelia Pompeiana is a parent of Claudia Crispina
71	Q61565	Q62680	Mariana Minor	Q62255	Aurelia Pompeiana	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q62704	Lucius Aurellius Commodus Pompeianus	Q62255	Aurelia Pompeiana	confirmed		GENERATION-COLLAPSE	Wikidata agrees Lucius Aurellius Commodus Pompeianus is a parent of Aurelia Pompeiana
71	Q61565	Q63157	Pendania	Q62680	Mariana Minor	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q63192	Lucilla	Q62704	Lucius Aurellius Commodus Pompeianus	confirmed		GENERATION-COLLAPSE	Wikidata agrees Lucilla is a parent of Lucius Aurellius Commodus Pompeianus
71	Q61565	Q63684	Ummidia Commificia Antonia	Q63157	Pendania	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q63747	Faustina the Younger	Q63192	Lucilla	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q63780	Marcus Aurelius	Q63192	Lucilla	confirmed		GENERATION-COLLAPSE	Wikidata agrees Marcus Aurelius is a parent of Lucilla
71	Q61565	Q64355	Gaius Ummidius Quadratus Annianus Verus  Fulvius	Q63684	Ummidia Commificia Antonia	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q64388	Annia Cornificia Faustina	Q63684	Ummidia Commificia Antonia	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q64483	Faustina the Elder	Q63747	Faustina the Younger	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q64516	Antoninus Pius	Q63747	Faustina the Younger	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q64549	Marcus Annius Verus	Q63780	Marcus Aurelius	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q64549	Marcus Annius Verus	Q65225	Annia Cornificia Faustina	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q64582	Domitia Lucilla Minor	Q63780	Marcus Aurelius	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q64582	Domitia Lucilla Minor	Q65225	Annia Cornificia Faustina	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q65192	Gaius Annianus Verus	Q64355	Gaius Ummidius Quadratus Annianus Verus  Fulvius	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q65225	Annia Cornificia Faustina	Q64355	Gaius Ummidius Quadratus Annianus Verus  Fulvius	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q65258	Rupilia Faustina	Q64388	Annia Cornificia Faustina	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q65258	Rupilia Faustina	Q64483	Faustina the Elder	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q65258	Rupilia Faustina	Q64549	Marcus Annius Verus	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q65258	Rupilia Faustina	Q141756	Annia Rupilia Faustina	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q65489	Hadrian	Q64516	Antoninus Pius	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q65552	Domitia Lucilla	Q64582	Domitia Lucilla Minor	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q66488	Libo Rupilius Frugi	Q65258	Rupilia Faustina	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q66784	Andhra Pradesh	Q65489	Hadrian	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q66916	Curtilia Mancia	Q65552	Domitia Lucilla	confirmed		GENERATION-COLLAPSE	Wikidata agrees Curtilia Mancia is a parent of Domitia Lucilla
71	Q61565	Q67573	Marcus Licinius Crassus Frugi	Q66488	Libo Rupilius Frugi	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q68283	Nerva	Q66784	Andhra Pradesh	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q68488	Octavia	Q66916	Curtilia Mancia	unknown		GENERATION-COLLAPSE	no Wikidata ID for Octavia
71	Q61565	Q69263	Scribonia Magna	Q67573	Marcus Licinius Crassus Frugi	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q69296	Marcus Licinius Crassus Frugi	Q67573	Marcus Licinius Crassus Frugi	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q69972	Octavia Sergia Plotilla	Q68283	Nerva	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q70152	Rubellia Bassa	Q68488	Octavia	unknown		GENERATION-COLLAPSE	no Wikidata ID for Rubellia Bassa and Octavia
71	Q61565	Q70152	Rubellia Bassa	Q69972	Octavia Sergia Plotilla	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q70337	Cornelia Pompeia Magna	Q69263	Scribonia Magna	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q70340	Lucius Scribonius Libo	Q69263	Scribonia Magna	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q70343	Marcus Licinius Crassus Dives	Q69296	Marcus Licinius Crassus Frugi	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q70346	Fausta  Cornelia	Q69296	Marcus Licinius Crassus Frugi	not-checked		GENERATION-COLLAPSE	
71	Q61565	Q70718	Gaius Rubellius Blandus	Q70152	Rubellia Bassa	not-checked		GENERATION-COLLAPSE	
