cycle_len	head	cheapest_cut_loses	worst_edge_loses	cheapest_cut	verdict
47	Q99939 (Ufa Ufes)	0	1110	Q99939 (Ufa Ufes) -> Q100154 (Godo Arnaldes de Baiao)	free to cut
33	Q79385 (Goncalo Ximeno Ausendes)	0	349	Q79495 (Velasquita Maldonado) -> Q79510 (Maria Soares)	free to cut
33	Q79510 (Maria Soares)	0	349	Q99585 (Aviena) -> Q99573 (Proba)	free to cut
28	Q61957 (Claudia Crispina)	0	179	Q72807 (Publius Mucius Scaevola) -> Q141474 (Publius Licinius Crassus Dives Mucianus)	free to cut
16	Q75522 (Anicia Faltonia Proba)	0	9	Q75522 (Anicia Faltonia Proba) -> Q75516 (Anicius Hermogenianus Olybrius)	free to cut
12	Q153465 (TVASTAR Kashyapa)	0	12	Q153460 (SANJNA \ Saranyu Saranyu Saranyu/) -> Q2035 (Yama Dharma King of Death)	free to cut
12	Q72786 (Marcus Aemilius Lepidus)	0	106	Q72786 (Marcus Aemilius Lepidus) -> Q72693 (Quintus Aemilius Lepidus)	free to cut
12	Q132283 (Libya)	0	0	Q132283 (Libya) -> Q90576 (Belus)	free to cut
12	Q74677 (Ops)	0	0	Q74677 (Ops) -> Q74656 (Q74656)	free to cut
12	Q74656 (Q74656)	0	0	Q74656 (Q74656) -> Q131757 (Epaphus)	free to cut
12	Q160673 (YAMA Dharma)	0	0	Q160673 (YAMA Dharma) -> Q160640 (SUNITA Anga)	free to cut
11	Q2035 (Yama Dharma King of Death)	0	12	Q153444 (SUNITA Anga) -> Q153438 (VENA Anga)	free to cut
11	Q160580 (SURYA Dev aka SUN GOD Kashyap)	0	0	Q160580 (SURYA Dev aka SUN GOD Kashyap) -> Q160673 (YAMA Dharma)	free to cut
10	Q74973 (Danaus)	0	0	Q74973 (Danaus) -> Q130019 (Asia)	free to cut
10	Q90576 (Belus)	0	0	Q90576 (Belus) -> Q74973 (Danaus)	free to cut
10	Q6421 (Shaodian)	0	9	Q87840 (Q87840) -> Q6421 (Shaodian)	free to cut
9	Q138403 (Clodia)	0	0	Q138403 (Clodia) -> Q139560 (Licinia)	free to cut
8	Q139560 (Licinia)	0	0	Q139560 (Licinia) -> Q73458 (Gaius Caecilius)	free to cut
8	Q73599 (Gnaeus Servilius)	0	0	Q73599 (Gnaeus Servilius) -> Q73479 (Quintus Servilius)	free to cut
7	Q140681 (Lleucu ferch Gruffudd)	0	72	Q138061 (Joan ferch Ieuan ap Rhys ap Llowdden) -> Q138810 (Llywelyn Ddû ab Owain)	free to cut
7	Q130019 (Asia)	0	0	Q130019 (Asia) -> Q130582 (Atlas)	free to cut
7	Q74973 (Danaus)	0	0	Q74973 (Danaus) -> Q130019 (Asia)	free to cut
7	Q130019 (Asia)	0	0	Q130019 (Asia) -> Q130582 (Atlas)	free to cut
7	Q171493 (Venkatacharyar Jatavallabha (Jatavallabha award by Maha)	0	0	Q171493 (Venkatacharyar Jatavallabha (Jatavallabha award by Maha) -> Q171595 (Rangacharya Jatavallabha (Jatavallabha award by Maha)	free to cut
7	Q137878 (NN ferch Cynfyn ap Gwerystan ap Gwaithfoed)	0	0	Q137878 (NN ferch Cynfyn ap Gwerystan ap Gwaithfoed) -> Q137383 (Nest ferch Gwrgan ab Ithel ab Idwallon)	free to cut
7	Q137384 (Ynyr, lord of Gwent)	0	0	Q137384 (Ynyr, lord of Gwent) -> Q137899 (Morfudd ferch Ynir)	free to cut
6	Q138363 (Gepaepyris)	0	29	Q139511 (Cotys III) -> Q138363 (Gepaepyris)	free to cut
6	Q132328 (Erichthonius of Dardania)	0	0	Q132328 (Erichthonius of Dardania) -> Q74698 (Tros)	free to cut
6	Q130716 (Electra)	0	0	Q130716 (Electra) -> Q131683 (Dardanus)	free to cut
6	Q130582 (Atlas)	0	0	Q130582 (Atlas) -> Q130716 (Electra)	free to cut
6	Q130582 (Atlas)	0	0	Q130582 (Atlas) -> Q130716 (Electra)	free to cut
6	Q85498 (Sekhemre Sementawi Djehuti)	0	3	Q85498 (Sekhemre Sementawi Djehuti) -> Q85478 (Sekhemre Sankhtawy Neferhotep III)	free to cut
6	Q85478 (Sekhemre Sankhtawy Neferhotep III)	0	3	Q85478 (Sekhemre Sankhtawy Neferhotep III) -> Q85578 (Sankhenre Mentuhotep VI)	free to cut
5	Q124326 (Guerau V de Cabrera)	0	1	Q104371 (Arsende de Cabrera) -> Q107162 (Ermengol VII, Count of Urgell)	free to cut
5	Q75540 (Quintus Clodius Hermogenianus Olybrius)	0	1	Q75540 (Quintus Clodius Hermogenianus Olybrius) -> Q75522 (Anicia Faltonia Proba)	free to cut
5	Q131896 (Tyro)	0	0	Q131896 (Tyro) -> Q131902 (Neleus)	free to cut
5	Q85578 (Sankhenre Mentuhotep VI)	0	3	Q85514 (Senebhenaf .) -> Q85500 (Mentuhotep .)	free to cut
5	Q73970 (Appius Claudius Crassus Inregillensis)	0	0	Q73970 (Appius Claudius Crassus Inregillensis) -> Q73887 (Gaius Claudius Crassus Inrelligensis)	free to cut
4	Q144542 (Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig)	0	18	Q148521 (Tudur Fongam ap Cynwrig Fychan ap Cynwrig ap Llywarch) -> Q144542 (Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig)	free to cut
4	Q135895 (Pepin of Herstal)	0	9	Q135895 (Pepin of Herstal) -> Q113081 (Charles Martel)	free to cut
4	Q118732 (Olaf Geirstad-Alf)	0	4	Q123845 (Alfhild) -> Q118732 (Olaf Geirstad-Alf)	free to cut
4	Q75516 (Anicius Hermogenianus Olybrius)	0	1	Q75603 (Demetrias) -> Q75558 (Clodia Celsina)	free to cut
4	Q78264 (Lucius Pinarius)	0	2	Q78264 (Lucius Pinarius) -> Q78108 (Lucius Pinarius Scarpus)	free to cut
4	Q74698 (Tros)	0	0	Q74698 (Tros) -> Q90309 (Oceanus)	free to cut
4	Q135406 (Jehoiakim)	0	141	Q60222 (Q60222) -> Q135406 (Jehoiakim)	free to cut
4	Q135406 (Jehoiakim)	0	141	Q4626 (Zebudah) -> Q135406 (Jehoiakim)	free to cut
4	Q161658 (Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja)	0	0	Q161658 (Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja) -> Q161777 (Dewa Amas Sang Aji Kala)	free to cut
4	Q160928 (Swammbhu Brambha)	0	0	Q160928 (Swammbhu Brambha) -> Q160981 (Person Q160981)	free to cut
3	Q3457 (Miguel de Cervantes)	0	22	Q32086 (Rodrigo Cervantes Torreblanca) -> Q3457 (Miguel de Cervantes)	free to cut
3	Q76693 (Sergius Octavius Pontianus Laenes Octavius Pontainus)	0	2	Q76933 (Sergius Octavius Pontainus) -> Q76693 (Sergius Octavius Pontianus Laenes Octavius Pontainus)	free to cut
3	Q141474 (Publius Licinius Crassus Dives Mucianus)	0	1	Q141474 (Publius Licinius Crassus Dives Mucianus) -> Q72972 (Publius Licinius Crassus Dives)	free to cut
3	Q72798 (Marcus Livius Drusus)	0	11	Q72798 (Marcus Livius Drusus) -> Q73119 (Marcus Livius Drusus)	free to cut
3	Q73119 (Marcus Livius Drusus)	0	11	Q73284 (Q73284) -> Q73119 (Marcus Livius Drusus)	free to cut
3	Q73383 (Lucius Junius Brutus)	0	2	Q73518 (C. Junius Junius Brutus Brutus) -> Q73383 (Lucius Junius Brutus)	free to cut
3	Q86607 (Acha Ish Kfar Temarta)	0	0	"Q86607 (Acha Ish Kfar Temarta) -> Q91134 (Abba ""Abbahu"" bar Acha bar Sallah al-Kafri)"	free to cut
3	Q73824 (Agathocles of Pella)	0	0	Q73824 (Agathocles of Pella) -> Q135467 (Alcimachus of Apollonia)	free to cut
2	Q119481 (Pons Hug d'Entença)	0	1	Q124343 (Jussiana d'Entença) -> Q119481 (Pons Hug d'Entença)	free to cut
2	Q90982 (Esther bat Yosef ben 'Amram haDayyan al-Sijilma)	0	1	Q88454 (Esther bat Sahlan ben Abraham) -> Q90982 (Esther bat Yosef ben 'Amram haDayyan al-Sijilma)	free to cut
2	Q78402 (Q78402)	0	0	Q78402 (Q78402) -> Q78719 (Cleopatra III of Egypt)	free to cut
2	Q29144 (kay uyarsh Raja Iran)	0	0	Q29144 (kay uyarsh Raja Iran) -> Q29148 (kay pisan Raja Iran)	free to cut
2	Q29148 (kay pisan Raja Iran)	0	0	Q29148 (kay pisan Raja Iran) -> Q52709 (Q52709)	free to cut
2	Q29144 (kay uyarsh Raja Iran)	0	1	Q52713 (Q52713) -> Q29144 (kay uyarsh Raja Iran)	free to cut
2	Q23888 (Uematsu Takamasa)	0	0	Q23888 (Uematsu Takamasa) -> Q47737 (Iwakura Hiromasa)	free to cut
