cycle_len	chain_qids	chain_labels
16	Q75522 -> Q75516 -> Q75603 -> Q75558 -> Q65002 -> Q64169 -> Q63517 -> Q62926 -> Q62515 -> Q75817 -> Q75721 -> Q75781 -> Q75694 -> Q75634 -> Q75573 -> Q75543 -> Q75522	Anicia Faltonia Proba -> Anicius Hermogenianus Olybrius -> Demetrias -> Clodia Celsina -> Sextus Claudius Petronius Probus -> Petronius -> Petronius  Junior -> Gnaeus Petronius Probatus Junior  Justus -> Petronia -> Publilia -> Rufia Procula -> Caeionius  Proculus -> Caeionius Julianus Camerius -> Caeionia Auchenia Bassa -> Anicius Auchenius Bassus -> Tyrrania Anicia Juliana -> Anicia Faltonia Proba
4	Q75516 -> Q75603 -> Q75558 -> Q65002 -> Q75516	Anicius Hermogenianus Olybrius -> Demetrias -> Clodia Celsina -> Sextus Claudius Petronius Probus -> Anicius Hermogenianus Olybrius
6	Q138363 -> Q138365 -> Q148022 -> Q144020 -> Q141360 -> Q139511 -> Q138363	Gepaepyris -> Tiberius Julius Cotys I -> Rhescuporis I -> Cotys II -> Rhoemetalces I -> Cotys III -> Gepaepyris
3	Q3457 -> Q31038 -> Q32086 -> Q3457	Miguel de Cervantes -> Juan  de Cervantes -> Rodrigo  Cervantes Torreblanca -> Miguel de Cervantes
2	Q90982 -> Q88454 -> Q90982	Esther  bat Yosef ben 'Amram haDayyan al-Sijilma -> Esther  bat Sahlan ben Abraham -> Esther  bat Yosef ben 'Amram haDayyan al-Sijilma
28	Q61957 -> Q61565 -> Q136506 -> Q73308 -> Q73140 -> Q72966 -> Q72807 -> Q141474 -> Q72972 -> Q72981 -> Q72831 -> Q72657 -> Q72933 -> Q72774 -> Q72603 -> Q72425 -> Q72239 -> Q77611 -> Q77386 -> Q70152 -> Q68488 -> Q66916 -> Q65552 -> Q139826 -> Q63780 -> Q63192 -> Q62704 -> Q62255 -> Q61957	Claudia Crispina -> Constantius Chlorus -> Flavia Julia Constantia -> Licinius  Varus -> Gaius Lincinius  Varus -> Lincinia  Varus -> Publius Mucius Scaevola -> Publius Licinius Crassus Dives Mucianus -> Publius Licinius Crassus Dives -> Publius Licinius Crassus -> Marcus Licinius Crassus -> Publius Licinius Crassus Dives -> Marcus Licinius Crassus -> Licinia Crassa  Pilius -> Pilia -> Attica -> Vipsania Agrippina -> Drusus Julius Caesar -> Julia Livia -> Rubellia Bassa -> Octavia -> Curtilia Mancia -> Domitia Lucilla -> Calvisia Domitia Lucilla -> Marcus Aurelius -> Lucilla -> Lucius Aurellius Commodus Pompeianus -> Aurelia Pompeiana -> Claudia Crispina
3	Q76693 -> Q77155 -> Q76933 -> Q76693	Sergius Octavius Pontianus Laenes Octavius  Pontainus -> Sergius Ovtavius Laenes -> Sergius Octavius Pontainus -> Sergius Octavius Pontianus Laenes Octavius  Pontainus
3	Q141474 -> Q72972 -> Q72810 -> Q141474	Publius Licinius Crassus Dives Mucianus -> Publius Licinius Crassus Dives -> Licinia -> Publius Licinius Crassus Dives Mucianus
4	Q78264 -> Q78108 -> Q77955 -> Q77782 -> Q78264	Lucius Pinarius -> Lucius Pinarius Scarpus -> Lucius Pinarius Scarpus -> Pinarius -> Lucius Pinarius
3	Q72798 -> Q73119 -> Q72951 -> Q72798	Marcus Livius Drusus -> Marcus Livius Drusus -> Gaius Livius Drusus -> Marcus Livius Drusus
3	Q73119 -> Q72951 -> Q73284 -> Q73119	Marcus Livius Drusus -> Gaius Livius Drusus ->  -> Marcus Livius Drusus
11	Q2035 -> Q153444 -> Q153438 -> Q153429 -> Q1989 -> Q1978 -> Q49707 -> Q49634 -> Q153390 -> Q153381 -> Q1991 -> Q2035	Yama Dharma King of Death -> SUNITA Anga -> VENA Anga -> PRITHU (Vishnu's amsam) Vena -> Vijitashva -> Havirdhana -> Prachinbarhi -> Prachetas (10 sons) -> DAKSHA (reborn as DAKSHA) Prachetas -> Aditi Kashyapa -> Surya Sun God -> Yama Dharma King of Death
