qid	label	wikidata_qid	wikidata_name	name_score
Q29351	Fez	Q556234	非子	0.75
Q109111	Amat al-Aziz al-Farsiyya	Q134269835	أمة العزيز الفارسية	0.75
Q14030	Horikawa Sadamitsu	Q11427362	堀口貞満	0.76
Q37685	Shiliandali	Q7080746	失怜答里	0.76
Q64192	rgyl-po-gnm-ri-srong-btsn /	Q107424714	Namri Songtsen	0.76
Q88360	Hizkiya II ben David	Q3138729	Hizkiya Gaon	0.76
Q95660	Salih son of Ali	Q7404507	Sàlih ibn Alí	0.76
Q64468	'Atikah binte Murrah bin Hilal	Q4815780	Atikah bint Murrah	0.77
Q65005	Salma born of Amr	Q7405371	Salma bint Amr	0.77
Q112148	Ubbe Ragnarsson	Q879668	Бьёрн Железнобокий	0.77
Q149226	Isabella of England	Q75384351	إليزابيث من روديان	0.77
Q46114	Evdokiya Paleologinya Dzhamblakississa	Q61328617	Ευδοκία Παλαιολογίνα Τζαμπλακώνισσα	0.78
Q109710	Ḥuṭaaá altaamīmyaah	Q124746059	حُطَّى التَّمِيميَّة	0.78
Q128018	Ingeborg of France	Q231755	Ingeborg da Dinamarca, rainha de França	0.78
Q95694	Asad born of Abdul-Uzza	Q4803228	Asad ibn Abd-al-Uzza	0.79
Q111376	Basil ibn Dabba ibn Id	Q91097166	باسل بن ضبة بن إد	0.79
Q112498	Adela of Burgundy	Q11904158	Adela de Borgonya	0.79
Q78701	N.N.	Q112607049	NN	0.80
Q94405	Safiyyah daughter of Abd al-Muttalib	Q2740828	Safija bint Abdylmutalib	0.80
Q112985	N.N.	Q131731621	NN	0.80
Q112987	N.N.	Q131731622	NN	0.80
Q116575	Adela of Louvain	Q2315828	Adela van Leuven	0.80
Q137665	N.N.	Q110737976	anonyma	0.80
Q148885	Richard Skrup	Q111442411	Ричард Скруп	0.81
Q29165	daughter of Nobucuny Nakamikada	Q108142067	中御門宣綱の娘 (皆川広照の正室)	0.82
Q43007	Sudun Noyon	Q62597837	スドン	0.82
Q62815	Ka'b born of Lu'ayy	Q12234967	كعب بن لؤي	0.82
Q95686	Zuhrah Ibn Imaam Kilaab	Q8075041	Zuhrah ibn Kilab	0.82
Q63556	Qusai born of Kilab	Q2724873	Qushay bin Kilab	0.82
Q109982	Mur ibn Id	Q131609332	مر بن إد	0.82
Q154022	Ruricus Bishop of Limoges	Q1411309	Rurice de Limoges	0.82
Q29350	daughter Micikacua Ody	Q109653395	織田達勝の娘 (織田信秀の正室)	0.83
Q29354	daughter Tosinobua Ody	Q109653415	織田敏信の娘 (織田信秀の側室)	0.83
Q34547	daughter Dosana Saitoa	Q109331531	斎藤道三の娘 (伊勢貞良の正室)	0.83
Q34839	daughter Dosana Saitoa	Q109330974	斎藤利政の娘 (土岐頼香の妻)	0.83
Q34843	daughter Dosana Saitoa	Q109331020	斎藤道三の娘 (斎藤利三の正室)	0.83
Q37693	Deshou	Q7080880	Teshou	0.83
Q61677	daughter Cang Si-canga	Q110231072	張易之の姉妹 (楊国忠の母)	0.83
Q62968	Murrah born of Ka'b	Q12242034	مرة بن كعب	0.83
Q86975	Lu'ay born of Ghalib	Q12236836	لؤي بن غالب	0.83
Q110356	Id ibn Tabakha	Q131609347	إد بن طابخة	0.83
Q139405	Thorarinn Thordarson	Q16652512	Þórarinn Þórðarson	0.83
Q143808	Izabella de Sanlis	Q61911582	Изабелла де Санлис	0.83
Q26944	daughter Udzinagy Narity	Q108142359	成田氏長の娘 (小山秀綱の正室)	0.84
Q28671	daughter Tomociky Makiho	Q109928699	真木朝親の娘 (尼子清定の妻)	0.84
Q37750	daughter Naritaky Moriho	Q111023538	毛利就隆の娘 (岡部高成の妻)	0.84
Q37471	daughter Naritaky Moriho	Q109852265	毛利就隆の娘 (葉室頼孝の妻)	0.84
Q48524	daughter Nobutady Sanady	Q108807726	真田信尹の娘 (鎌原重春の正室)	0.84
Q63233	Kilab born of Murrah	Q2327777	Kilab ibn Murrah	0.84
Q66946	Gnaeus Domitius Lucanus	Q684275	Gnaeus Domitius Tullus	0.84
Q111471	Guerin of Toulouse	Q28374137	Guerino di Tolosa	0.84
Q114076	Hedwig of Roucy	Q48925112	Hedwige de Roucy	0.84
Q121257	Igorevich Yaroslavich	Q115556275	Ігаравіч Яраславіч	0.84
Q64900	Barrah born of Abdul-Uzza	Q15960906	Barrah bint Abdul Uzza	0.85
Q96264	Khuwaylid born of Asad	Q6403243	خويلد بن أسد	0.85
Q110812	Dabba ibn Ad	Q124407049	ضبة بن أد	0.85
Q27624	daughter Micuhideho Akeciho	Q109919992	明智光秀長女 (荒木村次正室のち明智秀満の妻)	0.86
Q28541	daughter Takakageho Asakury	Q111202127	朝倉孝景の娘 (斯波義廉の妻)	0.86
Q29334	daughter Iekijoa Macudairy	Q108747363	松平家清の娘 (浅野長重正室)	0.86
Q29924	daughter Nobumasy Nagasaky	Q110894738	長坂信政の娘 (服部正成の妻)	0.86
Q31260	daughter Masaharu Hosokawy	Q108776871	細川政春の娘 (畠山尚順の妻)	0.86
