parent	child
Q100188	Q100292
Q100188	Q100294
Q100188	Q100296
Q10019	Q10525
Q100190	Q100571
Q100194	Q100198
Q100194	Q99979
Q100196	Q100198
Q100196	Q99979
Q100198	Q100575
Q100200	Q100202
Q100202	Q100585
Q100202	Q100587
Q100202	Q100589
Q100204	Q100206
Q100204	Q100208
Q100204	Q100210
Q100206	Q100593
Q100208	Q100595
Q100208	Q100597
Q100210	Q100599
Q100212	Q100152
Q100214	Q100216
Q100216	Q100603
Q100218	Q100220
Q100218	Q100222
Q100218	Q100224
Q100218	Q100226
Q100218	Q100228
Q100218	Q100230
Q10022	Q10527
Q100220	Q100605
Q100224	Q100609
Q100226	Q100611
Q100228	Q100613
Q100228	Q100615
Q10023	Q10528
Q100236	Q100617
Q10024	Q10171
Q100242	Q100609
Q100242	Q100619
Q100244	Q100246
Q100246	Q100627
Q100248	Q100250
Q100248	Q100252
Q100248	Q100254
Q10025	Q10026
Q10025	Q10027
Q10025	Q10028
Q100250	Q100635
Q100254	Q100639
Q100256	Q100258
Q100256	Q100260
Q100256	Q100262
Q100256	Q100264
Q100256	Q100266
Q100256	Q100268
Q100256	Q100270
Q100258	Q100645
Q10026	Q10310
Q100270	Q100611
Q100272	Q100274
Q100274	Q100653
Q100274	Q100655
Q100274	Q100657
Q100276	Q100278
Q100278	Q100663
Q10028	Q10531
Q100282	Q100284
Q100282	Q100286
Q100284	Q100671
Q100286	Q100675
Q100286	Q100677
Q100286	Q100679
Q100286	Q100681
Q100290	Q100021
Q100290	Q100292
Q100290	Q100294
Q100290	Q100296
Q100292	Q100687
Q100294	Q100692
Q100296	Q100314
Q100298	Q100300
Q100300	Q100700
Q100308	Q100661
Q100308	Q100702
Q100308	Q100704
Q100308	Q100706
Q10031	Q10282
Q10031	Q10283
Q100310	Q100708
Q100310	Q100710
Q100314	Q100316
Q100314	Q100318
Q100314	Q100320
Q100316	Q100714
Q100318	Q100718
Q100318	Q100720
Q10032	Q10254
Q100320	Q100724
Q100324	Q100326
Q100326	Q100726
Q100330	Q100332
Q100330	Q100334
Q100332	Q100734
Q100336	Q100338
Q100336	Q100340
Q100336	Q100342
Q10034	Q10534
Q100340	Q100740
Q100340	Q110072
Q100342	Q100744
Q100344	Q100346
Q100346	Q100752
Q100348	Q100756
Q100350	Q100352
Q100350	Q100354
Q100350	Q100356
Q100350	Q100358
Q100350	Q100360
Q100352	Q100443
Q100352	Q100760
Q100352	Q100762
Q100352	Q100764
Q100352	Q100766
Q100352	Q100768
Q100352	Q100770
Q100352	Q100772
Q100352	Q100774
Q100354	Q100778
Q100354	Q100780
Q100354	Q100782
Q100356	Q100786
Q100358	Q100788
Q100358	Q100790
Q100358	Q100792
Q100358	Q100794
Q100358	Q100796
Q100358	Q100798
Q100360	Q100802
Q100360	Q100804
Q100360	Q100806
Q100362	Q100364
Q100362	Q100366
Q100364	Q100443
Q100364	Q100772
Q100364	Q100774
Q100368	Q100370
Q100370	Q100812
Q100370	Q100814
Q100372	Q100374
Q100372	Q100376
Q100372	Q100378
Q100374	Q100820
Q100374	Q100822
Q100374	Q100824
Q100374	Q100826
Q100374	Q100828
Q100374	Q100830
Q100374	Q109770
Q100374	Q110020
Q100374	Q110022
Q100374	Q110024
Q100374	Q110026
Q100374	Q110028
Q100374	Q110030
Q100378	Q100834
Q10038	Q10363
Q100380	Q100072
Q100380	Q100384
Q100380	Q100386
Q100380	Q100388
Q100382	Q100072
Q100382	Q100384
Q100382	Q100386
Q100382	Q100388
Q100384	Q100842
Q10039	Q10538
Q100390	Q101824
Q100392	Q100394
Q100398	Q100401
Q100398	Q100403
Q100401	Q100738
Q100401	Q100850
Q100401	Q100852
Q100401	Q100854
Q100401	Q100856
Q100401	Q100858
Q100401	Q100860
Q100401	Q100862
Q100401	Q100864
Q100401	Q100866
Q100401	Q100868
Q100405	Q100080
Q100405	Q100409
Q100407	Q100080
Q100407	Q100409
Q100411	Q100082
Q100411	Q100415
Q100411	Q100417
Q100411	Q100419
Q100413	Q100082
Q100413	Q100415
Q100413	Q100417
Q100413	Q100419
Q100417	Q100890
Q100419	Q100643
Q100419	Q100892
Q100419	Q100894
Q100419	Q100896
Q100419	Q100898
Q100421	Q100423
Q100421	Q100425
Q100421	Q100427
Q100421	Q100429
Q100421	Q100431
Q100421	Q100433
Q100421	Q100435
Q100421	Q100437
Q100421	Q101425
Q100421	Q101427
Q100425	Q100902
Q100425	Q100904
Q100425	Q100906
Q100427	Q100914
Q100427	Q100916
Q100427	Q100918
Q100427	Q100920
Q100427	Q100922
Q100427	Q100924
Q100427	Q100926
Q100427	Q100928
Q100427	Q110106
Q100427	Q110108
Q100427	Q110110
Q100427	Q110112
Q100427	Q110114
Q100429	Q100932
Q100429	Q100934
Q100429	Q100936
Q100429	Q100938
Q100429	Q100940
Q100429	Q100942
Q100429	Q100944
Q100429	Q100946
Q100435	Q100661
Q100435	Q100702
Q100435	Q100704
Q100435	Q100706
Q100435	Q100726
Q100435	Q100950
Q100435	Q100952
Q100435	Q100954
Q100435	Q100956
Q100435	Q100958
Q100435	Q100960
Q100435	Q100962
Q100435	Q110074
Q100435	Q110076
Q100435	Q110078
Q100435	Q110080
Q100435	Q110082
Q100435	Q110084
Q100435	Q110116
Q100437	Q100964
Q100437	Q100966
Q100437	Q100970
Q100441	Q100084
Q100441	Q100094
Q100441	Q100324
Q100441	Q100336
Q100441	Q100445
Q100441	Q100447
Q100441	Q100449
Q100441	Q100974
Q100441	Q109557
Q100441	Q109559
Q100441	Q109561
Q100441	Q109563
Q100441	Q109565
Q100441	Q109764
Q100443	Q100084
Q100443	Q100094
Q100443	Q100324
Q100443	Q100336
Q100443	Q100445
Q100443	Q100447
Q100443	Q100449
Q100443	Q109557
Q100443	Q109559
Q100443	Q109561
Q100443	Q109563
Q100443	Q109565
Q100445	Q100848
Q100445	Q100989
Q100445	Q100993
Q100445	Q100995
Q100445	Q100997
Q100445	Q100999
Q100445	Q101001
Q100447	Q100708
Q100447	Q100710
Q100447	Q100948
Q100447	Q101007
Q10045	Q10548
Q100451	Q100086
Q100453	Q100455
Q100453	Q100457
Q100457	Q101013
Q100459	Q100090
Q100461	Q100090
Q100463	Q100465
Q100467	Q101021
Q100467	Q101023
Q100471	Q100116
Q100471	Q100407
Q100471	Q100475
Q100473	Q100116
Q100473	Q100407
Q100473	Q100475
Q100475	Q100742
Q100475	Q101029
Q100477	Q100118
Q100479	Q100118
Q100481	Q100483
Q100481	Q100485
Q100481	Q100487
Q100481	Q100489
Q100483	Q100421
Q100483	Q101033
Q100483	Q109784
Q100493	Q100495
Q100495	Q101043
Q100499	Q100136
Q100499	Q100503
Q100501	Q100136
Q100501	Q100503
Q100501	Q101047
Q100503	Q101063
Q100503	Q101065
Q100505	Q100212
Q100511	Q100513
Q100511	Q100515
Q100513	Q101075
Q100513	Q101077
Q100513	Q101079
Q100513	Q101083
Q100513	Q101085
Q100517	Q100519
Q100517	Q101089
Q100517	Q101091
Q100517	Q101093
Q100519	Q101105
Q100519	Q101107
Q100519	Q101109
Q100519	Q101111
Q100519	Q101113
Q100519	Q101115
Q10052	Q10537
Q100521	Q100523
Q100523	Q101125
Q100523	Q101127
Q100523	Q101129
Q100525	Q100527
Q100525	Q100529
Q100527	Q101139
Q100527	Q101141
Q100527	Q101143
Q100529	Q101147
Q10053	Q10554
Q100531	Q100533
Q100531	Q100535
Q100533	Q101165
Q100533	Q101167
Q100533	Q101169
Q100533	Q101171
Q100533	Q101173
Q100533	Q101175
Q100533	Q101177
Q100535	Q101181
Q100535	Q101183
Q100535	Q101185
Q100535	Q101187
Q100535	Q101191
Q100535	Q101193
Q100535	Q101195
Q100539	Q100194
Q100539	Q100541
Q10054	Q10557
Q10054	Q10558
Q100541	Q101199
Q100543	Q100545
Q100543	Q100547
Q100543	Q100549
Q100549	Q100272
Q100549	Q100649
Q100551	Q100888
Q100551	Q101201
Q100551	Q101203
Q100553	Q101205
Q100559	Q101207
Q100561	Q100563
Q100563	Q101209
Q100565	Q100567
Q100567	Q101213
Q100569	Q100571
Q100571	Q101217
Q100571	Q101219
Q100571	Q101221
Q100571	Q101223
Q100573	Q100575
Q100575	Q101227
Q100577	Q100200
Q100577	Q100581
Q100579	Q100200
Q100579	Q100581
Q100579	Q101229
Q100581	Q101239
Q100581	Q101241
Q100581	Q101243
Q100583	Q100585
Q100583	Q100587
Q100583	Q100589
Q100587	Q100256
Q100587	Q100276
Q100587	Q100595
Q100587	Q100597
Q100587	Q100643
Q100587	Q100892
Q100587	Q100894
Q100587	Q100896
Q100587	Q100898
Q10059	Q10465
Q10059	Q10466
Q10059	Q10467
Q100591	Q100593
Q100593	Q101247
Q100595	Q101249
Q100595	Q101251
Q100597	Q101253
Q100599	Q101255
Q10060	Q10563
Q100601	Q100603
Q100603	Q101259
Q100605	Q101261
Q100605	Q101263
Q100605	Q101265
Q100607	Q101261
Q100607	Q101263
Q100607	Q101265
Q100609	Q101269
Q100609	Q101271
Q100611	Q101273
Q100611	Q101275
Q100611	Q101277
Q100611	Q101279
Q100611	Q101281
Q100611	Q101283
Q100611	Q101285
Q100611	Q101287
Q100617	Q101289
Q100619	Q101293
Q100621	Q100244
Q100623	Q100244
Q100625	Q100627
Q100627	Q101297
Q100629	Q100248
Q10063	Q10067
Q100631	Q100248
Q100633	Q100635
Q100635	Q101305
Q100635	Q101307
Q100635	Q101309
Q100635	Q101311
Q100635	Q101313
Q100635	Q101315
Q100635	Q101317
Q100635	Q101321
Q100637	Q100639
Q100639	Q101333
Q100639	Q101335
Q100639	Q101337
Q100639	Q101339
Q100641	Q100256
Q100643	Q100645
Q100645	Q101273
Q100645	Q101275
Q100645	Q101277
Q100645	Q101279
Q100645	Q101281
Q100645	Q101283
Q100645	Q101285
Q100645	Q101287
Q100647	Q100272
Q100647	Q100649
Q100651	Q100653
Q100651	Q100655
Q100651	Q100657
Q100657	Q101343
Q100659	Q100276
Q100661	Q100663
Q100661	Q101351
Q100661	Q101353
Q100661	Q101355
Q100661	Q101357
Q100661	Q101359
Q100661	Q101361
Q100661	Q101363
Q100661	Q101365
Q100661	Q101367
Q100663	Q101371
Q100663	Q101373
Q100663	Q101375
Q100663	Q101377
Q100663	Q101379
Q100665	Q100282
Q100667	Q100282
Q100669	Q100671
Q10067	Q10567
Q10067	Q10568
Q100671	Q101385
Q100673	Q100675
Q100673	Q100677
Q100673	Q100679
Q100673	Q100681
Q100675	Q101387
Q100683	Q100290
Q100685	Q100687
Q100687	Q101391
Q10069	Q10570
Q10069	Q10571
Q10069	Q10572
Q10069	Q10573
Q100690	Q100692
Q100692	Q101395
Q100694	Q100298
Q100696	Q100298
Q100698	Q100700
Q100700	Q101405
Q100700	Q101407
Q100700	Q101409
Q100700	Q101411
Q100700	Q101415
Q100702	Q101417
Q100708	Q101421
Q100708	Q101423
Q100710	Q101425
Q100710	Q101427
Q100710	Q101431
Q100710	Q101433
Q100710	Q101435
Q100710	Q101437
Q100712	Q100714
Q100714	Q101441
Q100716	Q100718
Q100716	Q100720
Q100718	Q101455
Q10072	Q10576
Q100722	Q100724
Q100724	Q101455
Q100728	Q100330
Q100730	Q100330
Q100732	Q100734
Q100732	Q101461
Q100734	Q101459
Q100734	Q101469
Q100734	Q101471
Q100738	Q100740
Q100738	Q110072
Q10074	Q10581
Q100742	Q100744
Q100744	Q101481
Q100744	Q101483
Q100744	Q101485
Q100744	Q101487
Q100744	Q101489
Q100744	Q101491
Q100744	Q101493
Q100744	Q101495
Q100746	Q100344
Q100746	Q100748
Q100746	Q100750
Q100750	Q101501
Q100750	Q101503
Q100752	Q101229
Q100754	Q100756
Q100756	Q101509
Q100758	Q100760
Q100758	Q100762
Q100758	Q100764
Q100758	Q100766
Q100758	Q100768
Q100758	Q100770
Q100760	Q101513
Q100762	Q101473
Q100764	Q101519
Q100764	Q101521
Q100772	Q101523
Q100772	Q101525
Q100772	Q101527
Q100776	Q100778
Q100776	Q100780
Q100776	Q100782
Q100776	Q100828
Q100776	Q100830
Q100778	Q101529
Q100778	Q101531
Q100778	Q101533
Q100784	Q100786
Q100786	Q101539
Q100786	Q101543
Q100788	Q101547
Q100788	Q101549
Q100788	Q101551
Q100788	Q101553
Q100788	Q101555
Q100800	Q100802
Q100800	Q100804
Q100800	Q100806
Q100804	Q101567
Q100804	Q101569
Q100804	Q101571
Q100804	Q101573
Q100804	Q101575
Q100806	Q101577
Q100806	Q101579
Q100810	Q100812
Q100810	Q100814
Q100812	Q101583
Q100814	Q101585
Q100818	Q100820
Q100818	Q100822
Q100818	Q100824
Q100818	Q100826
Q100822	Q101003
Q100822	Q101589
Q100822	Q101591
Q100828	Q100948
Q100828	Q101007
Q100830	Q101595
Q100832	Q100834
Q100834	Q101597
Q100836	Q100380
Q100836	Q100840
Q100838	Q100380
Q100838	Q100840
Q100840	Q101605
Q100840	Q101607
Q100842	Q101609
Q100848	Q100738
Q100848	Q100850
Q100848	Q100852
Q100848	Q100854
Q100848	Q100856
Q100848	Q100858
Q100848	Q100860
Q100850	Q101611
Q100850	Q101613
Q100850	Q123509
Q10086	Q10087
Q10086	Q10625
Q10086	Q10626
Q10086	Q10627
Q10086	Q10632
Q100862	Q113280
Q100864	Q101623
Q100864	Q101625
Q100864	Q113288
Q100872	Q100405
Q100872	Q100481
Q100872	Q100876
Q100872	Q100878
Q100872	Q100880
Q100872	Q100882
Q100874	Q100405
Q100874	Q100481
Q100874	Q100876
Q100874	Q100878
Q100874	Q100880
Q100874	Q100882
Q100876	Q113296
Q100878	Q101643
Q100878	Q113303
Q100878	Q113307
Q100878	Q113309
Q100882	Q100800
Q10089	Q10635
Q10089	Q10636
Q100900	Q100902
Q100900	Q100904
Q100900	Q100906
Q100902	Q101657
Q100902	Q101659
Q100904	Q113329
Q100906	Q113333
Q10091	Q10086
Q10091	Q10623
Q100912	Q100914
Q100912	Q100916
Q100912	Q100918
Q100912	Q100920
Q100912	Q100922
Q100912	Q100924
Q100912	Q100926
Q100912	Q100928
Q100912	Q110106
Q100912	Q110108
Q100912	Q110110
Q100912	Q110112
Q100912	Q110114
Q100914	Q101677
Q100914	Q101679
Q100914	Q110540
Q100914	Q110542
Q100914	Q110544
Q100914	Q110546
Q100914	Q113337
Q100914	Q113343
Q100914	Q113345
Q100914	Q113347
Q100916	Q113349
Q100916	Q113351
Q100918	Q113355
Q100918	Q113359
Q100920	Q113363
Q100920	Q113365
Q100920	Q113367
Q100926	Q101361
Q100926	Q101363
Q100926	Q101365
Q100926	Q101367
Q100930	Q100932
Q100930	Q100934
Q100930	Q100936
Q100930	Q100938
Q100930	Q100940
Q100930	Q100942
Q100930	Q100944
Q100930	Q100946
Q100932	Q101369
Q100934	Q113373
Q100936	Q101677
Q100936	Q101679
Q100936	Q110540
Q100936	Q113337
Q100936	Q113343
Q100936	Q113345
Q100936	Q113347
Q10094	Q10644
Q10094	Q10645
Q10094	Q10646
Q10094	Q10648
Q100948	Q100950
Q100948	Q100952
Q100948	Q100954
Q100948	Q100956
Q100948	Q100958
Q100948	Q100960
Q100948	Q100962
Q100948	Q110074
Q100948	Q110076
Q100948	Q110078
Q100948	Q110080
Q100948	Q110082
Q100948	Q110084
Q100950	Q101722
Q100950	Q113383
Q100950	Q113387
Q100950	Q143499
Q100962	Q110488
Q100962	Q113391
Q100964	Q101732
Q100964	Q113397
Q100964	Q113399
Q100966	Q101738
Q100966	Q113403
Q100968	Q100970
Q100970	Q113407
Q100970	Q113409
Q100972	Q100974
Q100974	Q101750
Q100976	Q100441
Q100976	Q100980
Q100976	Q100982
Q100976	Q100984
Q100976	Q109567
Q100978	Q100441
Q100978	Q100776
Q100978	Q100980
Q100978	Q100982
Q100978	Q100984
Q100978	Q101545
Q100982	Q101523
Q100982	Q101525
Q100982	Q101527
Q100987	Q100989
Q100989	Q113439
Q100991	Q100848
Q100991	Q100993
Q100991	Q100995
Q100991	Q100997
Q100991	Q100999
Q100991	Q101001
Q100993	Q101788
Q100993	Q110954
Q100993	Q112398
Q100993	Q113443
Q100993	Q113445
Q100993	Q113447
Q100993	Q113449
Q100993	Q113453
Q100993	Q113455
Q100993	Q113457
Q100995	Q113459
Q1010	Q1011
Q1010	Q1012
Q101009	Q101804
Q101009	Q101806
Q101009	Q101808
Q101009	Q110434
Q101009	Q110436
Q101009	Q110438
Q101009	Q110440
Q101011	Q101013
Q101013	Q101443
Q101015	Q100461
Q101017	Q100461
Q101021	Q113499
Q101023	Q101021
Q101027	Q100742
Q101027	Q100872
Q101027	Q101029
Q101029	Q113503
Q101031	Q100421
Q101031	Q101033
Q101041	Q101043
Q101043	Q113507
Q101045	Q101047
Q101047	Q113515
Q101047	Q113517
Q101047	Q118689
Q101049	Q100501
Q101049	Q101053
Q101049	Q101055
Q101049	Q101057
Q101049	Q101059
Q101051	Q100501
Q101051	Q101053
Q101051	Q101055
Q101051	Q101057
Q101051	Q101059
Q101053	Q113533
Q101055	Q113535
Q101059	Q113539
Q101059	Q113541
Q101059	Q113543
Q101059	Q113545
Q101059	Q113547
Q101061	Q101063
Q101061	Q101065
Q101063	Q101886
Q101063	Q113551
Q101067	Q100511
Q101067	Q101071
Q101069	Q100511
Q101069	Q101071
Q10107	Q10657
Q101073	Q101075
Q101073	Q101077
Q101073	Q101079
Q101075	Q113557
Q101077	Q113561
Q101081	Q101083
Q101081	Q101085
Q101083	Q101910
Q101083	Q113575
Q101083	Q113577
Q101085	Q101333
Q101085	Q101335
Q101085	Q101337
Q101085	Q101339
Q101089	Q101303
Q101095	Q100517
Q101095	Q101099
Q101095	Q101101
Q101097	Q100517
Q101097	Q101099
Q101097	Q101101
Q101103	Q101105
Q101103	Q101107
Q101103	Q101109
Q101103	Q101111
Q101103	Q101113
Q101103	Q101115
Q101105	Q101936
Q101105	Q101938
Q101105	Q101940
Q101105	Q113605
Q101107	Q101944
Q101109	Q113609
Q101111	Q113613
Q101111	Q113615
Q101111	Q113617
Q101111	Q118555
Q101113	Q113623
Q101113	Q113625
Q101115	Q113629
Q101119	Q100521
Q10112	Q10670
Q101121	Q100521
Q101123	Q101125
Q101123	Q101127
Q101123	Q101129
Q101125	Q101944
Q101127	Q101974
Q101127	Q101976
Q101127	Q113641
Q101127	Q113643
Q101129	Q101986
Q101129	Q113647
Q101133	Q100525
Q101135	Q100525
Q101137	Q101139
Q101137	Q101141
Q101137	Q101143
Q101139	Q102020
Q101139	Q113681
Q101139	Q113685
Q101139	Q113687
Q101139	Q113689
Q10114	Q10673
Q101143	Q113697
Q101143	Q113701
Q101143	Q113703
Q101147	Q113707
Q101149	Q100531
Q101149	Q101153
Q101149	Q101155
Q101149	Q101157
Q101149	Q101159
Q101149	Q101161
Q101151	Q100531
Q101151	Q101153
Q101151	Q101155
Q101151	Q101157
Q101151	Q101159
Q101151	Q101161
Q101153	Q113705
Q101153	Q113733
Q101155	Q102081
Q101155	Q102083
Q101155	Q113737
Q101155	Q113739
Q101155	Q113741
Q101155	Q113743
Q101155	Q113749
Q101155	Q113751
Q101157	Q113755
Q101159	Q102095
Q101163	Q101165
Q101163	Q101167
Q101163	Q101169
Q101163	Q101171
Q101163	Q101173
Q101163	Q101175
Q101163	Q101177
Q101165	Q113771
Q101165	Q113773
Q101165	Q113775
Q101167	Q113779
Q101169	Q113783
Q101169	Q113785
Q101171	Q113789
Q101171	Q113791
Q101171	Q113793
Q101171	Q113795
Q101173	Q113799
Q101175	Q102139
Q101175	Q102147
Q101175	Q113805
Q101175	Q113807
Q101175	Q113809
Q101175	Q113813
Q101179	Q101181
Q101179	Q101183
Q101179	Q101185
Q101179	Q101187
Q101181	Q102161
Q101181	Q102163
Q101181	Q102167
Q101181	Q113819
Q101181	Q113823
Q101181	Q113829
Q101181	Q113833
Q101181	Q118373
Q101183	Q113837
Q101185	Q113841
Q101189	Q101191
Q101189	Q101193
Q101189	Q101195
Q101189	Q124281
Q101191	Q102187
Q101191	Q102189
Q101191	Q113855
Q101193	Q113861
Q101193	Q118097
Q101195	Q113865
Q101195	Q113867
Q101195	Q113869
Q101195	Q113871
Q101197	Q101199
Q101209	Q102213
Q101209	Q113879
Q101211	Q101213
Q101213	Q102217
Q101213	Q113883
Q101215	Q101217
Q101215	Q101219
Q101215	Q101221
Q101215	Q101223
Q101219	Q101249
Q101219	Q101251
Q101219	Q113887
Q101223	Q101585
Q101225	Q101227
Q101227	Q113893
Q101231	Q100579
Q101231	Q101235
Q101233	Q100579
Q101233	Q101235
Q101235	Q100754
Q101235	Q99931
Q101237	Q101239
Q101237	Q101241
Q101237	Q101243
Q101239	Q113907
Q101239	Q113909
Q101243	Q113913
Q101247	Q113917
Q101249	Q102257
Q101249	Q113925
Q101249	Q113929
Q10125	Q10525
Q101251	Q113931
Q101251	Q113933
Q101253	Q113937
Q101253	Q113939
Q101253	Q113941
Q101257	Q101259
Q101259	Q113945
Q10126	Q10302
Q101261	Q102285
Q101261	Q113951
Q101263	Q113953
Q101265	Q113931
Q101265	Q113933
Q101267	Q101269
Q101267	Q101271
Q101269	Q102297
Q101271	Q113965
Q101275	Q113967
Q101275	Q113969
Q101275	Q113971
Q10128	Q10687
Q101285	Q102311
Q101287	Q113979
Q101287	Q123443
Q101289	Q113984
Q101289	Q113986
Q101291	Q101293
Q101293	Q113991
Q101295	Q101297
Q101297	Q113997
Q101299	Q100631
Q101301	Q100631
Q101303	Q101305
Q101303	Q101307
Q101303	Q101309
Q101303	Q101311
Q101303	Q101313
Q101303	Q101315
Q101303	Q101317
Q101305	Q113769
Q101305	Q114007
Q101305	Q114009
Q101313	Q114011
Q101317	Q102347
Q101317	Q114017
Q101319	Q101321
Q101323	Q100637
Q101323	Q101327
Q101323	Q101329
Q101323	Q101331
Q101325	Q100637
Q101325	Q101327
Q101325	Q101329
Q101325	Q101331
Q101327	Q102363
Q101327	Q102365
Q101327	Q102367
Q101327	Q114027
Q101329	Q102377
Q101329	Q114040
Q101329	Q114042
Q101329	Q114046
Q101329	Q114048
Q101331	Q114053
Q101333	Q113761
Q101333	Q114057
Q101333	Q114059
Q101335	Q102405
Q101335	Q114067
Q101335	Q114069
Q101335	Q114071
Q101337	Q102417
Q101337	Q114077
Q101337	Q114079
Q101337	Q114081
Q101337	Q114083
Q101337	Q114087
Q101337	Q114089
Q101339	Q114092
Q101341	Q101343
Q101343	Q101499
Q101343	Q102433
Q101345	Q100659
Q101349	Q101351
Q101349	Q101353
Q101349	Q101355
Q101349	Q101357
Q101349	Q101359
Q101353	Q101403
Q101353	Q102443
Q101353	Q114104
Q101353	Q114106
Q101353	Q114112
Q101353	Q114114
Q101353	Q114152
Q101361	Q102451
Q101361	Q110508
Q101361	Q110976
Q101361	Q110978
Q101361	Q113509
Q101361	Q113979
Q101361	Q123443
Q101369	Q101371
Q101369	Q101373
Q101369	Q101375
Q101369	Q101377
Q101369	Q101379
Q101371	Q113501
Q101371	Q114120
Q101371	Q114122
Q101373	Q102461
Q101375	Q114130
Q101375	Q114132
Q101375	Q114136
Q101375	Q114138
Q101377	Q102475
Q101377	Q114142
Q101377	Q114144
Q101377	Q114146
Q101377	Q114148
Q101377	Q114150
Q101377	Q114152
Q101381	Q100665
Q101383	Q101385
Q101385	Q102493
Q101387	Q113623
Q101387	Q113625
Q101389	Q101391
Q101391	Q102497
Q101391	Q114164
Q101393	Q101395
Q101395	Q102475
Q101395	Q114142
Q101395	Q114144
Q101395	Q114146
Q101395	Q114148
Q101395	Q114150
Q101395	Q114152
Q101397	Q100694
Q101399	Q100698
Q101401	Q100698
Q101403	Q101405
Q101403	Q101407
Q101403	Q101409
Q101403	Q101411
Q101405	Q102507
Q101405	Q114176
Q101405	Q114178
Q101405	Q114180
Q101407	Q114091
Q101413	Q101415
Q101415	Q102523
Q101417	Q102527
Q101417	Q114190
Q101419	Q101421
Q101423	Q114196
Q101423	Q114198
Q101425	Q102537
Q101429	Q101431
Q101429	Q101433
Q101429	Q101435
Q10143	Q10698
Q10143	Q10699
Q101435	Q102555
Q101435	Q114218
Q101437	Q102561
Q101437	Q113953
Q101437	Q114224
Q101439	Q101441
Q101441	Q124326
Q101443	Q100716
