qid	label	wikidata_qid	wikidata_name	name_score
Q6465	常宜	Q10279892	常宜	0.00
Q6482	Taisi	Q10915782	台玺	0.00
Q6486	老童	Q10483675	老童	0.00
Q41477	祐慶	Q110087229	祐慶	0.00
Q31051	園基国	Q110084999	園基国	0.00
Q12619	sataegwanghu	Q6764999	사택왕후	0.00
Q32132	小早川敬平	Q11460848	小早川敬平	0.00
Q39402	内藤盛世	Q108076116	内藤盛世	0.00
Q39739	鷲尾隆量	Q11676245	鷲尾隆量	0.00
Q31915	持明院基時	Q108841142	持明院基時	0.00
Q39298	橋本季景	Q108855674	橋本季景	0.00
Q13955	seungmanbuin	Q12603843	승만부인	0.00
Q13956	bohwagongju	Q28526819	寶華公主	0.00
Q13962	부여덕장	Q19657284	부여덕장	0.00
Q35354	冷泉為治	Q110885306	冷泉為治	0.00
Q14459	부여태비	Q12598947	부여태비	0.00
Q42621	難波宗種	Q109923719	難波宗種	0.00
Q36942	四辻季賢	Q108840279	四辻季賢	0.00
Q14834	김원훈	Q28777857	金元訓	0.00
Q40259	阿野実惟	Q110142729	阿野実惟	0.00
Q15246	光明夫人	Q28503377	光明夫人	0.00
Q15249	김효방	Q28527713	김효방	0.00
Q15254	김탈지	Q12589015	김탈지	0.00
Q28550	仁木義政	Q113196489	仁木義政	0.00
Q43675	五辻済仲	Q109939927	五辻済仲	0.00
Q15709	광명부인	Q85875588	光明夫人	0.00
Q16452	具足王后	Q84764619	具足王后	0.00
Q28520	Uesugi Norifusa	Q11359177	上杉憲房	0.00
Q26419	戸村義倭	Q106806723	戸村義倭	0.00
Q26424	那須氏資	Q11642933	那須氏資	0.00
Q26430	高師行	Q110859863	高師行	0.00
Q26436	山名常豊	Q61058051	山名常豊	0.00
Q26439	山名致豊	Q11467624	山名致豊	0.00
Q26448	相馬憲胤	Q108913851	相馬憲胤	0.00
Q26457	那須政資	Q11642926	那須政資	0.00
Q26460	佐竹義里	Q11383477	佐竹義里	0.00
Q26469	宇留野義元の娘 (大関高増の正室)	Q108603536	宇留野義元の娘 (大関高増の正室)	0.00
Q26478	Akinori Siba	Q11500877	斯波詮教	0.00
Q26481	渋川義鏡	Q11561600	渋川義鏡	0.00
Q26497	Akamatsu Akinori	Q108657626	赤松顕則	0.00
Q26500	Akamatsu Yorinori	Q108657636	赤松頼則	0.00
Q26509	赤松時勝	Q11635695	赤松時勝	0.00
Q26518	渋川満行	Q110904234	渋川満行	0.00
Q26524	本光院秀本	Q108906873	本光院秀本	0.00
Q26530	吉良頼高	Q107150684	吉良頼高	0.00
Q26533	小鹿範頼	Q109291100	小鹿範頼	0.00
Q26536	宇都宮等綱	Q11449806	宇都宮等綱	0.00
Q26557	木野親則の娘 (大友親治の妻)	Q109323759	木野親則の娘 (大友親治の妻)	0.00
Q26581	芳賀成高	Q106806192	芳賀成高	0.00
Q26584	宇都宮持綱の娘 (芳賀成高の室)	Q106806209	宇都宮持綱の娘 (芳賀成高の室)	0.00
