qid	label	wikidata_qid	wikidata_name	name_score
Q26587	上杉房顕の娘 (宇都宮正綱の継室)	Q106806930	上杉房顕の娘 (宇都宮正綱の継室)	0.00
Q26593	結城政朝	Q11606587	結城政朝	0.00
Q26596	南呂院	Q11407589	南呂院	0.00
Q26602	益子勝清	Q11581176	益子勝清	0.00
Q26605	真里谷信勝の娘 (簗田政助の室)	Q106916733	真里谷信勝の娘 (簗田政助の室)	0.00
Q26614	小笠原持清	Q108498945	小笠原持清	0.00
Q26632	福島正成	Q11593158	福島正成	0.00
Q26638	浄光院殿 (遠山隼人佐の室)	Q107151875	浄光院殿 (遠山隼人佐の室)	0.00
Q26640	吉良成高	Q107150747	吉良成高	0.00
Q26651	岩倉具堯	Q11474140	岩倉具堯	0.00
Q26654	久我三休	Q85875699	久我三休	0.00
Q26660	瑞光院 (西園寺実益の妻)	Q110118848	瑞光院 (西園寺実益の妻)	0.00
Q26663	興春院	Q110118920	興春院	0.00
Q26666	奈多直基	Q110127168	奈多直基	0.00
Q26672	久我慶子	Q106729108	久我慶子	0.00
Q26681	渓江院	Q109016507	渓江院	0.00
Q26684	大陽院	Q115587262	大陽院	0.00
Q26696	大浦阿久	Q108695084	大浦阿久	0.00
Q26705	板部岡江雪斎	Q11532725	板部岡江雪斎	0.00
Q26708	正木時通	Q11545508	正木時通	0.00
Q26711	遠山直景 (丹波守)	Q11642053	遠山直景 (丹波守)	0.00
Q26726	東の局	Q108909796	東の局	0.00
Q26729	千葉俊胤	Q108910088	千葉俊胤	0.00
Q26735	Sadanaka Ooysi	Q11438190	大石定仲	0.00
Q26742	山中頼次	Q96715822	山中頼次	0.00
Q26745	藤田信吉	Q11624705	藤田信吉	0.00
Q26748	用土重連	Q11575085	用土重連	0.00
Q26760	今川直房の娘 (大久保忠高の正室)	Q109852558	今川直房の娘 (大久保忠高の正室)	0.00
Q26775	佐久間盛氏の娘 (里見実堯の妻)	Q107167427	佐久間盛氏の娘 (里見実堯の妻)	0.00
Q26781	土岐為頼の娘 (里見義堯の継室)	Q107167543	土岐為頼の娘 (里見義堯の継室)	0.00
Q26790	後藤平太夫の娘 (吉良義堯の妻)	Q108906798	後藤平太夫の娘 (吉良義堯の妻)	0.00
Q26793	吉良義昭	Q11414263	吉良義昭	0.00
Q26796	小笠原長高	Q20039168	小笠原長高	0.00
Q26799	小笠原清広	Q20039165	小笠原清広	0.00
Q26802	小笠原義頼	Q20039170	小笠原義頼	0.00
Q26805	鵜殿長将	Q106669204	鵜殿長将	0.00
Q26811	井伊直氏	Q110816694	井伊直氏	0.00
Q26820	吉田兼倶の娘 (中御門宣秀の妻)	Q109795616	吉田兼倶の娘 (中御門宣秀の妻)	0.00
Q26823	中御門宣綱	Q109795365	中御門宣綱	0.00
Q26826	四条隆重	Q108850141	四条隆重	0.00
Q26832	南松院 (穴山信友の正室)	Q109683160	南松院 (穴山信友の正室)	0.00
Q26835	亀御料人	Q109683319	亀御料人	0.00
Q26838	下条信氏の妻	Q109683388	下条信氏の妻	0.00
Q26841	武田信虎の娘 (禰津神平の妻)	Q109683569	武田信虎の娘 (禰津神平の妻)	0.00
Q26844	菊御料人	Q109683598	菊御料人	0.00
Q26850	栄松院 (小出秀政の正室)	Q106650818	栄松院 (小出秀政の正室)	0.00
Q26853	松雲院 (福島正信の正室)	Q106650832	松雲院 (福島正信の正室)	0.00
Q26856	大恩院	Q106650721	大恩院	0.00
Q26868	小上﨟	Q108850460	小上﨟	0.00
Q26883	杉原家利	Q106673226	杉原家利	0.00
Q26886	雲照院	Q11660072	雲照院	0.00
Q26889	木下利房	Q8513853	기노시타 도시후사	0.00
Q37127	浅野長忠	Q109936718	浅野長忠	0.00
Q26895	栄雲院	Q108796803	栄雲院	0.00
Q26898	養梅院	Q108796868	養梅院	0.00
Q26920	安毛高政	Q110656065	安毛高政	0.00
Q26941	京極常子	Q110817702	京極常子	0.00
Q26959	榮頌院	Q109328363	榮頌院	0.00
Q26962	山名豊定	Q11467631	山名豊定	0.00
Q26965	細川高国の娘 (山名豊定の正室)	Q109014270	細川高国の娘 (山名豊定の正室)	0.00
Q26968	山名豊政	Q11467635	山名豊政	0.00
Q26971	山名豊国の娘 (土岐頼勝の妻)	Q109012793	山名豊国の娘 (土岐頼勝の妻)	0.00
Q26974	山名豊義	Q109012928	山名豊義	0.00
Q26986	細川徳	Q113163850	細川徳	0.00
Q26989	細川福	Q113163898	細川福	0.00
Q26995	長栗	Q110086338	長栗	0.00
Q27001	京極方	Q110086678	京極方	0.00
Q27004	前田春姫	Q110085825	前田春姫	0.00
Q27010	粟屋元子	Q109853582	粟屋元子	0.00
Q27013	毛利秀頼の娘 (万里小路充房の正室)	Q109015657	毛利秀頼の娘 (万里小路充房の正室)	0.00
Q27043	蒲生賢秀の娘 (布施忠兵衛の妻のち関一政の正室)	Q109028055	蒲生賢秀の娘 (布施忠兵衛の妻のち関一政の正室)	0.00
Q27046	蒲生賢秀の娘 (田丸直昌の正室)	Q109028216	蒲生賢秀の娘 (田丸直昌の正室)	0.00
Q27050	蒲生賢秀の娘 (小倉行春の正室)	Q109028345	蒲生賢秀の娘 (小倉行春の正室)	0.00
Q27053	俊継尼	Q106317321	俊継尼	0.00
Q27056	碓井姫	Q106703044	碓井姫	0.00
Q27062	成誉	Q118697870	成誉	0.00
Q27065	松平乗正	Q106313638	松平乗正	0.00
Q27068	松平長清	Q108843386	松平長清	0.00
Q27071	嶋田景信	Q108453479	嶋田景信	0.00
Q27080	水野賢勝	Q106680073	水野賢勝	0.00
Q27083	水野清忠	Q106680332	水野清忠	0.00
Q27086	松平昌安の娘 (水野忠政の正室)	Q108451997	松平昌安の娘 (水野忠政の正室)	0.00
Q27089	於丈の方	Q109648856	於丈の方	0.00
Q27092	妙春尼	Q109650475	妙春尼	0.00
Q27095	水野近信	Q118697835	水野近信	0.00
Q27098	妙舜尼	Q110270074	妙舜尼	0.00
Q27110	水野守忠	Q109650409	水野守忠	0.00
Q27107	水野為則	Q106679764	水野為則	0.00
Q27119	久松俊勝の娘 (一色詮勝の妻)	Q108745090	久松俊勝の娘 (一色詮勝の妻)	0.00
Q27125	松平諷	Q110286909	松平諷	0.00
Q27134	保科正重	Q108807733	保科正重	0.00
Q27137	保科正直の娘 (小日向源太左衛門の妻)	Q108807752	保科正直の娘 (小日向源太左衛門の妻)	0.00
Q27140	織田長益の娘 (松平忠頼の正室)	Q110901931	織田長益の娘 (松平忠頼の正室)	0.00
Q27143	松平忠久 (桜井松平家)	Q110902517	松平忠久 (桜井松平家)	0.00
Q27146	黒田徳	Q111197168	黒田徳	0.00
Q27149	杉原長房の娘 (北条氏重の正室)	Q109936632	杉原長房の娘 (北条氏重の正室)	0.00
Q27155	Daughter of Sakai Ietsugu (lawful wife of Matsudaira Tadayoshi)	Q111143171	酒井家次の娘 (松平忠良の正室)	0.00
Q27161	長寿院 (松平定行の正室)	Q110049745	長寿院 (松平定行の正室)	0.00
Q27164	松平おまん	Q108887518	松平おまん	0.00
Q27356	松平駒姫	Q108140338	松平駒姫	0.00
Q27170	智相院	Q108797007	智相院	0.00
Q27179	長栄院	Q111019415	長栄院	0.00
Q27183	松平定澄	Q134551946	松平定澄	0.00
Q27186	秋山信藤	Q106701765	秋山信藤	0.00
Q27192	秋山昌秀	Q115587132	秋山昌秀	0.00
Q27198	西郷元正	Q106702626	西郷元正	0.00
Q27201	山田勝重	Q111009249	山田勝重	0.00
Q27210	小山高朝の娘 (江戸重通の正室)	Q107172343	小山高朝の娘 (江戸重通の正室)	0.00
Q27219	山口弘定の娘 (松平正綱の正室)	Q106650506	山口弘定の娘 (松平正綱の正室)	0.00
Q27222	松平正綱の娘 (堀直輝の正室)	Q108092168	松平正綱の娘 (堀直輝の正室)	0.00
Q27225	松平正綱の娘 (本多利長の正室)	Q108900773	松平正綱の娘 (本多利長の正室)	0.00
Q27228	勢光院 (松平重正の正室)	Q110968054	勢光院 (松平重正の正室)	0.00
Q27231	松平正綱の娘 (溝口重雄の正室)	Q110968078	松平正綱の娘 (溝口重雄の正室)	0.00
Q27234	法秀院 (三宅康勝の正室)	Q110968095	法秀院 (三宅康勝の正室)	0.00
Q27237	松平正綱の娘 (稲葉正能の妻)	Q110968698	松平正綱の娘 (稲葉正能の妻)	0.00
Q27240	松平正綱の娘 (榊原照清の妻)	Q110968763	松平正綱の娘 (榊原照清の妻)	0.00
Q27242	松平正綱の娘 (神保茂明の正室)	Q110968788	松平正綱の娘 (神保茂明の正室)	0.00
Q27248	三井吉正の娘 (北条氏治の母)	Q108824320	三井吉正の娘 (北条氏治の母)	0.00
Q27254	間宮信高	Q68185454	間宮信高	0.00
Q27257	酒井重忠の娘 (本多正純の正室)	Q108088108	酒井重忠の娘 (本多正純の正室)	0.00
Q27260	松平重親	Q109658416	松平重親	0.00
Q27263	松平親長の娘 (松平重吉の妻)	Q111134255	松平親長の娘 (松平重吉の妻)	0.00
Q27266	松平重吉の娘 (石川康正の妻のち松平康親の継室)	Q109658479	松平重吉の娘 (石川康正の妻のち松平康親の継室)	0.00
Q27269	松平重茂	Q115587410	松平重茂	0.00
Q27314	内藤菊姫	Q111023967	内藤菊姫	0.00
Q27323	保科摩須	Q111023971	保科摩須	0.00
Q27326	石姫	Q11585497	石姫	0.00
Q27329	保科正純	Q79732095	保科正純	0.00
Q27335	蕙林院	Q108896881	蕙林院	0.00
Q27338	浅野花姫	Q108900703	浅野花姫	0.00
Q27341	白石幾久	Q109923855	白石幾久	0.00
Q27344	松平万姫	Q109923884	松平万姫	0.00
Q27347	松平国姫 (松平忠昌の娘)	Q109924101	松平国姫 (松平忠昌の娘)	0.00
Q27350	松平千姫	Q110653000	松平千姫	0.00
Q27359	宝明院	Q108140470	宝明院	0.00
Q27368	大江竹子	Q110653558	大江竹子	0.00
Q27371	広幡新君	Q110994829	広幡新君	0.00
Q27380	照子女王	Q56059940	照子女王	0.00
Q27383	徳川光姫	Q109678554	徳川光姫	0.00
Q27386	徳川栄姫	Q110901161	徳川栄姫	0.00
Q27389	徳川育姫	Q110901310	徳川育姫	0.00
Q27392	清性院 (松平頼純正室)	Q111020125	清性院 (松平頼純正室)	0.00
Q27398	光善寺長然	Q110624972	光善寺長然	0.00
Q27401	小笠原嘉禰	Q108496198	小笠原嘉禰	0.00
Q27404	松平胤姫	Q110969159	松平胤姫	0.00
Q27407	松平頼隆の娘 (水谷勝美の正室のち毛利元次の継室)	Q111130923	松平頼隆の娘 (水谷勝美の正室のち毛利元次の継室)	0.00
Q27422	奥平おふう	Q105260083	奥平おふう	0.00
Q27425	奥平忠昌	Q11445771	奥平忠昌	0.00
Q27428	小出吉政の娘 (松平忠明の継室)	Q109327459	小出吉政の娘 (松平忠明の継室)	0.00
Q27434	松平梅子 (松平忠明の次女)	Q110249723	松平梅子 (松平忠明の次女)	0.00
Q27437	松平通子	Q110249745	松平通子	0.00
Q27449	森お菊	Q111015706	森お菊	0.00
Q27452	天正院 (池田輝澄の正室)	Q111133920	天正院 (池田輝澄の正室)	0.00
Q27458	池田輝澄の娘 (九鬼隆昌の正室)	Q111197109	池田輝澄の娘 (九鬼隆昌の正室)	0.00
Q27465	浅野長治	Q11557430	浅野長治	0.00
Q27469	高松院 (蒲生忠郷の正室のち専修寺堯朝の妻)	Q110155234	高松院 (蒲生忠郷の正室のち専修寺堯朝の妻)	0.00
Q27473	正寿院	Q111023915	正寿院	0.00
Q27481	浅野市	Q110047595	浅野市	0.00
Q27485	浅野亀	Q110047624	浅野亀	0.00
Q27489	浅野久	Q110048346	浅野久	0.00
Q27497	石川康通の娘 (松平康重の正室)	Q108454046	石川康通の娘 (松平康重の正室)	0.00
Q27501	徳永寿昌の娘 (松平康重の継室)	Q108454130	徳永寿昌の娘 (松平康重の継室)	0.00
Q27505	松平林	Q108454191	松平林	0.00
Q27509	慶寿院 (松平康重の娘)	Q108454330	慶寿院 (松平康重の娘)	0.00
Q27518	清泉院	Q118697810	清泉院	0.00
Q27527	長尾定景 (足利長尾氏)	Q11651823	長尾定景 (足利長尾氏)	0.00
Q27534	長尾定景または長尾景人の娘 (長尾景春の妻)	Q106648359	長尾定景または長尾景人の娘 (長尾景春の妻)	0.00
Q27537	長野業正の姉あるいは長尾景人の娘? (長尾景英の正室)	Q106814337	長野業正の姉あるいは長尾景人の娘? (長尾景英の正室)	0.00
Q27540	小山義政の娘 (長尾景仲の室)	Q106703998	小山義政の娘 (長尾景仲の室)	0.00
Q27543	長尾景信	Q11651851	長尾景信	0.00
Q27546	長尾景仲の娘 (太田道真の正室)	Q106703953	長尾景仲の娘 (太田道真の正室)	0.00
Q27549	長尾能景	Q11651891	長尾能景	0.00
Q27552	長尾重景の娘 (山吉能盛の正室)	Q108565228	長尾重景の娘 (山吉能盛の正室)	0.00
Q27555	大石憲儀	Q108909227	大石憲儀	0.00
Q27558	大石房重	Q108909238	大石房重	0.00
Q27561	水無瀬兼子	Q108780063	水無瀬兼子	0.00
Q27567	東坊城益長	Q11526400	東坊城益長	0.00
Q27570	Shiba Yoshihiro	Q11500861	斯波義寛	0.00
Q27576	斯波義雄	Q11500873	斯波義雄	0.00
Q27579	菅沼定忠 (菅沼定信の子)	Q106680492	菅沼定忠 (菅沼定信の子)	0.00
Q27582	一色義有の娘 (山名祐豊の正室)	Q110822533	一色義有の娘 (山名祐豊の正室)	0.00
Q27585	Inaba Michinori	Q108893123	稲葉通則	0.00
Q27588	宝岸寺殿	Q108893181	宝岸寺殿	0.00
Q27594	斎藤典明	Q110069952	斎藤典明	0.00
Q27606	六角定頼の娘 (細川晴元の継室)	Q108146287	六角定頼の娘 (細川晴元の継室)	0.00
Q27609	土岐頼忠 (紀州)	Q110845257	土岐頼忠 (紀州)	0.00
Q27615	進士晴舎	Q109922233	進士晴舎	0.00
Q27618	蜷川親順の娘 (斎藤利賢室・石谷光政継室)	Q106652338	蜷川親順の娘 (斎藤利賢室・石谷光政継室)	0.00
Q27621	明智定明	Q110946608	明智定明	0.00
Q27630	花渓眞英大姉	Q109920225	花渓眞英大姉	0.00
Q27639	土岐頼勝	Q109012789	土岐頼勝	0.00
Q27646	明智光秀の七女 (井戸三十郎の妻)	Q113226840	明智光秀の七女 (井戸三十郎の妻)	0.00
Q27652	小山田信澄の娘 (武田信満の妻)	Q106916949	小山田信澄の娘 (武田信満の妻)	0.00
Q30939	今井信経	Q108129884	今井信経	0.00
Q27661	畠山政栄	Q111367688	畠山政栄	0.00
Q27667	林通忠	Q110069083	林通忠	0.00
Q27670	稲葉通以	Q109123083	稲葉通以	0.00
Q27676	高辻秋長	Q108935639	高辻秋長	0.00
Q27685	蒲生秀胤	Q109116384	蒲生秀胤	0.00
Q27694	近衛教基	Q17222028	近衛教基	0.00
Q27700	近衛増運	Q130730803	近衛増運	0.00
Q27703	近衛政深	Q130730822	近衛政深	0.00
Q27706	白川資益王	Q108842136	白川資益王	0.00
Q27712	中山親通	Q110010062	中山親通	0.00
Q27721	庭田盈子	Q108840936	庭田盈子	0.00
Q27730	道永入道親王	Q110268744	道永入道親王	0.00
Q27733	覚円法親王	Q110268819	覚円法親王	0.00
Q27736	覚胤法親王	Q110268833	覚胤法親王	0.00
Q27742	道応法親王	Q110268893	道応法親王	0.00
Q28241	園基福	Q11422785	園基福	0.00
Q27748	長谷範昌	Q110308451	長谷範昌	0.00
Q27754	仁木義高	Q113165558	仁木義高	0.00
Q27760	仁木長興	Q113197908	仁木長興	0.00
Q27763	仁木頼夏	Q109776951	仁木頼夏	0.00
Q27767	春日局 (足利義満の乳母)	Q106644943	春日局 (足利義満の乳母)	0.00
Q27770	細川義之	Q17218721	細川義之	0.00
Q27773	細川頼長	Q102247176	細川頼長	0.00
Q27776	細川頼重	Q107178512	細川頼重	0.00
Q27779	細川満久	Q17218716	細川満久	0.00
Q27782	細川基之	Q102246639	細川基之	0.00
Q27785	細川持常	Q11605896	細川持常	0.00
Q27797	正親町実胤	Q109176411	正親町実胤	0.00
Q27800	清水谷実久	Q108853246	清水谷実久	0.00
Q27815	三条西実隆の次女 (正親町実胤の妻)	Q109176566	三条西実隆の次女 (正親町実胤の妻)	0.00
Q27830	日野資親	Q109259273	日野資親	0.00
Q27833	日野西資宗	Q109932657	日野西資宗	0.00
Q27836	Suketsuna Yanagivara	Q11534161	柳原資綱	0.00
Q27839	五辻富仲	Q109447177	五辻富仲	0.00
Q27848	西園寺公宣 (伊予西園寺氏)	Q109447090	西園寺公宣 (伊予西園寺氏)	0.00
Q27851	津野基高	Q109447131	津野基高	0.00
Q27857	大友義鑑の娘 (一条房基の正室)	Q108892643	大友義鑑の娘 (一条房基の正室)	0.00
Q27863	五条季長	Q109308565	五条季長	0.00
Q27875	冷泉為益の娘 (山科言経の妻)	Q109680949	冷泉為益の娘 (山科言経の妻)	0.00
Q27878	高倉永豊	Q109129558	高倉永豊	0.00
Q27881	烏丸益光	Q109785879	烏丸益光	0.00
Q27884	高倉永継の娘 (甘露寺元長の妻)	Q109132078	高倉永継の娘 (甘露寺元長の妻)	0.00
Q27887	甘露寺伊長	Q109123267	甘露寺伊長	0.00
Q27894	時詔	Q109170063	時詔	0.00
Q27897	甘露寺元長の娘 (三条西公条の正室)	Q109123253	甘露寺元長の娘 (三条西公条の正室)	0.00
Q27900	斎藤妙椿の養女 (織田敏広の妻)	Q110007370	斎藤妙椿の養女 (織田敏広の妻)	0.00
Q27906	庭田重有	Q108840904	庭田重有	0.00
Q27909	五辻朝仲	Q109260244	五辻朝仲	0.00
Q27912	西園寺公家	Q109447082	西園寺公家	0.00
Q27918	正親町三条公綱	Q108657593	正親町三条公綱	0.00
Q27924	持明院基孝	Q108840852	持明院基孝	0.00
Q27927	五辻教仲	Q109260302	五辻教仲	0.00
Q27930	高倉永藤	Q109129313	高倉永藤	0.00
Q27936	慧厳院	Q106767548	慧厳院	0.00
Q27939	伊達尚宗	Q10885145	伊達尚宗	0.00
Q27942	摂津之親	Q110900322	摂津之親	0.00
Q27948	清雲院 (足利義稙の正室)	Q110635516	清雲院	0.00
Q27951	武衛娘	Q108600788	武衛娘	0.00
Q31470	尊映入道親王	Q110597414	尊映入道親王	0.00
Q28245	中御門尚良の娘 (園基福の妻)	Q109798651	中御門尚良の娘 (園基福の妻)	0.00
Q28257	園基勝の娘 (五条為範の妻)	Q110138001	園基勝の娘 (五条為範の妻)	0.00
Q28281	持明院基輔	Q108841184	持明院基輔	0.00
Q28289	久野久 (五条為範の妻)	Q110601654	久野久 (五条為範の妻)	0.00
Q28293	持明院基輔の娘 (五条為範の妻)	Q110884847	持明院基輔の娘 (五条為範の妻)	0.00
Q28297	五条為成	Q110137078	五条為成	0.00
Q28305	清岡長香	Q110601497	清岡長香	0.00
Q17708	賀蘭僧伽	Q48890506	賀蘭僧伽	0.00
Q17723	李氏	Q133447392	李氏	0.00
Q28422	和気邦成	Q109931890	和気邦成	0.00
Q28426	月輪家輔	Q110055904	月輪家輔	0.00
Q28442	小早川義春	Q108883580	小早川義春	0.00
Q28446	小早川煕平	Q11460860	小早川煕平	0.00
Q28454	紀俊文の娘 (楠木正勝の妻)	Q110874133	紀俊文の娘 (楠木正勝の妻)	0.00
Q28458	楠木正顕	Q11541206	楠木正顕	0.00
Q28462	池田充正	Q108781994	池田充正	0.00
Q28470	高倉永行	Q109128827	高倉永行	0.00
Q28474	上杉朝寧	Q106807505	上杉朝寧	0.00
Q28478	Uesug'i Tomoiosi	Q11359210	上杉朝良	0.00
Q28482	上杉朝昌の娘 (上杉憲房の正室・後室)	Q106807498	上杉朝昌の娘 (上杉憲房の正室・後室)	0.00
Q29113	上杉憲盛	Q11359181	上杉憲盛	0.00
Q28494	大森氏頼の娘 (三浦高救の正室)	Q106704671	大森氏頼の娘 (三浦高救の正室)	0.00
Q28498	長尾景信の娘 (上杉定正の正室)	Q106808043	長尾景信の娘 (上杉定正の正室)	0.00
Q28510	上杉房定の娘 (畠山義元の室)	Q106768540	上杉房定の娘 (畠山義元の室)	0.00
Q28514	積翠院	Q11597158	積翠院	0.00
Q32269	那須資実	Q11642957	那須資実	0.00
Q28529	那須明資	Q11642928	那須明資	0.00
Q28532	高師秋	Q11669871	高師秋	0.00
Q28538	山名氏の娘 (渋川義鏡の妻)	Q107239502	山名氏の娘 (渋川義鏡の妻)	0.00
Q28544	六角高頼の娘 (今出川季孝の妻)	Q108792592	六角高頼の娘 (今出川季孝の妻)	0.00
Q28547	六角高頼の娘 (京極材宗の妻)	Q108792596	六角高頼の娘 (京極材宗の妻)	0.00
Q28553	今小路	Q107639523	今小路	0.00
Q28565	相馬胤弘	Q108913857	相馬胤弘	0.00
Q28571	小田持家の娘 (結城氏広の妻)	Q106786359	小田持家の娘 (結城氏広の妻)	0.00
Q28574	清厳?	Q106774792	清厳?	0.00
Q28577	今宮永義	Q108603647	今宮永義	0.00
Q28580	江戸但馬守の娘 (岩城重隆の妻)	Q106775298	江戸但馬守の娘 (岩城重隆の妻)	0.00
Q28583	宮山玉芳	Q106775435	宮山玉芳	0.00
Q28586	田村盛顕	Q106712409	田村盛顕	0.00
Q28590	田村行顕	Q108913869	田村行顕	0.00
Q28593	那須資房	Q11642960	那須資房	0.00
Q28596	大田原資清の娘 (那須政資の室)	Q106775195	大田原資清の娘 (那須政資の室)	0.00
Q28599	那須資郡	Q11642970	那須資郡	0.00
Q28603	南臺妙香大姉	Q106774995	南臺妙香大姉	0.00
Q28611	小場義宗	Q107177919	小場義宗	0.00
Q28615	桂樹院	Q108182169	桂樹院	0.00
Q28627	大関清増	Q11439899	大関清増	0.00
Q28631	大関資増	Q11439901	大関資増	0.00
Q28635	斯波詮勝	Q110903928	斯波詮勝	0.00
Q28639	斯波郷長	Q11500882	斯波郷長	0.00
Q28643	多賀高家	Q109740832	多賀高家	0.00
Q28647	片岡次大夫	Q109740919	片岡次大夫	0.00
Q28663	京極持清の娘 (畠山政長の妻)	Q109666432	京極持清の娘 (畠山政長の妻)	0.00
Q28667	京極持清の娘 (織田信定の母)	Q109666451	京極持清の娘 (織田信定の母)	0.00
Q28675	Akamatsu Mitsunori	Q11635662	赤松光範	0.00
Q28679	赤松持貞	Q11635684	赤松持貞	0.00
Q28683	赤松満則 (赤松頼則の子)	Q111166299	赤松満貞	0.00
Q28687	赤松政則	Q11256999	아카마쓰 마사노리	0.00
Q28691	九条稙通の娘 (十河一存の正室)	Q108782671	九条稙通の娘 (十河一存の正室)	0.00
Q28699	小鹿範満の母	Q109291206	小鹿範満の母	0.00
Q28703	小鹿範満	Q11464501	小鹿範満	0.00
Q28711	水女	Q106307327	水女	0.00
Q28715	松平信光の娘	Q106313304	松平信光の娘	0.00
Q28719	松平光親	Q106313735	松平光親	0.00
Q28723	松平親則	Q106317034	松平親則	0.00
Q28727	存牛	Q11448007	存牛	0.00
Q33375	松平親広	Q106317216	松平親広	0.00
Q28735	松平乗清	Q109250116	松平乗清	0.00
Q28739	松平親房	Q111292353	松平親房	0.00
Q28743	松平長家	Q115596117	松平長家	0.00
Q28747	宇都宮持綱の娘 (蘆名盛詮の正室)	Q106768109	宇都宮持綱の娘 (蘆名盛詮の正室)	0.00
Q28755	千葉守胤	Q108908545	千葉守胤	0.00
Q28759	長尾景信の娘 (千葉自胤の妻)	Q108909592	長尾景信の娘 (千葉自胤の妻)	0.00
Q28763	阿蘇惟憲の娘 (大友義長の正室)	Q109323737	阿蘇惟憲の娘 (大友義長の正室)	0.00
Q28775	柿並弘慶	Q54867691	柿並弘慶	0.00
Q28779	山口任世	Q109250378	山口任世	0.00
Q28783	芳賀高益	Q17219300	芳賀高益	0.00
Q28787	小田顕家 (常陸国)	Q11463204	小田顕家 (常陸国)	0.00
Q28800	小少将 (宇都宮国綱の正室)	Q110889919	小少将 (宇都宮国綱の正室)	0.00
Q28804	益子勝家	Q11581174	益子勝家	0.00
Q28808	益子勝宗	Q11581173	益子勝宗	0.00
Q28812	簗田持助の娘 (結城成朝の室)	Q106916722	簗田持助の娘 (結城成朝の室)	0.00
Q28816	一色義直の娘 (杉浦直為の妻)	Q110155077	一色義直の娘 (杉浦直為の妻)	0.00
Q28820	久芳院	Q110155139	久芳院	0.00
Q28824	伊勢貞経	Q102246609	伊勢貞経	0.00
Q28828	蜷川親俊の娘 (伊勢貞国の妻)	Q106652378	蜷川親俊の娘 (伊勢貞国の妻)	0.00
Q28832	高橋統種	Q108902435	高橋統種	0.00
Q28836	畠山政長の娘 (高橋高種の母)	Q108902905	畠山政長の娘 (高橋高種の母)	0.00
Q28848	高昌院殿妙印日久信女	Q108902993	高昌院殿妙印日久信女	0.00
Q28856	三浦義同の娘 (太田資康の正室)	Q106704248	三浦義同の娘 (太田資康の正室)	0.00
Q28860	Ota Sukemoto	Q134305584	Ота Сукэмото	0.00
