child_qid	child_label	n_parents	parent_qids
Q100374	Galindo Aznárez II	4	Q100068,Q100372,Q109541,Q109734
Q100427	García Fernández of Castile	4	Q100084,Q100421,Q109563,Q109784
Q100435	Urraca Fernández	4	Q100084,Q100421,Q109563,Q109784
Q100443	Toda of Pamplona	4	Q100352,Q100364,Q109355,Q109437
Q100483	Gonzalo Fernández of Castile	4	Q100120,Q100481,Q110520,Q110522
Q100912	Ava of Ribagorza	4	Q101591,Q102778,Q110422,Q110530
Q100948	Sancho II of Pamplona	4	Q100447,Q100828,Q109559,Q109770
Q100976	Dadildis of Pallars	4	Q110054,Q110056,Q113415,Q113417
Q101722	Urraca Garces	4	Q100950,Q101718,Q110074,Q110482
Q102603	Pedro Froilaz de Traba	4	Q103963,Q104027,Q125050,Q125052
Q102772	Oliba Cabreta	4	Q101589,Q102765,Q110870,Q111442
Q104007	Sancho II of León and Castile	4	Q102901,Q110956,Q110976,Q123443
Q104011	García II of Galicia	4	Q102901,Q110956,Q110976,Q123443
Q104013	Alfonso VI of León and Castile	4	Q102901,Q110956,Q110976,Q123443
Q104137	Henry of Burgundy	4	Q106776,Q106778,Q111733,Q118429
Q104620	Lope Íñiguez	4	Q102761,Q104616,Q110972,Q111585
Q106950	Manrique Perez de Lara	4	Q104246,Q104767,Q112382,Q112885
Q107026	Alphonse Jourdain	4	Q104282,Q107024,Q112428,Q112446
Q107158	Ermengol VI, Count of Urgell	4	Q104427,Q107214,Q114802,Q115822
Q108942	Muhammad al-Jawad	4	Q108796,Q108940,Q95394,Q95882
Q110072	Ramiro III of León	4	Q100340,Q100738,Q109766,Q110070
Q110984	Emma of Blois	4	Q111617,Q111619,Q205591,Q206184
Q111623	Odo I, Count of Blois	4	Q111617,Q111619,Q205591,Q206184
Q111637	Ermentrude of Roucy	4	Q112590,Q112592,Q205323,Q206654
Q111659	Clementia of Aquitaine	4	Q110994,Q111657,Q205418,Q207060
Q111909	Anicius Probus	4	Q113011,Q75504,Q75507,Q75516
Q111974	Hnabi	4	Q111205,Q113099,Q206641,Q208048
Q112246	Adalard of Paris	4	Q111432,Q111434,Q206249,Q207449
Q112352	Adelheid van Tours	4	Q113620,Q113622,Q206694,Q206862
Q112658	Agnes I, Abbess of Quedlinburg	4	Q111653,Q112656,Q205037,Q206139
Q113566	Boso of Provence	4	Q115645,Q115648,Q205578,Q205968
Q113606	Adrian, Count of Orléans	4	Q113103,Q115073,Q206669,Q207029
Q113626	Ermengarde of Tours	4	Q113620,Q113622,Q206694,Q206862
Q113732	Adela of Roucy	4	Q113716,Q113718,Q113989,Q208745
Q113874	Otto I	4	Q116255,Q116257,Q205410,Q205411
Q113906	Henry II, Duke of Bavaria	4	Q112470,Q113904,Q205599,Q205981
Q113966	Siegfried of Luxembourg	4	Q113960,Q113962,Q205984,Q208757
Q113981	Gilbert, Duke of Burgundy	4	Q115656,Q116565,Q205967,Q206593
Q113989	Beatrix de Hainaut	4	Q112488,Q113985,Q205601,Q206713
Q114020	Berengar II of Italy	4	Q116637,Q116639,Q205191,Q206967
Q114197	Geoffrey II, Count of Gâtinais	4	Q112602,Q114193,Q205255,Q206731
Q114223	Robert Guiscard	4	Q113948,Q116459,Q205221,Q205224
Q114283	Adelaide of Susa	4	Q117063,Q117065,Q206692,Q206966
Q114435	Bertha of Rheinfelden	4	Q112666,Q114305,Q205565,Q206334
Q114552	Fulk, King of Jerusalem	4	Q112699,Q114540,Q206271,Q208842
Q114708	Hugh II, Duke of Burgundy	4	Q112803,Q114213,Q118443,Q205237
Q115077	Hildegard of Vinzgouw	4	Q113103,Q115073,Q206669,Q207029
Q115514	Ermengarde of Hesbaye	4	Q118932,Q118934,Q205063,Q207022
Q115656	Ermengarde	4	Q113566,Q113568,Q115658,Q205360
Q115700	Boso, Margrave of Tuscany	4	Q119079,Q119081,Q205102,Q206068
Q115988	Amadeus III, Count of Savoy	4	Q113776,Q115984,Q205169,Q205447
Q115990	Adelaide of Maurienne	4	Q113776,Q115984,Q205169,Q205447
Q116080	Roger I of Sicily	4	Q113948,Q116459,Q205221,Q205224
Q116259	Liutgard of Saxony	4	Q116255,Q116257,Q205410,Q205411
Q116263	Hathumod	4	Q116255,Q116257,Q205410,Q205411
Q116313	Reginar II, Count of Hainaut	4	Q116311,Q120077,Q206655,Q206658
Q116461	William Iron Arm	4	Q113946,Q116459,Q205096,Q205221
Q116463	Drogo of Hauteville	4	Q113946,Q116459,Q205096,Q205221
Q116473	William of the Principate	4	Q113948,Q116459,Q205221,Q205224
Q116555	Sophie, Countess of Bar	4	Q113978,Q114253,Q205628,Q206520
Q116751	Adela of Hamaland	4	Q114105,Q116747,Q206142,Q206715
Q116765	Ardolf I of Guînes	4	Q114109,Q116763,Q205116,Q205199
Q117025	Gertrude of Brunswick	4	Q114273,Q117023,Q206768,Q206938
Q117646	Albert III of Namur	4	Q120099,Q120522,Q205615,Q205616
Q119089	Lambert, Margrave of Tuscany	4	Q119081,Q124159,Q206068,Q206795
Q120042	Louis the Child	4	Q120038,Q124165,Q205695,Q208193
Q120052	Gerberga of Lorraine	4	Q116287,Q118910,Q205368,Q206379
Q120105	Cunigunde of Swabia	4	Q118950,Q124044,Q205611,Q206757
Q120402	Boniface III, Margrave of Tuscany	4	Q124149,Q125945,Q205329,Q207812
Q120926	Joscelin I, Count of Edessa	4	Q116945,Q120612,Q205121,Q206234
Q121509	Henry the Lion	4	Q117221,Q121400,Q205296,Q206868
Q121971	Adelaide of Mochental	4	Q117455,Q117457,Q205785,Q206578
Q122303	Thierry of Lorraine, Count of Flanders	4	Q117600,Q120462,Q205966,Q207467
Q123513	Pedro Ponce de Cabrera	4	Q104451,Q105173,Q119272,Q124377
Q124235	Martim Pires da Maia	4	Q103713,Q103715,Q119179,Q124229
Q124261	Gonçalo Mendes II de Sousa	4	Q104081,Q104149,Q119197,Q124257
Q124326	Guerau V de Cabrera	4	Q101441,Q102567,Q119220,Q124325
Q126047	Adelaide of Leuven	4	Q120462,Q120862,Q206526,Q207467
Q126305	Obizzo I d’Este	4	Q120728,Q126303,Q205936,Q206648
Q129997	Nemesis	4	Q130498,Q130652,Q74717,Q74720
Q130392	Aether	4	Q130498,Q130652,Q74717,Q74720
Q130584	Epimetheus	4	Q75054,Q75225,Q90317,Q90374
Q130588	Menoetius	4	Q75054,Q75225,Q90317,Q90374
Q131430	Dies	4	Q130498,Q130652,Q74717,Q74720
Q131552	Charon	4	Q130498,Q130652,Q74717,Q74720
Q131554	Eris	4	Q130498,Q130652,Q74717,Q74720
Q131556	Hypnos	4	Q130498,Q130652,Q74717,Q74720
Q131560	Thanatos	4	Q130498,Q130652,Q74717,Q74720
Q131562	Momus	4	Q130498,Q130652,Q74717,Q74720
Q131566	Geras	4	Q130498,Q130652,Q74717,Q74720
Q131568	Oneiroi	4	Q130498,Q130652,Q74717,Q74720
Q131570	Keres	4	Q130498,Q130652,Q74717,Q74720
Q131574	Moros	4	Q130498,Q130652,Q74717,Q74720
Q131578	Epiphron	4	Q130498,Q130652,Q74717,Q74720
Q131580	Phantasos	4	Q130498,Q130652,Q74717,Q74720
Q131582	Eleos	4	Q130498,Q130652,Q74717,Q74720
Q131584	Hybris	4	Q130498,Q130652,Q74717,Q74720
Q131586	Amicitia	4	Q130498,Q130652,Q74717,Q74720
Q131588	Contentio	4	Q130498,Q130652,Q74717,Q74720
Q131590	Dumiles	4	Q130498,Q130652,Q74717,Q74720
Q131592	Epaphus	4	Q130498,Q130652,Q74717,Q74720
Q131594	Euphrosyne	4	Q130498,Q130652,Q74717,Q74720
Q132030	Vesta	4	Q132028,Q132029,Q74677,Q74680
Q135766	Perseus of Macedon	4	Q135629,Q135765,Q165331,Q165425
Q138545	Jesus Christ	4	Q137751,Q138539,Q153725,Q153726
Q139631	Lucius Aemilius Paullus	4	Q138434,Q139597,Q70949,Q70952
Q143499	Sancho III of Navarre	4	Q100950,Q101718,Q110074,Q110482
Q147881	Gisulf I of Salerno	4	Q143964,Q147879,Q206421,Q206427
Q148329	Julia Soaemias	4	Q151864,Q166158,Q166165,Q4680
Q148331	Severus Alexander	4	Q144407,Q166205,Q166247,Q4681
Q151904	Valerius Adelphius Bassus	4	Q123597,Q151879,Q75582,Q75585
Q153342	Abhimanyu	4	Q153353,Q1888,Q49424,Q49428
Q153355	Suddhodana Gautama	4	Q1910,Q1911,Q49496,Q49500
Q153356	Amita 	4	Q1910,Q1911,Q49496,Q49500
Q153423	Maharaja Tarumanagara IX - Sudawarman (628-639) Placeholder surname	4	Q153413,Q1998,Q49739,Q49827
Q153435	Maharaja Tarumanagara IV - Wisnuwarman (434-455) Placeholder surname	4	Q2019,Q49911,Q49915,Q49919
Q153492	ARUNDHATI Vasishta	4	Q153398,Q160509,Q160510,Q1954
Q153495	ILINA Tansu	4	Q153504,Q29975,Q50556,Q53546
Q153509	BUDHA (planet Mercury) Chandra	4	Q153521,Q30007,Q50629,Q53579
Q153669	Maharaja Sriwijaya XV - Sangrama-Vijayottunggawarman (1017-1030) Placeholder surname?	4	Q1761,Q1762,Q48762,Q48766
Q153670	Kancanasari bint Cucu Demunawan	4	Q153350,Q160397,Q160398,Q49411
Q160438	King Sihahanu of Shakya	4	Q160437,Q160467,Q160468,Q160469
Q160569	Maharaja Tarumanagara IX - Sudawarman (628-639)	4	Q160551,Q160552,Q160588,Q160589
Q160604	Suklawatidewi bint Wiryabanyu	4	Q160623,Q160624,Q160625,Q160626
Q160627	Maharaja Tarumanagara III - Purnawarman (395-434)	4	Q160655,Q160656,Q160657,Q160658
Q161754	Raden Ayu Retna Pembayun	4	Q161645,Q171354,Q171370,Q171504
Q169342	KRIPAcharya	4	Q160494,Q170365,Q170489,Q1944
Q169343	KRIPI	4	Q160494,Q170365,Q170489,Q1944
Q169837	BALARAMA Vasudeva	4	Q160387,Q160431,Q1877,Q49383
Q170333	Kaksreyu	4	Q160921,Q160922,Q160923,Q160924
Q170334	Vrikeyu	4	Q160921,Q160922,Q160923,Q160924
Q170335	Sthandileyu	4	Q160921,Q160922,Q160923,Q160924
Q170336	Vaneyu	4	Q160921,Q160922,Q160923,Q160924
Q170337	Jaleyu	4	Q160921,Q160922,Q160923,Q160924
Q170338	Tejeyu	4	Q160921,Q160922,Q160923,Q160924
Q170339	Satyeyu	4	Q160921,Q160922,Q160923,Q160924
Q170340	DHARMEYU Raudrasva	4	Q160921,Q160922,Q160923,Q160924
Q170341	Sannateyu	4	Q160921,Q160922,Q160923,Q160924
Q1876	Devaki	4	Q153358,Q160411,Q160412,Q49436
Q1944	Shantanu	4	Q160519,Q160520,Q1958,Q49655
Q195227	Teti do Egito	4	Q195291,Q195293,Q85780,Q85782
Q195228	Nysuteh do Egito	4	Q195291,Q195293,Q85780,Q85782
Q195366	Osorkon IV	4	Q195083,Q195339,Q195547,Q195660
Q2076	Bharata	4	Q153482,Q153483,Q160789,Q160790
Q2137	MATINARA	4	Q153525,Q29983,Q50661,Q53554
Q2359	SHRUT	4	Q28376,Q30011,Q52332,Q53583
Q2449	Peshotanu of Iran	4	Q2412,Q29096,Q52661,Q52669
Q28308	JARASANDHA  Brihadratha	4	Q28320,Q51341,Q52276,Q53518
Q28429	of Vedic period	4	Q2344,Q51442,Q51447,Q52396
Q28921	HARISHCHANDRA (Dhundumara)  Trishanku	4	Q2369,Q51475,Q51479,Q52496
Q28998	AMBARISHA  Mandhata	4	Q29002,Q29006,Q52568,Q52572
Q29108	Isfandiyar \ Spandodata \ Isfendiyar \ Spendoclata  Raja Iran	4	Q2412,Q29096,Q52661,Q52669
Q29140	kay kaus  Raja Iran	4	Q29144,Q29156,Q52709,Q52721
Q29144	kay uyarsh  Raja Iran	4	Q29148,Q29152,Q52713,Q52717
Q29425	Hittite Princess	4	Q2489,Q51850,Q51854,Q52986
Q29766	Malcolm  Mureybet	4	Q29770,Q29782,Q53342,Q53354
Q31841	Beatriz  Andrada Bocanegra	4	Q31801,Q33406,Q90225,Q92778
Q32146	Francisco  Ramirez de Arellano y Zuniga	4	Q31110,Q92384,Q92386,Q92908
Q32949	Tomas  de Baeza Polanco	4	Q31601,Q92268,Q92698,Q92710
Q32953	Juan Bautista  de Baeza Polanco	4	Q31601,Q92268,Q92698,Q92710
Q35312	Francisca  de Valdes Cervantes	4	Q33301,Q33358,Q93485,Q93500
Q39056	Leonor  de Moctezuma	4	Q38931,Q39124,Q4839,Q4872
Q40310	Maria  Ruiz de Esparza y Lopez de Elizalde	4	Q39732,Q39740,Q40306,Q40378
Q43294	Michael of Trebizond	4	Q167287,Q167321,Q40967,Q43290
Q46203	Andronikos III of Trebizond	4	Q167318,Q167322,Q43298,Q46195
Q49500	Sihahanu	4	Q49496,Q49553,Q49557,Q49561
Q49911	Purnawarman son of  Dharmayawarman	4	Q49984,Q49988,Q49992,Q49996
Q50033	Alexios I of Trebizond	4	Q167239,Q167249,Q55547,Q55551
Q50087	Alexios III of Trebizond	4	Q167342,Q167361,Q46199,Q50083
Q50254	George IV of Georgia	4	Q167215,Q167240,Q50306,Q50310
Q51822	Ptolemy XII Auletes	4	Q51818,Q78402,Q78713,Q78719
Q52320		4	Q2327,Q28376,Q30011,Q52328
Q55555	David I of Trebizond	4	Q167239,Q167249,Q55547,Q55551
Q55907	Constantine I of Georgia	4	Q167353,Q167375,Q50291,Q55604
Q59355	Theodosius	4	Q108975,Q108977,Q59420,Q59453
Q63550	Consul (203) - Gaius Fulvius Plautianus	4	Q64202,Q64235,Q64268,Q64301
Q63867	Wife of Imran  bint Rabi'ah	4	Q63873,Q64316,Q64960,Q64963
Q64924	Malik Az-Zuhri son of  Wahb	4	Q64435,Q64438,Q64900,Q64930
Q65489	Hadrian	4	Q66718,Q66751,Q66784,Q66817
Q65681	Lucius Septimius Severus	4	Q148338,Q148339,Q67118,Q67151
Q66497	Aisha	4	Q107453,Q107455,Q66245,Q67307
Q66533	Al-Harith ibn Harb	4	Q107822,Q65708,Q65831,Q95706
Q66715	Haseen son of al-Haarith	4	Q65861,Q65999,Q94403,Q95195
Q67645	Uthman ibn Affan	4	Q107848,Q66656,Q66796,Q68118
Q67687	Habibah binte Ubaydallah	4	Q66509,Q66841,Q94485,Q94852
Q69574	Umm  daughter of Marwan	4	Q67906,Q67921,Q94363,Q95213
Q69972	Octavia Sergia Plotilla	4	Q144242,Q70122,Q70152,Q70685
Q70388	Publius Aelius Marullinus	4	Q151764,Q71349,Q71382,Q99338
Q71173	Publius Servilius Vatia Isauricus	4	Q144062,Q72302,Q72305,Q72687
Q72278	Marcus Pupius Piso Frugi Calpurnianus	4	Q141610,Q72463,Q72466,Q72469
Q73026	Aurelia	4	Q73179,Q73182,Q99372,Q99374
Q73380	BAD MERGE	4	Q132823,Q73359,Q73362,Q90289
Q74677	Ops	4	Q131438,Q131440,Q74698,Q74701
Q74680	Saturn	4	Q131438,Q131440,Q74698,Q74701
Q74723	Aristomachus	4	Q134107,Q74732,Q75192,Q90476
Q74846	Anchises	4	Q74864,Q74867,Q90436,Q90508
Q74873	Canens  of Latium	4	Q74894,Q74897,Q90267,Q90269
Q74906	Callirhoe  Queen of Trojans	4	Q74934,Q74937,Q90313,Q90329
Q74918	Adrastus  King of Argos	4	Q74946,Q74949,Q90538,Q90558
Q74985	Pero  Princess of Pylos	4	Q75015,Q75018,Q90526,Q90572
Q74988	Bias  Thessaly	4	Q75021,Q75024,Q90386,Q90474
Q75009	Teucer  of Teucria	4	Q74934,Q74937,Q90313,Q90329
Q75048	Persephone EK  Mycenae	4	Q75078,Q75081,Q90486,Q90544
Q75054	Themis	4	Q74698,Q74701,Q74970,Q74973
Q75072	Alcidice	4	Q75096,Q75099,Q90566,Q90598
Q75123	Deimachus	4	Q131902,Q133062,Q75162,Q75165
Q75153	Deucalion	4	Q75192,Q75195,Q90388,Q90476
Q75192	Klymene	4	Q132255,Q74970,Q74973,Q90309
Q75195	Prometheus	4	Q75054,Q75225,Q90317,Q90374
Q75207	Callisto	4	Q75237,Q75240,Q90394,Q90480
Q75252	Lacedaemon  of Troy	4	Q74656,Q75294,Q90359,Q90382
Q75315	Niobe	4	Q75336,Q75339,Q90406,Q90484
Q75441	Hermenegildo Gutiérrez	4	Q75447,Q75450,Q99973,Q99975
Q75573	Anicius Auchenius Bassus	4	Q151955,Q154066,Q75634,Q75637
Q77269	Tiberius Plautius Silvanus Aelianus	4	Q141426,Q144088,Q77494,Q77497
Q78402		4	Q73035,Q73038,Q73194,Q78719
Q78609	Cleopatra V of Egypt	4	Q135920,Q136155,Q78713,Q78716
Q78716	Cleopatra Selene I of Egypt	4	Q73038,Q73197,Q78402,Q78719
Q78719	Cleopatra III of Egypt	4	Q73038,Q73194,Q73197,Q78402
Q78770	Philetaerus	4	Q136454,Q136455,Q78824,Q78827
Q85255	Mehetenweskhet	4	Q85265,Q85267,Q85269,Q85271
Q85356	Takelot I	4	Q195426,Q195802,Q85368,Q85370
Q85392	Karomat \ Karomama  Karomama ?Princess of Egypt	4	Q85388,Q85390,Q85402,Q85404
Q85562	Kemi 	4	Q85586,Q85588,Q85606,Q86213
Q85744	Userkaf	4	Q195154,Q195232,Q85748,Q85750
Q86577	Rab Abba Arika  bar Abba	4	Q86591,Q86593,Q91080,Q91082
Q87283	  	4	Q87295,Q87298,Q87300,Q87302
Q87460	Marquis Cheng of Cai   	4	Q57999,Q58128,Q87466,Q87468
Q89572	N.  de la Cavalleria	4	Q89373,Q89622,Q91496,Q91692
Q89616	N.  Fernandez	4	Q89399,Q91414,Q91514,Q91518
Q89618	N.  Fernandez	4	Q89399,Q91414,Q91514,Q91518
Q89629	Isabel  de la Cavalleria	4	Q89407,Q89566,Q91522,Q91654
Q90257	Aeneas  the Dardanian	4	Q130402,Q132752,Q74846,Q74849
Q90317	Clymene Asia	4	Q74698,Q74701,Q74970,Q90309
Q90333	Rhode	4	Q75039,Q75108,Q90291,Q90412
Q90388	Prometheus	4	Q75054,Q75225,Q90317,Q90374
Q90454	Demeter - - Ceres	4	Q74677,Q74680,Q90368,Q90376
Q90476	Hesione	4	Q132255,Q74970,Q74973,Q90309
Q90560	Pronax \ Promax  Promax	4	Q74946,Q74949,Q90538,Q90558
Q94227	Abu Lahab	4	Q107584,Q65008,Q65864,Q94219
Q98221		4	Q109025,Q109205,Q97564,Q98219
Q99767	Bermudo I of Asturias	4	Q110842,Q75462,Q99785,Q99787
Q99899	García Íñiguez of Pamplona	4	Q100070,Q100072,Q109722,Q109724
Q100308	Ordoño III of León	3	Q100038,Q110066,Q143493
Q100441	Sancho I of Pamplona	3	Q100976,Q100978,Q109760
Q1010	Dipnomorpha	3	Q1001,Q30783,Q54352
Q101021	Fernan	3	Q100467,Q101023,Q113501
Q101361	Alfonso V of León	3	Q100661,Q100926,Q110116
Q102377	Maria Pais de Ribeira	3	Q101329,Q114038,Q125096
Q102913	Ramon Berenguer I, Count of Barcelona	3	Q101679,Q102909,Q110544
Q102941	Ramiro I of Aragon	3	Q102939,Q111547,Q143499
Q103252	Soeiro  Bufinho	3	Q101944,Q103254,Q118555
Q104087	Sancho I of Portugal	3	Q104129,Q106750,Q118403
Q104135	Theresa of León	3	Q104013,Q111675,Q114176
Q104493	Fernando El Castellano  Ruiz	3	Q104011,Q104528,Q118247
Q104885	Sancho Ramírez	3	Q102941,Q104881,Q111549
Q106609	Sancho Alfonsez	3	Q104013,Q106607,Q112422
Q106782	Robert of Burgundy, bishop of Langres	3	Q106776,Q106778,Q111733
Q107162	Ermengol VII, Count of Urgell	3	Q104371,Q107158,Q118293
Q109832	Anastasius	3	Q110168,Q110170,Q60030
Q110508	Jimena of León	3	Q101361,Q101722,Q113385
Q110510	Odo of Gascony	3	Q107090,Q110096,Q118743
Q110512	Adelais	3	Q107090,Q110096,Q118743
Q110540	Mayor of Castile	3	Q100914,Q100936,Q110120
Q110988	Agnes of Burgundy, Duchess of Aquitaine	3	Q111605,Q111637,Q205109
Q110990	Agnes of Poitou	3	Q107090,Q110988,Q118743
Q110992	William VI, Duke of Aquitaine	3	Q107090,Q110986,Q118743
Q110994	William VII, Duke of Aquitaine	3	Q107090,Q110988,Q118743
Q110996	William VIII, Duke of Aquitaine	3	Q107090,Q110988,Q118743
Q110998	Béatrice, Countess of Melgueil	3	Q107090,Q110988,Q118743
Q111318	Pepin of Landen	3	Q112100,Q113081,Q154041
Q111639	Reginald I, Count of Burgundy	3	Q111605,Q111637,Q205109
Q111663	Hildegarde of Burgundy	3	Q112620,Q112695,Q206638
Q111669	Guillaume IX	3	Q110996,Q111663,Q205534
Q1117	Homo floresiensis (0.05)	3	Q1112,Q30868,Q54436
Q1118	Australopithecus sediba (2.0)	3	Q1112,Q30868,Q54436
Q1119	Homo rudolfensis (1.9)	3	Q1112,Q30868,Q54436
Q1120	Homo habilis (1.5)	3	Q1112,Q30868,Q54436
Q112356	Robert I of France	3	Q111497,Q112352,Q206678
Q112458	Adela of France	3	Q112356,Q112454,Q206159
Q112464	Henry I the Fowler	3	Q113874,Q113876,Q206672
Q112480	Frederick I, Duke of Upper Lorraine	3	Q113960,Q113962,Q205984
Q112502	Adalbert of Italy	3	Q114020,Q114022,Q206809
Q112562	Odo II, Count of Blois	3	Q111623,Q112558,Q207165
Q112606	William I, Count of Burgundy	3	Q111639,Q112604,Q205627
Q112711	Guillaume X	3	Q111669,Q112705,Q112707
Q112801	Hugh I, Duke of Burgundy	3	Q106776,Q111733,Q118429
Q112803	Odo I, Duke of Burgundy	3	Q106776,Q111733,Q118429
Q112805	Raynald I, abbot of Flavigny	3	Q106776,Q111733,Q118429
Q112807	Beatrice de Bourgogne	3	Q106776,Q111733,Q118429
Q113235	Drogo of Champagne	3	Q112064,Q135895,Q206906
Q113366	Maulana Ishaq	3	Q112196,Q171352,Q171423
Q113464	Drogo	3	Q115039,Q115564,Q205213
Q113572	Guilla of Provence	3	Q113566,Q113568,Q206910
Q113612	Conrad II, Duke of Transjurane Burgundy	3	Q112352,Q113628,Q205103
Q113614	Rudolph I of Burgundy	3	Q112348,Q113612,Q206035
Q113774	Callixtus II	3	Q112606,Q113646,Q205352
Q113790	Raymond of Burgundy	3	Q112606,Q113646,Q205352
Q113792	Sancha Raimúndez	3	Q106603,Q113790,Q118257
Q113794	Alfonso VII of Castile	3	Q106603,Q113790,Q118257
Q113796	Elvira Pérez de Lara	3	Q106603,Q112885,Q118257
Q113798	Fernando Pérez de Lara	3	Q106603,Q112885,Q118257
Q113800	Roger II of Sicily	3	Q116080,Q116082,Q205919
Q113878	Oda of Saxony	3	Q113874,Q113876,Q206672
Q113886	Louis IV of France	3	Q113856,Q115496,Q206256
Q113912	Adelaide of Italy	3	Q115670,Q116355,Q205409
Q113983	Adelaide of Troyes	3	Q113981,Q113982,Q205972
Q114018	Ermengarde-Gerberga of Anjou	3	Q112532,Q113576,Q114121
Q114028	Gerberga d'Ivrea	3	Q114020,Q114022,Q206809
Q114035	Louis V of France	3	Q113896,Q116315,Q205970
Q114058	Gisela of France	3	Q115496,Q116691,Q207475
Q114071	D. Sancho  Nunes de Barbosa	3	Q101335,Q102057,Q102397
Q114103	Baldwin III, Count of Flanders	3	Q112540,Q114101,Q206864
Q114129	Conrad I of Burgundy	3	Q115670,Q116355,Q205409
Q114141	Theobald III	3	Q112562,Q114139,Q205529
Q114152	Bermudo  Ordonez	3	Q101353,Q101377,Q101395
Q114211	Stephen I, Count of Burgundy	3	Q112606,Q113646,Q205352
Q114215	Clementia of Burgundy	3	Q112606,Q113646,Q205352
Q114275	Bruno II	3	Q112636,Q114269,Q206920
Q114277	Ida von Elsdorf	3	Q112636,Q114269,Q206920
Q114318	Elvira Diaz	3	Q102649,Q110560,Q111055
Q114491	Baldwin III, Count of Hainaut	3	Q117706,Q117708,Q206503
Q114511	Waleran, Duke of Lower Lorraine	3	Q117766,Q117768,Q205562
Q114730	Sikelgaita	3	Q118200,Q118202,Q206602
Q114743	Aimery II of Narbonne	3	Q112815,Q114741,Q205637
Q114744	Berenguer of Narbonne	3	Q112815,Q114741,Q205637
Q115039	Charlemagne	3	Q111318,Q115037,Q136124
Q115496	Charles the Simple	3	Q113420,Q115494,Q206502
Q115540	Hardouin de Ponthieu	3	Q113440,Q118967,Q205641
Q115552	Bernard of Italy	3	Q113462,Q115550,Q206123
Q115596	Baldwin II	3	Q113506,Q115594,Q205535
Q115598	Raoul of Flanders	3	Q113506,Q115594,Q205535
Q115600	Charles van Vlaanderen	3	Q113506,Q115594,Q205535
Q115650	Richard, Duke of Burgundy	3	Q115645,Q205578,Q205968
Q115808	Pedro Manrique de Lara	3	Q106950,Q115806,Q118603
Q115810	Aimerico Manrique de Lara	3	Q106950,Q115806,Q118603
Q115916	Arnold I of Chiny	3	Q116735,Q119414,Q205586
Q116000	Raymond V, Count of Toulouse	3	Q107026,Q115998,Q118679
Q116002	Alphonse of Toulouse	3	Q107026,Q115998,Q118679
Q116004	Faidiva of Toulouse	3	Q107026,Q115998,Q118679
Q116006	Laurence of Toulouse	3	Q107026,Q115998,Q118679
Q116030	Urraca of Portugal	3	Q104129,Q106750,Q118403
