child_qid	child_label	n_parents	parent_qids
Q28324	SITA aka Janaki aka Mythili  Rama	9	Q161263,Q161264,Q161265,Q161266,Q28332,Q51357,Q51362,Q51367,Q52288
Q73119	Marcus Livius Drusus	8	Q151476,Q72798,Q72801,Q73173,Q73284,Q78450,Q78453,Q78746
Q153494	DHRUVA Uttanapada	7	Q130322,Q153503,Q153674,Q50540,Q50544,Q50548,Q53559
Q28364	RAGHU  Dirghabahu	7	Q2327,Q28376,Q30011,Q51407,Q52328,Q52332,Q53583
Q123528	Fernando Rodríguez de Castro	6	Q104407,Q104495,Q113686,Q115832,Q118368,Q123526
Q153479	Nahusha	6	Q153490,Q153491,Q153492,Q160541,Q160797,Q2098
Q153520	DHATA	6	Q130322,Q153530,Q153713,Q2159,Q50669,Q53587
Q160905	RICHEYU \ ANADHRISHTI ANADHRISHTI	6	Q160919,Q160920,Q160921,Q160922,Q160923,Q160924
Q66011	Fatimah bint Asad	6	Q108042,Q65011,Q65061,Q65966,Q94239,Q94241
Q72786	Marcus Aemilius Lepidus	6	Q72789,Q72801,Q73011,Q73110,Q73113,Q73173
Q74701	Terra	6	Q130392,Q130498,Q130652,Q131430,Q74717,Q74720
Q153219	Maharaja Malayu II - Tribhuwanaraja (1286-1316) Placeholder surname Sang Sapurba	5	Q153224,Q48371,Q48375,Q48379,Q48383
Q153436	Suklawatidewi bint Wiryabanyu	5	Q2020,Q49923,Q49927,Q49931,Q49935
Q153447	HASTI (founder of Hastinapur) Suhotra	5	Q153453,Q153454,Q29959,Q50084,Q53530
Q160051	Maharaja Malayu II - Tribhuwanaraja (1286-1316)	5	Q160069,Q160070,Q160071,Q160072,Q160073
Q1861	Krishna	5	Q160387,Q1876,Q1877,Q49383,Q49387
Q2319	DASHARATHA	5	Q161276,Q161277,Q2322,Q51402,Q52308
Q2389	Yuvanashva II	5	Q161377,Q161378,Q29014,Q51524,Q52580
Q30804	Osteolepiformes	5	Q152957,Q30792,Q30796,Q54360,Q54364
Q3457	Miguel de Cervantes	5	Q32086,Q89759,Q91574,Q91763,Q92861
Q6421	Shaodian	5	Q51954,Q6433,Q6435,Q87840,Q87862
Q73260	Marcus Licinius Crassus Agelastus	5	Q72969,Q72972,Q72981,Q73407,Q73410
Q74698	Uranus	5	Q130392,Q131430,Q74701,Q74717,Q74720
Q76693	Sergius Octavius Pontianus Laenes Octavius  Pontainus	5	Q76930,Q76933,Q76936,Q76939,Q76945
Q78713	Ptolemy IX Lathyros	5	Q73035,Q73038,Q73197,Q78402,Q78719
Q86089	Itakayt . 	5	Q195205,Q85640,Q86065,Q86147,Q86159
Q86820	Caliph Muhammad al-Mahdi son of  Abdallah al-Mansur	5	Q86826,Q86828,Q86830,Q86832,Q86834
