tangle	size	tangle_head	parent	parent_label	child	child_label	ancestors_lost	stranded	lost_qids
1	71	Flavia Julia Constantia	Q72239	Vipsania Agrippina	Q77611	Drusus Julius Caesar	2225	0	(2225 records, not listed)
1	71	Flavia Julia Constantia	Q141756	Annia Rupilia Faustina	Q65192	Gaius Annianus Verus	2162	1	(2162 records, not listed)
1	71	Flavia Julia Constantia	Q65489	Hadrian	Q64516	Antoninus Pius	2103	1	(2103 records, not listed)
1	71	Flavia Julia Constantia	Q70152	Rubellia Bassa	Q68488	Octavia	1968	0	(1968 records, not listed)
1	71	Flavia Julia Constantia	Q70152	Rubellia Bassa	Q69972	Octavia Sergia Plotilla	1966	0	(1966 records, not listed)
1	71	Flavia Julia Constantia	Q77611	Drusus Julius Caesar	Q138467	Julia Livia	1963	0	(1963 records, not listed)
1	71	Flavia Julia Constantia	Q77611	Drusus Julius Caesar	Q77386	Julia Livia	1963	0	(1963 records, not listed)
1	71	Flavia Julia Constantia	Q62255	Aurelia Pompeiana	Q61957	Claudia Crispina	452	1	(452 records, not listed)
1	71	Flavia Julia Constantia	Q62704	Lucius Aurellius Commodus Pompeianus	Q62255	Aurelia Pompeiana	117	0	Q138496 Q139723 Q141492 Q141581 Q141604 Q144062 Q144075 Q144147 Q144237 Q144242 Q144282 Q148068 Q148182 Q148183 Q148199 Q148200 Q148211 Q148212 Q151430 Q151494 Q151513 Q151516 Q151520 Q151568 Q151607 Q151694 Q62704 Q63192 Q63224 Q63747 Q63780 Q63813 Q64483 Q64516 Q65423 Q65456 Q65489 Q66587 Q66620 Q66653 Q66685 Q66718 Q66751 Q66784 Q66817 Q68025 Q68058 Q68091 Q68124 Q68157 Q68223 Q68256 Q68283 Q68317 Q68335 Q69679 Q69706 Q69763 Q69787 Q69907 Q69940 Q69972 Q70005 Q70331 Q70334 Q70368 Q70374 Q70376 Q70379 Q70394 Q70415 Q70448 Q70469 Q70502 Q70523 Q70955 Q71161 Q71173 Q71194 Q71215 Q71236 Q71269 Q71415 Q71445 Q71475 Q72257 Q72296 Q72299 Q72302 Q72305 Q72308 Q72311 Q72314 Q72317 Q72442 Q72499 Q72505 Q72508 Q72627 Q72687 Q72690 Q72804 Q72861 Q72864 Q72960 Q73008 Q73134 Q73170 Q73302 Q73332 Q73452 Q73479 Q73599 Q73710 Q73812 Q73910 Q73985
1	71	Flavia Julia Constantia	Q63747	Faustina the Younger	Q63192	Lucilla	112	0	Q138496 Q139723 Q141492 Q141581 Q141604 Q144062 Q144075 Q144147 Q144237 Q144242 Q144282 Q148068 Q148182 Q148183 Q148199 Q148200 Q148211 Q148212 Q151430 Q151494 Q151513 Q151516 Q151520 Q151568 Q151607 Q151694 Q63747 Q64483 Q64516 Q65423 Q65456 Q65489 Q66587 Q66620 Q66653 Q66685 Q66718 Q66751 Q66784 Q66817 Q68025 Q68058 Q68091 Q68124 Q68157 Q68223 Q68256 Q68283 Q68317 Q68335 Q69679 Q69706 Q69763 Q69787 Q69907 Q69940 Q69972 Q70005 Q70331 Q70334 Q70368 Q70374 Q70376 Q70379 Q70394 Q70415 Q70448 Q70469 Q70502 Q70523 Q70955 Q71161 Q71173 Q71194 Q71215 Q71236 Q71269 Q71415 Q71445 Q71475 Q72257 Q72296 Q72299 Q72302 Q72305 Q72308 Q72311 Q72314 Q72317 Q72442 Q72499 Q72505 Q72508 Q72627 Q72687 Q72690 Q72804 Q72861 Q72864 Q72960 Q73008 Q73134 Q73170 Q73302 Q73332 Q73452 Q73479 Q73599 Q73710 Q73812 Q73910 Q73985
1	71	Flavia Julia Constantia	Q64516	Antoninus Pius	Q63747	Faustina the Younger	110	0	Q138496 Q139723 Q141492 Q141581 Q141604 Q144062 Q144075 Q144147 Q144237 Q144242 Q144282 Q148068 Q148182 Q148183 Q148199 Q148200 Q148211 Q148212 Q151430 Q151494 Q151513 Q151516 Q151520 Q151568 Q151607 Q151694 Q64516 Q65423 Q65456 Q65489 Q66587 Q66620 Q66653 Q66685 Q66718 Q66751 Q66784 Q66817 Q68025 Q68058 Q68091 Q68124 Q68157 Q68223 Q68256 Q68283 Q68317 Q68335 Q69679 Q69706 Q69763 Q69787 Q69907 Q69940 Q69972 Q70005 Q70331 Q70334 Q70368 Q70374 Q70376 Q70379 Q70394 Q70415 Q70448 Q70469 Q70502 Q70523 Q70955 Q71161 Q71173 Q71194 Q71215 Q71236 Q71269 Q71415 Q71445 Q71475 Q72257 Q72296 Q72299 Q72302 Q72305 Q72308 Q72311 Q72314 Q72317 Q72442 Q72499 Q72505 Q72508 Q72627 Q72687 Q72690 Q72804 Q72861 Q72864 Q72960 Q73008 Q73134 Q73170 Q73302 Q73332 Q73452 Q73479 Q73599 Q73710 Q73812 Q73910 Q73985
1	71	Flavia Julia Constantia	Q62680	Mariana Minor	Q62255	Aurelia Pompeiana	73	1	Q141756 Q144099 Q144173 Q148138 Q151387 Q151389 Q151401 Q151532 Q151640 Q62680 Q63124 Q63157 Q63684 Q63717 Q64355 Q64388 Q64421 Q64450 Q65192 Q65225 Q65324 Q65357 Q65390 Q66425 Q66455 Q66554 Q67863 Q67897 Q67929 Q67995 Q69518 Q69547 Q69580 Q69613 Q70355 Q70358 Q70361 Q70364 Q71137 Q71146 Q72290 Q72293 Q72490 Q72493 Q72496 Q72678 Q72681 Q72684 Q72852 Q72855 Q72999 Q73002 Q73005 Q73161 Q73164 Q73326 Q73473 Q73593 Q73596 Q73701 Q73704 Q73707 Q73806 Q73809 Q73904 Q73907 Q73982 Q77899 Q77902 Q78063 Q78066 Q78069 Q78225
1	71	Flavia Julia Constantia	Q64355	Gaius Ummidius Quadratus Annianus Verus  Fulvius	Q63684	Ummidia Commificia Antonia	60	1	Q141756 Q144099 Q144173 Q148138 Q151387 Q151389 Q151401 Q151532 Q151640 Q64355 Q65192 Q65225 Q66425 Q66455 Q67863 Q67897 Q67929 Q69518 Q69547 Q69580 Q69613 Q70355 Q70358 Q70361 Q70364 Q71137 Q71146 Q72290 Q72293 Q72490 Q72493 Q72496 Q72678 Q72681 Q72684 Q72852 Q72855 Q72999 Q73002 Q73005 Q73161 Q73164 Q73326 Q73473 Q73593 Q73596 Q73701 Q73704 Q73707 Q73806 Q73809 Q73904 Q73907 Q73982 Q77899 Q77902 Q78063 Q78066 Q78069 Q78225
1	71	Flavia Julia Constantia	Q65192	Gaius Annianus Verus	Q64355	Gaius Ummidius Quadratus Annianus Verus  Fulvius	58	0	Q141756 Q144099 Q144173 Q148138 Q151387 Q151389 Q151401 Q151532 Q151640 Q65192 Q66425 Q66455 Q67863 Q67897 Q67929 Q69518 Q69547 Q69580 Q69613 Q70355 Q70358 Q70361 Q70364 Q71137 Q71146 Q72290 Q72293 Q72490 Q72493 Q72496 Q72678 Q72681 Q72684 Q72852 Q72855 Q72999 Q73002 Q73005 Q73161 Q73164 Q73326 Q73473 Q73593 Q73596 Q73701 Q73704 Q73707 Q73806 Q73809 Q73904 Q73907 Q73982 Q77899 Q77902 Q78063 Q78066 Q78069 Q78225
1	71	Flavia Julia Constantia	Q69296	Marcus Licinius Crassus Frugi	Q67573	Marcus Licinius Crassus Frugi	38	0	Q141610 Q144275 Q148208 Q69296 Q70343 Q70346 Q71026 Q71053 Q71083 Q71098 Q72278 Q72281 Q72463 Q72466 Q72469 Q72475 Q72478 Q72654 Q72660 Q72663 Q72666 Q72669 Q72825 Q72828 Q72840 Q72843 Q72978 Q72987 Q72990 Q73143 Q73149 Q73152 Q73314 Q73317 Q73461 Q73464 Q73584 Q73587
1	71	Flavia Julia Constantia	Q70346	Fausta  Cornelia	Q69296	Marcus Licinius Crassus Frugi	22	1	Q70346 Q71083 Q71098 Q72281 Q72475 Q72478 Q72660 Q72663 Q72666 Q72669 Q72840 Q72843 Q72987 Q72990 Q73149 Q73152 Q73314 Q73317 Q73461 Q73464 Q73584 Q73587
1	71	Flavia Julia Constantia	Q70343	Marcus Licinius Crassus Dives	Q69296	Marcus Licinius Crassus Frugi	15	1	Q141610 Q144275 Q148208 Q70343 Q71026 Q71053 Q72278 Q72463 Q72466 Q72469 Q72654 Q72825 Q72828 Q72978 Q73143
1	71	Flavia Julia Constantia	Q69263	Scribonia Magna	Q67573	Marcus Licinius Crassus Frugi	12	0	Q138489 Q139712 Q139746 Q69263 Q70337 Q70340 Q70967 Q70988 Q71002 Q72260 Q72445 Q72630
1	71	Flavia Julia Constantia	Q70718	Gaius Rubellius Blandus	Q70152	Rubellia Bassa	8	1	Q138467 Q139688 Q141584 Q70718 Q71628 Q71655 Q72338 Q72341
