tangle	size	tangle_head	parent	parent_label	child	child_label	ancestors_lost	stranded	lost_qids
1	71	Flavia Julia Constantia	Q73083	Publius Licinius Crassus Dives (consul 97 BC)	Q72933	Marcus Licinius Crassus	7	1	Q73083 Q73260 Q73263 Q73407 Q73410 Q73545 Q73548
1	71	Flavia Julia Constantia	Q70340	Lucius Scribonius Libo	Q69263	Scribonia Magna	6	1	Q138489 Q139712 Q139746 Q70340 Q70988 Q71002
1	71	Flavia Julia Constantia	Q72807	Publius Mucius Scaevola	Q72633	Publius Mucius Scaevola	5	0	Q72807 Q72963 Q72966 Q73137 Q73305
1	71	Flavia Julia Constantia	Q70337	Cornelia Pompeia Magna	Q69263	Scribonia Magna	2	1	Q70337 Q70967
1	71	Flavia Julia Constantia	Q63780	Marcus Aurelius	Q63192	Lucilla	1	0	Q63780
1	71	Flavia Julia Constantia	Q64388	Annia Cornificia Faustina	Q63684	Ummidia Commificia Antonia	1	1	Q64388
1	71	Flavia Julia Constantia	Q64483	Faustina the Elder	Q63747	Faustina the Younger	1	0	Q64483
1	71	Flavia Julia Constantia	Q65225	Annia Cornificia Faustina	Q64355	Gaius Ummidius Quadratus Annianus Verus  Fulvius	1	0	Q65225
1	71	Flavia Julia Constantia	Q72810	Licinia	Q72633	Publius Mucius Scaevola	1	0	Q72810
1	71	Flavia Julia Constantia	Q77386	Julia Livia	Q70152	Rubellia Bassa	1	1	Q77386
1	71	Flavia Julia Constantia	Q99408	Publius Licinius Varus Licinius Crassus  Crassus	Q72972	Publius Licinius Crassus Dives	1	1	Q99408
1	71	Flavia Julia Constantia	Q64549	Marcus Annius Verus	Q63780	Marcus Aurelius	0	0	
1	71	Flavia Julia Constantia	Q64549	Marcus Annius Verus	Q65225	Annia Cornificia Faustina	0	0	
1	71	Flavia Julia Constantia	Q64582	Domitia Lucilla Minor	Q63780	Marcus Aurelius	0	0	
1	71	Flavia Julia Constantia	Q64582	Domitia Lucilla Minor	Q65225	Annia Cornificia Faustina	0	0	
1	71	Flavia Julia Constantia	Q72657	Publius Licinius Crassus Dives	Q72933	Marcus Licinius Crassus	0	0	
1	71	Flavia Julia Constantia	Q72972	Publius Licinius Crassus Dives	Q73260	Marcus Licinius Crassus Agelastus	0	0	
1	71	Flavia Julia Constantia	Q72981	Publius Licinius Crassus	Q73260	Marcus Licinius Crassus Agelastus	0	0	
1	71	Flavia Julia Constantia	Q73665	Publius Licinius  Crassus	Q72972	Publius Licinius Crassus Dives	0	0	
2	18	Petronia	Q75603	Demetrias	Q75558	Clodia Celsina	2729	0	(2729 records, not listed)
2	18	Petronia	Q75603	Demetrias	Q75576	Clodius Celsinus Adelphius	2729	0	(2729 records, not listed)
2	18	Petronia	Q75721	Rufia Procula	Q75781	Caeionius  Proculus	988	0	(988 records, not listed)
2	18	Petronia	Q75576	Clodius Celsinus Adelphius	Q75540	Quintus Clodius Hermogenianus Olybrius	713	0	(713 records, not listed)
2	18	Petronia	Q75558	Clodia Celsina	Q65002	Sextus Claudius Petronius Probus	709	1	(709 records, not listed)
2	18	Petronia	Q75522	Anicia Faltonia Proba	Q75516	Anicius Hermogenianus Olybrius	675	0	(675 records, not listed)
2	18	Petronia	Q75543	Tyrrania Anicia Juliana	Q75522	Anicia Faltonia Proba	671	0	(671 records, not listed)
2	18	Petronia	Q75634	Caeionia Auchenia Bassa	Q75573	Anicius Auchenius Bassus	394	1	Q113011 Q123588 Q139842 Q139843 Q139844 Q141768 Q141784 Q141785 Q141789 Q141790 Q141791 Q141792 Q144370 Q144418 Q144419 Q148098 Q148196 Q148342 Q151380 Q151522 Q151632 Q153733 Q153734 Q153735 Q153736 Q153737 Q61792 Q62156 Q62515 Q62570 Q62926 Q62959 Q63484 Q63517 Q63972 Q64104 Q64137 Q64169 Q64780 Q64813 Q64837 Q64870 Q64936 Q64969 Q65002 Q65846 Q65879 Q65912 Q65945 Q65975 Q66002 Q66035 Q66068 Q66098 Q66131 Q66164 Q67316 Q67349 Q67382 Q67415 Q67441 Q67507 Q67540 Q67636 Q67669 Q67699 Q67732 Q69004 Q69038 Q69071 Q69101 Q69134 Q69164 Q69197 Q69230 Q69359 Q69392 Q69422 Q70307 Q70310 Q70313 Q70316 Q70319 Q70322 Q70328 Q70352 Q70919 Q70922 Q70925 Q70928 Q70931 Q70934 Q70937 Q70940 Q70946 Q72074 Q72107 Q72140 Q72173 Q72206 Q72221 Q72224 Q72227 Q72230 Q72233 Q72245 Q72389 Q72392 Q72395 Q72398 Q72407 Q72410 Q72416 Q72428 Q72431 Q72564 Q72576 Q72579 Q72582 Q72588 Q72606 Q72609 Q72612 Q72741 Q72753 Q72756 Q72759 Q72777 Q72780 Q72783 Q72906 Q72921 Q72936 Q72939 Q73101 Q73104 Q73107 Q73272 Q73416 Q73554 Q75516 Q75522 Q75540 Q75543 Q75558 Q75570 Q75573 Q75576 Q75579 Q75603 Q75606 Q75610 Q75613 Q75628 Q75631 Q75634 Q75661 Q75664 Q75667 Q75670 Q75673 Q75688 Q75691 Q75694 Q75721 Q75742 Q75745 Q75748 Q75751 Q75754 Q75757 Q75772 Q75775 Q75778 Q75781 Q75817 Q75820 Q75841 Q75844 Q75847 Q75850 Q75853 Q75856 Q75859 Q75862 Q75877 Q75880 Q75937 Q75943 Q75946 Q75979 Q75982 Q75985 Q75988 Q75991 Q75994 Q75997 Q76000 Q76003 Q76006 Q76009 Q76030 Q76033 Q76117 Q76120 Q76123 Q76165 Q76168 Q76171 Q76174 Q76177 Q76180 Q76183 Q76186 Q76189 Q76192 Q76195 Q76198 Q76201 Q76204 Q76216 Q76328 Q76331 Q76388 Q76391 Q76394 Q76397 Q76400 Q76403 Q76406 Q76409 Q76412 Q76415 Q76418 Q76421 Q76424 Q76427 Q76430 Q76433 Q76436 Q76439 Q76457 Q76460 Q76577 Q76580 Q76605 Q76608 Q76622 Q76625 Q76631 Q76634 Q76637 Q76640 Q76643 Q76646 Q76649 Q76654 Q76657 Q76660 Q76666 Q76669 Q76672 Q76675 Q76786 Q76789 Q76816 Q76843 Q76846 Q76849 Q76855 Q76858 Q76864 Q76867 Q76870 Q76873 Q76876 Q76879 Q76882 Q76885 Q76888 Q76891 Q76900 Q76903 Q76906 Q76996 Q76999 Q77053 Q77071 Q77074 Q77077 Q77080 Q77083 Q77086 Q77089 Q77092 Q77095 Q77098 Q77101 Q77104 Q77113 Q77116 Q77119 Q77122 Q77218 Q77221 Q77233 Q77236 Q77281 Q77293 Q77296 Q77299 Q77302 Q77305 Q77308 Q77311 Q77314 Q77317 Q77320 Q77323 Q77326 Q77329 Q77332 Q77341 Q77344 Q77347 Q77350 Q77356 Q77458 Q77461 Q77464 Q77503 Q77515 Q77518 Q77521 Q77524 Q77530 Q77533 Q77536 Q77539 Q77542 Q77545 Q77548 Q77551 Q77554 Q77557 Q77575 Q77578 Q77701 Q77704 Q77707 Q77710 Q77734 Q77746 Q77749 Q77755 Q77758 Q77761 Q77764 Q77767 Q77770 Q77773 Q77776 Q77905 Q77908 Q77911 Q77931 Q77940 Q77943 Q77946 Q77949 Q77952 Q78072 Q78075 Q78081 Q78084 Q78096 Q78099 Q78102 Q78228 Q78231 Q78240 Q78258 Q78261 Q78390 Q78405 Q78408 Q78537 Q78540 Q78642 Q78645 Q78648 Q78651 Q78731 Q99665
2	18	Petronia	Q75540	Quintus Clodius Hermogenianus Olybrius	Q75522	Anicia Faltonia Proba	3	0	Q75540 Q75576 Q75579
2	18	Petronia	Q65002	Sextus Claudius Petronius Probus	Q75516	Anicius Hermogenianus Olybrius	0	0	
3	15	Marcus Aemilius Lepidus	Q72786	Marcus Aemilius Lepidus	Q72615	Quintus Aemilius Lepidus	80	1	Q151743 Q151792 Q151822 Q151844 Q151874 Q72434 Q72517 Q72615 Q72618 Q72696 Q72699 Q72786 Q72801 Q72957 Q73011 Q73017 Q73110 Q73113 Q73128 Q73131 Q73173 Q73266 Q73269 Q73293 Q73296 Q73299 Q73335 Q73413 Q73428 Q73443 Q73446 Q73449 Q73482 Q73551 Q73563 Q73566 Q73569 Q73572 Q73575 Q73578 Q73602 Q73668 Q73677 Q73680 Q73683 Q73686 Q73689 Q73692 Q73713 Q73773 Q73782 Q73785 Q73788 Q73791 Q73794 Q73815 Q73878 Q73887 Q73890 Q73893 Q73913 Q73961 Q73970 Q73988 Q74025 Q74049 Q74082 Q74091 Q74108 Q74150 Q74159 Q74162 Q74213 Q78752 Q78812 Q99342 Q99350 Q99378 Q99384 Q99402
3	15	Marcus Aemilius Lepidus	Q72801	Cornelia	Q72786	Marcus Aemilius Lepidus	67	0	Q151743 Q151792 Q151822 Q151844 Q151874 Q72434 Q72517 Q72615 Q72618 Q72696 Q72699 Q72786 Q72801 Q72957 Q73017 Q73128 Q73131 Q73266 Q73269 Q73293 Q73296 Q73299 Q73413 Q73428 Q73443 Q73446 Q73449 Q73551 Q73563 Q73566 Q73569 Q73572 Q73575 Q73578 Q73668 Q73677 Q73680 Q73683 Q73686 Q73689 Q73692 Q73773 Q73782 Q73785 Q73788 Q73791 Q73794 Q73878 Q73887 Q73890 Q73893 Q73961 Q73970 Q74025 Q74082 Q74091 Q74150 Q74159 Q74162 Q74213 Q78752 Q78812 Q99342 Q99350 Q99378 Q99384 Q99402
3	15	Marcus Aemilius Lepidus	Q73131	Cornelia Africana Major	Q72957	Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio	19	0	Q73131 Q73266 Q73269 Q73296 Q73299 Q73413 Q73446 Q73449 Q73551 Q73575 Q73578 Q73668 Q73773 Q73878 Q73961 Q74025 Q74082 Q74150 Q99378
3	15	Marcus Aemilius Lepidus	Q73128	Publius Cornelius Scipio Nasica Corculum	Q72957	Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio	5	0	Q73128 Q73293 Q73443 Q99384 Q99402
4	14	Godo  Arnaldes de Baiao	Q79618	Tereza  Eriz de Lugo	Q99939	Ufa  Ufes	355	0	Q100009 Q100140 Q100142 Q100152 Q100154 Q100186 Q100212 Q100282 Q100286 Q100505 Q100517 Q100519 Q100665 Q100667 Q100673 Q100675 Q101095 Q101097 Q101103 Q101113 Q101231 Q101233 Q101235 Q101381 Q101387 Q101505 Q102231 Q102235 Q103930 Q103934 Q103936 Q104258 Q104260 Q105311 Q106521 Q106994 Q110842 Q111909 Q112999 Q113001 Q113583 Q113585 Q113591 Q113625 Q113897 Q114154 Q114244 Q114969 Q118177 Q118179 Q118456 Q118649 Q118651 Q118769 Q151576 Q75441 Q75444 Q75447 Q75450 Q75453 Q75456 Q75459 Q75462 Q75465 Q75489 Q75492 Q75495 Q75498 Q75501 Q75510 Q75528 Q75552 Q75555 Q75591 Q75594 Q75597 Q75600 Q75646 Q75649 Q75652 Q75655 Q75658 Q75715 Q75718 Q75727 Q75730 Q75733 Q75736 Q75739 Q75808 Q75811 Q75814 Q75829 Q75832 Q75835 Q75838 Q75922 Q75925 Q75928 Q75931 Q75934 Q75958 Q75961 Q75964 Q75967 Q75970 Q75973 Q75976 Q76087 Q76090 Q76093 Q76096 Q76099 Q76102 Q76108 Q76138 Q76141 Q76144 Q76147 Q76150 Q76153 Q76156 Q76159 Q76162 Q76295 Q76298 Q76301 Q76304 Q76307 Q76310 Q76319 Q76352 Q76355 Q76358 Q76361 Q76364 Q76367 Q76370 Q76373 Q76376 Q76378 Q76385 Q76526 Q76529 Q76532 Q76535 Q76538 Q76541 Q76571 Q76574 Q76583 Q76586 Q76589 Q76592 Q76595 Q76598 Q76599 Q76602 Q76611 Q76614 Q76619 Q76762 Q76765 Q76768 Q76771 Q76774 Q76810 Q76813 Q76819 Q76822 Q76825 Q76828 Q76831 Q76834 Q76837 Q76840 Q76852 Q77008 Q77011 Q77014 Q77050 Q77056 Q77059 Q77062 Q77065 Q77068 Q77284 Q77287 Q77290 Q77506 Q77509 Q77512 Q77737 Q77740 Q77743 Q77937 Q79060 Q79063 Q79066 Q79069 Q79072 Q79078 Q79084 Q79087 Q79093 Q79099 Q79102 Q79108 Q79111 Q79114 Q79117 Q79126 Q79132 Q79135 Q79138 Q79144 Q79147 Q79153 Q79162 Q79168 Q79174 Q79186 Q79192 Q79195 Q79205 Q79208 Q79220 Q79223 Q79229 Q79235 Q79241 Q79244 Q79250 Q79253 Q79262 Q79277 Q79280 Q79283 Q79286 Q79295 Q79298 Q79313 Q79328 Q79331 Q79334 Q79349 Q79358 Q79361 Q79364 Q79367 Q79370 Q79388 Q79391 Q79397 Q79400 Q79406 Q79415 Q79421 Q79424 Q79435 Q79438 Q79450 Q79480 Q79537 Q79618 Q82122 Q89860 Q99498 Q99500 Q99502 Q99504 Q99506 Q99508 Q99510 Q99512 Q99514 Q99516 Q99518 Q99520 Q99522 Q99524 Q99526 Q99528 Q99530 Q99532 Q99534 Q99536 Q99538 Q99540 Q99542 Q99544 Q99546 Q99548 Q99550 Q99552 Q99554 Q99556 Q99558 Q99561 Q99563 Q99565 Q99567 Q99569 Q99571 Q99573 Q99575 Q99577 Q99579 Q99581 Q99583 Q99585 Q99587 Q99589 Q99591 Q99593 Q99595 Q99597 Q99599 Q99601 Q99603 Q99605 Q99607 Q99609 Q99611 Q99613 Q99615 Q99617 Q99619 Q99621 Q99623 Q99625 Q99629 Q99631 Q99633 Q99677 Q99767 Q99785 Q99787 Q99795 Q99797 Q99815 Q99817 Q99825 Q99849 Q99879 Q99883 Q99887 Q99931 Q99933 Q99939 Q99973 Q99975 Q99985 Q99987 Q99995
4	14	Godo  Arnaldes de Baiao	Q99939	Ufa  Ufes	Q100154	Godo  Arnaldes de Baiao	319	0	Q100009 Q100154 Q100282 Q100286 Q100517 Q100519 Q100665 Q100667 Q100673 Q100675 Q101095 Q101097 Q101103 Q101113 Q101381 Q101387 Q104258 Q104260 Q105311 Q106994 Q111909 Q112999 Q113001 Q113583 Q113585 Q113591 Q113625 Q114154 Q114244 Q114969 Q118456 Q118651 Q118769 Q151576 Q75489 Q75492 Q75495 Q75498 Q75501 Q75510 Q75528 Q75552 Q75555 Q75591 Q75594 Q75597 Q75600 Q75646 Q75649 Q75652 Q75655 Q75658 Q75715 Q75718 Q75727 Q75730 Q75733 Q75736 Q75739 Q75808 Q75811 Q75814 Q75829 Q75832 Q75835 Q75838 Q75922 Q75925 Q75928 Q75931 Q75934 Q75958 Q75961 Q75964 Q75967 Q75970 Q75973 Q75976 Q76087 Q76090 Q76093 Q76096 Q76099 Q76102 Q76108 Q76138 Q76141 Q76144 Q76147 Q76150 Q76153 Q76156 Q76159 Q76162 Q76295 Q76298 Q76301 Q76304 Q76307 Q76310 Q76319 Q76352 Q76355 Q76358 Q76361 Q76364 Q76367 Q76370 Q76373 Q76376 Q76378 Q76385 Q76526 Q76529 Q76532 Q76535 Q76538 Q76541 Q76571 Q76574 Q76583 Q76586 Q76589 Q76592 Q76595 Q76598 Q76599 Q76602 Q76611 Q76614 Q76619 Q76762 Q76765 Q76768 Q76771 Q76774 Q76810 Q76813 Q76819 Q76822 Q76825 Q76828 Q76831 Q76834 Q76837 Q76840 Q76852 Q77008 Q77011 Q77014 Q77050 Q77056 Q77059 Q77062 Q77065 Q77068 Q77284 Q77287 Q77290 Q77506 Q77509 Q77512 Q77737 Q77740 Q77743 Q77937 Q79060 Q79063 Q79066 Q79069 Q79072 Q79078 Q79084 Q79087 Q79093 Q79099 Q79102 Q79108 Q79111 Q79114 Q79117 Q79126 Q79132 Q79135 Q79138 Q79144 Q79147 Q79153 Q79162 Q79168 Q79174 Q79186 Q79192 Q79195 Q79205 Q79208 Q79220 Q79223 Q79229 Q79235 Q79241 Q79244 Q79250 Q79253 Q79262 Q79277 Q79280 Q79283 Q79286 Q79295 Q79298 Q79313 Q79328 Q79331 Q79334 Q79349 Q79358 Q79361 Q79364 Q79367 Q79370 Q79388 Q79391 Q79397 Q79400 Q79406 Q79415 Q79421 Q79424 Q79435 Q79438 Q79450 Q79480 Q79537 Q79618 Q82122 Q89860 Q99498 Q99500 Q99502 Q99504 Q99506 Q99508 Q99510 Q99512 Q99514 Q99516 Q99518 Q99520 Q99522 Q99524 Q99526 Q99528 Q99530 Q99532 Q99534 Q99536 Q99538 Q99540 Q99542 Q99544 Q99546 Q99548 Q99550 Q99552 Q99554 Q99556 Q99558 Q99561 Q99563 Q99565 Q99567 Q99569 Q99571 Q99573 Q99575 Q99577 Q99579 Q99581 Q99583 Q99585 Q99587 Q99589 Q99591 Q99593 Q99595 Q99597 Q99599 Q99601 Q99603 Q99605 Q99607 Q99609 Q99611 Q99613 Q99615 Q99617 Q99619 Q99621 Q99623 Q99625 Q99629 Q99631 Q99633 Q99677 Q99753 Q99759 Q99765 Q99777 Q99779 Q99803 Q99805 Q99807 Q99809 Q99851 Q99853 Q99887 Q99939 Q99995
