verdict	side	parent	parent_kind	child	child_kind
BOTH-REAL	child-only	Q1016	real	Q1014	real
BOTH-REAL	child-only	Q1016	real	Q1015	real
BOTH-REAL	child-only	Q110388	real	Q101814	real
BOTH-REAL	child-only	Q110388	real	Q101818	real
BOTH-REAL	child-only	Q110540	real	Q102897	real
BOTH-REAL	child-only	Q110540	real	Q102899	real
BOTH-REAL	child-only	Q110540	real	Q102901	real
BOTH-REAL	child-only	Q110540	real	Q102903	real
BOTH-REAL	child-only	Q110540	real	Q102905	real
BOTH-REAL	child-only	Q110540	real	Q102907	real
BOTH-REAL	child-only	Q113280	real	Q102843	real
BOTH-REAL	child-only	Q113292	real	Q100872	real
BOTH-REAL	child-only	Q113303	real	Q102871	real
BOTH-REAL	child-only	Q113303	real	Q102873	real
BOTH-REAL	child-only	Q113311	real	Q100800	real
BOTH-REAL	child-only	Q113317	real	Q101657	real
BOTH-REAL	child-only	Q113317	real	Q101659	real
BOTH-REAL	child-only	Q113329	real	Q102895	real
BOTH-REAL	child-only	Q113349	real	Q102919	real
BOTH-REAL	child-only	Q113355	real	Q102921	real
BOTH-REAL	child-only	Q113359	real	Q102925	real
BOTH-REAL	child-only	Q113373	real	Q102937	real
BOTH-REAL	child-only	Q113383	real	Q102945	real
BOTH-REAL	child-only	Q113393	real	Q101732	real
BOTH-REAL	child-only	Q113409	real	Q102957	real
BOTH-REAL	child-only	Q113409	real	Q102959	real
BOTH-REAL	child-only	Q113415	real	Q100976	real
BOTH-REAL	child-only	Q113415	real	Q101756	real
BOTH-REAL	child-only	Q113415	real	Q101764	real
BOTH-REAL	child-only	Q113417	real	Q100976	real
BOTH-REAL	child-only	Q113417	real	Q101756	real
BOTH-REAL	child-only	Q113417	real	Q101764	real
BOTH-REAL	child-only	Q113421	real	Q103005	real
BOTH-REAL	child-only	Q113421	real	Q103007	real
BOTH-REAL	child-only	Q113425	real	Q103011	real
BOTH-REAL	child-only	Q113431	real	Q100978	real
BOTH-REAL	child-only	Q113439	real	Q103023	real
BOTH-REAL	child-only	Q113441	real	Q101788	real
BOTH-REAL	child-only	Q113453	real	Q103031	real
BOTH-REAL	child-only	Q113455	real	Q101718	real
BOTH-REAL	child-only	Q113455	real	Q103033	real
BOTH-REAL	child-only	Q113455	real	Q103035	real
BOTH-REAL	child-only	Q113455	real	Q103039	real
BOTH-REAL	child-only	Q113455	real	Q103041	real
BOTH-REAL	child-only	Q113455	real	Q103043	real
BOTH-REAL	child-only	Q113457	real	Q103047	real
BOTH-REAL	child-only	Q113457	real	Q103049	real
BOTH-REAL	child-only	Q113457	real	Q103051	real
BOTH-REAL	child-only	Q113485	real	Q101443	real
BOTH-REAL	child-only	Q113493	real	Q103001	real
BOTH-REAL	child-only	Q113499	real	Q103085	real
BOTH-REAL	child-only	Q113499	real	Q103087	real
BOTH-REAL	child-only	Q113501	real	Q101021	real
BOTH-REAL	child-only	Q113503	real	Q103089	real
BOTH-REAL	child-only	Q113507	real	Q103091	real
BOTH-REAL	child-only	Q113509	real	Q104294	real
BOTH-REAL	child-only	Q113509	real	Q104296	real
BOTH-REAL	child-only	Q113509	real	Q104298	real
BOTH-REAL	child-only	Q113509	real	Q104301	real
BOTH-REAL	child-only	Q113517	real	Q103097	real
BOTH-REAL	child-only	Q113517	real	Q103099	real
BOTH-REAL	child-only	Q113517	real	Q103101	real
BOTH-REAL	child-only	Q113517	real	Q103103	real
BOTH-REAL	child-only	Q113521	real	Q101049	real
BOTH-REAL	child-only	Q113521	real	Q101860	real
BOTH-REAL	child-only	Q113525	real	Q101051	real
BOTH-REAL	child-only	Q113533	real	Q103117	real
BOTH-REAL	child-only	Q113539	real	Q103121	real
BOTH-REAL	child-only	Q113539	real	Q103123	real
BOTH-REAL	child-only	Q113539	real	Q103125	real
BOTH-REAL	child-only	Q113539	real	Q103127	real
BOTH-REAL	child-only	Q113539	real	Q103129	real
BOTH-REAL	child-only	Q113539	real	Q103131	real
BOTH-REAL	child-only	Q113539	real	Q103133	real
BOTH-REAL	child-only	Q113539	real	Q103135	real
BOTH-REAL	child-only	Q113539	real	Q103137	real
BOTH-REAL	child-only	Q113539	real	Q103139	real
BOTH-REAL	child-only	Q113551	real	Q103165	real
BOTH-REAL	child-only	Q113551	real	Q103167	real
BOTH-REAL	child-only	Q113563	real	Q101081	real
BOTH-REAL	child-only	Q113563	real	Q101463	real
BOTH-REAL	child-only	Q113563	real	Q101904	real
BOTH-REAL	child-only	Q113565	real	Q101081	real
BOTH-REAL	child-only	Q113565	real	Q101463	real
BOTH-REAL	child-only	Q113565	real	Q101904	real
BOTH-REAL	child-only	Q113571	real	Q101910	real
BOTH-REAL	child-only	Q113579	real	Q101303	real
BOTH-REAL	child-only	Q113583	real	Q101097	real
BOTH-REAL	child-only	Q113585	real	Q101097	real
BOTH-REAL	child-only	Q113591	real	Q101103	real
BOTH-REAL	child-only	Q113593	real	Q102387	real
BOTH-REAL	child-only	Q113593	real	Q103217	real
BOTH-REAL	child-only	Q113593	real	Q103221	real
BOTH-REAL	child-only	Q113593	real	Q103223	real
BOTH-REAL	child-only	Q113605	real	Q103246	real
BOTH-REAL	child-only	Q113609	real	Q103258	real
BOTH-REAL	child-only	Q113615	real	Q103268	real
BOTH-REAL	child-only	Q113615	real	Q103270	real
BOTH-REAL	child-only	Q113623	real	Q103276	real
BOTH-REAL	child-only	Q113623	real	Q103278	real
BOTH-REAL	child-only	Q113625	real	Q79376	real
BOTH-REAL	child-only	Q113625	real	Q79379	real
BOTH-REAL	child-only	Q113625	real	Q79382	real
BOTH-REAL	child-only	Q113625	real	Q79385	real
BOTH-REAL	child-only	Q113625	real	Q79388	real
BOTH-REAL	child-only	Q113629	real	Q101123	real
BOTH-REAL	child-only	Q113629	real	Q103282	real
BOTH-REAL	child-only	Q113635	real	Q101974	real
BOTH-REAL	child-only	Q113635	real	Q101976	real
BOTH-REAL	child-only	Q113641	real	Q103302	real
BOTH-REAL	child-only	Q113641	real	Q103304	real
BOTH-REAL	child-only	Q113641	real	Q103306	real
BOTH-REAL	child-only	Q113641	real	Q103308	real
BOTH-REAL	child-only	Q113641	real	Q103313	real
BOTH-REAL	child-only	Q113641	real	Q103315	real
BOTH-REAL	child-only	Q113641	real	Q103317	real
BOTH-REAL	child-only	Q113641	real	Q103319	real
BOTH-REAL	child-only	Q113645	real	Q101986	real
BOTH-REAL	child-only	Q113647	real	Q103321	real
BOTH-REAL	child-only	Q113647	real	Q103323	real
BOTH-REAL	child-only	Q113647	real	Q103327	real
BOTH-REAL	child-only	Q113647	real	Q103329	real
BOTH-REAL	child-only	Q113647	real	Q103331	real
BOTH-REAL	child-only	Q113651	real	Q101131	real
