qid	label	wikidata_qid	wikidata_name	name_score
Q9457	Murasaki Shikibu	Q64208		
Q113661	Afonso Pires Gato	Q6		
Q120782	Roger I Trencavel	Q114331		
Q121169	Gunzelin, Margrave of Meissen	Q3217		
Q121686	Theodoric I	Q41874		
Q123554	Rhescuporis VIII	Q28308689		
Q127560	Otto I	Q41990		
Q130602	Selene	Q119922		
Q151843	Tiberius Julius Teiranes II	Q28320776		
