a	b
Q1	Q3
Q100001	Q100013
Q100001	Q100244
Q100001	Q100248
Q100003	Q100256
Q100007	Q100272
Q100007	Q100276
Q100007	Q100280
Q100009	Q100282
Q100015	Q99889
Q100017	Q100288
Q100019	Q99889
Q100021	Q99891
Q100023	Q100298
Q100025	Q100302
Q100027	Q100304
Q10003	Q10219
Q10003	Q10301
Q10003	Q10501
Q10003	Q9574
Q100036	Q100306
Q100038	Q143493
Q100040	Q100314
Q100042	Q99893
Q100044	Q100322
Q100046	Q100238
Q100048	Q100324
Q100048	Q100328
Q100054	Q100344
Q100060	Q99899
Q100062	Q99899
Q100064	Q100350
Q100066	Q100362
Q100068	Q100368
Q100068	Q100372
Q100070	Q100072
Q100074	Q100390
Q100076	Q100392
Q100080	Q100398
Q100080	Q99905
Q100082	Q99907
Q100084	Q100421
Q100084	Q100439
Q100084	Q99907
Q100086	Q99909
Q100088	Q100453
Q100090	Q99909
Q100094	Q99909
Q1001	Q30783
Q1001	Q54352
Q100100	Q100463
Q100102	Q99911
Q100106	Q99917
Q100112	Q100469
Q100116	Q100118
Q10012	Q9808
Q100120	Q100481
Q100124	Q100491
Q100126	Q100493
Q100134	Q100497
Q100136	Q99923
Q100138	Q99927
Q100140	Q104276
Q100140	Q99933
Q100142	Q100505
Q100144	Q100507
Q100148	Q99937
Q100150	Q100509
Q100150	Q100511
Q100152	Q99939
Q100154	Q100517
Q100156	Q100521
Q100158	Q99949
Q100160	Q100525
Q100162	Q100531
Q100164	Q100537
Q100166	Q99951
Q100168	Q99955
Q100170	Q100539
Q100172	Q99959
Q100174	Q100543
Q100176	Q99963
Q100178	Q99965
Q10018	Q9977
Q100182	Q99971
Q100184	Q100561
Q100184	Q100565
Q100186	Q103930
Q100186	Q99975
Q100188	Q100290
Q10019	Q10125
Q100190	Q100569
Q100192	Q99977
Q100194	Q100196
Q100198	Q100573
Q10020	Q9599
Q100200	Q99981
Q100202	Q100583
Q100204	Q99983
Q100206	Q100591
Q100208	Q100587
Q100212	Q99987
Q100214	Q99991
Q100216	Q100601
Q100218	Q99997
