a	b
Q100222	Q100607
Q100224	Q100242
Q100226	Q100270
Q10024	Q9728
Q100242	Q84000
Q100246	Q100625
Q10025	Q9605
Q100250	Q100633
Q100254	Q100637
Q100258	Q100643
Q100274	Q100651
Q100278	Q100661
Q10028	Q10530
Q100284	Q100669
Q100286	Q100673
Q100292	Q100685
Q100294	Q100690
Q100300	Q100698
Q100308	Q100435
Q10031	Q9839
Q100310	Q100447
Q100316	Q100712
Q100318	Q100716
Q10032	Q9817
Q100320	Q100722
Q100326	Q100435
Q10033	Q10237
Q100330	Q143493
Q100332	Q100732
Q100334	Q100736
Q100336	Q143493
Q10034	Q10284
Q100340	Q100738
Q100342	Q100742
Q100348	Q100754
Q100352	Q100364
Q100352	Q100758
Q100354	Q100776
Q100356	Q100784
Q100360	Q100800
Q100366	Q100808
Q100370	Q100810
Q100374	Q100776
Q100374	Q100816
Q100374	Q100818
Q100374	Q109742
Q100374	Q110018
Q100378	Q100832
Q10038	Q9860
Q100380	Q100382
Q100388	Q100844
Q10039	Q10537
Q100394	Q100846
Q100401	Q100848
Q100403	Q100870
Q100405	Q100407
Q100409	Q100884
Q100411	Q100413
Q100415	Q100888
Q100419	Q100587
Q100421	Q100710
Q100425	Q100900
Q100427	Q100908
Q100427	Q100910
Q100427	Q100912
Q100429	Q100930
Q100435	Q100948
Q100435	Q109780
Q100437	Q100968
Q100441	Q100443
Q100441	Q100972
Q100445	Q100987
Q100445	Q100991
Q100445	Q101003
Q100445	Q101005
Q100447	Q100828
Q100455	Q101009
Q100457	Q101011
Q100459	Q100461
Q100465	Q101019
Q100471	Q100473
Q100471	Q101025
Q100475	Q101027
Q100477	Q100479
Q100483	Q101031
Q100483	Q101035
Q100483	Q110100
Q100487	Q101037
Q100489	Q101039
Q100495	Q101041
Q100499	Q100501
Q100501	Q101045
Q100503	Q101061
Q100513	Q101073
Q100513	Q101081
Q100515	Q101087
Q100519	Q101103
Q100519	Q101117
Q100523	Q101123
Q100523	Q101131
Q100527	Q101137
Q100527	Q101145
Q100533	Q101163
Q100535	Q101179
Q100535	Q101189
Q100541	Q101197
Q100549	Q100647
Q100567	Q101211
Q100571	Q101215
Q100575	Q101225
Q100577	Q100579
Q100579	Q100752
Q100581	Q101237
Q100585	Q101245
Q100587	Q100641
Q100587	Q100659
Q100589	Q101201
Q10059	Q9976
Q100595	Q101219
Q100603	Q101257
Q100605	Q100607
Q100609	Q101267
Q100611	Q100645
Q100619	Q101291
Q100621	Q100623
Q100627	Q101295
Q100629	Q100631
Q100635	Q101303
Q100635	Q101319
Q100639	Q101085
Q100657	Q101341
Q100661	Q100926
Q100661	Q101347
Q100661	Q101349
Q100663	Q101369
Q100665	Q100667
Q100671	Q101383
Q100687	Q101389
Q100692	Q101393
Q100694	Q100696
Q100700	Q101403
Q100700	Q101413
Q100708	Q101419
Q100710	Q101429
Q100710	Q110072
Q100714	Q101439
Q100718	Q100724
Q100720	Q101457
Q100728	Q100730
Q100732	Q101459
Q100734	Q101467
Q100740	Q101477
Q100744	Q101479
Q100744	Q101497
Q100750	Q101499
Q100756	Q101507
Q100760	Q101511
Q100762	Q101515
Q100764	Q101517
Q100772	Q100982
Q100780	Q101535
Q100782	Q101537
Q100786	Q101541
Q100788	Q101545
Q100790	Q101557
Q100792	Q101559
Q100794	Q101561
Q100796	Q101563
Q100798	Q101565
Q100812	Q101581
Q100814	Q101223
Q100822	Q101587
Q100830	Q101593
Q100832	Q109740
Q100836	Q100838
Q100840	Q101603
Q100850	Q101451
Q100860	Q113278
Q100864	Q101621
Q100872	Q100874
Q100872	Q113290
Q100876	Q113294
Q100876	Q118769
Q100878	Q101639
Q100882	Q113311
Q100892	Q118901
Q100894	Q113315
Q100902	Q101663
Q100902	Q113317
Q100902	Q113323
Q100904	Q113327
Q100906	Q113331
Q100914	Q100936
Q100914	Q110120
Q100918	Q113353
Q100918	Q113357
Q100920	Q113361
Q100920	Q113363
Q100922	Q113369
Q100926	Q110116
Q100928	Q100942
Q100932	Q110072
Q100934	Q101708
Q100938	Q113375
Q100944	Q113379
Q100946	Q113379
Q100950	Q101718
Q100962	Q113389
Q100964	Q113393
Q100970	Q113405
Q100974	Q101748
Q100976	Q100978
Q100976	Q109760
Q100978	Q101766
Q100989	Q113437
Q100993	Q111543
Q100993	Q112396
Q100993	Q113441
Q101009	Q110048
Q101009	Q113461
Q101009	Q113463
Q101009	Q118847
Q101013	Q113485
Q101015	Q101017
Q101021	Q113497
Q101023	Q113501
Q101027	Q113292
Q101043	Q113505
Q101047	Q113509
Q101047	Q113511
Q101049	Q101051
Q101053	Q113531
Q101059	Q101874
Q101067	Q101069
Q101075	Q101892
Q101077	Q101896
Q101083	Q113571
Q101089	Q113579
Q101091	Q113581
Q101093	Q101103
Q101095	Q101097
Q101101	Q113587
Q101105	Q101934
Q101107	Q101125
Q101111	Q113611
Q101111	Q113621
Q101113	Q101387
Q101115	Q113627
Q101119	Q101121
Q101127	Q113635
Q101129	Q113645
Q101133	Q101135
Q101137	Q113665
Q101139	Q113679
Q101143	Q113695
Q101143	Q113699
Q101147	Q113705
Q101149	Q101151
Q101153	Q102067
Q101155	Q113735
Q101157	Q113753
Q101159	Q102093
Q101165	Q113769
Q101167	Q113777
Q101169	Q102117
Q101171	Q125110
Q101173	Q113797
Q101175	Q124235
Q101181	Q113817
Q101183	Q113835
Q101185	Q113839
Q101189	Q113671
Q101191	Q113849
Q101193	Q113857
Q101195	Q113863
Q101203	Q113873
Q101207	Q113875
Q101219	Q114350
Q10122	Q9840
Q101221	Q113889
Q101227	Q102227
Q101231	Q101233
Q101235	Q101505
Q101239	Q113905
Q101243	Q113911
Q101247	Q113915
Q101249	Q102255
Q101249	Q113927
Q101249	Q113988
Q101251	Q101265
Q101253	Q113935
Q101259	Q113943
Q10126	Q9844
Q101261	Q113947
Q101263	Q101437
Q101269	Q113959
Q10127	Q9683
Q101271	Q113963
Q101275	Q113937
Q101285	Q113973
Q101287	Q101361
Q101293	Q113988
Q101299	Q101301
Q101301	Q114003
Q101305	Q114005
Q101317	Q102345
Q101321	Q114019
Q101323	Q101325
Q101327	Q114025
Q101327	Q118649
Q101327	Q124249
Q101329	Q114038
Q101331	Q114051
Q101333	Q102387
Q101335	Q102057
Q101335	Q102397
Q101335	Q114061
Q101337	Q114075
Q101339	Q114091
Q101343	Q114096
Q101353	Q114102
Q101361	Q101722
Q101361	Q111035
Q101361	Q113385
Q101365	Q113389
Q101371	Q114118
Q101373	Q102459
Q101375	Q114128
Q101375	Q114134
Q101377	Q101395
Q101385	Q114156
Q10139	Q9701
Q101391	Q102495
Q101399	Q101401
Q101405	Q114170
Q101405	Q114174
Q101411	Q114182
Q101415	Q114186
Q101417	Q101567
Q101423	Q114194
Q101425	Q114200
Q10143	Q10256
Q101435	Q102551
Q101437	Q113931
Q101437	Q114222
Q10144	Q10302
Q101441	Q102567
Q101447	Q114236
Q101449	Q114244
Q101453	Q101623
Q101455	Q102595
Q101455	Q114262
Q101457	Q114240
Q101459	Q114306
Q10146	Q9708
Q101461	Q114286
Q101463	Q101465
Q101469	Q114302
Q101471	Q114350
Q101473	Q101475
Q101495	Q114338
Q101503	Q114342
Q101509	Q114350
Q101513	Q102695
Q101513	Q102699
Q101513	Q102701
Q101519	Q102717
Q101521	Q102721
Q101523	Q102727
Q101525	Q102729
Q101543	Q102731
Q101543	Q102735
Q101543	Q102741
Q101547	Q102747
Q101549	Q102749
Q101553	Q102751
Q101555	Q102753
Q101571	Q102755
Q101573	Q102757
Q101575	Q102759
Q101579	Q114198
Q101583	Q102763
Q101589	Q102765
Q101591	Q102778
Q101595	Q102784
Q101599	Q101601
Q1016	Q30787
Q101605	Q102801
Q101607	Q102803
Q101609	Q102807
Q101611	Q102811
Q101611	Q102821
Q101613	Q102825
Q101623	Q102845
Q101625	Q102849
Q101625	Q102853
Q101625	Q102857
Q101625	Q102861
Q101625	Q102865
Q101643	Q102875
Q101643	Q102877
Q101657	Q102881
Q101659	Q102883
Q101679	Q102909
Q101732	Q102947
Q101750	Q102961
Q101756	Q101832
Q101756	Q102991
Q101756	Q103001
Q101764	Q103013
Q101788	Q103025
Q10180	Q10205
Q101804	Q103053
Q101804	Q103057
Q101814	Q103067
Q101818	Q103071
Q101824	Q101826
Q10184	Q10445
Q101856	Q113521
Q101860	Q103109
Q101886	Q103141
Q101886	Q103161
Q101904	Q103179
Q101910	Q103195
Q101910	Q103197
Q10192	Q10752
Q101936	Q103226
Q101938	Q102507
Q101938	Q103238
Q101938	Q103240
Q101944	Q103254
Q101944	Q118555
Q101968	Q113629
Q101974	Q103242
Q101974	Q114061
Q101976	Q102059
Q101986	Q103333
Q10199	Q9761
Q102	Q94
Q102004	Q113669
Q102020	Q103367
Q10204	Q10206
Q10204	Q9827
Q102045	Q113711
Q10205	Q10762
Q102067	Q102841
Q102083	Q103597
Q102095	Q103613
Q10213	Q10768
Q102139	Q103727
Q10216	Q10779
Q102181	Q102183
Q102187	Q103868
Q102189	Q103872
Q10219	Q9775
Q102213	Q103912
Q10222	Q10311
Q102235	Q103932
Q102235	Q113897
Q10224	Q10412
Q10224	Q9831
Q102257	Q103955
Q10226	Q9783
Q102285	Q103979
Q102297	Q103991
Q102297	Q113965
Q102311	Q114120
Q10232	Q10303
Q102345	Q104051
Q102347	Q104055
Q10235	Q10800
Q102363	Q113765
Q102365	Q104067
Q102377	Q104079
Q102377	Q104087
Q102377	Q104101
Q102377	Q119686
Q10238	Q9848
Q102405	Q103292
Q102417	Q103232
Q102417	Q104129
Q102417	Q104192
Q10245	Q9807
Q102451	Q104228
Q102461	Q104236
Q102475	Q102625
Q102475	Q104246
Q102493	Q104266
Q102497	Q104270
Q102503	Q114166
Q102523	Q104290
Q102537	Q104303
Q102541	Q104305
Q102541	Q118847
Q102555	Q104349
Q102561	Q104357
Q102583	Q104379
Q10259	Q9821
Q102595	Q104401
Q102595	Q104411
Q102601	Q104447
Q102603	Q104461
Q102603	Q114270
Q102603	Q119682
Q102603	Q119760
Q10261	Q9821
Q102623	Q104509
Q102629	Q102787
Q10263	Q9821
Q102639	Q103185
Q102649	Q114316
Q10267	Q10287
Q102671	Q104565
Q102675	Q104567
Q102679	Q104569
Q10269	Q10773
Q10269	Q10824
Q10269	Q10825
Q102693	Q103985
Q1027	Q30824
Q102703	Q104587
Q10271	Q10837
Q102719	Q104598
Q102743	Q104602
Q102743	Q104610
Q102743	Q104614
Q102761	Q104616
Q102772	Q104638
Q102772	Q104642
Q102772	Q104654
Q102772	Q113542
Q10278	Q9884
Q102780	Q104656
Q102782	Q104658
Q102786	Q104660
Q102787	Q104668
Q102787	Q104670
Q102797	Q102799
Q102805	Q104674
Q102813	Q104662
Q102815	Q104686
Q10282	Q10519
Q102823	Q104696
Q102827	Q104700
Q102827	Q104704
Q102827	Q104708
Q102829	Q123509
Q102831	Q104710
Q102833	Q103219
Q102833	Q104718
Q102833	Q104727
Q102833	Q104731
Q102835	Q103635
Q102841	Q103323
Q102843	Q104741
Q102847	Q104745
Q102851	Q104425
Q102851	Q104749
Q102851	Q104753
Q102855	Q104755
Q10286	Q10772
Q10286	Q10850
Q102863	Q104757
Q102869	Q113303
Q102871	Q81656
Q102873	Q104761
Q102879	Q114322
Q102885	Q104664
Q102885	Q118457
Q102887	Q113551
Q102889	Q104662
Q10289	Q9840
Q102891	Q104785
Q102897	Q104513
Q102897	Q104799
Q102899	Q113979
Q102901	Q123443
Q102903	Q104805
Q102909	Q110544
Q102909	Q111729
Q10291	Q9840
Q102913	Q104811
Q102913	Q104813
Q102913	Q104815
Q102913	Q104817
Q102913	Q104825
Q102913	Q111735
Q102913	Q111737
Q102917	Q113349
Q102919	Q104839
Q102921	Q104845
Q102923	Q113359
Q102925	Q104849
Q102927	Q113363
Q102929	Q104851
Q102929	Q104855
Q102933	Q104859
Q102935	Q113373
Q102937	Q104863
Q102939	Q143499
Q102941	Q104867
Q102941	Q104873
Q102941	Q104877
Q102941	Q104881
Q102941	Q104893
Q102941	Q111549
Q102941	Q111551
Q102941	Q112416
Q102943	Q113383
Q102945	Q104895
Q102955	Q113409
Q102957	Q104903
Q102959	Q104907
Q10296	Q10781
Q102961	Q103017
Q102963	Q104911
Q102963	Q104915
Q102965	Q102967
Q102969	Q104929
Q102971	Q102973
Q102975	Q104941
Q102977	Q104957
Q10298	Q10740
Q102987	Q104963
Q102989	Q104965
Q102993	Q104975
Q102995	Q104981
Q103	Q94
Q103003	Q113421
Q103005	Q104991
Q103009	Q113425
Q103011	Q104995
Q103015	Q104317
Q103019	Q105001
Q103021	Q113439
Q103023	Q105017
Q103027	Q105021
Q103029	Q113453
Q103033	Q105023
Q103035	Q105027
Q103039	Q105029
Q103041	Q103051
Q103045	Q113457
Q103047	Q105037
Q103049	Q105039
Q103051	Q105041
Q103061	Q105043
Q103063	Q105047
Q103065	Q105051
Q103069	Q105053
Q103073	Q105057
Q103077	Q103079
Q103083	Q113499
Q103085	Q105077
Q103085	Q105083
Q103089	Q105087
Q103095	Q113517
Q103099	Q105097
Q103099	Q105099
Q1031	Q30832
Q10310	Q9862
Q103101	Q105101
Q103103	Q105109
Q103105	Q103107
Q10311	Q10370
Q10311	Q10479
Q10311	Q10850
Q10311	Q10871
Q10311	Q10874
Q103111	Q105119
Q103115	Q113533
Q103117	Q104286
Q103119	Q113539
Q10312	Q10780
Q103121	Q105125
Q103123	Q105133
Q103131	Q105135
Q103135	Q105137
Q103143	Q105141
Q103143	Q105145
Q103145	Q105153
Q103147	Q105161
Q103149	Q104503
Q103151	Q105187
Q103163	Q105189
Q103165	Q105191
Q103167	Q105195
Q103169	Q105197
Q10317	Q9862
Q103175	Q103177
Q10318	Q9853
Q103187	Q105205
Q103189	Q105211
Q10319	Q10783
Q10319	Q9853
Q103191	Q105213
Q103193	Q105217
Q103199	Q105223
Q103201	Q113713
Q103203	Q105231
Q103203	Q105237
Q103203	Q105239
Q103203	Q114067
Q103215	Q113593
Q103219	Q113593
Q103221	Q105243
Q103221	Q105251
Q103228	Q114352
Q103230	Q104053
Q103234	Q105259
Q103236	Q105265
Q10324	Q10571
Q103244	Q113605
Q103246	Q103254
Q103248	Q103371
Q103250	Q105269
Q103250	Q105273
Q103256	Q103387
Q103260	Q114312
Q103262	Q105291
Q103264	Q105279
Q103266	Q113615
Q103268	Q104188
Q103268	Q114057
Q103270	Q105299
Q103274	Q113623
Q10328	Q10896
Q103280	Q113629
Q103282	Q105315
Q103284	Q118323
Q103286	Q105321
Q103288	Q103290
Q103288	Q105331
Q103300	Q105339
Q103300	Q113641
Q103302	Q105343
Q103304	Q105351
Q103306	Q105359
Q103311	Q113641
Q103313	Q103848
Q103315	Q103359
Q103317	Q105249
Q103319	Q105379
Q103321	Q105353
Q103325	Q113647
Q103327	Q104079
Q103329	Q103395
Q103335	Q103343
Q103337	Q105399
Q103345	Q105403
Q103347	Q105411
Q103351	Q113659
Q103353	Q105415
Q103355	Q105427
Q103357	Q105433
Q103359	Q113659
Q103361	Q105435
Q103363	Q113661
Q103365	Q105443
Q103367	Q105457
Q103369	Q118097
Q103371	Q103804
Q103373	Q105463
Q103375	Q105467
Q103375	Q114079
Q103377	Q105471
Q103379	Q105473
Q103381	Q103383
Q103385	Q105481
Q103387	Q113671
Q103389	Q105487
Q103391	Q105497
Q103399	Q113677
Q103403	Q105499
Q103405	Q105175
Q103407	Q113677
Q103409	Q105503
Q103411	Q103413
Q103415	Q105509
Q103417	Q105511
Q103419	Q105521
Q103421	Q103633
Q103425	Q105534
Q103425	Q113681
Q103427	Q105546
Q103427	Q105552
Q103429	Q105556
Q103429	Q113907
Q103431	Q105558
Q103431	Q105570
Q103433	Q105580
Q103435	Q105590
Q103437	Q105598
Q103443	Q105604
Q103445	Q113685
Q103447	Q105616
Q103449	Q113687
Q103451	Q113689
Q103453	Q105630
Q103457	Q113693
Q103459	Q105644
Q103461	Q103463
Q103469	Q113697
Q103471	Q104739
Q103471	Q105662
Q103471	Q105668
Q103473	Q105672
Q103477	Q103479
Q103481	Q105676
Q103483	Q105684
Q103485	Q105696
Q103489	Q113701
Q103491	Q105710
Q103493	Q80229
Q103495	Q105716
Q103497	Q113703
Q103499	Q105730
Q103501	Q105734
Q103501	Q113707
Q103503	Q105746
Q103503	Q105760
Q103503	Q105762
Q103505	Q105768
Q103505	Q105780
Q103509	Q103511
Q103509	Q105782
Q103513	Q105793
Q103515	Q105797
Q103517	Q105801
Q103519	Q114081
Q103523	Q105803
Q103525	Q103527
Q103529	Q105401
Q103535	Q105811
Q103537	Q113717
Q103539	Q104162
Q103543	Q105369
Q103544	Q103547
Q103549	Q113719
Q103553	Q113725
Q103553	Q118495
Q103559	Q113733
Q103561	Q105827
Q103563	Q105831
Q103565	Q105843
Q103565	Q105944
Q103567	Q113737
Q103569	Q81399
Q103571	Q105854
Q103575	Q113783
Q103577	Q113739
Q103579	Q105856
Q103581	Q105860
Q103581	Q105864
Q103583	Q105872
Q103585	Q105874
Q103589	Q105876
Q103593	Q113743
Q103595	Q105882
Q103599	Q105884
Q10360	Q9860
Q103601	Q113749
Q103605	Q105892
Q103609	Q113755
Q103615	Q105425
Q103617	Q105918
Q103617	Q105926
Q103621	Q105930
Q103621	Q84194
Q103623	Q104047
Q103627	Q113773
Q103629	Q114081
Q103631	Q113775
Q103637	Q105945
Q103637	Q105951
Q103639	Q113779
Q103641	Q105967
Q103649	Q103651
Q103653	Q113783
Q103657	Q105977
Q103659	Q105985
Q103661	Q105995
Q103665	Q113783
Q103667	Q106003
Q10367	Q10769
Q103671	Q83815
Q103673	Q106023
Q103675	Q106027
Q103677	Q106029
Q103679	Q106037
Q103683	Q113785
Q103685	Q106043
Q103687	Q106047
Q103693	Q113789
Q103695	Q106059
Q103695	Q106063
Q103695	Q106081
Q103697	Q106087
Q10370	Q10821
Q103701	Q113791
Q103709	Q113799
Q103711	Q106107
Q103713	Q103715
Q103713	Q106124
Q103717	Q105281
Q103717	Q106126
Q103719	Q106132
Q103721	Q106144
Q103723	Q106150
Q103725	Q106152
Q103729	Q103810
Q103733	Q113805
Q103735	Q105987
Q103737	Q113807
Q103742	Q113813
Q103744	Q106168
Q103750	Q103752
Q103754	Q105548
Q103762	Q113819
Q103764	Q106204
Q103768	Q106208
Q103770	Q113819
Q103772	Q105845
Q103772	Q106220
Q103774	Q106232
Q103776	Q106236
Q103778	Q118373
Q103780	Q106246
Q103782	Q118373
Q103784	Q105774
Q103784	Q106256
Q103788	Q113833
Q10379	Q10960
Q103790	Q105624
Q103792	Q113833
Q103794	Q106262
Q103794	Q106264
Q103794	Q106266
Q103796	Q106270
Q103798	Q106274
Q103804	Q103806
Q103808	Q113837
Q103812	Q106296
Q103814	Q103816
Q103814	Q106306
Q103818	Q114007
Q103820	Q106308
Q103822	Q106312
Q103826	Q106324
Q103828	Q106326
Q103830	Q106334
Q103830	Q113841
Q103832	Q106347
Q103834	Q106357
Q103836	Q106359
Q103838	Q104071
Q103844	Q124281
Q103846	Q106365
Q103848	Q124281
Q10385	Q10979
Q103850	Q103884
Q103852	Q104729
Q103852	Q106381
Q103854	Q106391
Q103856	Q124281
Q103858	Q106395
Q10386	Q10982
Q103860	Q103882
Q103862	Q103864
Q103866	Q105413
Q103868	Q118479
Q103870	Q118061
Q103874	Q118067
Q103876	Q118073
Q103882	Q113855
Q103882	Q118079
Q103884	Q118089
Q103888	Q118091
Q103890	Q113861
Q103892	Q118107
Q103894	Q113861
Q103896	Q118133
Q103898	Q113865
Q103900	Q118151
Q103902	Q118157
Q103908	Q113871
Q103910	Q118163
Q103916	Q118165
Q103924	Q113893
Q103926	Q118171
Q103934	Q103936
Q103943	Q106527
Q103945	Q113909
Q103947	Q118189
Q103951	Q113917
Q103953	Q105805
Q103957	Q118195
Q103961	Q113925
Q103963	Q104027
Q103965	Q113929
Q103969	Q118209
Q103971	Q103973
Q103975	Q113945
Q103977	Q118219
Q103979	Q113951
Q103981	Q118225
Q103983	Q113953
Q103987	Q118229
Q103993	Q106583
Q103993	Q113991
Q103993	Q118233
Q103995	Q113963
Q104	Q110
Q104007	Q106587
Q104007	Q118241
Q104009	Q106589
Q104011	Q104528
Q104011	Q118247
Q104013	Q106597
Q104013	Q106601
Q104013	Q106605
Q104013	Q106607
Q104013	Q106615
Q104013	Q111671
Q104013	Q111673
Q104013	Q111675
Q104013	Q112422
Q104013	Q112424
Q104013	Q112426
Q104013	Q114176
Q104013	Q115968
Q104013	Q118251
Q104013	Q118253
Q104013	Q118255
Q104013	Q118268
Q10402	Q11014
Q104037	Q104039
Q104041	Q118284
Q104043	Q118286
Q104045	Q118298
Q104049	Q106657
Q104055	Q106661
Q104057	Q118321
Q104059	Q104061
Q104063	Q104065
Q104069	Q105517
Q10407	Q9897
Q104073	Q114040
Q104075	Q114042
Q104077	Q106686
Q104081	Q118343
Q104083	Q118355
Q104087	Q115924
Q104087	Q125142
Q104087	Q125144
Q104091	Q106710
Q104093	Q118371
Q104095	Q118373
Q104103	Q114048
Q104105	Q106724
Q104107	Q118381
Q104109	Q106730
Q104115	Q118389
Q104117	Q118395
Q10412	Q9932
Q10412	Q9933
Q104121	Q114053
Q104123	Q114059
Q104125	Q106250
Q104127	Q104129
Q104129	Q106750
Q104129	Q118305
Q104129	Q118403
Q104129	Q118847
Q104131	Q114071
Q104133	Q118417
Q104135	Q104137
Q104135	Q104465
Q104135	Q116044
Q104137	Q118425
Q104139	Q104471
Q104147	Q118459
Q104149	Q118475
Q104149	Q118481
Q104149	Q124257
Q104154	Q114069
Q104154	Q118485
Q104156	Q118487
Q104160	Q118491
Q104164	Q118501
Q104166	Q118511
Q104166	Q118521
Q104170	Q105233
Q104172	Q114079
Q104178	Q118529
Q104180	Q106882
Q104186	Q114083
Q104190	Q118539
Q104190	Q118541
Q104194	Q105235
Q104196	Q106904
Q104198	Q118561
Q104204	Q106912
Q104204	Q106914
Q104206	Q104208
Q104210	Q114104
Q104212	Q118579
Q104218	Q118583
Q104232	Q114122
Q104234	Q118591
Q104238	Q106942
Q104242	Q114136
Q104244	Q113509
Q104246	Q104767
Q104248	Q104773
Q104248	Q114282
Q104248	Q118619
Q104248	Q118623
Q104248	Q118631
Q104250	Q114142
Q104252	Q118637
Q104254	Q118643
Q104258	Q104260
Q104268	Q118665
Q104272	Q118671
Q104282	Q107024
Q104282	Q118685
Q104288	Q104405
Q104292	Q118697
Q104294	Q104491
Q104296	Q114254
Q104296	Q114256
Q104296	Q118701
Q104298	Q118645
Q1043	Q30840
Q104301	Q118707
Q104307	Q118711
Q104309	Q110418
Q104311	Q118721
Q104315	Q118847
Q104319	Q118733
Q104321	Q107090
Q104325	Q114210
Q104327	Q118753
Q104329	Q118757
Q104331	Q114212
Q104333	Q118761
Q104335	Q104337
Q104339	Q118763
Q104343	Q114218
Q104345	Q107120
Q104347	Q118779
Q104351	Q118783
Q104353	Q114224
Q104355	Q118785
Q104359	Q104361
Q104363	Q104365
Q104369	Q124326
Q104371	Q107158
Q104373	Q124326
Q104375	Q118819
Q104375	Q118825
Q104381	Q114250
Q104389	Q118831
Q104391	Q104678
Q104395	Q114258
Q104397	Q104688
Q104399	Q104690
Q1044	Q30844
Q104407	Q104495
Q104409	Q118853
Q104423	Q118859
Q104427	Q107214
Q104427	Q118867
Q104429	Q104485
Q104429	Q118881
Q104431	Q104743
Q104437	Q107230
Q104439	Q104441
Q104443	Q107234
Q104443	Q118889
Q104445	Q105263
Q104445	Q114264
Q104451	Q105173
Q104453	Q118909
Q104463	Q118911
Q104465	Q104781
Q104467	Q118917
Q104471	Q118921
Q104483	Q114270
Q104487	Q104489
Q104491	Q114276
Q104493	Q107232
Q104493	Q114280
Q104495	Q114280
Q104497	Q107272
Q104497	Q118545
Q104499	Q118799
Q104501	Q107278
Q104505	Q114284
Q104507	Q118655
Q104511	Q107282
Q104513	Q107286
Q104515	Q107309
Q104515	Q118955
Q104517	Q118968
Q104519	Q104634
Q104523	Q107321
Q104530	Q118978
Q104533	Q114292
Q104535	Q121951
Q104537	Q118990
Q104539	Q124295
Q104547	Q104549
Q104551	Q104553
Q104559	Q114320
Q104561	Q119010
Q104571	Q105191
Q10458	Q10816
Q104618	Q104875
Q104620	Q113842
Q10465	Q11063
Q104656	Q206500
Q10466	Q11048
Q10466	Q11073
Q104716	Q106091
Q104735	Q105622
Q104737	Q106184
Q10476	Q11098
Q104805	Q104825
Q10481	Q10531
Q104825	Q111579
Q104825	Q112809
Q104829	Q205058
Q104833	Q205624
Q104857	Q118813
Q104857	Q207345
Q104883	Q206771
Q104885	Q112400
Q104885	Q112402
Q104885	Q112707
Q10491	Q10732
Q10491	Q9994
Q104913	Q105015
Q104917	Q104919
Q10492	Q10729
Q104925	Q104927
Q104931	Q104933
Q104937	Q104939
Q10496	Q9998
Q104985	Q206500
Q1050	Q30852
Q105033	Q105035
Q10504	Q10814
Q105069	Q105139
Q105071	Q105073
Q10509	Q10979
Q105101	Q114830
Q105111	Q105113
Q105159	Q105167
Q105199	Q105201
Q1052	Q30856
Q105203	Q81656
Q105219	Q105221
Q10524	Q10734
Q10524	Q10765
Q105287	Q105289
Q105295	Q105297
Q105311	Q79331
Q105313	Q79385
Q105335	Q105337
Q105363	Q105365
Q10538	Q11181
Q105405	Q105538
Q105421	Q105720
Q105477	Q105479
Q105505	Q105507
Q105608	Q105610
Q105648	Q105650
Q105652	Q105654
Q105656	Q105658
Q105668	Q106051
Q10571	Q11215
Q10571	Q11216
Q10572	Q11066
Q10573	Q11025
Q105742	Q105744
Q10578	Q11231
Q10578	Q11232
Q105786	Q105788
Q105823	Q105825
Q105951	Q114861
Q105951	Q118372
Q105951	Q119434
