cycle_len	cycle_head	parent	child	wd_parent	wd_child	verdict	detail
7	Q140681	Q140681 (Lleucu ferch Gruffudd)	Q140643 (Rhys ap Llowdden y Gath)	Q110413685	Q99302513	confirmed	Wikidata agrees Lleucu ferch Gruffudd is a parent of Rhys ap Llowdden y Gath
7	Q140681	Q140643 (Rhys ap Llowdden y Gath)	Q139043 (Ieuan ap Rhys)	Q99302513	Q99071449	confirmed	Wikidata agrees Rhys ap Llowdden y Gath is a parent of Ieuan ap Rhys
7	Q140681	Q139043 (Ieuan ap Rhys)	Q138061 (Joan ferch Ieuan ap Rhys ap Llowdden)	Q99071449	Q110413692	confirmed	Wikidata agrees Ieuan ap Rhys is a parent of Joan ferch Ieuan ap Rhys ap Llowdden
7	Q140681	Q138061 (Joan ferch Ieuan ap Rhys ap Llowdden)	Q138810 (Llywelyn Ddû ab Owain)	Q110413692	Q99086883	confirmed	Wikidata agrees Joan ferch Ieuan ap Rhys ap Llowdden is a parent of Llywelyn Ddû ab Owain
7	Q140681	Q138810 (Llywelyn Ddû ab Owain)	Q140234 (Llywelyn Foethus ap Llywelyn Ddû ab Owain)	Q99086883	Q99086873	confirmed	Wikidata agrees Llywelyn Ddû ab Owain is a parent of Llywelyn Foethus ap Llywelyn Ddû ab Owain
7	Q140681	Q140234 (Llywelyn Foethus ap Llywelyn Ddû ab Owain)	Q139067 (Gruffudd Foethus ap Llywelyn)	Q99086873	Q75905270	confirmed	Wikidata agrees Llywelyn Foethus ap Llywelyn Ddû ab Owain is a parent of Gruffudd Foethus ap Llywelyn
7	Q140681	Q139067 (Gruffudd Foethus ap Llywelyn)	Q140681 (Lleucu ferch Gruffudd)	Q75905270	Q110413685	confirmed	Wikidata agrees Gruffudd Foethus ap Llywelyn is a parent of Lleucu ferch Gruffudd
4	Q144542	Q144542 (Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig)	Q148522 (Dyddgu ferch Cadwgan Fottwm ab Ednyfed ap Cadwgan Ddû)	Q116147500	Q110636576	confirmed	Wikidata agrees Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig is a parent of Dyddgu ferch Cadwgan Fottwm ab Ednyfed ap Cadwgan Ddû
4	Q144542	Q148522 (Dyddgu ferch Cadwgan Fottwm ab Ednyfed ap Cadwgan Ddû)	Q146349 (Cynwrig Fychan ap Cynwrig)	Q110636576	Q99071981	confirmed	Wikidata agrees Dyddgu ferch Cadwgan Fottwm ab Ednyfed ap Cadwgan Ddû is a parent of Cynwrig Fychan ap Cynwrig
4	Q144542	Q146349 (Cynwrig Fychan ap Cynwrig)	Q148521 (Tudur Fongam ap Cynwrig Fychan ap Cynwrig ap Llywarch)	Q99071981	Q116147501	confirmed	Wikidata agrees Cynwrig Fychan ap Cynwrig is a parent of Tudur Fongam ap Cynwrig Fychan ap Cynwrig ap Llywarch
4	Q144542	Q148521 (Tudur Fongam ap Cynwrig Fychan ap Cynwrig ap Llywarch)	Q144542 (Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig)	Q116147501	Q116147500	confirmed	Wikidata agrees Tudur Fongam ap Cynwrig Fychan ap Cynwrig ap Llywarch is a parent of Morfudd ferch Tudur Fongam ap Cynwrig Fychan ap Cynwrig
5	Q124326	Q124326 (Guerau V de Cabrera)	Q104371 (Arsende de Cabrera)	Q19291067		unknown	no Wikidata ID for Arsende de Cabrera
5	Q124326	Q104371 (Arsende de Cabrera)	Q107162 (Ermengol VII, Count of Urgell)		Q949224	unknown	no Wikidata ID for Arsende de Cabrera
5	Q124326	Q107162 (Ermengol VII, Count of Urgell)	Q123407 (Marquesa d'Urgell)	Q949224	Q21126997	confirmed	Wikidata agrees Ermengol VII, Count of Urgell is a parent of Marquesa d'Urgell
5	Q124326	Q123407 (Marquesa d'Urgell)	Q124325 (Guerau IV de Cabrera)	Q21126997	Q4894186	confirmed	Wikidata agrees Marquesa d'Urgell is a parent of Guerau IV de Cabrera
5	Q124326	Q124325 (Guerau IV de Cabrera)	Q124326 (Guerau V de Cabrera)	Q4894186	Q19291067	confirmed	Wikidata agrees Guerau IV de Cabrera is a parent of Guerau V de Cabrera
2	Q119481	Q119481 (Pons Hug d'Entença)	Q124343 (Jussiana d'Entença)	Q21001415	Q14083227	inherited	Wikidata itself has Pons Hug d'Entença (Q21001415) as BOTH parent and child of Jussiana d'Entença (Q14083227) — the contradiction is upstream
2	Q119481	Q124343 (Jussiana d'Entença)	Q119481 (Pons Hug d'Entença)	Q14083227	Q21001415	inherited	Wikidata itself has Jussiana d'Entença (Q14083227) as BOTH parent and child of Pons Hug d'Entença (Q21001415) — the contradiction is upstream
4	Q135895	Q135895 (Pepin of Herstal)	Q113081 (Charles Martel)	Q91392	Q3301	confirmed	Wikidata agrees Pepin of Herstal is a parent of Charles Martel
4	Q135895	Q113081 (Charles Martel)	Q111318 (Pepin of Landen)	Q3301	Q313373	contradicted	Wikidata records no link between them
4	Q135895	Q111318 (Pepin of Landen)	Q111320 (Begga)	Q313373	Q266765	confirmed	Wikidata agrees Pepin of Landen is a parent of Begga
4	Q135895	Q111320 (Begga)	Q135895 (Pepin of Herstal)	Q266765	Q91392	confirmed	Wikidata agrees Begga is a parent of Pepin of Herstal
33	Q79385	Q79385 (Goncalo Ximeno Ausendes)	Q79409 (Pero Goncalves)			unknown	no Wikidata ID for Goncalo Ximeno Ausendes and Pero Goncalves
33	Q79385	Q79409 (Pero Goncalves)	Q79429 (Hermenegildo Goncalves)			unknown	no Wikidata ID for Pero Goncalves and Hermenegildo Goncalves
33	Q79385	Q79429 (Hermenegildo Goncalves)	Q79459 (N.N. Goncalves)			unknown	no Wikidata ID for Hermenegildo Goncalves and N.N. Goncalves
33	Q79385	Q79459 (N.N. Goncalves)	Q79495 (Velasquita Maldonado)			unknown	no Wikidata ID for N.N. Goncalves and Velasquita Maldonado
33	Q79385	Q79495 (Velasquita Maldonado)	Q79510 (Maria Soares)			unknown	no Wikidata ID for Velasquita Maldonado and Maria Soares
33	Q79385	Q79510 (Maria Soares)	Q79582 (Diogo Rodrigues de Aguiar)			unknown	no Wikidata ID for Maria Soares and Diogo Rodrigues de Aguiar
33	Q79385	Q79582 (Diogo Rodrigues de Aguiar)	Q79663 (Rui Dias de Aguiar)			unknown	no Wikidata ID for Diogo Rodrigues de Aguiar and Rui Dias de Aguiar
33	Q79385	Q79663 (Rui Dias de Aguiar)	Q79863 (Joao Afonso de Aguiar)			unknown	no Wikidata ID for Rui Dias de Aguiar and Joao Afonso de Aguiar
33	Q79385	Q79863 (Joao Afonso de Aguiar)	Q80223 (Diogo Afonso Afonso de Aguiar)			unknown	no Wikidata ID for Joao Afonso de Aguiar and Diogo Afonso Afonso de Aguiar
33	Q79385	Q80223 (Diogo Afonso Afonso de Aguiar)	Q80606 (Pedro Afonso de Aguiar)			unknown	no Wikidata ID for Diogo Afonso Afonso de Aguiar and Pedro Afonso de Aguiar
33	Q79385	Q80606 (Pedro Afonso de Aguiar)	Q81339 (Antonio Ambrosio de Aguiar Coutinho)			unknown	no Wikidata ID for Pedro Afonso de Aguiar and Antonio Ambrosio de Aguiar Coutinho
33	Q79385	Q81339 (Antonio Ambrosio de Aguiar Coutinho)	Q82122 (Barbara, imperatriz of Rome)			unknown	no Wikidata ID for Antonio Ambrosio de Aguiar Coutinho and Barbara, imperatriz of Rome
33	Q79385	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)			unknown	no Wikidata ID for Barbara, imperatriz of Rome and Bárbara, Princess of Rome
33	Q79385	Q99597 (Bárbara, Princess of Rome)	Q99585 (Aviena)			unknown	no Wikidata ID for Bárbara, Princess of Rome and Aviena
33	Q79385	Q99585 (Aviena)	Q99573 (Proba)			unknown	no Wikidata ID for Aviena and Proba
33	Q79385	Q99573 (Proba)	Q99558 (Proba Rogas of Lybia)			unknown	no Wikidata ID for Proba and Proba Rogas of Lybia
33	Q79385	Q99558 (Proba Rogas of Lybia)	Q99544 (Heracles)			unknown	no Wikidata ID for Proba Rogas of Lybia and Heracles
33	Q79385	Q99544 (Heracles)	Q79084 (Georgia Eudoxia)			unknown	no Wikidata ID for Heracles and Georgia Eudoxia
33	Q79385	Q79084 (Georgia Eudoxia)	Q79093 (Munia Eudoxia)			unknown	no Wikidata ID for Georgia Eudoxia and Munia Eudoxia
33	Q79385	Q79093 (Munia Eudoxia)	Q79102 (Esteban Balthes)			unknown	no Wikidata ID for Munia Eudoxia and Esteban Balthes
33	Q79385	Q79102 (Esteban Balthes)	Q79111 (Pedro Balthes de Toledo)			unknown	no Wikidata ID for Esteban Balthes and Pedro Balthes de Toledo
33	Q79385	Q79111 (Pedro Balthes de Toledo)	Q79126 (Galindo de Toledo)			unknown	no Wikidata ID for Pedro Balthes de Toledo and Galindo de Toledo
33	Q79385	Q79126 (Galindo de Toledo)	Q79135 (Paulo de Toledo)			unknown	no Wikidata ID for Galindo de Toledo and Paulo de Toledo
33	Q79385	Q79135 (Paulo de Toledo)	Q79147 (Teodomiro de Toledo)			unknown	no Wikidata ID for Paulo de Toledo and Teodomiro de Toledo
33	Q79385	Q79147 (Teodomiro de Toledo)	Q79168 (Ouvequio de Toledo)			unknown	no Wikidata ID for Teodomiro de Toledo and Ouvequio de Toledo
33	Q79385	Q79168 (Ouvequio de Toledo)	Q79192 (Marcella de Toledo)			unknown	no Wikidata ID for Ouvequio de Toledo and Marcella de Toledo
33	Q79385	Q79192 (Marcella de Toledo)	Q79220 (Beatrix de Bardolf)			unknown	no Wikidata ID for Marcella de Toledo and Beatrix de Bardolf
33	Q79385	Q79220 (Beatrix de Bardolf)	Q79241 (Jeanne de Pont-Audemer)			unknown	no Wikidata ID for Beatrix de Bardolf and Jeanne de Pont-Audemer
33	Q79385	Q79241 (Jeanne de Pont-Audemer)	Q79262 (Bernard of Mans - Beulac)			unknown	no Wikidata ID for Jeanne de Pont-Audemer and Bernard of Mans - Beulac
33	Q79385	Q79262 (Bernard of Mans - Beulac)	Q79286 (Eve of Mans - Beulac)			unknown	no Wikidata ID for Bernard of Mans - Beulac and Eve of Mans - Beulac
33	Q79385	Q79286 (Eve of Mans - Beulac)	Q79331 (Galburge de Castellane)			unknown	no Wikidata ID for Eve of Mans - Beulac and Galburge de Castellane
33	Q79385	Q79331 (Galburge de Castellane)	Q79361 (D.Urraca de Pamplona)			unknown	no Wikidata ID for Galburge de Castellane and D.Urraca de Pamplona
33	Q79385	Q79361 (D.Urraca de Pamplona)	Q79385 (Goncalo Ximeno Ausendes)			unknown	no Wikidata ID for D.Urraca de Pamplona and Goncalo Ximeno Ausendes
33	Q79510	Q79510 (Maria Soares)	Q79582 (Diogo Rodrigues de Aguiar)			unknown	no Wikidata ID for Maria Soares and Diogo Rodrigues de Aguiar
33	Q79510	Q79582 (Diogo Rodrigues de Aguiar)	Q79663 (Rui Dias de Aguiar)			unknown	no Wikidata ID for Diogo Rodrigues de Aguiar and Rui Dias de Aguiar
33	Q79510	Q79663 (Rui Dias de Aguiar)	Q79863 (Joao Afonso de Aguiar)			unknown	no Wikidata ID for Rui Dias de Aguiar and Joao Afonso de Aguiar
33	Q79510	Q79863 (Joao Afonso de Aguiar)	Q80223 (Diogo Afonso Afonso de Aguiar)			unknown	no Wikidata ID for Joao Afonso de Aguiar and Diogo Afonso Afonso de Aguiar
33	Q79510	Q80223 (Diogo Afonso Afonso de Aguiar)	Q80606 (Pedro Afonso de Aguiar)			unknown	no Wikidata ID for Diogo Afonso Afonso de Aguiar and Pedro Afonso de Aguiar
33	Q79510	Q80606 (Pedro Afonso de Aguiar)	Q81339 (Antonio Ambrosio de Aguiar Coutinho)			unknown	no Wikidata ID for Pedro Afonso de Aguiar and Antonio Ambrosio de Aguiar Coutinho
33	Q79510	Q81339 (Antonio Ambrosio de Aguiar Coutinho)	Q82122 (Barbara, imperatriz of Rome)			unknown	no Wikidata ID for Antonio Ambrosio de Aguiar Coutinho and Barbara, imperatriz of Rome
33	Q79510	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)			unknown	no Wikidata ID for Barbara, imperatriz of Rome and Bárbara, Princess of Rome
33	Q79510	Q99597 (Bárbara, Princess of Rome)	Q99585 (Aviena)			unknown	no Wikidata ID for Bárbara, Princess of Rome and Aviena
33	Q79510	Q99585 (Aviena)	Q99573 (Proba)			unknown	no Wikidata ID for Aviena and Proba
33	Q79510	Q99573 (Proba)	Q99558 (Proba Rogas of Lybia)			unknown	no Wikidata ID for Proba and Proba Rogas of Lybia
33	Q79510	Q99558 (Proba Rogas of Lybia)	Q99544 (Heracles)			unknown	no Wikidata ID for Proba Rogas of Lybia and Heracles
