qid	label	wikidata_qid	verdict	name_score	detail
Q153798	Fihr born of Iamblichus	Q12231260	name_mismatch	0.59	local 'Fihr born of Iamblichus' vs Wikidata 'فهر بن مالك'
Q153799	Iamblichus	Q12238331	name_mismatch	0.28	local 'Iamblichus' vs Wikidata 'مالك بن النضر'
Q16605	Lady NN Kujo-no-Fujiwara	Q131731029	name_mismatch	0.39	local 'Lady NN Kujo-no-Fujiwara' vs Wikidata 'Kujō Tsuneko'
Q17037	Tadayoshi Yamanouchi	Q6584319	name_mismatch	0.47	local 'Tadayoshi Yamanouchi' vs Wikidata '山内忠義'
Q20856	Lady NN Tokugawa-no-Owari	Q108824128	name_mismatch	0.57	local 'Lady NN Tokugawa-no-Owari' vs Wikidata '徳川琴姫'
Q21987	Tadatoyo Yamanouchi	Q6584320	name_mismatch	0.44	local 'Tadatoyo Yamanouchi' vs Wikidata '山内忠豊'
Q25428	Jì Zǐ	Q10945275	name_mismatch	0.62	local 'Jì Zǐ' vs Wikidata '季子'
Q26065	Gongziya	Q10892733	name_mismatch	0.71	local 'Gongziya' vs Wikidata '公子牙'
Q26111	Gong Zihong	Q9414661	name_mismatch	0.57	local 'Gong Zihong' vs Wikidata '公子弘'
Q26113	xiǎo zǐ 慭	Q10958646	name_mismatch	0.71	local 'xiǎo zǐ 慭' vs Wikidata '小子慭'
Q26222	Wan Si	Q15955716	name_mismatch	0.55	local 'Wan Si' vs Wikidata '鬻姒'
Q26227	Gōng Zǐ Dèn	Q10892775	name_mismatch	0.43	local 'Gōng Zǐ Dèn' vs Wikidata '公子鉏'
Q26228	Gongziju	Q10892784	name_mismatch	0.35	local 'Gongziju' vs Wikidata '公子驹'
Q26229	Prince Guizhou	Q10892793	name_mismatch	0.64	local 'Prince Guizhou' vs Wikidata '公子黔'
Q26379	Qin Jinggong	Q16903805	name_mismatch	0.50	local 'Qin Jinggong' vs Wikidata '秦靜公'
Q26494	doch Kyogoku Takamitsu	Q107180355	name_mismatch	0.43	local 'doch Kyogoku Takamitsu' vs Wikidata '京極高光の娘 (細川持之の室)'
Q28126	Song Mu Mei Zi	Q110590089	name_mismatch	0.38	local 'Song Mu Mei Zi' vs Wikidata '松木美子'
Q29101	Shang Shan Hu Ji	Q111020051	name_mismatch	0.19	local 'Shang Shan Hu Ji' vs Wikidata '上杉虎姫'
Q30463	sugjeongongju	Q12603389	name_mismatch	0.50	local 'sugjeongongju' vs Wikidata '숙정옹주'
Q31598	Dao Cheng Ru Dao Qin Wang	Q110817730	name_mismatch	0.50	local 'Dao Cheng Ru Dao Qin Wang' vs Wikidata '道承入道親王'
Q31622	Ru Jiang Cheng Zi	Q110617732	name_mismatch	0.21	local 'Ru Jiang Cheng Zi' vs Wikidata '入江誠子'
Q31686	Kuan Shou	Q134552139	name_mismatch	0.45	local 'Kuan Shou' vs Wikidata '寛守'
Q31754	De Chuan Zhen Ci Lang	Q130754642	name_mismatch	0.26	local 'De Chuan Zhen Ci Lang' vs Wikidata '徳川貞次郎'
Q32376	Korenori Aso	Q11657643	name_mismatch	0.67	local 'Korenori Aso' vs Wikidata '阿蘇惟憲'
Q32911	Gongzi Kui	Q10892711	name_mismatch	0.60	local 'Gongzi Kui' vs Wikidata '公子悝'
Q32915	Gongzi Fei	Q9414457	name_mismatch	0.60	local 'Gongzi Fei' vs Wikidata '公子市'
Q33166	Hosokawa man	Q109916197	name_mismatch	0.64	local 'Hosokawa man' vs Wikidata '細川万'
Q34214	Zhong Ji	Q20041312	name_mismatch	0.25	local 'Zhong Ji' vs Wikidata '種姫'
Q36709	Koretada Aso	Q11657642	name_mismatch	0.67	local 'Koretada Aso' vs Wikidata '阿蘇惟忠'
Q36737	Tadakiyo Okamoto	Q23986595	name_mismatch	0.50	local 'Tadakiyo Okamoto' vs Wikidata '岡本忠清'
Q36891	Si Wei Yu Duo Zi	Q119380350	name_mismatch	0.22	local 'Si Wei Yu Duo Zi' vs Wikidata '寺尾宇多子'
Q37009	Yan Cang Ju Yi	Q113163640	name_mismatch	0.15	local 'Yan Cang Ju Yi' vs Wikidata '岩倉具義'
Q37952	Sigeyuki Sinokhara	Q11603637	name_mismatch	0.43	local 'Sigeyuki Sinokhara' vs Wikidata '篠原重之'
Q38024	daughter Nobumasa Sanada (zakonna manzelka Masaaki Toyama)	Q110050805	name_mismatch	0.47	local 'daughter Nobumasa Sanada (zakonna manzelka Masaaki Toyama)' vs Wikidata '真田信政の娘 (遠山政亮の正室)'
Q38028	daughter Nobumasy Sanady (nastupce Arisige Koide)	Q110050841	name_mismatch	0.56	local 'daughter Nobumasy Sanady (nastupce Arisige Koide)' vs Wikidata '真田信政の娘 (小出有重の継室)'
Q38032	daughter Nobumasy Sanady (zakonna manzelka Jorinaga Tokiho)	Q106513846	name_mismatch	0.49	local 'daughter Nobumasy Sanady (zakonna manzelka Jorinaga Tokiho)' vs Wikidata '真田信政の娘 (土岐頼長の正室)'
Q38109	Shan Qi Shou Man Zi	Q105711345	name_mismatch	0.29	local 'Shan Qi Shou Man Zi' vs Wikidata '山崎寿満子'
Q38124	De Chuan Gan Zi	Q111034757	name_mismatch	0.27	local 'De Chuan Gan Zi' vs Wikidata '徳川幹子'
Q38128	Xi Xiang Jing Zi	Q111034856	name_mismatch	0.29	local 'Xi Xiang Jing Zi' vs Wikidata '西郷静子'
Q38132	Chi Tian Qian Zi	Q111034870	name_mismatch	0.15	local 'Chi Tian Qian Zi' vs Wikidata '池田謙子'
Q38136	Chi Tian Wen Zi	Q111034893	name_mismatch	0.23	local 'Chi Tian Wen Zi' vs Wikidata '池田温子'
Q38140	Huang Wei Bo Zheng	Q111034903	name_mismatch	0.26	local 'Huang Wei Bo Zheng' vs Wikidata '荒尾博正'
Q38356	De Chuan Sheng Ji	Q108824630	name_mismatch	0.24	local 'De Chuan Sheng Ji' vs Wikidata '徳川盛姫'
Q38384	Hei Tian Zhen Zi	Q114457581	name_mismatch	0.32	local 'Hei Tian Zhen Zi' vs Wikidata 'Садако Курода'
Q38388	Mori Masako	Q114528079	name_mismatch	0.59	local 'Mori Masako' vs Wikidata 'Масако Мори'
Q38437	Xi Chuan De Shi	Q11605884	name_mismatch	0.12	local 'Xi Chuan De Shi' vs Wikidata '細川徳時'
Q38993	Empress Hutieni	Q7069336	name_mismatch	0.73	local 'Empress Hutieni' vs Wikidata 'Impératrice Kirgikteni'
Q39284	Diaoabula	Q45528824	name_mismatch	0.71	local 'Diaoabula' vs Wikidata 'Diwabala'
Q39866	Si Sip Qian Rong Zi	Q134720584	name_mismatch	0.11	local 'Si Sip Qian Rong Zi' vs Wikidata '四辻千栄子'
Q40179	De Chuan Ling Ji	Q108824026	name_mismatch	0.25	local 'De Chuan Ling Ji' vs Wikidata '徳川綾姫'
Q40183	De Chuan Jing Zhi Zhu	Q108824348	name_mismatch	0.21	local 'De Chuan Jing Zhi Zhu' vs Wikidata '徳川敬之助'
Q40187	De Chuan He Ji	Q108824392	name_mismatch	0.26	local 'De Chuan He Ji' vs Wikidata '徳川和姫'
Q40191	De Chuan Yuan Ji	Q108824607	name_mismatch	0.30	local 'De Chuan Yuan Ji' vs Wikidata '徳川元姫'
Q41080	Yuelu	Q19852753	name_mismatch	0.22	local 'Yuelu' vs Wikidata 'Zoey'
Q41104	Alijiashili	Q45469114	name_mismatch	0.48	local 'Alijiashili' vs Wikidata 'Olsii'
Q41349	Tadasue Kuvasima	Q23986596	name_mismatch	0.42	local 'Tadasue Kuvasima' vs Wikidata '桑嶋忠季'
Q42224	Guo Dao Ge Zi	Q134366680	name_mismatch	0.07	local 'Guo Dao Ge Zi' vs Wikidata 'Набэсима Айко'
Q42281	Guo Dao Shen Dai Zi	Q134366612	name_mismatch	0.29	local 'Guo Dao Shen Dai Zi' vs Wikidata 'Набэсима Миёко'
Q43736	Yu Ze	Q59134839	name_mismatch	0.00	local 'Yu Ze' vs Wikidata '玉沢'
Q44106	Shan Nei Li Tai	Q11466482	name_mismatch	0.31	local 'Shan Nei Li Tai' vs Wikidata '山内豊泰'
Q44150	Shi Ting Gong Teng	Q106480155	name_mismatch	0.11	local 'Shi Ting Gong Teng' vs Wikidata '室町公藤'
Q44302	De Da Si Shun Zi	Q109189475	name_mismatch	0.39	local 'De Da Si Shun Zi' vs Wikidata '徳大寺順子'
Q44342	Mori (concubine of Matsuura Kiyoshi)	Q110182604	name_mismatch	0.43	local 'Mori (concubine of Matsuura Kiyoshi)' vs Wikidata '森氏 (松浦清の側室)'
Q44414	Lady NN Satsuma-no-Shimazu	Q117466071	name_mismatch	0.35	local 'Lady NN Satsuma-no-Shimazu' vs Wikidata 'Shimazu Mitsuko'
Q44491	Yi Tiao Jing Zi	Q109777316	name_mismatch	0.28	local 'Yi Tiao Jing Zi' vs Wikidata '一条経子'
Q44799	Gao Mu Bang Zi	Q134607064	name_mismatch	0.37	local 'Gao Mu Bang Zi' vs Wikidata '高木邦子'
Q47660	Shan Nei Li Xing	Q11466488	name_mismatch	0.25	local 'Shan Nei Li Xing' vs Wikidata '山内豊興'
Q47664	Shan Nei Li Zi	Q11466491	name_mismatch	0.19	local 'Shan Nei Li Zi' vs Wikidata '山内豊資'
Q47856	Xi Chuan Xing Guan	Q11605990	name_mismatch	0.17	local 'Xi Chuan Xing Guan' vs Wikidata '細川興貫'
Q48000	Qian Deng San Zi	Q117843721	name_mismatch	0.31	local 'Qian Deng San Zi' vs Wikidata '千登三子'
Q48121	Ao Jin Riyou	Q126722734	name_mismatch	0.38	local 'Ao Jin Riyou' vs Wikidata '奥津りょう'
Q49869	Stephen Uroš I of Serbia	Q56255	name_mismatch	0.29	local 'Stephen Uroš I of Serbia' vs Wikidata '金正恩'
Q51822	Ptolemy XII Auletes	Q888470	name_mismatch	0.61	local 'Ptolemy XII Auletes' vs Wikidata '托勒密'
Q52485	Gao Mu Zheng Shun	Q134608980	name_mismatch	0.25	local 'Gao Mu Zheng Shun' vs Wikidata '高木正順'
Q61173	Vettius Justus	Q1239423	name_mismatch	0.69	local 'Vettius Justus' vs Wikidata 'Vettius Rufinus'
Q6439	kontol	Q110980265	name_mismatch	0.20	local 'kontol' vs Wikidata '帝臨魁'
Q6462	Xu Fu	Q1474187	name_mismatch	0.19	local 'Xu Fu' vs Wikidata 'Watatsumi'
Q65363	Fatima daughter of Zaidah	Q87007840	name_mismatch	0.68	local 'Fatima daughter of Zaidah' vs Wikidata 'Fatima Zāʾidah filia'
Q70442	Puzur-Ashur	Q200902	name_mismatch	0.27	local 'Puzur-Ashur' vs Wikidata '闪姆'
Q70445	Ishme-Dagan	Q457520	name_mismatch	0.38	local 'Ishme-Dagan' vs Wikidata '亚法撒'
Q70451	Naram-Ilum	Q1827950	name_mismatch	0.45	local 'Naram-Ilum' vs Wikidata 'Selá'
Q70454	Ilum-bani	Q502282	name_mismatch	0.40	local 'Ilum-bani' vs Wikidata '希伯'
Q70457	Iddin-Sin	Q1648259	name_mismatch	0.27	local 'Iddin-Sin' vs Wikidata 'Pelegue'
Q70460	Shu-Sin	Q2040793	name_mismatch	0.36	local 'Shu-Sin' vs Wikidata '拉吴'
Q73380	BAD MERGE	Q3356	name_mismatch	0.33	local 'BAD MERGE' vs Wikidata 'Antiokos IV Epifanes'
Q74299	Irdabama	Q131732243	name_mismatch	0.43	local 'Irdabama' vs Wikidata 'Rhodogune'
Q74677	Ops	Q96761	name_mismatch	0.15	local 'Ops' vs Wikidata 'Paul Bildt'
Q7479	Hokuden	Q106176812	name_mismatch	0.25	local 'Hokuden' vs Wikidata '北殿'
Q75192	Klymene	Q669635	name_mismatch	0.46	local 'Klymene' vs Wikidata 'Hesione'
Q75637	Amnius Manius Caesonius Nichomachus Anicius Paulinus	Q1174111	name_mismatch	0.34	local 'Amnius Manius Caesonius Nichomachus Anicius Paulinus' vs Wikidata 'Аниций Авхений Бас'
Q76643	Severus Antoninus Marullus	Q108494665	name_mismatch	0.47	local 'Severus Antoninus Marullus' vs Wikidata 'Maecius Faustinus'
Q88014	Makhir ibn Habibi al-Narboni, Nasi	Q6739404	name_mismatch	0.59	local 'Makhir ibn Habibi al-Narboni, Nasi' vs Wikidata 'Makhir of Narbonne'
Q88116	Paltoi Yishai son of Abaye Kohen Sedeq (Gaon)	Q16668713	name_mismatch	0.47	local 'Paltoi Yishai son of Abaye Kohen Sedeq (Gaon)' vs Wikidata 'Paltoï ben Abaye'
Q88694	"Hayy ""Hiyya"" ibn Ya'ish ibn Ya'ish ben David al-Daudi"	Q2160640	name_mismatch	0.43	"local 'Hayy ""Hiyya"" ibn Ya'ish ibn Ya'ish ben David al-Daudi' vs Wikidata 'Hiyya al-Daudi'"
Q89135	Abu Baqr ibn Yahya	Q4849521	name_mismatch	0.56	local 'Abu Baqr ibn Yahya' vs Wikidata 'Bakr Ben Yahia'
Q90885	bat Al Palestin bat Abaye haKohen Gaon	Q454682	name_mismatch	0.16	local 'bat Al Palestin bat Abaye haKohen Gaon' vs Wikidata 'Mar Sutra'
Q94239	Asad son of Hashem	Q3820445	name_mismatch	0.73	local 'Asad son of Hashem' vs Wikidata 'Asad ibn Hashim'
Q10311	Sisicus	Q4868	not_a_human	1.00	Wikidata item is 'Sisicus', instance of Q16521
Q105575574	Ante Adam	Q105575574	not_a_human	1.00	Wikidata item is 'Ante Adam', instance of Q1052390
Q108036	Umm walad	Q4003538	not_a_human	1.00	Wikidata item is 'Umm al-walad', instance of Q216353
Q108287	Manzoor	Q66816924	not_a_human	1.00	Wikidata item is 'منظور‎', instance of Q12308941
Q111346	Etzel	Q5850202	not_a_human	1.00	Wikidata item is 'Etzel', instance of Q3658341
Q113310	Erik Björnsson	Q2600794	not_a_human	1.00	Wikidata item is 'Éric II Björnsson', instance of Q6949213
Q114869	Ava	Q608738	not_a_human	1.00	Wikidata item is 'Ava', instance of Q11879590
Q115382	Jerimoth	Q6182203	not_a_human	1.00	Wikidata item is 'Jerimoth', instance of Q12405827
Q115394	Japhia	Q128310030	not_a_human	1.00	Wikidata item is 'Japhia', instance of Q12405827
Q118804	Asahel	Q2915076	not_a_human	1.00	Wikidata item is '亚撒黑', instance of Q12405827
Q120514	San Cosmo Albanese	Q53957	not_a_human	1.00	Wikidata item is 'San Cosmo Albanese', instance of Q747074
Q120518	.kp	Q42172	not_a_human	1.00	Wikidata item is '.kp', instance of Q42032
Q120956	Vaglia	Q82876	not_a_human	1.00	Wikidata item is 'Vaglia', instance of Q747074
Q121408	Vicchio	Q82880	not_a_human	1.00	Wikidata item is 'Vicchio', instance of Q747074
Q121720	Gruda	Q43737	not_a_human	1.00	Wikidata item is 'Gruda', instance of Q4167410
Q121951	María	Q15834293	not_a_human	1.00	Wikidata item is 'María', instance of Q4167410
Q122045	Lamut	Q30421	not_a_human	1.00	Wikidata item is 'Lamut', instance of Q24764
Q122917	Fiumara	Q54610	not_a_human	1.00	Wikidata item is 'Fiumara', instance of Q747074
Q123648	Eadgils	Q2608009	not_a_human	1.00	Wikidata item is 'Adils', instance of Q6949213
Q123876	Mizo	Q36147	not_a_human	1.00	Wikidata item is 'मिज़ो भाषा', instance of Q33742, Q1288568
Q124145	Basili	Q63972997	not_a_human	1.00	Wikidata item is 'Βασίλειος', instance of Q2345820
Q124737	Harricana River	Q71996	not_a_human	1.00	Wikidata item is 'Rivière Harricana', instance of Q4022
Q125206	Bumastus	Q44049	not_a_human	1.00	Wikidata item is 'Bumastus', instance of Q23038290
Q125526	Lingayen	Q41978	not_a_human	1.00	Wikidata item is 'Lingayen', instance of Q24764
Q125721	Antoniadi	Q48934	not_a_human	1.00	Wikidata item is 'Antoniadi', instance of Q1475691
Q125875	4 weitere Kinder von Nellenburg	Q76300036	not_a_human	1.00	Wikidata item is '4 weitere Kinder von Nellenburg', instance of Q16979650
Q126467	Dompierre-sur-Mer	Q59701	not_a_human	1.00	Wikidata item is '滨海栋皮埃尔', instance of Q484170
Q126738	Hadji Mohammad Ajul	Q41998	not_a_human	1.00	Wikidata item is 'Hadji Mohammad Ajul', instance of Q24764
Q126849	Jungle cat	Q42623	not_a_human	1.00	Wikidata item is '丛林猫', instance of Q16521
Q127266	.zw	Q42286	not_a_human	1.00	Wikidata item is '.zw', instance of Q42032
Q127270	American Association for the Advancement of Science	Q40358	not_a_human	1.00	Wikidata item is 'Associação Americana para o Avanço da Ciência', instance of Q484652, Q45400320, Q163740
Q127326	Vestone	Q112190	not_a_human	1.00	Wikidata item is 'Vestone', instance of Q747074
Q127328	The Matrix	Q83495	not_a_human	1.00	Wikidata item is '黑客帝国', instance of Q11424
Q127371	Foshan	Q34412	not_a_human	1.00	Wikidata item is 'Hu̍t-san-chhī', instance of Q748149, Q1549591
Q127373	Lamia	Q29874	not_a_human	1.00	Wikidata item is 'Lamia', instance of Q16521
Q127610	Berliște	Q75534	not_a_human	1.00	Wikidata item is 'Berliște', instance of Q532, Q34841063
Q127638	Dingras	Q39429	not_a_human	1.00	Wikidata item is 'Dingras', instance of Q24764
Q127926	Estrela Mountain Dog	Q38096	not_a_human	1.00	Wikidata item is '埃什特雷拉山犬', instance of Q39367
Q128079	1130s BC	Q113231	not_a_human	1.00	Wikidata item is '前1130年代', instance of Q39911
Q128539	Évriguet	Q128539	not_a_human	1.00	Wikidata item is '埃夫里盖', instance of Q484170
Q128835	Thunchath Ezhuthachan Malayalam University	Q60845	not_a_human	1.00	Wikidata item is 'തുഞ്ചത്ത് എഴുത്തച്ഛൻ മലയാളം സർവ്വകലാശാല', instance of Q3918, Q7603893
Q128848	Interstate 84	Q94900	not_a_human	1.00	Wikidata item is 'Interstate 84', instance of Q34442
Q128896	Scheibenberg	Q57936	not_a_human	1.00	Wikidata item is 'Scheibenberg', instance of Q42744322, Q820254
Q128933	Mhalapitsa	Q72191	not_a_human	1.00	Wikidata item is 'Mhalapitsa', instance of Q532
Q129329	Reumah	Q108773808	not_a_human	1.00	Wikidata item is 'ראומה', instance of Q12405827
Q129399	Elda'a	Q124325068	not_a_human	1.00	Wikidata item is 'אלדעה', instance of Q12405827
Q129409	Lot's wife	Q2575060	not_a_human	1.00	Wikidata item is 'Żona Lota', instance of Q3236487
Q129522	Naaman	Q31841835	not_a_human	1.00	Wikidata item is 'Naaman', instance of Q12405827
Q129550	Guni	Q80198030	not_a_human	1.00	Wikidata item is 'Gouni', instance of Q12405827
Q129598	Timan	Q134715631	not_a_human	1.00	Wikidata item is 'תימן (דמות מקראית)', instance of Q12405827
Q129672	Eliab	Q65128117	not_a_human	1.00	Wikidata item is 'Eliab', instance of Q12405827
Q129674	Simei	Q3482128	not_a_human	1.00	Wikidata item is 'Shiméï', instance of Q12405827
Q129696	Harun	Q380714	not_a_human	1.00	Wikidata item is 'ހާރޫނުގެފާނު', instance of Q168827, Q18563360
Q129698	Moses in Islam	Q1990155	not_a_human	1.00	Wikidata item is 'މޫސާގެފާނު', instance of Q168827
Q129722	Naphtuhim	Q11938321	not_a_human	1.00	Wikidata item is 'naftuah', instance of Q41710
Q129724	Ludim	Q1647375	not_a_human	1.00	Wikidata item is 'Ludim', instance of Q22813674
Q129775	Nemuel	Q106808575	not_a_human	1.00	Wikidata item is 'Nemuel', instance of Q12405827
Q129853	Kanʿān	Q30308913	not_a_human	1.00	Wikidata item is 'كنعان بن نوح', instance of Q12405827
Q129955	Eser	Q10274802	not_a_human	1.00	Wikidata item is 'Eser', instance of Q12405827
Q130298	Cessair	Q1057039	not_a_human	1.00	Wikidata item is 'Кесайр', instance of Q27973511, Q1818899
Q130320	Dodanim	Q1518112	not_a_human	1.00	Wikidata item is 'Rodanim', instance of Q22813674
Q130322	unknown	Q24238356	not_a_human	1.00	Wikidata item is 'desconocido', instance of Q2995644
Q130392	Aether	Q189175	not_a_human	1.00	Wikidata item is 'Aither', instance of Q878099
Q130398	Ourea	Q1191947	not_a_human	1.00	Wikidata item is 'Óreas', instance of Q878099
Q130404	Brontes	Q2291710	not_a_human	1.00	Wikidata item is 'Brontes', instance of Q128430
Q130406	Steropes	Q3553687	not_a_human	1.00	Wikidata item is 'Estéropes', instance of Q128430
Q130408	Eurymedon	Q143457	not_a_human	1.00	Wikidata item is 'Eurymedon', instance of Q191192
Q130411	Alcyoneus	Q653681	not_a_human	1.00	Wikidata item is 'Αλκυονέας', instance of Q191192
Q130413	Alpos	Q926123	not_a_human	1.00	Wikidata item is 'Alpos', instance of Q191192
Q130415	Enceladus	Q845112	not_a_human	1.00	Wikidata item is '恩克拉多斯', instance of Q191192
Q130417	Eurytos	Q3060927	not_a_human	1.00	Wikidata item is 'Eurytos', instance of Q191192
Q130419	Gration	Q1543617	not_a_human	1.00	Wikidata item is 'Gration', instance of Q191192
Q130421	Hippolytos	Q1620048	not_a_human	1.00	Wikidata item is 'Hippolytos', instance of Q191192
Q130423	Mimas	Q1045732	not_a_human	1.00	Wikidata item is 'Mimas', instance of Q191192
Q130425	Pallas	Q2463695	not_a_human	1.00	Wikidata item is 'Palas', instance of Q191192
Q130427	Peloreus	Q3411759	not_a_human	1.00	Wikidata item is 'Pélorée', instance of Q191192
Q130429	Polybotes	Q1233841	not_a_human	1.00	Wikidata item is 'Polybotes', instance of Q191192
Q130431	Porphyrion	Q1421201	not_a_human	1.00	Wikidata item is 'Porfírio', instance of Q191192
Q130433	Anax	Q2303713	not_a_human	1.00	Wikidata item is 'Anax', instance of Q191192
Q130435	Damysos	Q901487	not_a_human	1.00	Wikidata item is 'Δάμυσος', instance of Q191192
Q130437	Clytius	Q1206054	not_a_human	1.00	Wikidata item is 'Klytios', instance of Q191192
Q130439	Ephialtes	Q1249106	not_a_human	1.00	Wikidata item is 'Ephialtes', instance of Q191192
Q130441	Hoplodamus	Q3140400	not_a_human	1.00	Wikidata item is 'Hoplodamos', instance of Q191192
Q130444	Otus	Q3357697	not_a_human	1.00	Wikidata item is 'Otos', instance of Q191192
Q130446	Briareus	Q849647	not_a_human	1.00	Wikidata item is 'Briareósz', instance of Q175255
Q130448	Cottus	Q3318918	not_a_human	1.00	Wikidata item is 'Coto', instance of Q175255, Q3707571
Q130452	Coeus	Q182837	not_a_human	1.00	Wikidata item is 'Koios', instance of Q45713
Q130454	Kreios	Q192136	not_a_human	1.00	Wikidata item is 'Kreios', instance of Q45713
Q130456	Phoebe	Q183281	not_a_human	1.00	Wikidata item is 'Phoibe', instance of Q45713
Q130464	Arges	Q420269	not_a_human	1.00	Wikidata item is 'Arges', instance of Q128430
Q130468	Astraios	Q2868617	not_a_human	1.00	Wikidata item is 'Astréos', instance of Q191192
Q130476	Syceus	Q10686799	not_a_human	1.00	Wikidata item is 'Sykeus', instance of Q3707571
Q130480	Aristaeus	Q2861418	not_a_human	1.00	Wikidata item is 'Aristée', instance of Q191192
