qid	label	wikidata_qid	verdict	name_score	detail
Q113661	Afonso Pires Gato	Q6	missing	0.00	no such Wikidata item
Q120782	Roger I Trencavel	Q114331	missing	0.00	no such Wikidata item
Q121169	Gunzelin, Margrave of Meissen	Q3217	missing	0.00	no such Wikidata item
Q121686	Theodoric I	Q41874	missing	0.00	no such Wikidata item
Q123554	Rhescuporis VIII	Q28308689	missing	0.00	no such Wikidata item
Q127560	Otto I	Q41990	missing	0.00	no such Wikidata item
Q130602	Selene	Q119922	missing	0.00	no such Wikidata item
Q151843	Tiberius Julius Teiranes II	Q28320776	missing	0.00	no such Wikidata item
Q9457	Murasaki Shikibu	Q64208	missing	0.00	no such Wikidata item
Q107524	Durra daughter of Abi Salama	Q104157769	name_mismatch	0.73	local 'Durra daughter of Abi Salama' vs Wikidata 'درة بنت أبي سلمة'
Q107676	Duraah alhāshimiyaiyah	Q12211560	name_mismatch	0.47	local 'Duraah alhāshimiyaiyah' vs Wikidata 'درة بنت أبي لهب'
Q107678	Azza daughter of Abi Lahab	Q104029490	name_mismatch	0.71	local 'Azza daughter of Abi Lahab' vs Wikidata 'عزة بنت أبي لهب'
Q107744	Umm Amara daughter of Sufyan	Q12180468	name_mismatch	0.69	local 'Umm Amara daughter of Sufyan' vs Wikidata 'أم عمارة بنت سفيان'
Q108169	Fatima daughter of Qays al-Fihriyya	Q12230164	name_mismatch	0.45	local 'Fatima daughter of Qays al-Fihriyya' vs Wikidata 'فاطمة بنت قيس الفهرية'
Q108201	Marjana the Persian	Q124627976	name_mismatch	0.65	local 'Marjana the Persian' vs Wikidata 'مرجانة الفارسية'
Q108498	Asma daughter of Mukhriba	Q65038133	name_mismatch	0.67	local 'Asma daughter of Mukhriba' vs Wikidata 'أسماء بنت مخربة'
Q108852	Fatima daughter of Safwan	Q22689017	name_mismatch	0.70	local 'Fatima daughter of Safwan' vs Wikidata 'فاطمة بنت صفوان'
Q109109	Rahim the Persian	Q134269892	name_mismatch	0.65	local 'Rahim the Persian' vs Wikidata 'رحيم الفارسية'
Q109712	al-Sayyida al-Aziziyya	Q124487499	name_mismatch	0.29	local 'al-Sayyida al-Aziziyya' vs Wikidata 'السيدة العزيزية'
Q110346	Daughter of Rechila (wife of Gundioc)	Q110197849	name_mismatch	0.59	local 'Daughter of Rechila (wife of Gundioc)' vs Wikidata 'リキメルの姉妹 (グンディオクの妻)'
Q116423	Herleva	Q61807767	name_mismatch	0.00	local 'Herleva' vs Wikidata 'Эрелева'
Q116803	Alix de Champagne	Q107263322	name_mismatch	0.65	local 'Alix de Champagne' vs Wikidata 'Adela de Valois'
Q121271	neizvestnaya doch Vasiliya Sklira	Q124729168	name_mismatch	0.33	local 'neizvestnaya doch Vasiliya Sklira' vs Wikidata 'Неизвестна по име Склирина'
Q121969	Jendryk from Brzeg	Q30301558	name_mismatch	0.62	local 'Jendryk from Brzeg' vs Wikidata 'Henry I, Count of Berg'
Q122243	Ulrich, Graf von Ramsperg, Graf im Hegau	Q88790263	name_mismatch	0.68	local 'Ulrich, Graf von Ramsperg, Graf im Hegau' vs Wikidata 'Улрих фон Рамшперг'
Q125733	Hawisa (Elizabeth) de Avoy	Q62059609	name_mismatch	0.00	local 'Hawisa (Elizabeth) de Avoy' vs Wikidata 'Хависа (Элизабет) де Авой'
Q128321	Aleksii Komnin Vatatsi	Q131419591	name_mismatch	0.58	local 'Aleksii Komnin Vatatsi' vs Wikidata 'Алексий Комнин Ватаци'
Q130496	Ananke	Q4286521	name_mismatch	0.27	local 'Ananke' vs Wikidata 'Мгла'
Q131420	Emzara	Q47142202	name_mismatch	0.33	local 'Emzara' vs Wikidata 'Naamah'
Q133087	ancient Greek mythological figure	Q2089271	name_mismatch	0.24	local 'ancient Greek mythological figure' vs Wikidata 'Phylomache'
Q135640	ancient Greek general	Q1344624	name_mismatch	0.37	local 'ancient Greek general' vs Wikidata '法萨卢斯的门农'
Q137786	Lucilla Verus	Q109789767	name_mismatch	0.64	local 'Lucilla Verus' vs Wikidata 'Lucilla Plautia'
Q13916	Hachisu	Q16183355	name_mismatch	0.35	local 'Hachisu' vs Wikidata '팔수부인'
Q139869	Gladys ap Comyn	Q75464085	name_mismatch	0.17	local 'Gladys ap Comyn' vs Wikidata 'Beatrice'
Q140838	Vagn born of Åke	Q2974985	name_mismatch	0.57	local 'Vagn born of Åke' vs Wikidata 'Wagn Akeson'
Q144129	Lucius Licinius Crassus Damasippus	Q1129924	name_mismatch	0.72	local 'Lucius Licinius Crassus Damasippus' vs Wikidata 'Licinius Damasippus'
Q145720	Sybilla ferch Morgan|Meurig ab Iestyn	Q110622059	name_mismatch	0.56	local 'Sybilla ferch Morgan|Meurig ab Iestyn' vs Wikidata 'Sara ferch Morgan'
Q148895	Matilda de Sen-Khilar	Q61963109	name_mismatch	0.73	local 'Matilda de Sen-Khilar' vs Wikidata 'Мод (Матильда) де Сент-Илар'
Q149648	Emma Fits-Robert	Q61896439	name_mismatch	0.64	local 'Emma Fits-Robert' vs Wikidata 'Эмма Фиц-Роберт'
