owner_qid	pid	raw_target	resolves_to
Q49500	P47	Q49553	Q1928
Q49549	P47	Q49553	Q1928
Q50300	P47	Q50360	Q2074
Q50364	P42	Q50360	Q2074
Q51301	P20	Q51295	Q2282
Q78953	P20	Q161008	Q50948
Q78956	P20	Q161008	Q50948
Q160438	P47	Q160468	Q1928
Q160438	P48	Q160469	Q49557
Q160466	P47	Q160468	Q1928
Q160466	P48	Q160469	Q49557
Q160680	P20	Q160646	Q2027
Q160739	P47	Q160757	Q2074
Q160758	P42	Q160757	Q2074
Q161211	P20	Q161206	Q2282
Q171040	P47	Q161206	Q2282
Q171302	P42	Q161113	Q2249
Q171302	P47	Q161128	Q2252
Q171372	P47	Q160468	Q1928
Q171372	P48	Q160469	Q49557
Q171373	P47	Q161098	Q2244
Q171373	P48	Q161097	Q2243
Q171487	P47	Q161111	Q2247
Q171601	P47	Q161062	Q2233
Q171861	P48	Q161006	Q2212
Q171862	P48	Q161006	Q2212
Q171863	P48	Q161006	Q2212
