qid	birth_precision	death_precision
Q8226	9	
Q8227	9	
Q8233	9	11
Q8234	9	
Q8237		11
Q8238	9	11
Q8241		11
Q8247	10	11
Q8256		11
Q8259	9	
Q8261	9	11
Q8262	11	11
Q8263	9	11
Q8264	9	
Q8265	9	
Q8268	9	
Q8277	9	
Q8286	9	11
Q8287	9	11
Q8288	9	11
Q8293	9	11
Q8296	9	11
Q8303		10
Q8304		10
Q8305	9	
Q8306	11	
Q8307	11	11
Q8321	11	11
Q8324	9	9
Q8333	9	9
Q8334	9	
Q8336	9	11
Q8338	9	9
Q8342	9	
Q8345		11
Q8347	9	11
Q8351		11
Q8358	9	
Q8359	9	11
Q8360	9	
Q8361	9	11
Q8363		9
Q8364	9	11
Q8365	9	
Q8368	9	11
Q8372	9	11
Q8374	11	
Q8379	9	11
Q8382	9	11
Q8383	9	
Q8394	11	11
Q8399	11	11
Q8407		11
Q8408	9	11
Q8416	9	
Q8423	9	
Q8428	9	11
Q8430	9	11
Q8431	9	
Q8432	11	9
Q8435	9	11
Q8436	9	
Q8437	9	11
Q8438	9	11
Q8441	9	11
Q8443		9
Q8445	9	
Q8447	9	11
Q8448	9	11
Q8455	9	11
Q8456	9	11
Q8457	9	11
Q8458	9	11
Q8459	9	11
Q8460	9	11
Q8461	9	11
Q8462	9	11
Q8465	9	11
Q8466	9	
Q8467		11
Q8468	9	
Q8469		9
Q8471		11
Q8474	9	
Q8475	9	11
Q8477	9	11
Q8479	9	11
Q8480	9	
Q8485	9	11
Q8486	9	
Q8487	9	
Q8497	9	11
Q8502	9	11
Q8508	9	
Q8515	9	11
Q8517	9	11
Q8526	11	11
Q8531	9	10
Q8532	9	11
Q8534	9	
Q8535	9	
Q8536	9	
Q8537		9
Q8538	9	
Q8544		10
Q8546	9	11
Q8547	9	11
Q8548	9	11
Q8549		9
Q8550	9	11
Q8551	9	11
Q8553	9	11
Q8556		11
Q8557		11
Q8558	9	11
Q8559	9	11
Q8563	9	
Q8564	9	
Q8566		9
Q8569	9	9
Q8576		9
Q8579	9	11
Q8582	11	11
Q8585	9	11
Q8591	11	11
Q8592	9	11
Q8593	9	11
Q8595	9	9
Q8602		11
Q8604	9	11
Q8605		9
Q8607		9
Q8608		9
Q8609	11	11
Q8620	9	11
Q8622	9	11
Q8625	9	11
Q8630	11	9
Q8632	11	11
Q8636	9	11
Q8637	9	11
Q8638	9	11
Q8645	9	11
Q8646	9	11
Q8647	9	9
Q8656	9	11
Q8658	9	9
Q8660	9	9
Q8661	11	11
Q8666	9	9
Q8668	9	11
Q8669	9	11
Q8672	9	
Q8675	9	11
Q8676	9	
Q8678	9	11
Q8680	9	11
Q8682	9	11
Q8685	9	11
Q8687	9	
Q8689	9	
Q8690	11	11
Q8697	9	11
Q8703	9	11
Q8704		11
Q8707	9	11
Q8708	9	11
Q8709	9	11
Q8711		9
Q8713	9	11
Q8715	9	11
Q8717	9	11
Q8718	9	11
Q8719	9	
Q8722	9	
Q8723	9	
Q8724	9	
Q8734	9	11
Q8740	9	
Q8741		11
Q8742	9	11
Q8743	9	11
Q8744	9	11
Q8745	11	11
Q8747		9
Q8748	9	
Q8751		9
Q8757	9	11
Q8763	9	11
Q8769	11	11
Q8770		11
Q8771	9	11
Q8774	9	11
Q8775		11
Q8776	9	11
Q8779	9	11
Q8781	9	11
Q8782	9	11
Q8795	11	11
Q8796		11
Q8797	9	
Q8804	9	11
Q8809	9	9
Q8811	9	11
Q8812	11	11
Q8816	9	10
Q8817	9	11
Q8826	9	11
Q8827	9	11
Q8830	9	11
Q8831	9	11
Q8832		11
Q8833	11	11
Q8836	9	11
Q8837	9	
Q8844	9	11
Q8845	9	9
Q8848		10
Q8851	9	11
Q8853	9	11
Q8861	9	11
Q8865		11
Q8882	11	11
Q8883	11	9
Q8886	11	9
Q8888		11
Q8891	9	11
Q8901	9	11
Q8906	11	11
Q8911	11	11
Q8912	9	
Q8913	9	9
Q8914		9
Q8916		9
Q8919		11
Q8923	11	11
Q8924	11	11
Q8932	9	11
Q8936		11
Q8937	9	11
Q8940	9	11
Q8941	9	11
Q8945	9	11
Q8946	9	11
Q8947		11
Q8950	9	10
Q8956	9	11
Q8957		11
Q8960	9	11
Q8967		11
Q8968	9	
Q8972	9	11
Q8973	9	10
Q8975		11
Q8977		10
Q8983	9	
Q8985	9	
Q8993	9	
Q8995	9	9
Q8996	9	9
Q8999		11
Q9002	9	
Q9008		9
Q9010		9
Q9015	9	11
Q9016	9	11
Q9017	9	11
Q9018	9	11
Q9022	9	11
Q9023	9	11
Q9030	9	11
Q9031	9	
Q9035	9	11
Q9036	9	11
Q9037	9	11
Q9038	9	11
Q9042	9	9
Q9043	9	9
Q9044	9	9
Q9047		11
Q9049	9	11
Q9050		11
Q9051		11
Q9057	9	
Q9060	9	
Q9063	9	
Q9064	9	
Q9070	11	11
Q9071	11	
Q9073	11	11
Q9074	9	11
Q9075	9	11
Q9077	9	
Q9081		9
Q9084	9	11
Q9085	9	11
Q9087		9
Q9095	9	10
Q9098	9	
Q9102		11
Q9103	9	11
Q9105		9
Q9107	9	11
Q9113	9	11
Q9120	9	
Q9124	9	11
Q9125	9	11
Q9126		9
Q9127	9	11
Q9130	9	11
Q9131	9	11
Q9132	11	
Q9136	9	11
Q9137	9	11
Q9138	9	11
Q9139	9	9
Q9140		9
Q9141		9
Q9142	9	9
Q9147	9	11
Q9150	9	10
Q9153	9	9
Q9154	9	11
Q9155	11	11
Q9156	11	11
Q9158	9	9
Q9159	9	11
Q9160	9	11
Q9161	9	11
Q9162	9	11
Q9163	9	
Q9164	9	9
Q9166	11	11
Q9168	9	11
Q9169	9	11
Q9175	9	11
Q9178	9	11
Q9185	9	
Q9187	9	11
Q9188	9	11
Q9193	11	11
Q9200		9
Q9203	9	11
Q9236	9	
Q9257	9	11
Q9258	9	11
Q9268	9	11
Q9270	9	11
Q9274	11	11
Q9290	11	11
Q9291	9	11
Q9298	9	11
Q9300		11
Q9301	9	11
Q9304		9
Q9310	9	11
Q9311	11	11
Q9312	9	11
Q9315		11
Q9317		10
Q9318	9	11
Q9325	9	9
Q9327	9	
Q9332	9	
Q9334	9	11
Q9336	11	11
Q9337	11	11
Q9347	11	11
Q9348	9	11
Q9349	9	11
Q9351	11	11
Q9366	11	10
Q9368		11
Q9370	9	
Q9373	11	11
Q9377	9	11
Q9383	11	11
Q9384	9	11
Q9385	9	11
Q9388	9	11
Q9389	9	11
Q9390	9	11
Q9398	9	10
Q9399	9	11
Q9400	11	11
Q9401		11
Q9406	10	11
Q9407	10	11
Q9408	11	11
Q9409	9	9
Q9411	9	11
Q9412	9	11
Q9416	9	11
Q9418	11	11
Q9428	9	
Q9429	11	11
Q9433		11
Q9436	9	
Q9438	9	
Q9442		9
Q9445	11	11
Q9446	9	11
Q9447	9	9
Q9448	9	11
Q9457	9	9
Q9476	9	11
Q9477	9	
Q9478		9
Q9494		9
Q9497	9	11
Q9503	9	
Q9507	9	11
Q9512	9	11
Q9520		9
Q9521	9	9
Q9522	11	11
Q9523	9	11
Q9524	9	11
Q9525		9
Q9527	9	11
Q9529	9	11
Q9530	9	10
Q9531	9	11
Q9532	9	11
Q9533	9	
Q9537	9	11
Q9544	9	
Q9550	9	9
Q9551	9	11
Q9556	11	11
Q9558	11	11
Q9565		9
Q9582	9	11
Q9592		9
Q9594	9	11
Q9598	9	11
Q9599	9	11
Q9602	9	10
Q9604	9	11
Q9605	9	11
Q9608	9	11
Q9616	9	11
Q9621	9	11
Q9622	11	11
Q9626	9	
Q9635		11
Q9644		9
Q9658		11
Q9663	9	11
Q9678	9	
Q9682		11
Q9695	9	
Q9696	9	11
Q9698	9	11
Q9701	11	11
Q9704	9	11
Q9710	9	11
Q9711	11	
Q9713	9	
Q9716	9	10
Q9718	9	11
Q9719	9	11
Q9722	9	11
Q9723	9	11
Q9724	9	11
Q9726	9	11
Q9727	9	11
Q9729	11	9
Q9732		9
Q9734	9	11
Q9738	9	10
Q9742		11
Q9743		11
Q9749		11
Q9758		9
Q9768	9	
Q9769	9	11
Q9772	9	11
Q9774		9
Q9775	9	11
Q9784		11
Q9790	9	9
Q9791	9	11
Q9792		9
Q9797	11	11
Q9802	9	10
Q9806	9	9
Q9807	9	11
Q9808	11	11
Q9812	9	11
Q9813	11	11
Q9816	11	11
Q9817	9	11
Q9818	9	11
Q9819	9	9
Q9820	9	11
Q9821	9	11
Q9822	9	11
Q9823		9
Q9826	11	11
Q9827	9	10
Q9828	11	11
Q9829	9	11
Q9831	9	11
Q9832	11	11
Q9837	11	11
Q9839	9	11
Q9840	9	11
Q9842	9	
Q9843	9	11
Q9844	9	11
Q9853	9	11
Q9855	9	11
Q9856	9	11
Q9857	9	11
Q9858	9	11
Q9859	9	11
Q9860	9	11
Q9861	9	11
Q9862	9	11
Q9864	9	9
Q9869	9	11
Q9873	9	9
Q9874		9
Q9875	9	11
Q9877		11
Q9878	9	11
Q9884	11	11
Q9885	9	
Q9892	9	11
Q9897	9	11
Q9901	9	11
Q9902	9	11
Q9903	9	11
Q9905	9	9
Q9906	11	
Q9908	9	11
Q9935	9	10
Q9941	9	
Q9942		9
Q9948	9	11
Q9960	9	
Q9962	9	9
Q9963	9	9
Q9973	9	9
Q9976	9	11
Q9977	9	11
Q9984	9	11
Q9988	11	11
Q9989	9	
Q9990	11	11
Q9991		9
Q9992		9
Q10002	11	11
Q10003	11	11
Q10004	11	11
Q10005	9	11
Q10007	9	11
Q10008	9	11
Q10022		11
Q10024	11	11
Q10026	9	11
Q10027	11	11
Q10028	9	11
Q10039	11	11
Q10045	9	11
Q10046	9	11
Q10052	9	
Q10054	11	11
Q10067	9	11
Q10069	9	9
Q10074	9	11
Q10086	9	11
Q10087	9	11
Q10089	11	11
Q10091	9	11
Q10094	11	9
Q10107	11	11
Q10110		11
Q10141	9	11
Q10143	9	11
Q10156	9	9
Q10161	9	11
Q10162	9	11
Q10165		10
Q10169	9	11
Q10170	9	11
Q10171	9	10
Q10178	9	10
Q10182	11	11
Q10190	9	11
Q10192		11
Q10203	9	11
Q10213	9	11
Q10216	9	11
Q10218	9	
Q10220	9	9
Q10222	9	11
Q10223	9	11
Q10226	9	11
Q10235	9	11
Q10236	11	11
Q10237	9	11
Q10238	9	11
Q10242	9	11
Q10259		9
Q10261		9
Q10266	9	11
Q10267	11	11
Q10269	9	11
Q10271	9	11
Q10275	9	11
Q10278		11
Q10282	9	11
Q10283	11	11
Q10284	9	11
Q10285	9	11
Q10286	9	11
Q10287	9	11
Q10292	11	11
Q10296	9	9
Q10302	9	9
Q10303	9	11
Q10310	9	9
Q10311	11	11
Q10312	11	11
Q10327	9	11
Q10328	9	11
Q10351	9	11
Q10363	9	11
Q10364	9	11
Q10365	9	11
Q10366		11
Q10367	9	11
Q10370	11	9
Q10371	11	11
Q10379	9	11
Q10390	9	11
Q10401		9
Q10410	9	11
Q10411	9	
Q10412	9	10
Q10413	9	11
Q10416	11	11
Q10437	9	9
Q10438		9
Q10444	9	
Q10445	9	11
Q10454	9	11
Q10455	9	9
Q10465	9	11
Q10466	9	9
Q10467	9	11
Q10469	9	11
Q10476	9	
Q10491	9	11
Q10492	9	11
Q10493	9	11
Q10494	9	11
Q10498	9	9
Q10500	9	11
Q10501		9
Q10516	9	11
Q10517	9	11
Q10523	9	11
Q10524	11	11
Q10527	9	10
Q10528	9	
Q10531	11	9
Q10538	9	9
Q10548	11	9
Q10557	11	11
Q10567		11
Q10570		11
Q10571	9	11
Q10576		11
Q10578	9	11
Q10581	9	11
Q10591	9	10
Q10601	11	11
Q10602		11
Q10604	9	11
Q10606	11	11
Q10607	9	11
Q10608	9	11
Q10609	11	11
Q10611	9	11
Q10623	9	11
Q10625	9	11
Q10626	9	9
Q10627	9	11
Q10632	9	9
Q10635	9	11
Q10642		11
Q10644	9	11
Q10650	9	11
Q10657	11	11
Q10673		10
Q10698	9	11
Q10704	9	
Q10716	9	9
Q10719	9	
Q10724	9	9
Q10740	9	11
Q10743	9	11
Q10763	9	9
Q10769	9	11
Q10770	9	11
Q10771	9	11
Q10772		9
Q10773		9
Q10780	9	11
Q10781	9	11
Q10782	9	11
Q10783	9	11
Q10790	11	11
Q10796	9	11
Q10797	11	11
Q10799	9	11
Q10801	9	11
Q10802	11	11
Q10804	9	11
Q10811	9	11
Q10814	11	11
Q10816	11	11
Q10818	9	11
Q10821	9	11
Q10823	9	11
Q10825	9	9
Q10830	11	11
Q10831	9	11
Q10837		9
Q10840	9	
Q10841	9	11
Q10846	11	11
Q10849	9	11
Q10854	9	11
Q10855	9	11
Q10859	9	9
Q10871	9	
Q10874	9	11
Q10882	11	11
Q10883	11	11
Q10892		10
Q10893	9	11
Q10895	9	11
Q10896		9
Q10897	9	11
Q10905	11	11
Q10906	9	11
Q10907	9	11
Q10908	9	11
Q10942	9	11
Q10946	9	9
Q10951	9	11
Q10956	9	11
Q10960		11
Q10962	11	11
Q10963	9	11
Q10971	9	11
Q10972	9	11
Q10974	9	11
Q10975	9	11
Q10978	9	11
Q10979	9	11
Q10980	9	11
Q10982	9	11
Q10983	9	11
Q10985	9	9
Q10994	9	11
Q10995	9	11
Q10996	9	11
Q10997	9	11
Q10998	9	11
Q11000	11	11
Q11019	9	11
Q11020	11	11
Q11025	11	11
Q11036	11	11
Q11037	9	11
Q11038	11	11
Q11040	11	11
Q11041	9	9
Q11042	11	
Q11045	9	
Q11055	9	11
Q11056	11	11
Q11065		11
Q11066	9	11
Q11067	9	11
Q11068		9
Q11069	9	11
Q11072	9	11
Q11082	9	11
Q11083	11	11
Q11087		11
Q11099	11	11
Q11100	9	11
Q11103	9	11
Q11107	9	9
Q11116	11	11
Q11119	9	11
Q11125	9	9
Q11126	9	9
Q11127	9	9
Q11137	9	11
Q11139	9	11
Q11140	9	
Q11144	9	11
Q11155	9	11
Q11171		11
Q11189	9	11
Q11197	11	11
Q11201		11
Q11208		10
Q11210	9	11
Q11211		9
Q11215	11	9
Q11219	9	11
Q11220	9	11
Q11221	9	11
Q11228	9	9
Q11230	9	11
Q11242	9	11
Q11244	9	11
Q11250	9	9
Q11253	9	11
Q11254	9	11
Q11258		11
Q11262	9	
Q11264	9	11
Q11265	9	11
Q11271	9	
Q11273		11
Q11276	9	11
Q11277	11	11
Q11288	9	11
Q11290		9
Q11293	9	11
Q11294	9	11
Q11312		11
Q11314		11
Q11317	11	11
Q11336	11	11
Q11337	11	11
Q11343	9	11
Q11344		11
Q11352	9	9
Q11357		11
Q11360	9	11
Q11364	11	11
Q11366	9	11
Q11372	9	11
Q11373	9	9
Q11377		9
Q11379	11	11
Q11389	9	11
Q11396	9	11
Q11401		11
Q11402	9	9
Q11405	9	11
Q11406	9	11
Q11412	9	9
Q11426	9	11
Q11438	9	11
Q11442	9	11
Q11444	9	11
Q11448	9	11
Q11450	9	11
Q11452	9	11
Q11454		9
Q11456	9	9
Q11474	9	11
Q11480	11	11
Q11483	11	11
Q11491	9	11
Q11496	9	11
Q11504	9	11
Q11515	9	11
Q11519	9	11
Q11532	9	11
Q11534		11
Q11537	9	11
Q11543	11	11
Q11545	9	11
Q11548	9	11
Q11550	9	11
Q11551	9	11
Q11552	9	11
Q11565	9	11
Q11568	9	11
Q11573	9	11
Q11574	9	11
Q11575	9	11
Q11576	9	9
Q11581	9	11
Q11584	11	11
Q11587	9	11
Q11588	9	11
Q11589	9	
Q11598	11	11
Q11600	9	11
Q11610	9	11
Q11617	11	11
Q11618	9	11
Q11633	9	11
Q11640	11	11
Q11647	11	11
Q11649	9	11
Q11654	9	11
Q11655	9	9
Q11657	9	11
Q11663	9	11
Q11665	9	11
Q11673	9	11
Q11682	9	9
Q11707	9	11
Q11708	9	11
Q11715		11
Q11716	9	11
Q11717	9	11
Q11718	9	11
Q11722	9	11
Q11723	9	11
Q11724	9	11
Q11727	9	9
Q11729	9	11
Q11737	9	11
Q11744	9	11
Q11745	9	
Q11746	9	11
Q11747	9	9
Q11755	9	11
Q11756	11	
Q11764		11
Q11765	9	11
Q11776		11
Q11781	11	11
Q11785	9	9
Q11788		9
Q11789	9	9
Q11790	11	
Q11797	9	11
Q11798	9	9
Q11802	11	11
Q11810	11	11
Q11811	11	11
Q11819	11	11
Q11820	9	11
Q11821	9	11
Q11822	9	
Q11830		9
Q11832	11	11
Q11839	11	11
Q11845	11	11
Q11851	11	11
Q11853	11	11
Q11857	9	11
Q11868	9	
Q11869	9	11
Q11872		9
Q11880		11
Q11882	9	11
Q11896	9	11
Q11897	9	11
Q11915	9	11
Q11920	11	11
Q11927		9
Q11932	9	11
Q11939	9	9
Q11940	9	11
Q11941	9	11
Q11947	9	11
Q11952	9	
Q11959	9	11
Q11965	9	
Q11967	9	11
Q11968	9	11
Q11979	9	9
Q11983	9	11
Q11992	9	11
Q11997	11	
Q12003		11
Q12022		11
Q12063	9	11
Q12064	11	11
Q12065	9	11
Q12066	10	11
Q12069	11	11
Q12074	9	11
Q12076	9	11
Q12077	9	11
Q12093	9	
Q12098	11	11
Q12100		9
Q12107	9	9
Q12118	11	11
Q12131	9	11
Q12137		11
Q12144	9	11
Q12155	11	11
Q12163	11	11
Q12166	9	11
Q12167	9	11
Q12168	9	
Q12173	9	11
Q12175	11	11
Q12185	11	11
Q12192	11	11
Q12204	9	11
Q12205	9	11
Q12206	9	
Q12207	9	11
Q12208		11
Q12216		9
Q12217		11
Q12247	9	11
Q12260	9	11
Q12261	9	11
Q12284	9	11
Q12286	11	11
Q12289	9	11
Q12290	9	11
Q12293	9	11
Q12310	9	
Q12311	9	
Q12313	9	11
Q12316	9	11
Q12321	9	
Q12331	9	11
Q12340	9	11
Q12342	9	11
Q12343	9	11
Q12348	9	11
Q12357	9	9
Q12364	11	
Q12372	9	11
Q12373	9	11
Q12374	9	11
Q12375	11	11
Q12376	9	11
Q12380	9	11
Q12383	9	11
Q12384	11	11
Q12386	9	11
Q12388	9	11
Q12390	9	11
Q12391	9	11
Q12393	9	9
Q12398	9	11
Q12400	9	11
Q12404	9	11
Q12405	9	11
Q12407	9	11
Q12414	9	
Q12420	9	11
Q12430	11	11
Q12441	9	11
Q12444	9	11
Q12445	9	
Q12457	9	11
Q12464	9	11
Q12474	11	11
Q12481	11	11
Q12500		11
