qid	birth_precision	death_precision
Q1	0	
Q3	0	
Q4	3	
Q1042	9	
Q1043	9	
Q1071	9	
Q1078	9	
Q1104	9	
Q1105	9	
Q1112	9	
Q1129	9	
Q1131	9	
Q1132	9	
Q1133	9	
Q1134	9	
Q1456	9	
Q1458	9	
Q1459	9	
Q1468	9	
Q1493	9	
Q1665	9	9
Q1670	9	9
Q1673		9
Q1675		9
Q1676	9	
Q1680		9
Q1681	9	9
Q1683		9
Q1689		9
Q1691		9
Q1698		9
Q1699		9
Q1705		9
Q1706		9
Q1713		9
Q1762		9
Q1769		9
Q1772		9
Q1781		9
Q1789		9
Q1807		9
Q1827		9
Q1945	9	
Q1959	9	
Q1972	9	
Q1983	9	
Q1994	9	
Q1998		9
Q2004	9	
Q2010		9
Q2015	9	
Q2020		9
Q2027	9	
Q2045		9
Q2051	9	
Q2056		9
Q2069	9	
Q2074		9
Q2079	9	
Q2086		9
Q2101		9
Q2123	9	
Q2134		9
Q2150		9
Q2156	9	
Q2165		9
Q2175		9
Q2178	9	
Q2188		9
Q2194		9
Q2200	9	9
Q2206	9	9
Q2224	9	
Q2227	9	
Q2234	9	
Q2244	9	9
Q2247	9	
Q2249	9	9
Q2250	9	
Q2252	9	
Q2255	9	
Q2258	9	
Q2261	9	
Q2263	9	
Q2266	9	
Q2268	9	
Q2277	9	
Q2282	9	9
Q2283	9	
Q2286	10	9
Q2287	9	
Q2289	10	9
Q2292	10	9
Q2296	10	9
Q2299	10	9
Q2302	10	9
Q2319		11
Q2412	9	9
Q2463	9	9
Q2465	9	9
Q2467	9	9
Q2468	9	9
Q2470	9	9
Q2471	9	9
Q2472	9	9
Q2473	9	9
Q2474	9	9
Q2475	9	9
Q2476	9	9
Q2479	9	9
Q2489	9	9
Q2490	9	
Q2494	9	9
Q2497	9	9
Q2498	9	
Q2508	9	9
Q2515	9	9
Q2516	9	9
Q2569	9	
Q2570	9	
Q2623	9	
Q2627	9	
Q2628	9	
Q2630	9	
Q2998	9	9
Q3284	9	9
Q3417		9
Q3457	11	11
Q3505	9	9
Q3534	9	11
Q3675	9	9
Q3715		11
Q3800	9	
Q4635	11	11
Q4644	11	
Q4652	9	9
Q4669	9	9
Q4680	11	11
Q4681	11	9
Q4989	9	
Q6420	9	9
Q6421	9	
Q6432	11	9
Q6434		9
Q6445	9	9
Q6456	11	11
Q6460	9	9
Q6461	9	9
Q6462	9	
Q6474	9	11
Q6481	9	9
Q6490	9	9
Q6494	9	
Q6510		9
Q6511	9	9
Q6513	9	9
Q6525		9
Q6527	9	9
Q6538	9	9
Q6541	9	9
Q6556		9
Q6562		9
Q6572		9
Q6578		9
Q6583		9
Q6589		9
Q6591		9
Q6596		9
Q6598		9
Q6603		9
Q6605	9	
Q6616	9	9
Q6618	9	9
Q6622	9	9
Q6625	11	
Q6629	9	9
Q6635	9	9
Q6637	9	9
Q6639	11	11
Q6641	11	11
Q6647	9	9
Q6649	11	9
Q6740		9
Q6742	9	9
Q6748		11
Q6792	9	9
Q6804	9	9
Q6807	9	
Q6832	9	11
Q6859	11	11
Q6875	11	11
Q6950	9	9
Q6955		11
Q6986	9	11
Q6990	9	9
Q7003	9	9
Q7005		9
Q7021	9	
Q7038	9	10
Q7048	11	11
Q7062	11	11
Q7069	9	
Q7077	9	11
Q7081	9	9
Q7082	11	9
Q7083	9	9
Q7086		9
Q7087	9	10
Q7089		10
Q7100	11	11
Q7110	9	
Q7112	9	11
Q7117		9
Q7118		9
Q7120	9	11
Q7121	9	11
Q7131	11	11
Q7132	9	9
Q7137	9	
Q7142	9	11
Q7143	9	11
Q7149	9	11
Q7155	11	11
Q7156	11	11
Q7158	9	
Q7159	9	
Q7160	9	11
Q7161	9	
Q7162	9	11
Q7170	9	9
Q7173	9	9
Q7175	9	
Q7176	9	11
Q7183	9	
Q7189	11	11
Q7190	11	
Q7193	9	
Q7194		11
Q7196	9	10
Q7197	9	9
Q7198	9	9
Q7199	9	
Q7209	9	11
Q7211	9	11
Q7213		11
Q7215	9	11
Q7216	9	
Q7219	9	
Q7229	9	11
Q7230		11
Q7231	9	11
Q7238	9	11
Q7240	9	9
Q7241	11	
Q7242		11
Q7243	9	11
Q7245	9	10
Q7246		9
Q7248		9
Q7254	9	11
Q7259		11
Q7260	9	
Q7261		11
Q7266	9	11
Q7269		11
Q7271	9	11
Q7272	9	
Q7276		9
Q7278	9	9
Q7281	9	9
Q7282	11	
Q7283	11	11
Q7284	11	11
Q7285	11	11
Q7286	11	11
Q7287	11	11
Q7289	9	11
Q7291	9	
Q7293	11	11
Q7294	9	11
Q7295	9	11
Q7297		11
Q7300	9	
Q7301	9	11
Q7304	11	11
Q7305	11	11
Q7307	9	11
Q7311	9	11
Q7313	9	11
Q7314	9	11
Q7315	9	
Q7316	9	11
Q7317	9	9
Q7342	9	11
Q7343	9	
Q7344	9	11
Q7352	9	
Q7353		9
Q7355	9	11
Q7356	9	11
Q7357		11
Q7358	9	11
Q7362		11
Q7363	9	11
Q7366	9	11
Q7368	9	11
Q7370	9	11
Q7372		11
Q7381	9	
Q7386		9
Q7388	9	11
Q7389	9	11
Q7390	9	11
Q7392	9	11
Q7393	9	11
Q7399	9	11
Q7404	9	
Q7406	9	11
Q7432	9	
Q7434	9	11
Q7436	9	11
Q7437	9	11
Q7441	9	
Q7443	9	
Q7449	9	11
Q7451	9	11
Q7467	9	11
Q7468	9	
Q7471	9	9
Q7472		11
Q7473		11
Q7476	9	11
Q7477	9	11
Q7478	9	11
Q7479		9
Q7481	9	11
Q7493	9	11
Q7502	9	11
Q7503	11	11
Q7507	9	11
Q7508	9	11
Q7509	9	11
Q7516	9	11
Q7521	9	9
Q7522	9	11
Q7523	9	11
Q7524		11
Q7527	9	11
Q7528		11
Q7529		9
Q7532	9	11
Q7534	9	11
Q7535	9	11
Q7536	9	9
Q7537		11
Q7538	9	11
Q7539	9	11
Q7540	9	11
Q7545	9	11
Q7546	9	11
Q7563	9	
Q7567	9	
Q7572	9	10
Q7573	9	11
Q7575	9	
Q7592	9	11
Q7593	9	11
Q7594	9	11
Q7598	9	9
Q7599	9	11
Q7600	9	11
Q7601	9	11
Q7604	9	9
Q7607	9	11
Q7612	9	11
Q7613	9	
Q7615	9	11
Q7616	9	11
Q7617	9	11
Q7619	9	
Q7626		11
Q7641	9	11
Q7642	9	
Q7653		11
Q7654	9	
Q7656	9	11
Q7657	9	9
Q7659	9	11
Q7661	9	11
Q7662	9	
Q7668		9
Q7671	9	11
Q7673	9	
Q7692	9	11
Q7693	11	11
Q7694	9	11
Q7696		9
Q7697	9	
Q7698	11	11
Q7699	9	
Q7701	9	11
Q7702	9	11
Q7703	9	11
Q7708		9
Q7712	11	11
Q7713	11	11
Q7715	9	11
Q7730	9	11
Q7735	9	11
Q7743	9	
Q7745	9	11
Q7749	9	11
Q7750	9	
Q7752	9	11
Q7753	9	
Q7757	9	11
Q7758	9	
Q7760	9	11
Q7762	9	11
Q7763	9	
Q7764	9	11
Q7767	9	11
Q7768	9	
Q7770	9	11
Q7771	9	
Q7772	9	11
Q7773	9	11
Q7777	9	11
Q7778		11
Q7779	9	11
Q7782	9	11
Q7783	9	11
Q7791	9	11
Q7793		11
Q7796		11
Q7815	9	11
Q7823	9	11
Q7831	9	11
Q7836	9	11
Q7837	9	11
Q7858	9	11
Q7865	9	11
Q7866	9	11
Q7867	9	11
Q7868	9	11
Q7870	9	11
Q7871	9	11
Q7876	9	11
Q7878	9	11
Q7879	9	11
Q7888	9	
Q7892	9	11
Q7895	9	11
Q7897	9	11
Q7899	9	
Q7901	9	11
Q7906	9	
Q7916	11	11
Q7918	9	11
Q7919	9	11
Q7920	9	11
Q7921	9	11
Q7922	9	11
Q7923	9	11
Q7924	9	11
Q7927	9	11
Q7929		11
Q7935	11	11
Q7951	9	11
Q7952	9	11
Q7953	9	9
Q7955	11	11
Q7956	9	11
Q7957	9	
Q7958	9	11
Q7960	9	11
Q7961	9	11
Q7962	9	11
Q7963	9	11
Q7964	9	11
Q7966	9	11
Q7967	9	11
Q7972	9	11
Q7975	9	11
Q7976		11
Q7985		11
Q7988	9	11
Q7991	9	
Q8003	9	
Q8015	9	11
Q8016	9	11
Q8017	9	11
Q8018	9	
Q8021	9	11
Q8024	9	11
Q8033	9	
Q8034	9	11
Q8035	9	
Q8038		11
Q8040	9	
Q8041	9	11
Q8044	9	11
Q8047	9	11
Q8048	9	11
Q8053	9	
Q8055	9	9
Q8056	9	11
Q8057	9	11
Q8058	9	11
Q8062		11
Q8066	9	11
Q8067	9	11
Q8068	9	11
Q8071	9	
Q8072	9	
Q8075	9	11
Q8076	9	
Q8078	9	11
Q8079	9	11
Q8080	9	11
Q8081	9	
Q8091	9	
Q8100	11	
Q8101	9	11
Q8104		9
Q8105	9	11
Q8106		10
Q8112	9	11
Q8115	9	11
Q8118	9	
Q8124	9	11
Q8125	9	
Q8127	9	
Q8129	9	11
Q8133	9	
Q8138	9	11
Q8140	9	
Q8142	9	
Q8144	9	11
Q8146		11
Q8147	9	11
Q8148	9	11
Q8157		11
Q8162	11	10
Q8163	9	11
Q8167	9	11
Q8168	9	11
Q8169	9	11
Q8170	9	9
Q8171	9	11
Q8172	9	11
Q8173	9	
Q8174	9	9
Q8175	11	11
Q8179		11
Q8180	9	11
Q8181	9	11
Q8189	9	
Q8190	9	
Q8195	9	
Q8197	9	11
Q8198	9	
Q8199	9	11
Q8200	9	9
Q8202	9	11
Q8211	9	11
Q8212	9	11
Q8217	9	11
Q8221	9	11
Q8222	9	11
Q8223	9	9
