GaianYear,GaianMonth,GaianDay,MonthName,GregorianDate,ISOYear,Weekday
9999,1,1,Sagittarius,0002-01-04 BC,-1,Monday
9999,1,2,Sagittarius,0002-01-05 BC,-1,Tuesday
9999,1,3,Sagittarius,0002-01-06 BC,-1,Wednesday
9999,1,4,Sagittarius,0002-01-07 BC,-1,Thursday
9999,1,5,Sagittarius,0002-01-08 BC,-1,Friday
9999,1,6,Sagittarius,0002-01-09 BC,-1,Saturday
9999,1,7,Sagittarius,0002-01-10 BC,-1,Sunday
9999,1,8,Sagittarius,0002-01-11 BC,-1,Monday
9999,1,9,Sagittarius,0002-01-12 BC,-1,Tuesday
9999,1,10,Sagittarius,0002-01-13 BC,-1,Wednesday
9999,1,11,Sagittarius,0002-01-14 BC,-1,Thursday
9999,1,12,Sagittarius,0002-01-15 BC,-1,Friday
9999,1,13,Sagittarius,0002-01-16 BC,-1,Saturday
9999,1,14,Sagittarius,0002-01-17 BC,-1,Sunday
9999,1,15,Sagittarius,0002-01-18 BC,-1,Monday
9999,1,16,Sagittarius,0002-01-19 BC,-1,Tuesday
9999,1,17,Sagittarius,0002-01-20 BC,-1,Wednesday
9999,1,18,Sagittarius,0002-01-21 BC,-1,Thursday
9999,1,19,Sagittarius,0002-01-22 BC,-1,Friday
9999,1,20,Sagittarius,0002-01-23 BC,-1,Saturday
9999,1,21,Sagittarius,0002-01-24 BC,-1,Sunday
9999,1,22,Sagittarius,0002-01-25 BC,-1,Monday
9999,1,23,Sagittarius,0002-01-26 BC,-1,Tuesday
9999,1,24,Sagittarius,0002-01-27 BC,-1,Wednesday
9999,1,25,Sagittarius,0002-01-28 BC,-1,Thursday
9999,1,26,Sagittarius,0002-01-29 BC,-1,Friday
9999,1,27,Sagittarius,0002-01-30 BC,-1,Saturday
9999,1,28,Sagittarius,0002-01-31 BC,-1,Sunday
9999,2,1,Capricorn,0002-02-01 BC,-1,Monday
9999,2,2,Capricorn,0002-02-02 BC,-1,Tuesday
9999,2,3,Capricorn,0002-02-03 BC,-1,Wednesday
9999,2,4,Capricorn,0002-02-04 BC,-1,Thursday
9999,2,5,Capricorn,0002-02-05 BC,-1,Friday
9999,2,6,Capricorn,0002-02-06 BC,-1,Saturday
9999,2,7,Capricorn,0002-02-07 BC,-1,Sunday
9999,2,8,Capricorn,0002-02-08 BC,-1,Monday
9999,2,9,Capricorn,0002-02-09 BC,-1,Tuesday
9999,2,10,Capricorn,0002-02-10 BC,-1,Wednesday
9999,2,11,Capricorn,0002-02-11 BC,-1,Thursday
9999,2,12,Capricorn,0002-02-12 BC,-1,Friday
9999,2,13,Capricorn,0002-02-13 BC,-1,Saturday
9999,2,14,Capricorn,0002-02-14 BC,-1,Sunday
9999,2,15,Capricorn,0002-02-15 BC,-1,Monday
9999,2,16,Capricorn,0002-02-16 BC,-1,Tuesday
9999,2,17,Capricorn,0002-02-17 BC,-1,Wednesday
9999,2,18,Capricorn,0002-02-18 BC,-1,Thursday
9999,2,19,Capricorn,0002-02-19 BC,-1,Friday
9999,2,20,Capricorn,0002-02-20 BC,-1,Saturday
