prefecture,prefectureLabel
http://www.wikidata.org/entity/Q79952,Aguascalientes
http://www.wikidata.org/entity/Q58731,Baja California
http://www.wikidata.org/entity/Q46508,Baja California Sur
http://www.wikidata.org/entity/Q80908,Campeche
http://www.wikidata.org/entity/Q60123,Chiapas
http://www.wikidata.org/entity/Q655,Chihuahua
http://www.wikidata.org/entity/Q53079,Coahuila
http://www.wikidata.org/entity/Q949898,Coahuila y Tejas
http://www.wikidata.org/entity/Q61309,Colima
http://www.wikidata.org/entity/Q79918,Durango
http://www.wikidata.org/entity/Q2389503,Estado de Occidente
http://www.wikidata.org/entity/Q46475,Guanajuato
http://www.wikidata.org/entity/Q60158,Guerrero
http://www.wikidata.org/entity/Q80903,Hidalgo
http://www.wikidata.org/entity/Q13160,Jalisco
http://www.wikidata.org/entity/Q79861,Michoacán
http://www.wikidata.org/entity/Q66117,Morelos
http://www.wikidata.org/entity/Q79920,Nayarit
http://www.wikidata.org/entity/Q15282,Nuevo León
http://www.wikidata.org/entity/Q2628583,Nuevo León-Coahuila
http://www.wikidata.org/entity/Q34110,Oaxaca
http://www.wikidata.org/entity/Q79923,Puebla
http://www.wikidata.org/entity/Q79754,Querétaro
http://www.wikidata.org/entity/Q80245,Quintana Roo
http://www.wikidata.org/entity/Q78980,San Luis Potosí
http://www.wikidata.org/entity/Q80252,Sinaloa
http://www.wikidata.org/entity/Q46422,Sonora
http://www.wikidata.org/entity/Q82112,State of Mexico
http://www.wikidata.org/entity/Q80914,Tabasco
http://www.wikidata.org/entity/Q80007,Tamaulipas
http://www.wikidata.org/entity/Q82681,Tlaxcala
http://www.wikidata.org/entity/Q60130,Veracruz
http://www.wikidata.org/entity/Q60176,Yucatán
http://www.wikidata.org/entity/Q80269,Zacatecas
