prefecture,prefectureLabel
http://www.wikidata.org/entity/Q849164,Cape Province
http://www.wikidata.org/entity/Q130840,Eastern Cape
http://www.wikidata.org/entity/Q160284,Free State
http://www.wikidata.org/entity/Q133083,Gauteng
http://www.wikidata.org/entity/Q81725,KwaZulu-Natal
http://www.wikidata.org/entity/Q134907,Limpopo
http://www.wikidata.org/entity/Q132410,Mpumalanga
http://www.wikidata.org/entity/Q917867,Natal Province
http://www.wikidata.org/entity/Q165956,North West
http://www.wikidata.org/entity/Q132418,Northern Cape
http://www.wikidata.org/entity/Q1971200,Orange Free State Province
http://www.wikidata.org/entity/Q190959,Transvaal Province
http://www.wikidata.org/entity/Q127167,Western Cape
