prefecture,prefectureLabel
http://www.wikidata.org/entity/Q15176,Guangxi
http://www.wikidata.org/entity/Q41079,Inner Mongolia
http://www.wikidata.org/entity/Q57448,Ningxia
http://www.wikidata.org/entity/Q17269,Tibet Autonomous Region
http://www.wikidata.org/entity/Q34800,Xinjiang
