prefecture,prefectureLabel
http://www.wikidata.org/entity/Q3224,New South Wales
http://www.wikidata.org/entity/Q36074,Queensland
http://www.wikidata.org/entity/Q35715,South Australia
http://www.wikidata.org/entity/Q34366,Tasmania
http://www.wikidata.org/entity/Q36687,Victoria
http://www.wikidata.org/entity/Q3206,Western Australia
