prefecture,prefectureLabel
http://www.wikidata.org/entity/Q1823,Q1823
http://www.wikidata.org/entity/Q3125978,Bali
http://www.wikidata.org/entity/Q1866,Bangka Belitung Islands
http://www.wikidata.org/entity/Q3540,Banten
http://www.wikidata.org/entity/Q1890,Bengkulu
http://www.wikidata.org/entity/Q3557,Central Java
http://www.wikidata.org/entity/Q3891,Central Kalimantan
http://www.wikidata.org/entity/Q12486766,Central Papua
http://www.wikidata.org/entity/Q5065,Central Sulawesi
http://www.wikidata.org/entity/Q3586,East Java
http://www.wikidata.org/entity/Q3899,East Kalimantan
http://www.wikidata.org/entity/Q5061,East Nusa Tenggara
http://www.wikidata.org/entity/Q5067,Gorontalo
http://www.wikidata.org/entity/Q112810104,Highland Papua
http://www.wikidata.org/entity/Q136855811,Irian Jaya Tengah
http://www.wikidata.org/entity/Q3630,Jakarta
http://www.wikidata.org/entity/Q2051,Jambi
http://www.wikidata.org/entity/Q19745966,Kalimantan
http://www.wikidata.org/entity/Q2110,Lampung
http://www.wikidata.org/entity/Q5093,Maluku
http://www.wikidata.org/entity/Q3903,North Kalimantan
http://www.wikidata.org/entity/Q5094,North Maluku
http://www.wikidata.org/entity/Q5068,North Sulawesi
http://www.wikidata.org/entity/Q2140,North Sumatra
http://www.wikidata.org/entity/Q5095,Papua
http://www.wikidata.org/entity/Q2175,Riau
http://www.wikidata.org/entity/Q2223,Riau Islands
http://www.wikidata.org/entity/Q3906,South Kalimantan
http://www.wikidata.org/entity/Q61439296,South Papua
http://www.wikidata.org/entity/Q5078,South Sulawesi
http://www.wikidata.org/entity/Q2271,South Sumatra
http://www.wikidata.org/entity/Q5075,Southeast Sulawesi
http://www.wikidata.org/entity/Q115253263,Southwest Papua
http://www.wikidata.org/entity/Q136779490,Sulawesi
http://www.wikidata.org/entity/Q3503821,Sunda Kecil
http://www.wikidata.org/entity/Q3724,West Java
http://www.wikidata.org/entity/Q3916,West Kalimantan
http://www.wikidata.org/entity/Q5062,West Nusa Tenggara
http://www.wikidata.org/entity/Q5096,West Papua
http://www.wikidata.org/entity/Q5082,West Sulawesi
http://www.wikidata.org/entity/Q2772,West Sumatra
http://www.wikidata.org/entity/Q3741,Yogyakarta
