prefecture,prefectureLabel
http://www.wikidata.org/entity/Q43695,Q43695
http://www.wikidata.org/entity/Q40780,Acre
http://www.wikidata.org/entity/Q40885,Alagoas
http://www.wikidata.org/entity/Q40130,Amapá
http://www.wikidata.org/entity/Q40040,Amazonas
http://www.wikidata.org/entity/Q40430,Bahia
http://www.wikidata.org/entity/Q40123,Ceará
http://www.wikidata.org/entity/Q43233,Espírito Santo
http://www.wikidata.org/entity/Q119158,Federal District
http://www.wikidata.org/entity/Q41587,Goiás
http://www.wikidata.org/entity/Q42362,Maranhão
http://www.wikidata.org/entity/Q42824,Mato Grosso
http://www.wikidata.org/entity/Q43319,Mato Grosso do Sul
http://www.wikidata.org/entity/Q39109,Minas Gerais
http://www.wikidata.org/entity/Q15499,Paraná
http://www.wikidata.org/entity/Q38088,Paraíba
http://www.wikidata.org/entity/Q39517,Pará
http://www.wikidata.org/entity/Q40942,Pernambuco
http://www.wikidata.org/entity/Q42722,Piauí
http://www.wikidata.org/entity/Q43255,Rio Grande do Norte
http://www.wikidata.org/entity/Q40030,Rio Grande do Sul
http://www.wikidata.org/entity/Q41428,Rio de Janeiro
http://www.wikidata.org/entity/Q43235,Rondônia
http://www.wikidata.org/entity/Q42508,Roraima
http://www.wikidata.org/entity/Q41115,Santa Catarina
http://www.wikidata.org/entity/Q43783,Sergipe
http://www.wikidata.org/entity/Q175,São Paulo
