prefecture,prefectureLabel
http://www.wikidata.org/entity/Q40888,Andaman and Nicobar Islands
http://www.wikidata.org/entity/Q120971341,Chandigarh
http://www.wikidata.org/entity/Q77997266,Dadra and Nagar Haveli and Daman and Diu
http://www.wikidata.org/entity/Q2918348,"Goa, Daman and Diu"
http://www.wikidata.org/entity/Q66278313,Jammu and Kashmir
http://www.wikidata.org/entity/Q200667,Ladakh
http://www.wikidata.org/entity/Q26927,Lakshadweep
http://www.wikidata.org/entity/Q9357528,National Capital Territory of Delhi
http://www.wikidata.org/entity/Q66743,Puducherry
