prefecture,prefectureLabel
http://www.wikidata.org/entity/Q223,Greenland
http://www.wikidata.org/entity/Q161808,Cherkasy Oblast
http://www.wikidata.org/entity/Q167874,Chernihiv Oblast
http://www.wikidata.org/entity/Q168856,Chernivtsi Oblast
http://www.wikidata.org/entity/Q170672,Dnipropetrovsk Oblast
http://www.wikidata.org/entity/Q2012050,Donetsk Oblast
http://www.wikidata.org/entity/Q178269,Ivano-Frankivsk Oblast
http://www.wikidata.org/entity/Q170666,Kharkiv Oblast
http://www.wikidata.org/entity/Q163271,Kherson Oblast
http://www.wikidata.org/entity/Q171331,Khmelnytskyi Oblast
http://www.wikidata.org/entity/Q180981,Kirovohrad Oblast
http://www.wikidata.org/entity/Q170036,Kyiv Oblast
http://www.wikidata.org/entity/Q171965,Luhansk Oblast
http://www.wikidata.org/entity/Q164193,Lviv Oblast
http://www.wikidata.org/entity/Q181633,Mykolaiv Oblast
http://www.wikidata.org/entity/Q171852,Odesa Oblast
http://www.wikidata.org/entity/Q169501,Poltava Oblast
http://www.wikidata.org/entity/Q174187,Rivne Oblast
http://www.wikidata.org/entity/Q170446,Sumy Oblast
http://www.wikidata.org/entity/Q173407,Ternopil Oblast
http://www.wikidata.org/entity/Q166709,Vinnytsia Oblast
http://www.wikidata.org/entity/Q167859,Volyn Oblast
http://www.wikidata.org/entity/Q170213,Zakarpattia Oblast
http://www.wikidata.org/entity/Q171334,Zaporizhzhia Oblast
http://www.wikidata.org/entity/Q40637,Zhytomyr Oblast
