qid,english_label,english_description,label_count,description_count,geni_ids,geni_count
Q1787,[41] Sri Udayaditya Warmadewa son of NN (Keturunan ke-4 Balaputradewa),,1,0,6000000040978635984,1
Q1807,Rakai Pikatan Mpu Manuku,,1,0,6000000040337959506,1
Q153492,ARUNDHATI Vasishta,Gaiad character,1,1,6000000006776835465,1
Q153670,Kancanasari bint Cucu Demunawan,Gaiad character?,1,1,6000000040963820534,1
Q100001,"{'language': 'en', 'value': 'Nuno  Guterres de Celanova'}",,1,0,6000000021801820504,1
Q100003,"{'language': 'en', 'value': 'Hemesinda  Gutiérrez'}",,1,0,6000000004110119785,1
Q100005,"{'language': 'en', 'value': 'Froila  Guterres'}",,1,0,6000000000795934063,1
Q100007,"{'language': 'en', 'value': 'Dordia Osorez'}",,1,0,6000000013262979711,1
Q100009,"{'language': 'en', 'value': 'Ildaura  ?'}",,1,0,6000000004262283309,1
Q100011,"{'language': 'en', 'value': 'Gunterico  Menendez'}",,1,0,6000000011666188559,1
Q100013,"{'language': 'en', 'value': 'Elvira  Arias'}",,1,0,4069076529180010318,1
Q100015,"{'language': 'en', 'value': 'Constança  Arias'}",,1,0,6000000011813159565,1
Q100017,"{'language': 'en', 'value': 'Rodrigues'}",,1,0,6000000011813141298,1
Q100019,"{'language': 'en', 'value': 'Sarracinez'}",,1,0,6000000010905063355,1
Q100021,"{'language': 'en', 'value': 'Gutierre  Osóriz'}",,1,0,6000000013154744371,1
Q100023,"{'language': 'en', 'value': 'Rodrigo  Guterres de Coimbra'}",,1,0,6000000040807091205,1
Q100025,"{'language': 'en', 'value': 'Suero  Guterres'}",,1,0,6000000042060701005,1
Q100027,"{'language': 'en', 'value': 'Froila  Guterres'}",,1,0,6000000042060914977,1
Q100029,"{'language': 'en', 'value': 'Gontrondo  Guterres'}",,1,0,6000000042060646383,1
Q100031,"{'language': 'en', 'value': 'Elvira  Guterres'}",,1,0,6000000042060764297,1
Q100034,"{'language': 'en', 'value': 'Munio  Guterres'}",,1,0,6000000042060953162,1
Q100036,"{'language': 'en', 'value': 'Ermesenda  Guterres'}",,1,0,6000000042060820336,1
Q100038,"{'language': 'en', 'value': 'Onega'}",,1,0,4876774528290014023,1
Q100040,"{'language': 'en', 'value': 'Osório ""o Santo""  Guterres'}",,1,0,6000000015681535203,1
Q100042,"{'language': 'en', 'value': 'Nuño  Alvitiz'}",,1,0,6000000011769485248,1
Q100044,"{'language': 'en', 'value': 'Gontrode'}",,1,0,6000000011768811780,1
Q100046,"{'language': 'en', 'value': 'Sancho I  Ordóñez'}",,1,0,6000000004142267987,1
Q100048,"{'language': 'en', 'value': 'Alfonso IV el Monje, rey de León'}",,1,0,6000000009374380610,1
Q100050,"{'language': 'en', 'value': 'Jimena de León'}",,1,0,6000000012132624599,1
Q100052,"{'language': 'en', 'value': 'García de León'}",,1,0,6000000012132951856,1
Q100054,"{'language': 'en', 'value': 'Aurea  de León'}",,1,0,6000000006277824294,1
Q100056,"{'language': 'en', 'value': 'Alvaro  Ordóñez'}",,1,0,6000000011781966687,1
Q100058,"{'language': 'en', 'value': 'Arias  Alóitez'}",,1,0,6000000006280847332,1
Q100060,"{'language': 'en', 'value': 'N.N.'}",,1,0,6000000012230798985,1
Q100062,"{'language': 'en', 'value': 'Urraca'}",,1,0,4069026975390010312,1
Q100064,"{'language': 'en', 'value': 'Fortún  Garcés de Pamplona'}",,1,0,4069355645200020817,1
Q100066,"{'language': 'en', 'value': 'Sancho Garcés de Pamplona'}",,1,0,6000000194593477836,1
Q100068,"{'language': 'en', 'value': 'Iñiguez de Pamplona'}",,1,0,6000000000037486302,1
Q100070,"{'language': 'en', 'value': 'Oneca  Velázquez'}",,1,0,6000000000037765147,1
Q100072,"{'language': 'en', 'value': 'Íñigo  Arista de Pamplona'}",,1,0,6000000000037900147,1
Q100074,"{'language': 'en', 'value': 'Assona  Iñiguez'}",,1,0,4069381735600010388,1
Q100076,"{'language': 'en', 'value': 'Nunila  Iñiguez de Pamplona'}",,1,0,6000000000868541973,1
Q100078,"{'language': 'en', 'value': 'Galindo  Iñíguez de Pamplona'}",,1,0,6000000002188170726,1
Q100080,"{'language': 'en', 'value': 'Muniadomna'}",,1,0,6000000004054970276,1
Q100082,"{'language': 'en', 'value': 'Aragonta González, reina consorte de León'}",,1,0,6000000001992158663,1
Q100084,"{'language': 'en', 'value': 'Sancha  Sánchez de Pamplona, reina consorte de León'}",,1,0,6000000004119938046,1
Q100086,"{'language': 'en', 'value': 'N.N. Nabarra y Aznarez'}",,1,0,5718326983660124759,1
Q100088,"{'language': 'en', 'value': 'Aznar'}",,1,0,6000000000778886107,1
Q100090,"{'language': 'en', 'value': 'Urraca bint Abdullah'}",,1,0,6000000008763070272,1
Q100092,"{'language': 'en', 'value': 'Ordoño  Froilaz de León'}",,1,0,6000000012153777254,1
Q100094,"{'language': 'en', 'value': 'Nomilia  Ximenez de Navarra'}",,1,0,6000000003828011276,1
Q100096,"{'language': 'en', 'value': 'Alfonso el Jorobado, rey titular de León'}",,1,0,6000000007052834304,1
