qid,english_label,english_description,label_count,description_count,wikidata_qids,geni_ids,wikidata_count,geni_count
Q17668,Xu Hui,Poet and consort to Emperor Taizong of Tang. Chinese woman poet in Tang Dynasty. CBDB ID = 31067,22,8,Q855999; Q855999,6000000075326779991; 6000000075326779991,2,2
Q17669,Li Chengqian,Chinese prince,21,5,Q699664; Q699664,6000000075061575830; 6000000075061575830,2,2
Q17671,Li Ke,Chinese imperial prince,18,5,Q701556; Q701556,6000000075334853990; 6000000075334853990,2,2
Q17672,Li Tai,Chinese prince,23,12,Q703328; Q703328,6000000075061158005; 6000000075061158005,2,2
Q17675,Li Yun,Tang Dynasty prince,19,12,Q4309009; Q4309009,6000000075061358857; 6000000075061358857,2,2
Q17677,Emperor Gaozong of Tang,Emperor of the Tang Dynasty (628-683) (r. 649-683),50,25,Q9703; Q9703,6000000074767088371; 6000000074767088371,2,2
Q17678,Li Shen,Tang dynasty person CBDB = 188262,12,1,Q4309050; Q4309050,6000000017554354336; 6000000017554354336,2,2
Q17682,Li Ming,Tang dynasty person CBDB = 13882,14,3,Q4309120; Q4309120,6000000075335079035; 6000000075335079035,2,2
Q17687,Li Lize,Princess Changle,12,3,Q4309910; Q4309910,6000000075061642823; 6000000002188101037; 6000000075061642823; 6000000002188101037,2,4
Q17692,Li Mengjiang,Tang dynasty person CBDB = 139803,10,1,Q4309963; Q4309963,6000000017554351446; 6000000017554351446,2,2
Q17710,Zhao Cijing,Tang dynasty person CBDB = 31173,8,1,Q45419224; Q45419224,6000000075344186904; 6000000075344186904,2,2
Q17711,Zhao Jie,Tang dynasty person CBDB = 31174,8,1,Q16260285; Q16260285,6000000075344318821; 6000000075344318821,2,2
Q17712,Cui Gongli,Tang dynasty person CBDB = 32289,8,1,Q45421261; Q45421261,6000000075344403932; 6000000075344403932,2,2
Q17718,Li Xun,Tang dynasty person CBDB = 187946,7,1,Q45471917; Q45471917,6000000075060579018; 6000000075060579018,2,2
Q17721,Li Dan,Tang dynasty person CBDB = 188058,8,1,Q45477921; Q45477921,6000000075060849902; 6000000075060849902,2,2
Q17722,Li Zhao,Tang dynasty person CBDB = 188062,7,1,Q45478206; Q45478206,6000000075061066881; 6000000075061066881,2,2
Q17723,,,1,0,Q133447392; Q133447392,6000000129802084916; 6000000129802084916,2,2
Q17724,Li Zhuan,Tang dynasty person CBDB = 31304,7,1,Q16260451; Q16260451,6000000075060617034; 6000000075060617034,2,2
Q17727,Li Youqi,Tang dynasty person CBDB = 188234,7,1,Q45489131; Q45489131,6000000075061260868; 6000000075061260868,2,2
Q17728,Li Youbi,Tang dynasty person CBDB = 188235,7,1,Q45489195; Q45489195,6000000075061296850; 6000000075061296850,2,2
Q17729,Li Youyu,Tang dynasty person CBDB = 188236,7,1,Q45489257; Q45489257,6000000075061023033; 6000000075061023033,2,2
Q17730,Li Youyao,Tang dynasty person CBDB = 188237,7,1,Q45489322; Q45489322,6000000075060436164; 6000000075060436164,2,2
Q17731,Li Youqu,Tang dynasty person CBDB = 188238,7,1,Q45489388; Q45489388,6000000075061286853; 6000000075061286853,2,2
Q17732,Li Youzhen,Tang dynasty person CBDB = 188241,7,1,Q45489578; Q45489578,6000000075061292860; 6000000075061292860,2,2
Q17733,Li Youwan,Tang dynasty person CBDB = 188242,7,1,Q45489642; Q45489642,6000000075061224852; 6000000075061224852,2,2
Q17734,Li Youxu,Tang dynasty person CBDB = 188243,7,1,Q45489705; Q45489705,6000000075060617130; 6000000075060617130,2,2
Q17736,Li Youkun,Tang dynasty person CBDB = 188245,7,1,Q45489835; Q45489835,6000000075060939028; 6000000075060939028,2,2
Q17737,Li Youting,Tang dynasty person CBDB = 188246,7,1,Q45489901; Q45489901,6000000075061214870; 6000000075061214870,2,2
Q17738,Li Youzhuan,Tang dynasty person CBDB = 188247,7,1,Q45489963; Q45489963,6000000075060943948; 6000000075060943948,2,2
Q17739,Li Youcong,Tang dynasty person CBDB = 188248,7,1,Q45490026; Q45490026,6000000075061218887; 6000000075061218887,2,2
Q17741,Li Youfu,Tang dynasty person CBDB=188251,7,1,Q45490153; Q45490153,6000000075061050977; 6000000075061050977,2,2
Q17742,Li Youju,Tang dynasty person CBDB = 188252,7,1,Q45490218; Q45490218,6000000075061340834; 6000000075061340834,2,2
Q17746,Li Liang,Tang dynasty person CBDB = 188029,8,1,Q45476198; Q45476198,6000000075061163822; 6000000075061163822,2,2
Q17747,Li Xu,Tang dynasty person CBDB = 188031,7,1,Q45476325; Q45476325,6000000075060840955; 6000000075060840955,2,2
Q17748,Li Mi,Tang dynasty person CBDB = 188032,8,1,Q45476390; Q45476390,6000000075061168821; 6000000075061168821,2,2
Q17750,Li ??,Tang dynasty person CBDB = 188038,7,1,Q45476709; Q45476709,6000000075060850990; 6000000075060850990,2,2
Q17752,Li Lin,Tang dynasty person CBDB = 33482,8,2,Q45424433; Q45424433,6000000075060950856; 6000000075060950856,2,2
Q17753,Li Zhuo,Tang dynasty person CBDB = 188072,7,1,Q45478855; Q45478855,6000000075060690066; 6000000075060690066,2,2
Q17754,Li Jiao,Tang dynasty person CBDB = 188073,7,1,Q45478920; Q45478920,6000000075060133134; 6000000075060133134,2,2
Q17755,Li Xin,Tang dynasty person CBDB = 188217,7,1,Q45488113; Q45488113,6000000075061226849; 6000000075061226849,2,2
Q17756,Li Hao,Tang dynasty person CBDB = 188218,7,1,Q45488177; Q45488177,6000000075061227841; 6000000075061227841,2,2
Q17757,Li Gui,Tang dynasty person CBDB = 188219,7,1,Q45488240; Q45488240,6000000075061168881; 6000000075061168881,2,2
Q17758,Li Huang,Tang dynasty person CBDB = 188225,7,1,Q45488620; Q45488620,6000000075061178874; 6000000075061178874,2,2
Q17759,Li Xian,Tang dynasty person CBDB = 188227,7,1,Q45488748; Q45488748,6000000075060921966; 6000000075060921966,2,2
Q17760,Li Mao,Tang dynasty person CBDB = 187930,9,2,Q30924023; Q30924023,6000000075061069836; 6000000075061069836,2,2
Q17761,Li Fan,Tang dynasty person CBDB = 187934,8,1,Q45471353; Q45471353,6000000075060390119; 6000000075060390119,2,2
Q17766,Li Chun,Tang dynasty person CBDB = 187996,8,1,Q45474485; Q45474485,6000000075060612019; 6000000075060612019,2,2
Q17767,Li Chao,Tang dynasty person CBDB = 187998,7,1,Q45474610; Q45474610,6000000075061079838; 6000000075061079838,2,2
Q17768,Li Gang,Tang dynasty person CBDB = 188000,8,1,Q45474739; Q45474739,6000000075061153821; 6000000075061153821,2,2
Q17772,Li Wanshun,Tang dynasty person CBDB = 142513,9,1,Q11095932; Q11095932,6000000131468975893; 6000000131468975893,2,2
Q17774,Li Ai,Tang dynasty person CBDB = 188065,8,2,Q10338468; Q10338468,6000000075061063879; 6000000075061063879,2,2
Q17776,Liu Dewei,Tang dynasty person CBDB = 16630,9,1,Q10899765; Q10899765,6000000075345603283; 6000000075345603283,2,2
Q17778,Li Che,Tang dynasty person CBDB = 33066,8,2,Q45422697; Q45422697,6000000075060895920; 6000000075060895920,2,2
Q17779,Li Boqian,Tang dynasty person CBDB = 188020,7,1,Q45475630; Q45475630,6000000075060473128; 6000000075060473128,2,2
Q17780,Li ?,Tang dynasty person CBDB = 188006,7,1,Q45474993; Q45474993,6000000075060745991; 6000000075060745991,2,2
Q17782,Li Tongzheng,Tang dynasty person CBDB=185370,7,1,Q45627709; Q45627709,6000000075061085833; 6000000075061085833,2,2
Q17783,Li Tongchen,Tang dynasty person CBDB = 166407,7,1,Q45449182; Q45449182,6000000075059151234; 6000000075059151234,2,2
Q17784,Li Tongshi,Tang dynasty person CBDB = 166408,7,1,Q45449244; Q45449244,6000000075060932866; 6000000075060932866,2,2
Q17785,Li Tongzan,Tang dynasty person CBDB = 166409,7,1,Q45449309; Q45449309,6000000075060497067; 6000000075060497067,2,2
Q17786,Li Tongxuan,Tang dynasty person CBDB = 166410,7,1,Q45449371; Q45449371,6000000075060930890; 6000000075060930890,2,2
Q17787,Li Tonghang,Tang dynasty person CBDB = 166411,7,1,Q45449436; Q45449436,6000000075060804899; 6000000075060804899,2,2
Q17788,Li Tongwen,Tang dynasty person CBDB = 166412,7,1,Q45449498; Q45449498,6000000075060724922; 6000000075060724922,2,2
Q17789,Li Tongtai,Tang dynasty person CBDB = 166413,7,1,Q45449561; Q45449561,6000000075061069827; 6000000075061069827,2,2
Q17790,Li Tongbin,Tang dynasty person CBDB = 166414,7,1,Q45449626; Q45449626,6000000075060389065; 6000000075060389065,2,2
Q17985,Konoe Sakiko,Nyogo (court lady) of emperor Go-Yōzei. mother of Go-Mizunoo,23,9,Q6139376; Q6139376,6000000001760353856; 6000000001760353856,2,2
Q1815,Balaputra,Indonesian maharaja,13,1,Q4199265; Q4199265,6000000040338300845; 6000000040338300845,2,2
Q18533,Konoe Nobuhiro,kugyō,16,7,Q923621,6000000012619954458,1,1
Q18542,Kushige Takako,court lady of Japanese emperor Go-Mizunoo,19,3,Q11122468,6000000012611933385,1,1
Q18548,"{'language': 'en', 'value': 'Konoe Hisatsugu'}","{'language': 'en', 'value': 'Japanese court noble'}",14,7,Q3072642; Q3072642,6000000012619983302,2,1
Q18623,"{'language': 'en', 'value': 'Takatsukasa Fusasuke'}","{'language': 'en', 'value': 'Japanese court noble of the early Edo period (1637-1700)'}",14,3,Q924830; Q924830,6000000012597216267,2,1
Q18928,Go-Kashiwabara,emperor of Japan,38,15,Q349452,6000000011626627991,1,1
Q19095,"{'language': 'en', 'value': 'Konoe Motosaki'}","{'language': 'en', 'value': 'kugyō'}",9,3,Q3198720; Q3198720,6000000177730268825,2,1
Q19162,"{'language': 'en', 'value': 'Takatsukasa Masamichi'}","{'language': 'en', 'value': 'Kugyō or Japanese court noble of the late Edo (1789-1868)'}",18,19,Q594626; Q594626,6000000030414066086,2,1
Q19194,"{'language': 'en', 'value': 'Konoe Tsunehiro'}","{'language': 'en', 'value': 'kugyō'}",11,4,Q3198728; Q3198728,6000000177729753859,2,1
Q19195,"{'language': 'en', 'value': 'Konoe Koreko'}","{'language': 'en', 'value': 'court lady of emperor Go-Momozono (1760-1783)'}",14,4,Q7137131; Q7137131,6000000012597184314,2,1
Q19238,Chogo,King of the Korean Baekje dynasty from 166 to 214,22,7,Q497399,6000000012927369766,1,1
Q19253,Li Hu,one of the eight Zhu guo generals of Northern Wei (Warring States period); Tang Taizu Jing huangdi (d. 551),11,4,Q5370334,6000000007513339285; 6000000074766797435,1,2
Q19255,Li Yanbo,"person, CBDB = 186885",8,1,Q10334836,6000000074735001940,1,1
Q19257,Li Zhang,"4th son of Tang Taizu Jing huangdi (d. 580); person, CBDB = 187230",9,4,Q11097477,6000000017522820282,1,1
Q19258,Li Hui,"person, CBDB = 187266",9,1,Q10338022,6000000074734419267,1,1
Q19284,Yang Su,Chinese general,14,3,Q1062909,6000000074704750787; 6000000074732863199,1,2
Q19285,Yang Jishan,son of Yang Su,10,2,Q19653904,6000000074704750798,1,1
Q19288,Emperor Yang of Sui,emperor of the Sui Dynasty,43,20,Q7419,6000000075328258026,1,1
Q19293,Xue Daoheng,"official of Northern Qi, Northern Zhou and Sui dynasty; participated in the discussion on the principles of writing ""Qieyun""",10,3,Q11622256,6000000074749678850,1,1
Q19294,Xue Shou,Tang dynasty person CBDB = 18768,9,2,Q11622237,6000000074749636893,1,1
Q19295,Xue Danian,Tang dynasty person CBDB = 31549,8,1,Q45419894,6000000074749488035,1,1
Q19297,Zhangsun Sheng,Sui dynasty person CBDB = 31065,12,1,Q4310626,6000000010800867099,1,1
Q19298,Lady Gao,,3,0,Q67444172,6000000010801664345,1,1
Q19299,Zhangsun Anye,Tang dynasty person CBDB = 134622,9,1,Q16259845,6000000075333494023,1,1
Q19300,Zhangsun Wuji,Chinese politician of the Tang dynasty (594-659),22,5,Q1192341,6000000010801514264,1,1
Q19302,Yang Xuanjiang,son of Yang Su,10,2,Q24839066,6000000074706026933,1,1
Q19303,Yan Baoshou,"person, CBDB = 151345",8,1,Q45489405,6000000017553305700,1,1
Q19304,,,1,0,Q134079944,6000000017553941246,1,1
Q19307,Yang Jian,"Sui Dynasty prince, son of Emperor Yang",17,4,Q986651,6000000075327448507,1,1
Q19308,Yang Zhao,Sui Dynasty imperial prince,18,5,Q1062868,6000000075328191084,1,1
Q19311,Xu Xiaode,Tang dynasty person CBDB = 30394,9,1,Q45417800,6000000075326717991,1,1
Q19312,Li Xiang,Tang dynasty person CBDB = 32127,7,2,Q11098022,6000000075061550836,1,1
Q19313,Li Jueqing,Tang dynasty person CBDB = 188543,8,1,Q45508125,6000000075061532850,1,1
Q19314,Li Qianli,"person, CBDB = 166728",8,1,Q11095612,6000000074735244989,1,1
Q19316,Li Kun,Tang dynasty person CBDB = 13062,8,2,Q11097450,6000000075334817090,1,1
Q19322,Li Xiudao,son of Li Yun,11,2,Q25925998,6000000075061303855,1,1
Q19326,Li Jiong,Tang dynasty person CBDB = 188647,8,1,Q45513937,6000000075059969325,1,1
Q19327,Li Ti,Tang dynasty person CBDB = 188648,7,1,Q45514000,6000000075061223888,1,1
Q19328,Li Gong,Tang dynasty person CBDB = 188649,8,1,Q45514063,6000000075060997984,1,1
Q19329,Li Huan,Tang dynasty person CBDB = 188657,7,1,Q45514574,6000000075061346846,1,1
Q19330,Li Fa,Tang dynasty person CBDB = 188671,8,1,Q45515457,6000000075060879042,1,1
Q19331,Li Shuang,Tang dynasty person CBDB = 188672,7,1,Q45515521,6000000075060123253,1,1
Q19335,Li Qie,Tang dynasty person CBDB = 188799,7,1,Q45523423,6000000075060680154,1,1
Q19336,Li Yousu,Tang dynasty person CBDB=188800,7,1,Q45523483,6000000075061509867,1,1
Q19337,Li Youyi,Tang dynasty person CBDB = 188801,7,1,Q45523546,6000000075061403942,1,1
Q19342,Wu Zetian,founding empress of Zhou dynasty (r. 690–705); de facto ruler of Tang dynasty from 665 to 690,80,35,Q9738,6000000074771352821,1,1
Q19351,Emperor Zhongzong of Tang,emperor of the Tang Dynasty,41,14,Q9717,6000000074766708555,1,1
Q19352,Emperor Ruizong of Tang,emperor of the Tang Dynasty,44,17,Q9722,6000000074767489943,1,1
Q19357,Li Cong,Tang dynasty person CBDB = 188285,8,1,Q15940958,6000000129575486906,1,1
Q19375,Li Si,Tang dynasty person CBDB = 13883,8,2,Q45378845,6000000075335121057,1,1
Q19380,Xiao Rui,Tang dynasty person CBDB = 33097,10,1,Q16260613,6000000074733014020,1,1
Q19381,Wang Jingzhi,Tang dynasty person CBDB = 33015,9,1,Q10414698,6000000075403421823,1,1
Q19382,Liu Xuanyi,Tang dynasty person CBDB = 20213,9,1,Q9450939,6000000074752947849,1,1
Q19386,Changsun Yan,Tang dynasty person CBDB = 173177,8,1,Q45531094,6000000075333909901,1,1
Q19388,Zhou Daowu,Tang dynasty person CBDB = 182074,8,1,Q45438460,6000000017554490033,1,1
Q19390,,,1,0,Q133447479,6000000129658992826,1,1
Q19397,Fang Yiai,Tang dynasty politician,11,1,Q11075508,6000000021150904515,1,1
Q19402,Cui Que,Tang dynasty person CBDB = 177815,8,1,Q45421260,6000000075344381922,1,1
Q19403,Cui Xingzong,Tang dynasty person CBDB = 32290,9,2,Q45421262,6000000075344581827,1,1
Q19404,Cui Runzhi,Tang dynasty person CBDB = 32291,8,1,Q45421263,6000000075344082183,1,1
Q19412,Li Mou,Tang dynasty person CBDB = 187947,8,1,Q45471981,6000000075060841900,1,1
Q19414,Li Jin,Tang dynasty person CBDB = 188059,7,1,Q45477986,6000000075060709975,1,1
Q19415,Cui Shaorui,Tang dynasty person CBDB = 32396,9,1,Q45421481,6000000075344470859,1,1
Q19419,Li Zhili,Tang dynasty person CBDB = 188239,7,1,Q45489450,6000000075061209881,1,1
Q19420,Li Zhijie,Tang dynasty person CBDB = 188240,7,1,Q45489514,6000000075061299846,1,1
Q19423,Li Cen,Tang dynasty person CBDB = 188035,7,1,Q45476518,6000000075060915894,1,1
Q19425,Li Qi,Tang dynasty person CBDB = 188030,7,1,Q45476263,6000000075060581092,1,1
Q19426,Li Chayan,Tang dynasty person CBDB = 13627,7,1,Q22813497,6000000075060679964,1,1
Q19427,Li Xiyan,Tang dynasty person CBDB = 32655,8,2,Q18906149,6000000075060991823,1,1
Q19428,Li Mengchou,Tang dynasty person CBDB = 32706,8,1,Q45422037,6000000075060845895,1,1
Q19429,Li Zeyan,Tang dynasty person CBDB = 33483,8,2,Q45424455,6000000075059069334,1,1
Q19431,Li Xiaoxian,Tang dynasty person CBDB = 188220,7,1,Q45488303,6000000075061079965,1,1
Q19432,Li Jixian,Tang dynasty person CBDB = 188221,8,1,Q45488364,6000000075061212865,1,1
Q19433,Li Jizong,Tang dynasty person CBDB = 188223,8,1,Q45488492,6000000075060868987,1,1
Q19436,Li Cui,Tang dynasty person CBDB = 187931,9,1,Q22813483,6000000075061042849,1,1
Q19437,Li Yanzuo,Tang dynasty person CBDB = 191035,7,1,Q45632944,6000000075060197080,1,1
Q19438,,,1,0,Q134081021,6000000021240523343,1,1
Q19439,Li Zhishun,Tang dynasty person CBDB = 187993,7,1,Q45474303,6000000075061143833,1,1
Q1944,Shantanu,character from Indian epic Mahabharata,36,13,Q1973947; Q1973947; Q1973947,6000000008814114101,3,1
Q19440,Li Zhizhi,Tang dynasty person CBDB = 187997,7,1,Q45474547,6000000075061116845,1,1
Q19441,Li Zhilian,Tang dynasty person CBDB = 187999,7,1,Q45474674,6000000075061004828,1,1
Q19442,Li Zhiti,Tang dynasty person CBDB = 188001,7,1,Q45474803,6000000075061139832,1,1
Q19443,Liu Yingdao,Tang dynasty person CBDB = 32857,8,1,Q45422307,6000000075402690862,1,1
Q19444,Liu Lingzhi,Tang dynasty person CBDB = 32859,8,1,Q45422310,6000000075401897224,1,1
Q19445,Li Daojian,Tang dynasty person CBDB = 188066,8,1,Q45478468,6000000075060641987,1,1
Q19446,Li Daoqin,Tang dynasty person CBDB = 188069,8,1,Q45478662,6000000075061163836,1,1
Q19447,Li Daosui,Tang dynasty person CBDB = 188070,8,1,Q45478726,6000000075061190821,1,1
Q19448,Liu Tong,Sui dynasty person CBDB = 31715,8,1,Q45420203,6000000075061502982; 6000000075346406899,1,2
Q19449,Liu Shenli,Tang dynasty person CBDB=16631,8,2,Q10899676,6000000075346206974,1,1
Q19451,Li Tao,Tang dynasty person CBDB=188021,7,1,Q45475693,6000000075060727962,1,1
Q20173,"{'language': 'en', 'value': 'Tokugawa Harutoshi'}","{'language': 'en', 'value': 'daimyo (1773-1816)'}",15,10,Q728162; Q728162,6000000030413953413,2,1
Q20197,"{'language': 'en', 'value': 'Tokugawa Tsuneko'}","{'language': 'en', 'value': 'Japanese noble lady (1882-1939)'}",15,3,Q11408990; Q11408990,6000000111820965946,2,1
Q20198,"{'language': 'en', 'value': 'Yoshihisa Tokugawa'}","{'language': 'en', 'value': 'son of Tokugawa Yoshinobu, the last shogun (1884-1922)'}",20,9,Q7005143; Q7005143,6000000012570987379,2,1
Q2076,Bharata,legendary Emperor of ancient India,34,11,Q1377025,6000000007384965471; 6000000007384965471,1,2
Q20857,"{'language': 'en', 'value': 'Konoe Tadahiro'}","{'language': 'en', 'value': 'Japanese court noble (1808-1898)'}",15,7,Q909042; Q909042,6000000177730081837,2,1
Q20936,"{'language': 'en', 'value': 'Takatsukasa Sukehiro'}","{'language': 'en', 'value': 'Japanese noble (1807-1878)'}",17,21,Q924973; Q924973,6000000030413909604,2,1
Q149936,Ildebrandino XI Aldobrandeschi,(died 1284),4,3,Q75386816; Q75386816,6000000007151890921,2,1
Q149978,"William de Clinton, 1st Earl of Huntingdon",English Earl and admiral,12,1,Q7610117; Q7610117,6000000007066699815,2,1
Q149980,"John Grey, 2nd Baron Grey de Wilton",Baron Grey,84,6,Q6236305; Q6236305,6000000000658152258,2,1
Q149982,"Reginald Grey, 3rd Baron Grey de Ruthyn",Welsh marcher lord,9,5,Q7308718; Q7308718,6000000001600536412,2,1
Q149986,Sir John Talbot,Peerage person ID=19289,5,2,Q75260798; Q75260798,6000000002135812214,2,1
Q150003,Matilda de Lucy,Peerage person ID=144389,3,2,Q75442658; Q75442658,6000000001220381419,2,1
Q150091,Joan Dwnn,Peerage person ID=568089,2,1,Q76154308; Q76154308,6000000010173591792,2,1
Q15010,Tokugawa Ieyasu,founder and first shogun of the Tokugawa shogunate of Japan (1543–1616),89,34,Q171977; Q171977; Q171977,6000000001751290215; 6000000001751290215,3,2
Q150144,Mary Graham-Clarke,(died 1819),9,2,Q76099344; Q76099344,304726456020005641,2,1
Q150147,John Altham Graham Clarke,plantation owner on Jamaica,1,1,Q116483680; Q116483680,6000000042964967015,2,1
Q150338,Baldwin Mountford,English gentry in Warwickshire (c.1412–1474/5),21,1,Q18810612; Q18810612,6000000006444072721,2,1
