qid,english_label,english_description,label_count,description_count,wikidata_qids,geni_ids,wikidata_count,geni_count
Q16275,Go-Hanazono,emperor of Japan,38,15,Q451926; Q451926; Q451926,6000000011626994461; 6000000011626994461,3,2
Q16420,"{'language': 'en', 'value': 'Takatsukasa Sukehira'}","{'language': 'en', 'value': 'kugyō or Japanese court noble of the Edo period'}",10,5,Q961435; Q961435; Q961435,6000000030413845305; 6000000030413845305,3,2
Q16426,"{'language': 'en', 'value': 'Konoe Iehiro'}","{'language': 'en', 'value': 'kugyō'}",15,7,Q923579; Q923579; Q923579,6000000177730422822; 6000000177730422822,3,2
Q16430,"{'language': 'en', 'value': 'Konoe Iehisa'}","{'language': 'en', 'value': 'Japanese court noble (1687-1737)'}",13,5,Q3073071; Q3073071; Q3073071,6000000177730326833; 6000000177730326833,3,2
Q16438,"{'language': 'en', 'value': 'Empress Dowager Kaimei'}","{'language': 'en', 'value': 'lady-in-waiting Sadako'}",10,3,Q10943125; Q10943125; Q10943125,6000000012597044700; 6000000012597044700,3,2
Q16440,"{'language': 'en', 'value': 'Momozono'}","{'language': 'en', 'value': 'emperor of Japan'}",46,16,Q313864; Q313864; Q313864,6000000011626555953; 6000000011626555953,3,2
Q16441,Biryu,Korean Baekje dynasty king from 304 to 344,21,6,Q497553; Q497553; Q497553,6000000012927264812; 6000000012927264812,3,2
Q16459,Emperor Gaozu of Tang,Founding emperor of the Tang Dynasty (566-635) (r. 618–626),62,25,Q9700; Q9700; Q9700,6000000075059949348; 6000000075059949348,3,2
Q16460,Emperor Taizong of Tang,Chinese emperor of the Tang Dynasty (598-649) (r. 626-649),70,30,Q9701; Q9701; Q9701,6000000075061209887; 6000000007915729523; 6000000075061209887; 6000000007915729523,3,4
Q16467,Princess Pingyang,Chinese princess,25,8,Q711427; Q711427; Q711427,6000000075061025854; 6000000075061025854,3,2
Q16471,Guiyang,daughter of emperor Gaozu,11,3,Q11111831; Q11111831; Q11111831,6000000075061024836; 6000000075061024836,3,2
Q16481,Li Yuanze,son of emperor Gaozu,9,2,Q11095408; Q11095408; Q11095408,6000000075061047827; 6000000075061047827,3,2
Q16482,Li Yuanji,Chinese prince,23,7,Q699639; Q699639; Q699639,6000000075060976856; 6000000075060976856,3,2
Q16483,Li Yuanming,son of emperor Gaozu,9,2,Q11095409; Q11095409; Q11095409,6000000075061053878; 6000000129803912821; 6000000075061053878; 6000000129803912821,3,4
Q16484,Li Yuanjia,son of emperor Gaozu (619-688),13,4,Q11095411; Q11095411; Q11095411,6000000075061041833; 6000000075061041833,3,2
Q16485,Li Yuanying,son of emperor Gaozu,15,4,Q10975505; Q10975505; Q10975505,6000000075061150883; 6000000075061150883,3,2
Q16486,Li Yuanqing,son of emperor Gaozu,9,2,Q11095417; Q11095417; Q11095417,6000000075060939894; 6000000075060939894,3,2
Q16487,Li Yuanyi,son of Gaozu emperor,10,3,Q10332683; Q10332683; Q10332683,6000000075060910838; 6000000075060910838,3,2
Q16491,Li Yuanxiao,son of emperor Gaozu,10,3,Q11095425; Q11095425; Q11095425,6000000075060491026; 6000000075060491026,3,2
Q16492,Li Yuanxiang,son of emperor Gaozu,9,2,Q11095431; Q11095431; Q11095431,6000000075061100883; 6000000075061100883,3,2
Q16493,Li Yuanli,son of emperor Gaozu,10,2,Q11095432; Q11095432; Q11095432,6000000075060556084; 6000000075060556084,3,2
Q16494,Li Yuanyu,son of emperor Gaozu,9,2,Q11095437; Q11095437; Q11095437,6000000075060953885; 6000000075060953885,3,2
Q16495,Li Yuangui,son of emperor Gaozu,11,4,Q11095439; Q11095439; Q11095439,6000000075060831919; 6000000075060831919,3,2
Q16499,Li Lingkui,son of emperor Gaozu,9,3,Q11098320; Q11098320; Q11098320,6000000075059722174; 6000000075059722174,3,2
Q16501,Li Yu,Tang dynasty person CBDB = 188007,7,1,Q45475056; Q45475056; Q45475056,6000000075061083837; 6000000075061083837,3,2
Q16502,Li Maorong,Tang dynasty person CBDB = 188017,8,1,Q45475502; Q45475502; Q45475502,6000000075061103821; 6000000075061103821,3,2
Q16503,Li Yaochen,Tang dynasty person CBDB = 188019,7,1,Q45475565; Q45475565; Q45475565,6000000075060894930; 6000000075060894930,3,2
Q16504,Li Shunchen,Tang dynasty person CBDB = 188023,7,1,Q45475819; Q45475819; Q45475819,6000000075060354066; 6000000075060354066,3,2
Q16505,Li Yi,Tang dynasty person CBDB = 162588,9,1,Q45509606; Q45509606; Q45509606,6000000075061056830; 6000000075061056830,3,2
Q16794,Oda Nobunaga,Japanese samurai and warlord (1534–1582),87,29,Q171411; Q171411,6000000008261026303; 6000000008261026303,2,2
Q17108,"{'language': 'en', 'value': 'Emperor Go-Mizunoo'}","{'language': 'en', 'value': 'emperor of Japan from 1611 to 1629'}",49,26,Q320229; Q320229,6000000011627083509; 6000000011627083509,2,2
Q17387,Go-Tsuchimikado,emperor of Japan,40,17,Q380623; Q380623,6000000011627118319; 6000000011627118319,2,2
Q17473,Go-Nara,emperor of Japan,44,18,Q349467; Q349467,6000000011626574081; 6000000011626574081,2,2
Q17562,"{'language': 'en', 'value': 'Konoe Motohiro'}","{'language': 'en', 'value': 'Japanese court noble (1648-1722)'}",16,10,Q922862; Q922862,6000000177730446825; 6000000177730446825,2,2
Q17576,"{'language': 'en', 'value': 'Tokugawa Ieharu'}","{'language': 'en', 'value': 'Japanese shogun'}",39,16,Q437518; Q437518,6000000030413810065; 6000000030413810065,2,2
Q17578,"{'language': 'en', 'value': 'Takatsukasa Masahiro'}","{'language': 'en', 'value': 'Kugyō or Japanese court noble of the Edo period'}",20,17,Q3135344; Q3135344,6000000030414085027; 6000000030414085027,2,2
Q17594,"{'language': 'en', 'value': 'Konoe Uchisaki'}","{'language': 'en', 'value': 'Japanese court noble'}",14,4,Q3073329; Q3073329,6000000177729654860; 6000000177729654860,2,2
Q17626,"{'language': 'en', 'value': 'Go-Momozono'}","{'language': 'en', 'value': 'emperor of Japan (1758-1779)'}",49,16,Q314063; Q314063,6000000011626781657; 6000000011626781657,2,2
Q17628,Gusu,King of Korean Baekje from 214 to 234,21,7,Q497432; Q497432,6000000012927543862; 6000000012927543862,2,2
Q17644,Li Bing,official of Northern Zhou (Chinese Northern dynasties period); father of Emperor Gaozu of Tang,15,8,Q4308625; Q4308625,6000000074766890200; 6000000074766890200,2,2
Q17648,Li Zhan,older brother of Emperor Gaozu of Tang,11,2,Q11097298; Q11097298,6000000075395524260; 6000000075395524260,2,2
Q17659,Dou Shi,wife of Li Yuan,8,2,Q65801414; Q65801414,6000000075368567836; 6000000075368567836,2,2
Q17660,Empress Zhangsun,"Chinese writer, wife of Li Shimin; 女﹐又名長孙皇后﹐長安人(今陝西西安)。相關材料: 著有 女則十篇。新唐書藝文志﹐舊唐書皇后傳﹐蘭閨寶錄﹐古今女史﹐名媛彙詩﹐名媛詩歸有著錄。",24,21,Q1152149; Q1152149,6000000002188099945; 6000000002188099945,2,2
Q17663,Yan Defei,,5,0,Q8251489; Q8251489,6000000017553391422; 6000000017553391422,2,2
