qid,geni_ids,wikidata_qids
Q1787,6000000040978635984,
Q1807,6000000040337959506,
Q153492,6000000006776835465,
Q153670,6000000040963820534,
Q100001,6000000021801820504,
Q100003,6000000004110119785,
Q100005,6000000000795934063,
Q100007,6000000013262979711,
Q100009,6000000004262283309,
Q100011,6000000011666188559,
Q100013,4069076529180010318,
Q100015,6000000011813159565,
Q100017,6000000011813141298,
Q100019,6000000010905063355,
Q100021,6000000013154744371,
Q100023,6000000040807091205,
Q100025,6000000042060701005,
Q100027,6000000042060914977,
Q100029,6000000042060646383,
Q100031,6000000042060764297,
Q100034,6000000042060953162,
Q100036,6000000042060820336,
Q100038,4876774528290014023,
Q100040,6000000015681535203,
Q100042,6000000011769485248,
Q100044,6000000011768811780,
Q100046,6000000004142267987,
Q100048,6000000009374380610,
Q100050,6000000012132624599,
Q100052,6000000012132951856,
Q100054,6000000006277824294,
Q100056,6000000011781966687,
Q100058,6000000006280847332,
Q100060,6000000012230798985,
Q100062,4069026975390010312,
Q100064,4069355645200020817,
Q100066,6000000194593477836,
Q100068,6000000000037486302,
Q100070,6000000000037765147,
Q100072,6000000000037900147,
Q100074,4069381735600010388,
Q100076,6000000000868541973,
Q100078,6000000002188170726,
Q100080,6000000004054970276,
Q100082,6000000001992158663,
Q100084,6000000004119938046,
Q100086,5718326983660124759,
Q100088,6000000000778886107,
Q100090,6000000008763070272,
Q100092,6000000012153777254,
Q100094,6000000003828011276,
Q100096,6000000007052834304,
Q100098,6000000001699447669,
Q100100,6000000149639610834,
Q100102,6000000052823336967,
Q100104,6000000052823029055,
Q100106,6000000003645870588,
Q100108,6000000003493155483,
Q100110,6000000003493155488,
Q100112,6000000003493155494,
Q100114,6000000003493155505,
Q100116,6000000004283193362,
Q100118,6000000009860206722,
Q100120,6000000001412873288,
Q100122,6000000012136048522,
Q100124,6000000012135943892,
Q100126,6000000010571245755,
Q100128,6000000012136169269,
Q100130,6000000012135635006,
Q100132,6000000012135971431,
Q100134,6000000012135816105,
Q100136,6000000004533735685,
Q100138,6000000046654773625,
Q100140,6000000001412968233,
Q100142,6000000001412937087,
Q100144,6000000011884955775,
Q100146,6000000020896150628,
